case_id profile d_bin epoch n reference
115 linear 2 7 128 1935.9979965619382
115 linear 2 7 256 1935.9979965622365
115 linear 2 7 512 1935.9979965626221
115 linear 2 7 1024 nan
115 linear 2 15 128 1580.861798618748
115 linear 2 15 256 1580.8617986144282
115 linear 2 15 512 nan
115 linear 2 15 1024 nan
115 uniform 2 7 128 2032.6506422182904
115 uniform 2 7 256 2032.650642218485
115 uniform 2 7 512 2032.6506422183461
115 uniform 2 7 1024 nan
115 uniform 2 15 128 1603.5512397458447
115 uniform 2 15 256 1603.551239745942
115 uniform 2 15 512 nan
115 uniform 2 15 1024 nan
