name,u,rtol,stop,mu,error,reference128,reference256,reference_uncertainty,actual_difference,reference_usable,violation
plan15,0,0.001,Converged,6.0199734411766661,0.0033187507,6.0199533596500139,6.0199533596500121,1.77635684e-15,2.00815267e-05,1,0
plan15,0,0.0001,Converged,6.01995216662724,0.000530574457,6.0199533596500139,6.0199533596500121,1.77635684e-15,1.19302277e-06,1,0
plan15,0,1e-05,Converged,6.019953359604493,4.41619674e-05,6.0199533596500139,6.0199533596500121,1.77635684e-15,4.5519144e-11,1,0
plan15,0,1e-06,Converged,6.0199533597145178,3.63250865e-06,6.0199533596500139,6.0199533596500121,1.77635684e-15,6.45057341e-11,1,0
plan15,0,1e-08,Converged,6.0199533596499943,1.74223428e-08,6.0199533596500139,6.0199533596500121,1.77635684e-15,1.77635684e-14,1,0
plan15,0.5,0.001,Converged,6.1205212714608184,0.00492987288,6.1205016227172315,6.1205016227172298,1.77635684e-15,1.96487436e-05,1,0
plan15,0.5,0.0001,Converged,6.120501629823929,0.000321089305,6.1205016227172315,6.1205016227172298,1.77635684e-15,7.10669923e-09,1,0
plan15,0.5,1e-05,Converged,6.120501628854238,5.30823882e-05,6.1205016227172315,6.1205016227172298,1.77635684e-15,6.13700823e-09,1,0
plan15,0.5,1e-06,Converged,6.120501622763312,2.69067148e-06,6.1205016227172315,6.1205016227172298,1.77635684e-15,4.60822491e-11,1,0
plan15,0.5,1e-08,Converged,6.1205016227172191,1.69839802e-08,6.1205016227172315,6.1205016227172298,1.77635684e-15,1.0658141e-14,1,0
resonant,0,0.001,Converged,13.730112469893562,0.00812845119,13.730115998899569,13.730115998899565,3.55271368e-15,3.529006e-06,1,0
resonant,0,0.0001,Converged,13.730114127908289,0.000795303936,13.730115998899569,13.730115998899565,3.55271368e-15,1.87099128e-06,1,0
resonant,0,1e-05,Converged,13.730116144653453,9.64679155e-05,13.730115998899569,13.730115998899565,3.55271368e-15,1.45753887e-07,1,0
resonant,0,1e-06,Converged,13.730115998775771,8.65589487e-06,13.730115998899569,13.730115998899565,3.55271368e-15,1.23794308e-10,1,0
resonant,0,1e-08,Converged,13.730115998899567,1.0506256e-08,13.730115998899569,13.730115998899565,3.55271368e-15,1.77635684e-15,1,0
resonant,0.5,0.001,Converged,13.877443246448525,0.00748038871,13.877481463961633,13.877481464091503,1.29869449e-10,3.8217643e-05,1,0
resonant,0.5,0.0001,Converged,13.877485762668311,0.00128314817,13.877481463961633,13.877481464091503,1.29869449e-10,4.29857681e-06,1,0
resonant,0.5,1e-05,Converged,13.877481511763714,6.78073738e-05,13.877481463961633,13.877481464091503,1.29869449e-10,4.76722111e-08,1,0
resonant,0.5,1e-06,Converged,13.87748142586519,1.239277e-05,13.877481463961633,13.877481464091503,1.29869449e-10,3.82263128e-08,1,0
resonant,0.5,1e-08,Converged,13.877481424397958,8.30423876e-08,13.877481463961633,13.877481464091503,1.29869449e-10,3.96935445e-08,1,0
