name,u,rtol,stop,mu,error,reference128,reference256,reference_uncertainty,actual_difference,reference_usable,violation
plan15,0,0.001,Converged,6.0199734411766661,0.0041771523,6.0199533596500139,6.0199533596500121,1.77635684e-15,2.00815267e-05,1,0
plan15,0,0.0001,Converged,6.019953368443054,0.000188476301,6.0199533596500139,6.0199533596500121,1.77635684e-15,8.79304185e-09,1,0
plan15,0,1e-05,Converged,6.0199533595849433,2.43754103e-05,6.0199533596500139,6.0199533596500121,1.77635684e-15,6.50688392e-11,1,0
plan15,0,1e-06,Converged,6.0199533597145178,3.96092827e-06,6.0199533596500139,6.0199533596500121,1.77635684e-15,6.45057341e-11,1,0
plan15,0,1e-08,Converged,6.0199533596499943,2.13600133e-08,6.0199533596500139,6.0199533596500121,1.77635684e-15,1.77635684e-14,1,0
plan15,0.5,0.001,Converged,6.1205212714608184,0.00556725919,6.1205016227172315,6.1205016227172298,1.77635684e-15,1.96487436e-05,1,0
plan15,0.5,0.0001,Converged,6.120501629823929,0.000572418075,6.1205016227172315,6.1205016227172298,1.77635684e-15,7.10669923e-09,1,0
plan15,0.5,1e-05,Converged,6.1205016226286428,2.41179876e-05,6.1205016227172315,6.1205016227172298,1.77635684e-15,8.85869156e-11,1,0
plan15,0.5,1e-06,Converged,6.120501622763312,2.73573672e-06,6.1205016227172315,6.1205016227172298,1.77635684e-15,4.60822491e-11,1,0
plan15,0.5,1e-08,Converged,6.1205016227172191,1.81219522e-08,6.1205016227172315,6.1205016227172298,1.77635684e-15,1.0658141e-14,1,0
resonant,0,0.001,Converged,13.730120980318974,0.00918985023,13.730115998899569,13.730115998899565,3.55271368e-15,4.98141941e-06,1,0
resonant,0,0.0001,Converged,13.73011620615307,0.00036042311,13.730115998899569,13.730115998899565,3.55271368e-15,2.07253505e-07,1,0
resonant,0,1e-05,Converged,13.730116144628113,8.63182395e-05,13.730115998899569,13.730115998899565,3.55271368e-15,1.45728547e-07,1,0
resonant,0,1e-06,Converged,13.730115998775771,9.12874134e-06,13.730115998899569,13.730115998899565,3.55271368e-15,1.23794308e-10,1,0
resonant,0,1e-08,Converged,13.730115998899569,1.05075874e-08,13.730115998899569,13.730115998899565,3.55271368e-15,3.55271368e-15,1,0
resonant,0.5,0.001,Converged,13.877484215323056,0.00789413391,13.877481463961633,13.877481464091503,1.29869449e-10,2.75123155e-06,1,0
resonant,0.5,0.0001,Converged,13.877481553314679,0.000733672602,13.877481463961633,13.877481464091503,1.29869449e-10,8.92231764e-08,1,0
resonant,0.5,1e-05,Converged,13.877481511763714,0.000126026287,13.877481463961633,13.877481464091503,1.29869449e-10,4.76722111e-08,1,0
resonant,0.5,1e-06,Converged,13.877481424269579,7.98756009e-06,13.877481463961633,13.877481464091503,1.29869449e-10,3.98219235e-08,1,0
resonant,0.5,1e-08,Converged,13.877481424397958,8.3426429e-08,13.877481463961633,13.877481464091503,1.29869449e-10,3.96935445e-08,1,0
close-binary,0,0.001,Converged,8.1332028642487071,0.00707766478,8.1331871251541461,8.1331871251541443,1.77635684e-15,1.57390946e-05,1,0
close-binary,0,0.0001,Converged,8.1331871359219665,0.000324513169,8.1331871251541461,8.1331871251541443,1.77635684e-15,1.07678222e-08,1,0
close-binary,0,1e-05,Converged,8.1331871350959748,6.52938295e-05,8.1331871251541461,8.1331871251541443,1.77635684e-15,9.94183047e-09,1,0
close-binary,0,1e-06,Converged,8.1331871251541443,2.03230331e-06,8.1331871251541461,8.1331871251541443,1.77635684e-15,0,1,0
close-binary,0,1e-08,Converged,8.133187125154171,3.36436195e-08,8.1331871251541461,8.1331871251541443,1.77635684e-15,2.66453526e-14,1,0
close-binary,0.5,0.001,Converged,8.0834047414668415,0.00744179012,8.0833995979319706,8.0833995986615612,7.2959061e-10,5.14280528e-06,1,0
close-binary,0.5,0.0001,Converged,8.083399716929458,0.000273217273,8.0833995979319706,8.0833995986615612,7.2959061e-10,1.18267897e-07,1,0
close-binary,0.5,1e-05,Converged,8.0833997151530728,6.5579453e-05,8.0833995979319706,8.0833995986615612,7.2959061e-10,1.16491512e-07,1,0
close-binary,0.5,1e-06,Converged,8.0833997092425136,3.80993459e-06,8.0833995979319706,8.0833995986615612,7.2959061e-10,1.10580952e-07,1,0
close-binary,0.5,1e-08,InnerAccuracyLimited,8.0833997092425136,3.80993459e-06,8.0833995979319706,8.0833995986615612,7.2959061e-10,1.10580952e-07,1,0
wide-planet,0,0.001,Converged,1.1591934436489091,0.000407645816,1.1591934443442502,1.1591934443442495,6.66133815e-16,6.95340452e-10,1,0
wide-planet,0,0.0001,Converged,1.1591934436470934,2.82461494e-05,1.1591934443442502,1.1591934443442495,6.66133815e-16,6.97156111e-10,1,0
wide-planet,0,1e-05,Converged,1.1591934436472051,5.56497403e-07,1.1591934443442502,1.1591934443442495,6.66133815e-16,6.97044422e-10,1,0
wide-planet,0,1e-06,Converged,1.1591934436472051,5.56497403e-07,1.1591934443442502,1.1591934443442495,6.66133815e-16,6.97044422e-10,1,0
wide-planet,0,1e-08,Converged,1.1591934443442493,1.41885827e-09,1.1591934443442502,1.1591934443442495,6.66133815e-16,2.22044605e-16,1,0
wide-planet,0.5,0.001,Converged,1.1591902257554043,0.000133617313,1.15919022914174,1.1591902291417393,6.66133815e-16,3.38633499e-09,1,0
wide-planet,0.5,0.0001,Converged,1.1591902258251667,5.74487471e-07,1.15919022914174,1.1591902291417393,6.66133815e-16,3.31657257e-09,1,0
wide-planet,0.5,1e-05,Converged,1.1591902258251667,5.74487471e-07,1.15919022914174,1.1591902291417393,6.66133815e-16,3.31657257e-09,1,0
wide-planet,0.5,1e-06,Converged,1.1591902258251667,5.74487471e-07,1.15919022914174,1.1591902291417393,6.66133815e-16,3.31657257e-09,1,0
wide-planet,0.5,1e-08,Converged,1.1591902291417386,8.60809799e-09,1.15919022914174,1.1591902291417393,6.66133815e-16,6.66133815e-16,1,0
cusp-approach,0,0.001,Converged,1.5003323158575996,0.000518995798,1.5003323149921406,1.5003323149921419,1.33226763e-15,8.65457706e-10,1,0
