name,u,parameter,step,n,stop,analytic,estimated_error,finite_difference,difference
plan15,0,0,0.000125,128,EventLocationLimited,5.5616784512124182,2.68422589e-06,5.561679338846659,8.87634241e-07
plan15,0,0,0.000125,256,EventLocationLimited,5.5616784512124182,2.68422589e-06,5.561679338846659,8.87634241e-07
plan15,0,0,3.7499999999999997e-05,128,EventLocationLimited,5.5616784512124182,2.68422589e-06,5.5616785412837553,9.00713371e-08
plan15,0,0,3.7499999999999997e-05,256,EventLocationLimited,5.5616784512124182,2.68422589e-06,5.5616785412837553,9.00713371e-08
plan15,0,0,1.2500000000000001e-05,128,EventLocationLimited,5.5616784512124182,2.68422589e-06,5.5616784711531864,1.99407681e-08
plan15,0,0,1.2500000000000001e-05,256,EventLocationLimited,5.5616784512124182,2.68422589e-06,5.5616784711887135,1.99762953e-08
plan15,0,1,0.000125,128,EventLocationLimited,-17.137986481036421,3.9527841e-06,-17.137992869255214,6.38821879e-06
plan15,0,1,0.000125,256,EventLocationLimited,-17.137986481036421,3.9527841e-06,-17.137992869251661,6.38821524e-06
plan15,0,1,3.7499999999999997e-05,128,EventLocationLimited,-17.137986481036421,3.9527841e-06,-17.137987063217491,5.8218107e-07
plan15,0,1,3.7499999999999997e-05,256,EventLocationLimited,-17.137986481036421,3.9527841e-06,-17.137987063205649,5.82169228e-07
plan15,0,1,1.2500000000000001e-05,128,EventLocationLimited,-17.137986481036421,3.9527841e-06,-17.13798655277543,7.17390094e-08
plan15,0,1,1.2500000000000001e-05,256,EventLocationLimited,-17.137986481036421,3.9527841e-06,-17.137986552810958,7.17745365e-08
plan15,0,2,0.000125,128,EventLocationLimited,-10.351485550566196,5.10055355e-06,-10.351490887035908,5.33646971e-06
plan15,0,2,0.000125,256,EventLocationLimited,-10.351485550566196,5.10055355e-06,-10.351490887035908,5.33646971e-06
plan15,0,2,3.7499999999999997e-05,128,EventLocationLimited,-10.351485550566196,5.10055355e-06,-10.351486043352528,4.92786333e-07
plan15,0,2,3.7499999999999997e-05,256,EventLocationLimited,-10.351485550566196,5.10055355e-06,-10.351486043352528,4.92786333e-07
plan15,0,2,1.2500000000000001e-05,128,EventLocationLimited,-10.351485550566196,5.10055355e-06,-10.351485617583478,6.70172824e-08
plan15,0,2,1.2500000000000001e-05,256,EventLocationLimited,-10.351485550566196,5.10055355e-06,-10.351485617547951,6.69817553e-08
plan15,0,3,0.00050000000000000001,128,EventLocationLimited,-4.9880854987757619,2.29900577e-06,-4.9880838047018372,1.69407392e-06
plan15,0,3,0.00050000000000000001,256,EventLocationLimited,-4.9880854987757619,2.29900577e-06,-4.9880838047027254,1.69407304e-06
plan15,0,3,0.00014999999999999999,128,EventLocationLimited,-4.9880854987757619,2.29900577e-06,-4.9880853334283159,1.65347446e-07
plan15,0,3,0.00014999999999999999,256,EventLocationLimited,-4.9880854987757619,2.29900577e-06,-4.9880853334283159,1.65347446e-07
plan15,0,3,5.0000000000000002e-05,128,EventLocationLimited,-4.9880854987757619,2.29900577e-06,-4.9880854678008291,3.09749328e-08
plan15,0,3,5.0000000000000002e-05,256,EventLocationLimited,-4.9880854987757619,2.29900577e-06,-4.9880854678008291,3.09749328e-08
plan15,0,4,0.0011999999999999999,128,EventLocationLimited,1.2384878526862633,1.64029473e-06,1.2384948581985653,7.0055123e-06
plan15,0,4,0.0011999999999999999,256,EventLocationLimited,1.2384878526862633,1.64029473e-06,1.2384948581981952,7.00551193e-06
plan15,0,4,0.00035999999999999997,128,EventLocationLimited,1.2384878526862633,1.64029473e-06,1.2384885219250841,6.69238821e-07
plan15,0,4,0.00035999999999999997,256,EventLocationLimited,1.2384878526862633,1.64029473e-06,1.2384885219250841,6.69238821e-07
plan15,0,4,0.00012,128,EventLocationLimited,1.2384878526862633,1.64029473e-06,1.2384879649052216,1.12218958e-07
plan15,0,4,0.00012,256,EventLocationLimited,1.2384878526862633,1.64029473e-06,1.2384879649052216,1.12218958e-07
plan15,0.5,0,0.000125,128,TopologyUnresolved,7.3097580435828924,1.75441637e-06,7.3097575748555244,4.68727368e-07
plan15,0.5,0,0.000125,256,TopologyUnresolved,7.3097580435828924,1.75441637e-06,7.3097575748519716,4.68730921e-07
plan15,0.5,0,3.7499999999999997e-05,128,TopologyUnresolved,7.3097580435828924,1.75441637e-06,7.3097580014547257,4.21281667e-08
plan15,0.5,0,3.7499999999999997e-05,256,TopologyUnresolved,7.3097580435828924,1.75441637e-06,7.3097580014547257,4.21281667e-08
plan15,0.5,0,1.2500000000000001e-05,128,TopologyUnresolved,7.3097580435828924,1.75441637e-06,7.3097580389358541,4.64703831e-09
plan15,0.5,0,1.2500000000000001e-05,256,TopologyUnresolved,7.3097580435828924,1.75441637e-06,7.3097580389358541,4.64703831e-09
plan15,0.5,1,0.000125,128,TopologyUnresolved,-17.352260795228243,2.82552338e-06,-17.352266256327908,5.46109966e-06
plan15,0.5,1,0.000125,256,TopologyUnresolved,-17.352260795228243,2.82552338e-06,-17.352266256324356,5.46109611e-06
plan15,0.5,1,3.7499999999999997e-05,128,TopologyUnresolved,-17.352260795228243,2.82552338e-06,-17.352261286767146,4.91538902e-07
plan15,0.5,1,3.7499999999999997e-05,256,TopologyUnresolved,-17.352260795228243,2.82552338e-06,-17.352261286755304,4.91527061e-07
plan15,0.5,1,1.2500000000000001e-05,128,TopologyUnresolved,-17.352260795228243,2.82552338e-06,-17.352260849889944,5.46617009e-08
plan15,0.5,1,1.2500000000000001e-05,256,TopologyUnresolved,-17.352260795228243,2.82552338e-06,-17.352260849889944,5.46617009e-08
plan15,0.5,2,0.000125,128,TopologyUnresolved,-11.441453834792556,3.21801948e-06,-11.441460681034243,6.84624169e-06
plan15,0.5,2,0.000125,256,TopologyUnresolved,-11.441453834792556,3.21801948e-06,-11.441460681034243,6.84624169e-06
plan15,0.5,2,3.7499999999999997e-05,128,TopologyUnresolved,-11.441453834792556,3.21801948e-06,-11.441454451031065,6.16238509e-07
plan15,0.5,2,3.7499999999999997e-05,256,TopologyUnresolved,-11.441453834792556,3.21801948e-06,-11.441454451031065,6.16238509e-07
plan15,0.5,2,1.2500000000000001e-05,128,TopologyUnresolved,-11.441453834792556,3.21801948e-06,-11.44145390338025,6.85876937e-08
plan15,0.5,2,1.2500000000000001e-05,256,TopologyUnresolved,-11.441453834792556,3.21801948e-06,-11.44145390338025,6.85876937e-08
plan15,0.5,3,0.00050000000000000001,128,TopologyUnresolved,-5.4831820637743789,1.52123668e-06,-5.4831788781424251,3.18563195e-06
plan15,0.5,3,0.00050000000000000001,256,TopologyUnresolved,-5.4831820637743789,1.52123668e-06,-5.4831788781433133,3.18563107e-06
plan15,0.5,3,0.00014999999999999999,128,TopologyUnresolved,-5.4831820637743789,1.52123668e-06,-5.4831817769921782,2.86782201e-07
plan15,0.5,3,0.00014999999999999999,256,TopologyUnresolved,-5.4831820637743789,1.52123668e-06,-5.4831817769951394,2.86779239e-07
plan15,0.5,3,5.0000000000000002e-05,128,TopologyUnresolved,-5.4831820637743789,1.52123668e-06,-5.4831820318135271,3.19608517e-08
plan15,0.5,3,5.0000000000000002e-05,256,TopologyUnresolved,-5.4831820637743789,1.52123668e-06,-5.4831820318135271,3.19608517e-08
plan15,0.5,4,0.0011999999999999999,128,TopologyUnresolved,1.3006760641510808,6.94246849e-07,1.3006818748310482,5.81067997e-06
plan15,0.5,4,0.0011999999999999999,256,TopologyUnresolved,1.3006760641510808,6.94246849e-07,1.3006818748310482,5.81067997e-06
plan15,0.5,4,0.00035999999999999997,128,TopologyUnresolved,1.3006760641510808,6.94246849e-07,1.3006765873235795,5.23172499e-07
plan15,0.5,4,0.00035999999999999997,256,TopologyUnresolved,1.3006760641510808,6.94246849e-07,1.3006765873223458,5.23171265e-07
plan15,0.5,4,0.00012,128,TopologyUnresolved,1.3006760641510808,6.94246849e-07,1.3006761224991041,5.83480233e-08
plan15,0.5,4,0.00012,256,TopologyUnresolved,1.3006760641510808,6.94246849e-07,1.3006761224991041,5.83480233e-08
paper_highA,0,0,8.1133264861482079e-08,128,EventLocationLimited,-133429877.58426142,469.743023,nan,nan
paper_highA,0,0,8.1133264861482079e-08,256,EventLocationLimited,-133429877.58426142,469.743023,-133429900.79549612,23.2112347
paper_highA,0,0,2.4339979458444623e-08,128,EventLocationLimited,-133429877.58426142,469.743023,nan,nan
paper_highA,0,0,2.4339979458444623e-08,256,EventLocationLimited,-133429877.58426142,469.743023,-133429879.9004692,2.31620778
paper_highA,0,0,8.1133264861482083e-09,128,EventLocationLimited,-133429877.58426142,469.743023,-133429878.80156401,1.21730259
