case_id	profile	d_bin_index	epoch_index	target	cold_ms	cold_topology_ms	warm_ms	baseline_cold	baseline_warm
0	uniform	0	15	0.0001	61.740741	61.363004	57.886142	53.750219	53.700425
0	uniform	2	23	0.0001	61.703647	61.406251	61.61073	53.698743	53.604619
0	uniform	0	23	0.0001	61.648144	61.274923	61.620521	53.736911	53.641906
0	uniform	2	23	0.001	61.624058	61.453983	61.49068	53.589521	53.486585
0	uniform	2	15	0.0001	59.827257	59.549618	59.765718	51.763551	51.727361
0	uniform	2	15	0.001	59.605882	59.423455	59.580904	51.566721	51.603446
0	uniform	2	7	0.001	59.477415	59.301948	59.386595	51.477911	51.330364
0	uniform	0	0	0.0001	58.207956	57.74342	61.706455	53.702109	53.654465
0	uniform	0	7	0.0001	57.443999	56.999539	61.282057	53.433249	53.4269
149	uniform	1	7	0.0001	56.231029	55.927689	56.052343	56.061144	56.059
149	linear	1	7	0.0001	56.208267	55.788204	56.112456	56.134097	56.009467
149	uniform	1	7	0.001	56.041871	55.769481	55.856485	55.893646	55.845905
