case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid endpoint_cache_hits endpoint_cache_evaluations
0 linear 0 0 61.997101999999998 7.0379226907888537 1 67 60.769691999999999 0.036637999999999997 0.23025899999999999 0.0071450000000000003 0.0017110000000000001 0.0088369999999999994 0.021485000000000001 0.19067799999999999 0.36332100000000001 59.828476999999999 0.109984 2.9e-05 0.065407999999999994 0.010265 0.012534 0.15316999999999997 0.032874999999999988 0.0089199999999999991 0 0 0 0 0 0 0 0 0 0 60.547044 60.732709 0.0093430000000000006 0.011332999999999999 0.014467000000000001 0.00082299999999999995 0.045696000000000001 0 0 0 0 0 2 692
0 linear 0 7 53.707284999999999 7.165175685042759 1 83 53.25705 0.025395000000000001 0.35521600000000009 0.009637999999999999 0.0029229999999999998 0.0091669999999999998 0.024079 0.022141000000000001 0.384799 52.584665000000001 0.099263999999999991 3.1000000000000001e-05 0.021816000000000002 0.0064729999999999996 0.0067349999999999997 0.25243800000000011 0.047496999999999963 0.012408000000000006 0 1 15 15 0 0 0 0 0 0 53.132477000000002 53.235725000000002 0.0061120000000000002 0.010326 0.018726 0.00067000000000000002 0.043936000000000003 2 1 16 0.00115407797797932 2 10 903
0 linear 0 15 57.995749000000004 7.2540425509600803 1 91 57.497332 0.025935 0.41664799999999996 0.0089950000000000013 0.0039779999999999998 0.0095219999999999992 0.028431999999999999 0.014362 0.26016899999999998 56.890442999999998 0.095165 2.0000000000000002e-05 0.084911 0.0072500000000000004 0.0086639999999999998 0.30404100000000001 0.052859000000000003 0.012667999999999999 0 2 13 13 0 0 0 0 0 0 57.303120999999997 57.475535999999998 0.0075069999999999998 0.0096460000000000001 0.019584000000000001 0.00029300000000000002 0.043804000000000003 1 1 8 0.0027134713756958736 1 9 999
0 linear 0 23 54.140478999999999 7.2793514851610421 1 91 53.633487000000002 0.026214000000000001 0.43172399999999977 0.012383999999999999 0.0027959999999999994 0.01107 0.030797000000000001 0.013984999999999999 0.41150700000000001 52.901536 0.095739999999999992 2.6999999999999999e-05 0.053899000000000002 0.0066559999999999996 0.006979 0.30567099999999997 0.051585000000000013 0.015286000000000011 0 3 13 13 0 0 0 0 0 0 53.466678000000002 53.612991000000001 0.0090570000000000008 0.0090819999999999998 0.019335999999999999 0.00071000000000000002 0.044479999999999999 1 1 8 0.0030160757831446021 1 6 990
0 linear 1 0 1.114252 589.76731831372365 1 105 0.71886499999999998 0.014671 0.31071100000000001 0.0072160000000000002 0.001696 0.010611000000000001 0.028420000000000001 0.17898700000000001 0.13638500000000001 0 0.018672000000000001 0.0015089999999999999 0.25373199999999996 0.002349 0.0040509999999999999 0.1616230000000001 0.076514999999999972 0.01743200000000001 0 0 0 0 0.013372 1 0 0 14 0 0.38397399999999998 0.70848299999999997 0.0059239999999999996 0.0034770000000000001 0.015493999999999999 0.003908 0.031447999999999997 0 0 0 0 0 98 1514
0 linear 1 7 0.71180200000000005 593.09247526628167 1 105 0.34254299999999999 0.013402000000000001 0.32681899999999997 0.0061519999999999995 0.001596 0.0029290000000000002 0.009417 0.0088929999999999999 0.14143700000000001 0 0.0035980000000000001 0.001137 0.103857 0.001158 0.0037789999999999994 0.17208699999999999 0.075397999999999979 0.017451000000000012 0 1 19 19 0.0028909999999999999 1 0 0 14 0 0.19498399999999999 0.33593299999999998 0.0032320000000000001 0.0034150000000000001 0.014345 0.001258 0.030859999999999999 1 1 8 0.0016863986939356674 1 67 1522
0 linear 1 15 0.93324200000000002 596.53003682974679 1 128 0.429836 0.013169999999999999 0.44309699999999991 0.0072709999999999997 0.0018489999999999995 0.0028340000000000001 0.0091280000000000007 0.0082660000000000008 0.11101999999999999 0 0.0035079999999999998 0.0010330000000000001 0.22516699999999998 0.001067 0.0038600000000000001 0.227523 0.10225399999999996 0.023736000000000011 0 2 19 19 0.0029060000000000002 1 0 0 14 0 0.162076 0.42288599999999998 0.0012359999999999999 0.003359 0.014022000000000001 0.0012260000000000001 0.031316999999999998 1 1 8 0.18679473719266346 1 74 2048
0 linear 1 23 0.778501 599.54254534181996 1 128 0.29402400000000001 0.013030999999999999 0.438633 0.0072900000000000013 0.0017559999999999997 0.0026809999999999998 0.008685 0.0081729999999999997 0.13083700000000001 0 0.0035300000000000002 0.0010070000000000001 0.071709999999999996 0.00098400000000000007 0.0036610000000000002 0.22781900000000005 0.098596999999999976 0.022801000000000026 0 3 19 19 0.0029970000000000001 1 0 0 14 0 0.18140600000000001 0.28767100000000001 0.0012750000000000001 0.0032260000000000001 0.013754000000000001 0.001346 0.030984999999999999 1 1 8 0.0068439882711387309 1 63 2010
0 linear 2 0 35.115237999999998 2.3667291596036724 1 61 34.867426000000002 0.011958999999999999 0.207208 0.0075440000000000004 0.0010250000000000001 0.0030820000000000001 0.0099319999999999999 0.17133200000000001 0.32696999999999998 34.185192999999998 0.085615999999999998 3.6999999999999998e-05 0.041618999999999996 0.0016770000000000001 0.003836 0.13946600000000001 0.030439000000000011 0.0076530000000000018 0 0 0 0 0 0 0 0 0 0 34.784672 34.860298999999998 0.001042 0.0055389999999999997 0.011855000000000001 7.1000000000000005e-05 0.033696999999999998 0 0 0 0 0 7 605
0 linear 2 7 47.787171000000001 2.4102109454225378 1 61 47.480747000000001 0.011727 0.26665500000000003 0.0072320000000000006 0.0010889999999999999 0.0030860000000000002 0.010102999999999999 0.0098809999999999992 0.32531199999999999 46.994992000000003 0.084554000000000004 2.8e-05 0.0098820000000000002 0.0015200000000000001 0.0039130000000000007 0.19212700000000005 0.032385000000000011 0.0097370000000000043 0 1 16 13 0 0 0 0 0 0 47.430095999999999 47.473871000000003 0.0016199999999999999 0.0055430000000000002 0.011941999999999999 5.0000000000000002e-05 0.033127999999999998 1 1 8 0.11055858717162853 1 3 607
0 linear 2 15 47.920907 2.4659804224859272 1 61 47.674657000000003 0.011712999999999999 0.20910799999999996 0.0053670000000000002 0.0011640000000000001 0.0030460000000000001 0.010114 0.0097450000000000002 0.25517600000000001 47.258487000000002 0.085649000000000003 2.5999999999999998e-05 0.0095930000000000008 0.0015219999999999999 0.0038150000000000002 0.14566499999999996 0.031359999999999999 0.0075789999999999998 0 2 19 18 0 0 0 0 0 0 47.624187999999997 47.667819000000001 0.001505 0.0055129999999999997 0.011871 3.8999999999999999e-05 0.033374000000000001 1 1 8 0.0016090859999255856 1 8 628
0 linear 2 23 49.662135999999997 2.5300557252343201 1 61 49.412404000000002 0.012517 0.21331700000000003 0.0050300000000000006 0.0010499999999999999 0.0044330000000000003 0.010685999999999999 0.012846 0.26978799999999997 48.959512000000004 0.094578999999999996 2.0999999999999999e-05 0.010074999999999999 0.001748 0.0039169999999999995 0.15057400000000001 0.030047000000000001 0.0074320000000000002 0 3 17 16 0 0 0 0 0 0 49.357641999999998 49.405268999999997 0.0015560000000000001 0.0056699999999999997 0.012862999999999999 3.8000000000000002e-05 0.039208 1 1 8 0.0026246619501964687 1 12 608
0 linear 3 0 0.67919600000000002 488.05716329461848 1 83 0.487425 0.016801 0.14608900000000005 0.0058899999999999994 0.0014999999999999998 0.0031359999999999999 0.0099760000000000005 0.174037 0.110099 0 0.0038509999999999998 0.001152 0.11176099999999999 0.00069999999999999999 0.0038369999999999997 0.078900999999999985 0.03276900000000002 0.0092830000000000013 0 0 0 0 0.0030569999999999998 1 0 0 14 0 0.32442399999999999 0.48106199999999999 0.001173 0.0019 0.019644999999999999 3.6999999999999998e-05 0.029621000000000001 0 0 0 0 0 59 680
0 linear 3 7 0.62512900000000005 497.79296944733449 1 83 0.39119199999999998 0.015520000000000001 0.19056999999999996 0.0053209999999999993 0.001258 0.0027620000000000001 0.0088830000000000003 0.015699999999999999 0.090816999999999995 0 0.0036329999999999999 0.001029 0.20236299999999996 0.00069099999999999999 0.003656 0.12418799999999999 0.032606000000000003 0.0092770000000000023 0 1 56 56 0.0029780000000000002 1 0 0 14 0 0.14510300000000001 0.38511600000000001 0.0013649999999999999 0.0027269999999999998 0.017691999999999999 2.1999999999999999e-05 0.027459000000000001 2 1 16 0.0088212496358149681 2 43 689
0 linear 3 15 0.64044500000000004 510.01575430523633 1 83 0.40748699999999999 0.015497 0.19020299999999996 0.0050919999999999993 0.001289 0.0024870000000000001 0.0085170000000000003 0.0081239999999999993 0.091689999999999994 0 0.0035339999999999998 0.00101 0.22856000000000001 0.00064300000000000002 0.0035150000000000003 0.12332199999999996 0.032991000000000006 0.0093010000000000054 0 2 54 54 0.0030119999999999999 1 0 0 14 0 0.1368 0.401725 0.0013209999999999999 0.0024710000000000001 0.017319999999999999 2.1999999999999999e-05 0.026324 1 1 8 0.0009877516298322979 1 30 708
0 linear 3 23 0.58477199999999996 523.73782250076636 1 99 0.31476199999999999 0.016910000000000001 0.22060700000000005 0.0062709999999999988 0.0013269999999999998 0.0023259999999999999 0.0081580000000000003 0.0081019999999999998 0.090782000000000002 0 0.0034559999999999999 0.00091200000000000005 0.13871900000000004 0.00066200000000000005 0.0036199999999999995 0.14251099999999997 0.039043000000000022 0.011193999999999994 0 3 68 68 0.0029390000000000002 1 0 0 14 0 0.135521 0.30906299999999998 0.0013140000000000001 0.0023349999999999998 0.016687 2.3e-05 0.026373000000000001 1 1 8 0.0017264993823830933 1 21 843
0 linear 4 0 0.51380400000000004 2.6196476657497758 1 52 0.34176200000000001 0.011801000000000001 0.14346500000000004 0.003444 0.00091300000000000007 0.0028700000000000002 0.0097249999999999993 0.17465900000000001 0.071942000000000006 0 0.013785 0.00099400000000000009 0.00057800000000000006 0.0012819999999999999 0.0033759999999999997 0.095853000000000022 0.022323000000000003 0.0056470000000000001 0 0 0 0 0.0029849999999999998 1 0 0 10 0 0.30235299999999998 0.33541399999999999 0.00077200000000000001 0.0040020000000000003 0.011938000000000001 2.5999999999999998e-05 0.033885999999999999 0 0 0 0 0 0 488
0 linear 4 7 0.35239500000000001 2.5174331937787979 1 52 0.175432 0.010987 0.15008900000000003 0.0028860000000000001 0.00077399999999999995 0.0028600000000000001 0.009195 0.0080300000000000007 0.079143000000000005 0 0.012468 0.00091299999999999997 0.00058099999999999992 0.0011490000000000001 0.0032660000000000007 0.099922999999999984 0.025131000000000001 0.0056569999999999988 0 1 25 24 0.0029919999999999999 1 0 0 10 0 0.13934099999999999 0.16983200000000001 0.001222 0.0039309999999999996 0.010499999999999999 2.3e-05 0.031401999999999999 1 1 8 0.002527145321730481 1 14 486
0 linear 4 15 0.43145499999999998 2.4212389482948047 1 68 0.19067700000000001 0.010485 0.21108199999999999 0.0041019999999999997 0.00085800000000000004 0.0026549999999999998 0.0083309999999999999 0.0079810000000000002 0.098083000000000004 0 0.011908999999999999 0.00078899999999999999 0.00057900000000000009 0.0010610000000000001 0.0031549999999999998 0.14748199999999997 0.03157900000000001 0.0074159999999999998 0 2 28 23 0.0029120000000000001 1 0 0 10 0 0.15662100000000001 0.18543699999999999 0.0011379999999999999 0.0037680000000000001 0.01038 2.3e-05 0.030721999999999999 1 1 8 0.0021007554509754668 1 5 705
0 linear 4 23 0.36077399999999998 2.3408509317784856 1 61 0.15137500000000001 0.010511 0.17758199999999999 0.0040460000000000001 0.00098499999999999976 0.0023990000000000001 0.0080510000000000009 0.008116 0.059281 0 0.011962 0.00088000000000000003 0.00056599999999999999 0.001011 0.0030839999999999999 0.12159100000000005 0.027945000000000011 0.0067029999999999998 0 3 25 23 0.0028649999999999999 1 0 0 10 0 0.118302 0.146231 0.0010970000000000001 0.0037910000000000001 0.010192999999999999 2.1999999999999999e-05 0.030997 1 1 8 0.059615655559615663 1 4 621
0 uniform 0 0 49.591492000000002 6.8139867820913782 1 67 49.317770000000003 0.011946999999999999 0.23813499999999999 0.0045880000000000001 0.0012600000000000001 0.0024350000000000001 0.0093629999999999998 0.17463000000000001 0.32300800000000002 48.612676 0.090924000000000005 3.0000000000000001e-05 0.056681999999999996 0.001663 0.0038509999999999998 0.18949500000000011 0.033442000000000006 0 0 0 0 0 0 0 0 0 0 0 49.221181999999999 49.310971000000002 0.001779 0.0055989999999999998 0.012052 3.8000000000000002e-05 0.038150999999999997 0 0 0 0 0 2 692
0 uniform 0 7 49.495863 6.9223389959685582 1 83 49.151679999999999 0.011805 0.30212399999999995 0.0059410000000000001 0.0014750000000000002 0.003065 0.010363000000000001 0.017125999999999999 0.38158799999999998 48.584775 0.090085999999999999 3.0000000000000001e-05 0.016319 0.001702 0.0037170000000000003 0.23896599999999996 0.04451299999999999 0 0 1 15 15 0 0 0 0 0 0 49.093622000000003 49.144756999999998 0.0017340000000000001 0.0053150000000000003 0.012254999999999999 3.8000000000000002e-05 0.038176000000000002 2 1 16 0.00115407797797932 2 10 903
0 uniform 0 15 49.699935000000004 7.0045054110051712 1 91 49.285477999999998 0.011688 0.36939899999999998 0.0066800000000000002 0.002421 0.0042209999999999999 0.010012999999999999 0.010003 0.25899100000000003 48.781091000000004 0.091949000000000003 2.0000000000000002e-05 0.079723999999999989 0.0016050000000000001 0.0037850000000000006 0.29561500000000002 0.051806000000000005 0 0 2 14 13 0 0 0 0 0 0 49.163144000000003 49.278503999999998 0.0015410000000000001 0.0054679999999999998 0.012253 4.8000000000000001e-05 0.038928999999999998 1 1 8 0.0027134713756958736 1 9 1010
0 uniform 0 23 49.760818 7.0403829421848272 1 91 49.430703999999999 0.011724999999999999 0.29005599999999998 0.0066509999999999989 0.0014550000000000001 0.0030890000000000002 0.01005 0.0097660000000000004 0.40388400000000002 48.816127999999999 0.091925000000000007 2.0999999999999999e-05 0.048661999999999997 0.00165 0.0037699999999999999 0.22740000000000007 0.046791000000000006 0 0 3 13 13 0 0 0 0 0 0 49.340910000000001 49.424016999999999 0.0015410000000000001 0.0051789999999999996 0.012158 5.0000000000000002e-05 0.038397000000000001 1 1 8 0.0030160757831446021 1 6 990
0 uniform 1 0 0.94925199999999998 627.72831737403214 1 105 0.655169 0.012369 0.25323800000000007 0.0062099999999999994 0.0016479999999999999 0.0043379999999999998 0.0097689999999999999 0.17527999999999999 0.13036400000000001 0 0.0039620000000000002 0.0016459999999999999 0.25100600000000001 0.001289 0.0038310000000000002 0.15870599999999996 0.076108000000000051 0 0 0 0 0 0.0032130000000000001 1 0 0 14 0 0.35203699999999999 0.64824599999999999 0.00093599999999999998 0.003591 0.019462999999999998 0.001645 0.032842000000000003 0 0 0 0 0 98 1514
0 uniform 1 7 0.64350399999999996 631.61507920937345 1 105 0.33803499999999997 0.013162999999999999 0.26409000000000005 0.0057829999999999999 0.0015689999999999999 0.002911 0.0093980000000000001 0.0084060000000000003 0.140459 0 0.00347 0.001083 0.10386899999999999 0.0011900000000000001 0.003643 0.17082999999999998 0.075029999999999972 0 0 1 19 19 0.0029580000000000001 1 0 0 14 0 0.19140299999999999 0.33179199999999998 0.001384 0.0035140000000000002 0.014339000000000001 0.0013960000000000001 0.030762000000000001 1 1 8 0.0016863986939356674 1 67 1522
0 uniform 1 15 0.82510799999999995 635.58150147374488 1 128 0.42808000000000002 0.013179 0.35124799999999989 0.0069590000000000016 0.0018600000000000001 0.0026819999999999999 0.0089239999999999996 0.0082480000000000001 0.110511 0 0.0035109999999999998 0.00097199999999999999 0.22542399999999999 0.0011169999999999999 0.0037399999999999998 0.22781699999999999 0.099991999999999928 0 0 2 19 19 0.002957 1 0 0 14 0 0.16117899999999999 0.42182999999999998 0.0012819999999999999 0.0032799999999999999 0.014156 0.001235 0.030901999999999999 1 1 8 0.18679473719266346 1 74 2048
0 uniform 1 23 0.67872399999999999 638.99054014712431 1 128 0.29350900000000002 0.012751 0.34113299999999996 0.0064080000000000005 0.001596 0.002611 0.0085439999999999995 0.0081849999999999996 0.13205500000000001 0 0.0034919999999999999 0.00094200000000000002 0.071711999999999998 0.001057 0.0036579999999999998 0.2185690000000001 0.098489999999999966 0 0 3 19 19 0.0030079999999999998 1 0 0 14 0 0.18198900000000001 0.28752299999999997 0.001266 0.0032309999999999999 0.013752 0.001284 0.030540999999999999 1 1 8 0.0068439882711387309 1 63 2010
