repeat method points cycles ns_per_correction nonfinite
0 0 2082 32 497.85716858789624 0
0 1 2082 32 368.72140670028818 0
1 1 2082 32 368.67472682516808 0
1 0 2082 32 498.41043768011525 0
2 0 2082 32 499.20458093179633 0
2 1 2082 32 367.89101524975985 0
3 1 2082 32 368.77799291546592 0
3 0 2082 32 498.4804875120077 0
4 0 2082 32 497.1505913784822 0
4 1 2082 32 369.03057456772336 0
5 1 2082 32 369.78967038904898 0
5 0 2082 32 497.68728986551395 0
6 0 2082 32 497.81719800672431 0
6 1 2082 32 369.11113112391934 0
7 1 2082 32 369.02057817002884 0
7 0 2082 32 497.69438940922191 0
