case	profile	db	epoch	trajectory_pos	qf_base	qf_candidate	delta
149	linear	1	15	2	0.0	49.482245	49.482245
149	uniform	1	15	2	0.0	49.290044	49.290044
149	uniform	1	23	3	0.0	49.115647	49.115647
149	linear	1	23	3	0.0	48.972588	48.972588
105	uniform	1	15	2	0.0	25.312342	25.312342
105	linear	1	15	2	0.0	25.242444	25.242444
0	linear	0	0	0	52.590707	57.6482	5.057493000000001
0	linear	0	15	2	48.717967	48.8213	0.10333299999999923
144	uniform	2	7	1	2.599429	2.695307	0.09587799999999991
64	linear	0	7	1	19.821692	19.8947	0.07300800000000152
144	linear	2	7	1	2.617519	2.688324	0.070805
0	linear	2	15	2	47.298751	47.366693	0.06794199999999506
64	linear	0	15	2	28.733103	28.787983	0.054880000000000706
0	uniform	0	7	1	48.557756	48.607954	0.05019800000000174
64	uniform	0	0	0	48.79918	48.84387	0.04469000000000278
105	uniform	1	0	0	22.462161	22.506672	0.04451099999999997
0	linear	0	23	3	48.820914	48.864902	0.043987999999998806
0	linear	2	7	1	47.014583	47.057357	0.04277400000000142
0	linear	2	0	0	34.116492	34.138194	0.021701999999997668
49	linear	1	0	0	10.893754	10.907504	0.013749999999999929
64	uniform	0	23	3	17.525832	17.539499	0.013666999999998097
49	uniform	0	0	0	2.111729	2.120058	0.008329000000000253
132	linear	4	0	0	0.183699	0.187453	0.0037540000000000073
49	linear	0	0	0	2.138112	2.140582	0.0024700000000001943
6	linear	2	0	0	1.207474	1.209653	0.002179000000000153
132	uniform	4	0	0	0.172936	0.174479	0.0015429999999999888
6	uniform	4	0	0	2.212446	2.213505	0.0010590000000001432
49	uniform	1	0	0	10.872375	10.873271	0.0008960000000008961
121	uniform	3	7	1	0.0	0.0	0.0
119	uniform	1	15	2	0.0	0.0	0.0
121	uniform	3	15	2	0.0	0.0	0.0
121	uniform	3	23	3	0.0	0.0	0.0
121	uniform	4	0	0	0.0	0.0	0.0
121	uniform	4	7	1	0.0	0.0	0.0
119	uniform	1	7	1	0.0	0.0	0.0
120	uniform	3	0	0	0.0	0.0	0.0
119	uniform	3	0	0	0.0	0.0	0.0
120	uniform	2	15	2	0.0	0.0	0.0
121	linear	1	7	1	0.0	0.0	0.0
121	linear	1	0	0	0.0	0.0	0.0
121	uniform	0	15	2	0.0	0.0	0.0
121	linear	0	23	3	0.0	0.0	0.0
121	linear	0	15	2	0.0	0.0	0.0
121	linear	0	7	1	0.0	0.0	0.0
119	linear	0	0	0	0.0	0.0	0.0
121	uniform	1	0	0	0.0	0.0	0.0
118	uniform	4	23	3	0.0	0.0	0.0
120	uniform	2	23	3	0.0	0.0	0.0
120	linear	0	15	2	0.0	0.0	0.0
120	linear	0	7	1	0.0	0.0	0.0
119	uniform	1	0	0	0.0	0.0	0.0
119	uniform	0	23	3	0.0	0.0	0.0
119	uniform	0	15	2	0.0	0.0	0.0
119	uniform	4	7	1	0.0	0.0	0.0
119	uniform	4	0	0	0.0	0.0	0.0
119	uniform	3	23	3	0.0	0.0	0.0
119	uniform	3	15	2	0.0	0.0	0.0
119	uniform	1	23	3	0.0	0.0	0.0
121	linear	0	0	0	0.0	0.0	0.0
120	linear	0	23	3	0.0	0.0	0.0
120	linear	1	0	0	0.0	0.0	0.0
120	linear	1	7	1	0.0	0.0	0.0
119	uniform	2	15	2	0.0	0.0	0.0
120	uniform	4	23	3	0.0	0.0	0.0
120	uniform	4	15	2	0.0	0.0	0.0
119	uniform	2	23	3	0.0	0.0	0.0
119	uniform	2	7	1	0.0	0.0	0.0
119	uniform	2	0	0	0.0	0.0	0.0
119	uniform	3	7	1	0.0	0.0	0.0
120	linear	2	7	1	0.0	0.0	0.0
118	linear	2	0	0	0.0	0.0	0.0
118	linear	1	23	3	0.0	0.0	0.0
118	linear	1	15	2	0.0	0.0	0.0
118	uniform	0	7	1	0.0	0.0	0.0
118	uniform	0	0	0	0.0	0.0	0.0
118	linear	4	23	3	0.0	0.0	0.0
118	linear	4	15	2	0.0	0.0	0.0
118	linear	4	7	1	0.0	0.0	0.0
118	linear	0	0	0	0.0	0.0	0.0
117	uniform	4	23	3	0.0	0.0	0.0
117	uniform	4	15	2	0.0	0.0	0.0
118	linear	3	7	1	0.0	0.0	0.0
121	uniform	0	23	3	0.0	0.0	0.0
118	linear	2	23	3	0.0	0.0	0.0
118	linear	2	15	2	0.0	0.0	0.0
118	linear	2	7	1	0.0	0.0	0.0
119	linear	4	0	0	0.0	0.0	0.0
119	linear	3	23	3	0.0	0.0	0.0
119	linear	3	15	2	0.0	0.0	0.0
118	linear	1	7	1	0.0	0.0	0.0
118	linear	1	0	0	0.0	0.0	0.0
118	linear	0	23	3	0.0	0.0	0.0
118	linear	0	15	2	0.0	0.0	0.0
118	linear	0	7	1	0.0	0.0	0.0
119	linear	2	0	0	0.0	0.0	0.0
119	linear	1	15	2	0.0	0.0	0.0
118	linear	3	0	0	0.0	0.0	0.0
118	uniform	4	15	2	0.0	0.0	0.0
119	linear	3	7	1	0.0	0.0	0.0
119	linear	3	0	0	0.0	0.0	0.0
119	linear	2	23	3	0.0	0.0	0.0
119	linear	2	15	2	0.0	0.0	0.0
119	linear	2	7	1	0.0	0.0	0.0
118	uniform	3	0	0	0.0	0.0	0.0
118	uniform	2	23	3	0.0	0.0	0.0
118	uniform	2	15	2	0.0	0.0	0.0
119	linear	1	7	1	0.0	0.0	0.0
119	linear	1	0	0	0.0	0.0	0.0
119	linear	0	23	3	0.0	0.0	0.0
119	linear	0	15	2	0.0	0.0	0.0
120	linear	2	15	2	0.0	0.0	0.0
120	linear	2	0	0	0.0	0.0	0.0
120	linear	1	23	3	0.0	0.0	0.0
120	linear	1	15	2	0.0	0.0	0.0
118	uniform	4	7	1	0.0	0.0	0.0
118	uniform	4	0	0	0.0	0.0	0.0
118	uniform	3	23	3	0.0	0.0	0.0
118	uniform	3	15	2	0.0	0.0	0.0
118	uniform	3	7	1	0.0	0.0	0.0
120	linear	0	0	0	0.0	0.0	0.0
119	uniform	4	23	3	0.0	0.0	0.0
119	uniform	4	15	2	0.0	0.0	0.0
120	linear	3	7	1	0.0	0.0	0.0
120	linear	3	0	0	0.0	0.0	0.0
120	linear	2	23	3	0.0	0.0	0.0
119	linear	0	7	1	0.0	0.0	0.0
122	uniform	0	0	0	0.0	0.0	0.0
122	linear	4	23	3	0.0	0.0	0.0
122	linear	4	15	2	0.0	0.0	0.0
122	linear	4	7	1	0.0	0.0	0.0
122	linear	0	0	0	0.0	0.0	0.0
121	uniform	4	23	3	0.0	0.0	0.0
121	uniform	4	15	2	0.0	0.0	0.0
122	linear	3	7	1	0.0	0.0	0.0
122	linear	3	0	0	0.0	0.0	0.0
122	linear	2	23	3	0.0	0.0	0.0
122	linear	2	15	2	0.0	0.0	0.0
122	linear	2	7	1	0.0	0.0	0.0
123	linear	4	0	0	0.0	0.0	0.0
119	linear	1	23	3	0.0	0.0	0.0
123	linear	3	15	2	0.0	0.0	0.0
122	linear	1	7	1	0.0	0.0	0.0
122	linear	1	0	0	0.0	0.0	0.0
122	linear	0	23	3	0.0	0.0	0.0
122	linear	0	15	2	0.0	0.0	0.0
122	linear	0	7	1	0.0	0.0	0.0
123	linear	2	0	0	0.0	0.0	0.0
123	linear	1	23	3	0.0	0.0	0.0
123	linear	1	15	2	0.0	0.0	0.0
123	uniform	0	7	1	0.0	0.0	0.0
123	uniform	0	0	0	0.0	0.0	0.0
123	linear	4	23	3	0.0	0.0	0.0
123	linear	4	15	2	0.0	0.0	0.0
123	linear	3	23	3	0.0	0.0	0.0
123	linear	2	7	1	0.0	0.0	0.0
122	uniform	2	23	3	0.0	0.0	0.0
