sample	physical_oracle	physical0	physical2	physical4
0	6	0	0	0
1	6	0	0	0
2	6	0	0	0
3	6	0	0	0
4	7	4	5	5
5	8	4	4	6
6	8	4	4	6
7	8	4	4	6
8	6	0	0	0
9	6	0	0	0
10	6	0	0	0
11	6	0	0	0
12	10	2	2	2
13	10	2	2	2
14	10	2	2	2
15	10	2	2	2
16	6	0	0	0
17	6	0	0	0
18	6	0	0	0
19	6	0	0	0
20	6	0	0	0
21	6	0	0	0
22	6	0	0	0
23	6	0	0	0
24	7	4	5	5
25	8	4	4	6
26	8	4	4	6
27	8	4	4	6
28	6	0	0	0
29	6	0	0	0
30	6	0	0	0
31	6	0	0	0
32	10	2	2	2
33	10	2	2	2
34	10	2	2	2
35	10	2	2	2
36	6	0	0	0
37	6	0	0	0
38	6	0	0	0
39	6	0	0	0
40	8	0	0	0
41	8	0	0	0
42	8	0	0	0
43	8	0	0	0
44	8	0	0	0
45	8	0	0	0
46	8	0	0	0
47	8	0	0	0
48	8	0	0	0
49	10	0	0	0
50	10	0	0	0
51	10	0	0	0
52	10	0	0	0
53	10	0	0	0
54	10	0	0	0
55	10	0	0	0
56	6	0	0	0
57	6	0	0	0
58	6	0	0	0
59	6	0	0	0
60	8	0	0	0
61	8	0	0	0
62	8	0	0	0
63	8	0	0	0
64	8	0	0	0
65	8	0	0	0
66	8	0	0	0
67	8	0	0	0
68	8	0	0	0
69	10	0	0	0
70	10	0	0	0
71	10	0	0	0
72	10	0	0	0
73	10	0	0	0
74	10	0	0	0
75	10	0	0	0
76	6	0	0	0
77	6	0	0	0
78	6	0	0	0
79	6	0	0	0
80	8	0	0	0
81	8	0	0	0
82	8	0	0	0
83	8	0	0	0
84	8	0	0	0
85	8	0	0	0
86	8	0	0	0
87	8	0	0	0
88	6	0	0	0
89	6	0	0	0
90	6	0	0	0
91	6	0	0	0
92	6	0	0	2
93	6	0	0	2
94	6	0	0	2
95	6	0	0	2
96	6	0	0	4
97	6	0	0	4
98	6	0	0	4
99	6	0	1	4
100	8	0	0	0
101	8	0	0	0
102	8	0	0	0
103	8	0	0	0
104	8	0	0	0
105	8	0	0	0
106	8	0	0	0
107	8	0	0	0
108	6	0	0	0
109	6	0	0	0
110	6	0	0	0
111	6	0	0	0
112	6	0	0	2
113	6	0	0	2
114	6	0	0	2
115	6	0	0	2
116	6	0	0	4
117	6	0	0	4
118	6	0	0	4
119	6	0	1	4
120	6	0	0	0
121	6	0	0	0
122	6	0	0	0
123	6	0	0	0
124	4	0	0	0
125	4	0	0	0
126	4	0	0	0
127	4	0	0	0
128	6	0	0	0
129	6	0	0	0
130	6	0	0	0
131	6	0	0	0
132	6	0	0	0
133	6	0	0	0
134	6	0	0	0
135	6	0	0	0
136	6	0	0	0
137	6	0	0	0
138	6	0	0	0
139	6	0	0	0
140	6	0	0	0
141	6	0	0	0
142	6	0	0	0
143	6	0	0	0
144	4	0	0	0
145	4	0	0	0
146	4	0	0	0
147	4	0	0	0
148	6	0	0	0
149	6	0	0	0
150	6	0	0	0
151	6	0	0	0
152	6	0	0	0
153	6	0	0	0
154	6	0	0	0
155	6	0	0	0
156	6	0	0	0
157	6	0	0	0
158	6	0	0	0
159	6	0	0	0
160	8	8	8	8
161	8	8	8	8
162	8	8	8	8
163	8	8	8	8
164	7	0	0	1
165	6	0	0	0
166	7	0	0	1
167	8	0	0	2
168	8	2	2	4
169	8	2	2	4
170	8	2	2	4
171	8	2	2	3
172	6	0	0	0
173	6	0	0	0
174	6	0	0	0
175	6	0	0	0
176	6	0	0	0
177	6	0	0	0
178	6	0	0	0
179	6	0	0	0
180	8	8	8	8
181	8	8	8	8
182	8	8	8	8
183	8	8	8	8
184	7	0	0	1
185	6	0	0	0
186	7	0	0	1
187	8	0	0	2
188	8	2	2	4
189	8	2	2	4
190	8	2	2	4
191	8	2	2	3
192	6	0	0	0
193	6	0	0	0
194	6	0	0	0
195	6	0	0	0
196	6	0	0	0
197	6	0	0	0
198	6	0	0	0
199	6	0	0	0
200	6	0	4	5
201	6	0	5	5
202	8	0	2	5
203	8	0	3	6
204	6	0	1	3
205	6	0	1	3
206	6	0	1	2
207	6	0	2	2
208	6	0	2	3
209	6	0	2	3
210	6	0	1	3
211	6	0	2	3
212	6	3	5	6
213	6	4	5	6
214	6	4	5	6
215	6	3	5	6
216	6	0	2	3
217	6	0	2	3
218	6	0	2	3
219	6	0	2	3
220	6	0	4	5
221	6	0	5	5
222	8	0	2	5
223	8	0	3	6
224	6	0	1	3
225	6	0	1	3
226	6	0	1	2
227	6	0	2	2
228	6	0	2	3
229	6	0	2	3
230	6	0	1	3
231	6	0	2	3
232	6	3	5	6
233	6	4	5	6
234	6	4	5	6
235	6	3	5	6
236	6	0	2	3
237	6	0	2	3
238	6	0	2	3
239	6	0	2	3
240	6	0	4	5
241	6	0	3	5
242	6	0	3	5
243	8	0	3	6
244	6	4	6	6
245	6	4	6	6
246	6	4	6	6
247	6	4	6	6
248	6	2	6	6
249	8	2	7	7
250	6	0	4	5
251	6	0	4	5
252	10	2	8	9
253	10	1	8	10
254	10	2	8	9
255	8	2	6	7
256	6	0	2	2
257	6	0	2	2
258	6	0	2	2
259	6	0	2	2
260	6	0	4	5
261	6	0	3	5
262	6	0	3	5
263	8	0	3	6
264	6	4	6	6
265	6	4	6	6
266	6	4	6	6
267	6	4	6	6
268	6	2	6	6
269	8	2	7	7
270	6	0	4	5
271	6	0	4	5
272	10	2	8	9
273	10	1	8	10
274	10	2	8	9
275	8	2	6	7
276	6	0	2	2
277	6	0	2	2
278	6	0	2	2
279	6	0	2	2
280	5	4	5	5
281	4	4	4	4
282	4	4	4	4
283	4	4	4	4
284	6	0	0	0
285	6	0	0	0
286	6	0	0	0
287	6	0	0	0
288	6	2	2	2
289	6	2	2	2
290	6	2	2	2
291	6	2	2	2
292	6	2	2	2
