sample low_sweeps factor_ms split_ms refine2_ms refine4_ms finite0 finite2 finite4 physical0 physical2 physical4 classify_ms
0 35 0.113945 0.058833999999999997 0.20207700000000001 0.18108199999999999 14 14 14 0 0 0 0.010148000000000001
1 35 0.059607 0.043172000000000002 0.18345800000000001 0.184364 14 14 14 0 0 0 0.0077949999999999998
2 35 0.058559 0.043348999999999999 0.184339 0.17505000000000001 14 14 14 0 0 0 0.0076049999999999998
3 35 0.059230999999999999 0.041466000000000003 0.18687100000000001 0.18396000000000001 14 14 14 0 0 0 0.0075290000000000001
4 137 0.27754499999999999 0.045164999999999997 0.184249 0.166937 14 14 14 4 5 5 0.78344400000000003
5 160 0.27876000000000001 0.040507000000000001 0.17416200000000001 0.166572 14 14 14 4 4 6 0.50171699999999997
6 160 0.25949899999999998 0.041756000000000001 0.171542 0.16578300000000001 14 14 14 4 4 6 0.80402399999999996
7 160 0.27395399999999998 0.038655000000000002 0.168409 0.16205600000000001 14 14 14 4 4 6 0.62178600000000006
8 35 0.060074000000000002 0.045393999999999997 0.19896 0.187584 14 14 14 0 0 0 0.0079170000000000004
9 35 0.059110999999999997 0.042096000000000001 0.18215000000000001 0.17563200000000001 14 14 14 0 0 0 0.0075969999999999996
10 35 0.059005000000000002 0.043553000000000001 0.19115299999999999 0.17982600000000001 14 14 14 0 0 0 0.0074350000000000006
11 35 0.060278999999999999 0.040419999999999998 0.18077199999999999 0.179067 14 14 14 0 0 0 0.007451000000000001
12 91 0.12935099999999999 0.043611999999999998 0.18040500000000001 0.16605600000000001 14 14 14 2 2 2 0.0047289999999999997
13 91 0.071036000000000002 0.041398999999999998 0.16533999999999999 0.160416 14 14 14 2 2 2 0.0043400000000000001
14 91 0.126581 0.041306000000000002 0.16872400000000001 0.160021 14 14 14 2 2 2 0.0042680000000000001
15 91 0.120682 0.039316999999999998 0.169682 0.23175000000000001 14 14 14 2 2 2 0.004561
16 35 0.060547999999999998 0.045075999999999998 0.19794600000000001 0.185387 14 14 14 0 0 0 0.0076620000000000004
17 35 0.0608 0.042992000000000002 0.189165 0.18634899999999999 14 14 14 0 0 0 0.0075959999999999995
18 35 0.059873999999999997 0.042935000000000001 0.179978 0.18038499999999999 14 14 14 0 0 0 0.0073710000000000008
19 35 0.060144999999999997 0.041387 0.18289 0.17888000000000001 14 14 14 0 0 0 0.007522
20 35 0.057239999999999999 0.041866 0.18295700000000001 0.17614299999999999 14 14 14 0 0 0 0.0072890000000000003
21 35 0.058058999999999999 0.041949 0.18757599999999999 0.18027799999999999 14 14 14 0 0 0 0.0073139999999999993
22 35 0.058798999999999997 0.040854000000000001 0.17830699999999999 0.179615 14 14 14 0 0 0 0.007585999999999999
23 35 0.059311999999999997 0.042333999999999997 0.186975 0.17429500000000001 14 14 14 0 0 0 0.0073819999999999997
24 137 0.27704800000000002 0.044921000000000003 0.183507 0.172712 14 14 14 4 5 5 0.80081500000000005
25 160 0.29048099999999999 0.041655999999999999 0.174211 0.164599 14 14 14 4 4 6 0.48560500000000001
26 160 0.25161899999999998 0.040320000000000002 0.17310300000000001 0.16731199999999999 14 14 14 4 4 6 0.80221500000000001
27 160 0.27267200000000003 0.039348000000000001 0.16938300000000001 0.16209299999999999 14 14 14 4 4 6 0.618676
28 35 0.061731000000000001 0.045627000000000001 0.200685 0.18828800000000001 14 14 14 0 0 0 0.0074609999999999998
29 35 0.058932999999999999 0.041159000000000001 0.18396299999999999 0.17746799999999999 14 14 14 0 0 0 0.0073969999999999999
30 35 0.060941000000000002 0.042856999999999999 0.18571299999999999 0.18104700000000001 14 14 14 0 0 0 0.007391
31 35 0.064026 0.041839000000000001 0.18428900000000001 0.17771300000000001 14 14 14 0 0 0 0.0075319999999999996
32 91 0.126749 0.043761000000000001 0.18268000000000001 0.166292 14 14 14 2 2 2 0.004633
