sample stage prepare_ms correction_ms screen_ms interval_ms finite screened certified
1 0 0.030470000000000001 0 0.014558 0 1 0 0
1 1 0.030470000000000001 0.011941999999999999 0.0082159999999999993 0 1 0 0
1 2 0.030470000000000001 0.018414 0.0074939999999999998 0 1 0 0
2 0 0.013413 0 0.0076270000000000001 0 1 0 0
2 1 0.013413 0.006483 0.0074799999999999997 0 1 0 0
2 2 0.013413 0.012913000000000001 0.0073419999999999996 0 1 0 0
3 0 0.011252 0 0.0071890000000000001 0 1 0 0
3 1 0.011252 0.0064980000000000003 0.0073460000000000001 0 1 0 0
3 2 0.011252 0.012973999999999999 0.0072940000000000001 0 1 0 0
5 0 0.013971000000000001 0 0.006502 0 1 0 0
5 1 0.013971000000000001 0.0064980000000000003 0.0062300000000000003 0 1 0 0
5 2 0.013971000000000001 0.012952999999999999 0.0059899999999999997 0 1 0 0
6 0 0.011158 0 0.0063369999999999998 0 1 0 0
6 1 0.011158 0.0064929999999999996 0.0061190000000000003 0 1 0 0
6 2 0.011158 0.012962999999999999 0.0063680000000000004 0 1 0 0
7 0 0.010233000000000001 0 0.0060429999999999998 0 1 0 0
7 1 0.010233000000000001 0.0065290000000000001 0.0074149999999999997 0 1 0 0
7 2 0.010233000000000001 0.012973999999999999 0.0059449999999999998 0 1 0 0
9 0 0.011361 0 0.0076140000000000001 0 1 0 0
9 1 0.011361 0.0064530000000000004 0.0074770000000000001 0 1 0 0
9 2 0.011361 0.012905 0.0073790000000000001 0 1 0 0
10 0 0.009868 0 0.0072500000000000004 0 1 0 0
10 1 0.009868 0.0064489999999999999 0.0073940000000000004 0 1 0 0
10 2 0.009868 0.012886 0.0073670000000000003 0 1 0 0
11 0 0.014 0 0.0072449999999999997 0 1 0 0
11 1 0.014 0.0065139999999999998 0.0073709999999999999 0 1 0 0
11 2 0.014 0.012957 0.0073429999999999997 0 1 0 0
13 0 0.012747 0 0.0021540000000000001 0 1 0 0
13 1 0.012747 0.0064650000000000003 0.0022049999999999999 0 1 0 0
13 2 0.012747 0.012893999999999999 0.0020309999999999998 0 1 0 0
14 0 0.0098230000000000001 0 0.0022030000000000001 0 1 0 0
14 1 0.0098230000000000001 0.0064669999999999997 0.00216 0 1 0 0
14 2 0.0098230000000000001 0.012919 0.00214 0 1 0 0
15 0 0.0089200000000000008 0 0.0020430000000000001 0 1 0 0
15 1 0.0089200000000000008 0.006489 0.0021459999999999999 0 1 0 0
15 2 0.0089200000000000008 0.012929 0.0021210000000000001 0 1 0 0
17 0 0.010008 0 0.0099330000000000009 0 1 0 0
17 1 0.010008 0.0064689999999999999 0.020896000000000001 0.97062700000000002 1 1 1
17 2 0.010008 0.012989000000000001 0.021131 0.93089500000000003 1 1 1
18 0 0.013773000000000001 0 0.011419 0 1 0 0
18 1 0.013773000000000001 0.0065490000000000001 0.021042999999999999 0.93038799999999999 1 1 1
18 2 0.013773000000000001 0.014284999999999999 0.020506 0.92301900000000003 1 1 1
19 0 0.014056000000000001 0 0.011042 0 1 0 0
19 1 0.014056000000000001 0.0076449999999999999 0.020464 0.92541099999999998 1 1 1
19 2 0.014056000000000001 0.015296000000000001 0.017226999999999999 0 1 0 0
21 0 0.013313999999999999 0 0.0079100000000000004 0 1 0 0
21 1 0.013313999999999999 0.0076790000000000001 0.0076049999999999998 0 1 0 0
21 2 0.013313999999999999 0.015325 0.0074539999999999997 0 1 0 0
22 0 0.010956 0 0.0074679999999999998 0 1 0 0
22 1 0.010956 0.0076689999999999996 0.0074099999999999999 0 1 0 0
22 2 0.010956 0.015321999999999999 0.0073749999999999996 0 1 0 0
23 0 0.010692999999999999 0 0.0072350000000000001 0 1 0 0
23 1 0.010692999999999999 0.0076709999999999999 0.0073169999999999997 0 1 0 0
23 2 0.010692999999999999 0.015311 0.0072370000000000004 0 1 0 0
25 0 0.014071999999999999 0 0.0063629999999999997 0 1 0 0
25 1 0.014071999999999999 0.0076740000000000003 0.0062769999999999996 0 1 0 0
25 2 0.014071999999999999 0.015287 0.0060159999999999996 0 1 0 0
26 0 0.010758 0 0.0061219999999999998 0 1 0 0
26 1 0.010758 0.0076429999999999996 0.0060540000000000004 0 1 0 0
26 2 0.010758 0.015275 0.0063020000000000003 0 1 0 0
27 0 0.0104 0 0.0058450000000000004 0 1 0 0
27 1 0.0104 0.0076519999999999999 0.0073769999999999999 0 1 0 0
27 2 0.0104 0.015283 0.0060910000000000001 0 1 0 0
29 0 0.011152 0 0.0075129999999999997 0 1 0 0
29 1 0.011152 0.0076699999999999997 0.0075399999999999998 0 1 0 0
29 2 0.011152 0.015321999999999999 0.0073930000000000003 0 1 0 0
30 0 0.0099389999999999999 0 0.0072290000000000002 0 1 0 0
30 1 0.0099389999999999999 0.0076899999999999998 0.0073829999999999998 0 1 0 0
30 2 0.0099389999999999999 0.01532 0.0073020000000000003 0 1 0 0
31 0 0.0099380000000000007 0 0.0071590000000000004 0 1 0 0
