sample stage prepare_ms correction_ms screen_ms interval_ms finite screened certified
1 0 0.031035 0 0.014068000000000001 0 1 0 0
1 1 0.031035 0.01191 0.0079509999999999997 0 1 0 0
1 2 0.031035 0.018574 0.0074419999999999998 0 1 0 0
2 0 0.013494000000000001 0 0.0076270000000000001 0 1 0 0
2 1 0.013494000000000001 0.0066870000000000002 0.0074970000000000002 0 1 0 0
2 2 0.013494000000000001 0.013372999999999999 0.0073639999999999999 0 1 0 0
3 0 0.010913000000000001 0 0.0071900000000000002 0 1 0 0
3 1 0.010913000000000001 0.0067039999999999999 0.0073470000000000002 0 1 0 0
3 2 0.010913000000000001 0.013379 0.0073870000000000003 0 1 0 0
5 0 0.014078 0 0.0064710000000000002 0 1 0 0
5 1 0.014078 0.0066670000000000002 0.0062069999999999998 0 1 0 0
5 2 0.014078 0.013334 0.0060229999999999997 0 1 0 0
6 0 0.010593 0 0.0061380000000000002 0 1 0 0
6 1 0.010593 0.006679 0.0060530000000000002 0 1 0 0
6 2 0.010593 0.013402000000000001 0.0063759999999999997 0 1 0 0
7 0 0.0099850000000000008 0 0.0059189999999999998 0 1 0 0
7 1 0.0099850000000000008 0.0066540000000000002 0.007326 0 1 0 0
7 2 0.0099850000000000008 0.013344 0.0059670000000000001 0 1 0 0
9 0 0.011067 0 0.0075290000000000001 0 1 0 0
9 1 0.011067 0.0067130000000000002 0.0074549999999999998 0 1 0 0
9 2 0.011067 0.013381000000000001 0.0073429999999999997 0 1 0 0
10 0 0.0095890000000000003 0 0.0072269999999999999 0 1 0 0
10 1 0.0095890000000000003 0.0066819999999999996 0.0073070000000000001 0 1 0 0
10 2 0.0095890000000000003 0.013340999999999999 0.0074130000000000003 0 1 0 0
11 0 0.0091809999999999999 0 0.0071640000000000002 0 1 0 0
11 1 0.0091809999999999999 0.006685 0.0073749999999999996 0 1 0 0
11 2 0.0091809999999999999 0.013356 0.00728 0 1 0 0
13 0 0.01221 0 0.0021570000000000001 0 1 0 0
13 1 0.01221 0.0066540000000000002 0.0021940000000000002 0 1 0 0
13 2 0.01221 0.013334 0.0020140000000000002 0 1 0 0
14 0 0.0099729999999999992 0 0.0021450000000000002 0 1 0 0
14 1 0.0099729999999999992 0.006705 0.0022190000000000001 0 1 0 0
14 2 0.0099729999999999992 0.013382999999999999 0.0021180000000000001 0 1 0 0
15 0 0.0092449999999999997 0 0.0020100000000000001 0 1 0 0
15 1 0.0092449999999999997 0.0067060000000000002 0.0021380000000000001 0 1 0 0
15 2 0.0092449999999999997 0.013361999999999999 0.0021380000000000001 0 1 0 0
17 0 0.0096279999999999994 0 0.0098329999999999997 0 1 0 0
17 1 0.0096279999999999994 0.0066660000000000001 0.021158 0.780999 1 1 1
17 2 0.0096279999999999994 0.013439 0.021305000000000001 0.74162399999999995 1 1 1
18 0 0.014496 0 0.011096999999999999 0 1 0 0
18 1 0.014496 0.0067520000000000002 0.021017999999999998 0.73828400000000005 1 1 1
18 2 0.014496 0.013469 0.020702999999999999 0.73726800000000003 1 1 1
19 0 0.014815999999999999 0 0.011017000000000001 0 1 0 0
19 1 0.014815999999999999 0.0068539999999999998 0.021623 0.742421 1 1 1
19 2 0.014815999999999999 0.013816 0.021387 0 1 0 0
21 0 0.013542999999999999 0 0.0078919999999999997 0 1 0 0
21 1 0.013542999999999999 0.0068589999999999996 0.0087530000000000004 0 1 0 0
21 2 0.013542999999999999 0.013854 0.0085249999999999996 0 1 0 0
22 0 0.011476999999999999 0 0.0074060000000000003 0 1 0 0
22 1 0.011476999999999999 0.0069410000000000001 0.0085839999999999996 0 1 0 0
