sample stage prepare_ms correction_ms screen_ms interval_ms finite screened certified
1 0 0.028523 0 0.014258 0 1 0 0
1 1 0.028523 0.012291 0.0079769999999999997 0 1 0 0
1 2 0.028523 0.020059 0.0074799999999999997 0 1 0 0
2 0 0.01489 0 0.0074929999999999997 0 1 0 0
2 1 0.01489 0.0078499999999999993 0.0073769999999999999 0 1 0 0
2 2 0.01489 0.015608 0.0074149999999999997 0 1 0 0
3 0 0.012579 0 0.0071339999999999997 0 1 0 0
3 1 0.012579 0.0078720000000000005 0.0073200000000000001 0 1 0 0
3 2 0.012579 0.015657000000000001 0.0073080000000000003 0 1 0 0
5 0 0.015626999999999999 0 0.0063299999999999997 0 1 0 0
5 1 0.015626999999999999 0.0078519999999999996 0.0062220000000000001 0 1 0 0
5 2 0.015626999999999999 0.015599 0.0059849999999999999 0 1 0 0
6 0 0.012331 0 0.00613 0 1 0 0
6 1 0.012331 0.0078709999999999995 0.0060559999999999998 0 1 0 0
6 2 0.012331 0.015675999999999999 0.0063709999999999999 0 1 0 0
7 0 0.011639999999999999 0 0.0058849999999999996 0 1 0 0
7 1 0.011639999999999999 0.0077910000000000002 0.0074359999999999999 0 1 0 0
7 2 0.011639999999999999 0.015492000000000001 0.0060060000000000001 0 1 0 0
9 0 0.012763 0 0.00745 0 1 0 0
9 1 0.012763 0.0078370000000000002 0.0074289999999999998 0 1 0 0
9 2 0.012763 0.015568 0.0073940000000000004 0 1 0 0
10 0 0.010888999999999999 0 0.0072030000000000002 0 1 0 0
10 1 0.010888999999999999 0.0077759999999999999 0.0072909999999999997 0 1 0 0
10 2 0.010888999999999999 0.015453 0.0073709999999999999 0 1 0 0
11 0 0.010810999999999999 0 0.007149 0 1 0 0
11 1 0.010810999999999999 0.0078189999999999996 0.0073680000000000004 0 1 0 0
11 2 0.010810999999999999 0.015497 0.0073270000000000002 0 1 0 0
13 0 0.014272 0 0.0021059999999999998 0 1 0 0
13 1 0.014272 0.0077679999999999997 0.0022659999999999998 0 1 0 0
13 2 0.014272 0.015505999999999999 0.002075 0 1 0 0
14 0 0.01184 0 0.0021210000000000001 0 1 0 0
14 1 0.01184 0.0078480000000000008 0.002199 0 1 0 0
14 2 0.01184 0.015651999999999999 0.0021870000000000001 0 1 0 0
15 0 0.010555 0 0.001977 0 1 0 0
15 1 0.010555 0.0078589999999999997 0.0021510000000000001 0 1 0 0
15 2 0.010555 0.015671000000000001 0.002104 0 1 0 0
17 0 0.012024 0 0.0099839999999999998 0 1 0 0
17 1 0.012024 0.0078200000000000006 0.02077 0.14691299999999999 1 1 0
