case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid rootpair_calls rootpair_success rootpair_cold predictor_reject newton_reject branch_reject tmax_reject vfloor_reject newton_iterations newton_pairs_accepted quartic_cold quartic_warm rootpair_ms
0 linear 0 0 65.661776000000003 7.0379226907888537 1 67 64.470269999999999 0.03031 0.22892500000000002 0.0074009999999999996 0.0017539999999999999 0.0092750000000000003 0.021292999999999999 0.189358 0.343754 63.611551999999996 0.10852899999999999 2.8e-05 0.062420999999999997 0.0079019999999999993 0.012378000000000002 0.15384699999999996 0.032882000000000002 0.0089310000000000014 0 0 0 0 0 0 0 0 0 0 64.264849999999996 64.434040999999993 0.012015 0.010541999999999999 0.014022000000000001 0.00062799999999999998 0 0 0 0 0 0 54 13 41 2 10 12 0 6 65 13 5 49 0.11581499999999997
0 linear 0 7 65.621906999999993 7.165175685042759 1 83 65.151568999999995 0.022799 0.37807199999999991 0.010801999999999999 0.0024599999999999999 0.0062820000000000003 0.015505 0.021336999999999998 0.36844100000000002 64.549618999999993 0.10137499999999999 2.6999999999999999e-05 0.022341999999999997 0.0067130000000000002 0.0060550000000000014 0.27218300000000001 0.047362000000000001 0.011962000000000004 0 1 15 15 0 0 0 0 0 0 65.036372999999998 65.130742999999995 0.0042900000000000004 0.0091280000000000007 0.017940999999999999 0.00082799999999999996 0 2 1 16 0.00115407797797932 2 61 15 46 2 11 13 0 7 71 15 5 63 0.18421700000000002
0 linear 0 15 69.861485999999999 7.2540425509600803 1 91 69.364913999999999 0.023216000000000001 0.41556100000000012 0.010903999999999999 0.002529 0.006875 0.020417999999999999 0.014768999999999999 0.26056099999999999 68.808644000000001 0.094713999999999993 2.8e-05 0.086044000000000009 0.0063920000000000001 0.0079350000000000011 0.30402299999999999 0.053159999999999999 0.013115999999999999 0 2 13 13 0 0 0 0 0 0 69.177375999999995 69.342798999999999 0.0060829999999999999 0.0099659999999999992 0.019241000000000001 0.00062200000000000005 0 1 1 8 0.0027134713756958736 1 63 13 50 2 16 18 0 6 92 13 5 73 0.19949900000000007
0 linear 0 23 69.987690999999998 7.2793514851610421 1 91 69.564393999999993 0.023710999999999999 0.35400300000000001 0.009674000000000002 0.0019719999999999998 0.0095049999999999996 0.026318000000000001 0.014130999999999999 0.38187399999999999 68.908901999999998 0.095452000000000009 3.1999999999999999e-05 0.055739999999999998 0.0060819999999999997 0.0066289999999999995 0.24589899999999998 0.048485000000000014 0.013788000000000009 0 3 13 13 0 0 0 0 0 0 69.401713999999998 69.54468 0.0088030000000000001 0.0097339999999999996 0.019814999999999999 0.00062699999999999995 0 1 1 8 0.0030160757831446021 1 67 13 54 3 21 24 0 7 119 13 5 73 0.17619699999999996
0 linear 1 0 5.1695529999999996 589.76731831372365 1 105 0.670489 0.015570000000000001 4.3954250000000012 0.011801000000000001 0.0024729999999999995 0.0090819999999999998 0.027005000000000001 0.17887800000000001 0.130409 0 0.01217 0.001485 0.25170899999999996 0.0021359999999999999 0.0039809999999999993 4.2085380000000017 0.093974999999999878 0.021202000000000002 0 0 0 0 0.0066829999999999997 1 0 0 14 0 0.34110000000000001 0.659999 0.0048929999999999998 0.0041289999999999999 0.015565000000000001 0.0032650000000000001 0 0 0 0 0 0 74 45 29 4 3 8 0 3 232 65 7 53 0.098069000000000045
0 linear 1 7 0.758158 593.09247526628167 1 105 0.379519 0.021506999999999998 0.32758399999999993 0.0063019999999999994 0.00148 0.0083359999999999997 0.017888999999999999 0.012784999999999999 0.151586 0 0.0059319999999999998 0.0020179999999999998 0.105032 0.0028500000000000001 0.0057060000000000001 0.17150899999999991 0.076470000000000052 0.017503000000000019 0 1 19 19 0.0039839999999999997 1 0 0 14 0 0.191358 0.36596499999999998 0.0073200000000000001 0.0053740000000000003 0.017813999999999997 0.0046820000000000004 0 1 1 8 0.0016863986939356674 1 74 45 29 4 3 8 0 3 232 65 7 53 0.092470000000000038
0 linear 1 15 0.90108200000000005 596.53003682974679 1 128 0.40004499999999998 0.01321 0.44015400000000005 0.007392000000000001 0.0017619999999999999 0.002774 0.0087709999999999993 0.0084519999999999994 0.11167100000000001 0 0.0036779999999999998 0.0010139999999999999 0.225185 0.001096 0.0040170000000000006 0.226661 0.10134299999999995 0.022834000000000007 0 2 19 19 0.002993 1 0 0 14 0 0.13198499999999999 0.392654 0.001359 0.003424 0.014118 0.0012819999999999999 0 1 1 8 0.18679473719266346 1 85 46 39 6 3 9 2 3 239 65 8 74 0.12025400000000003
0 linear 1 23 0.73410600000000004 599.54254534181996 1 128 0.26302900000000001 0.012921 0.42628100000000008 0.0071320000000000003 0.0014909999999999999 0.0026679999999999998 0.0082900000000000005 0.0081530000000000005 0.13208800000000001 0 0.0035769999999999999 0.00089400000000000005 0.071617 0.001042 0.0036959999999999996 0.21498900000000012 0.099584000000000047 0.022823000000000003 0 3 19 19 0.0030230000000000001 1 0 0 14 0 0.151421 0.25698599999999999 0.0012650000000000001 0.003215 0.013717999999999998 0.0012489999999999999 0 1 1 8 0.0068439882711387309 1 85 47 38 5 3 8 1 3 243 67 8 73 0.11096099999999996
0 linear 2 0 51.253979000000001 2.3667291596036724 1 61 50.965673000000002 0.022946999999999999 0.22411900000000004 0.0087130000000000003 0.002519 0.0030000000000000001 0.00975 0.175929 0.33234999999999998 50.249028000000003 0.091013000000000011 3.3000000000000003e-05 0.047426999999999997 0.0068630000000000002 0.0070049999999999991 0.15042399999999997 0.030545000000000003 0.0086410000000000028 0 0 0 0 0 0 0 0 0 0 50.836995000000002 50.946820000000002 0.0013029999999999999 0.010274 0.019112000000000004 0.00050600000000000005 0 0 0 0 0 0 47 21 26 2 10 12 0 6 88 21 3 37 0.095613000000000004
0 linear 2 7 68.094667999999999 2.4102109454225378 1 61 67.732837000000004 0.022533999999999998 0.29450300000000007 0.0076109999999999997 0.0017599999999999998 0.0095569999999999995 0.027057999999999999 0.014175999999999999 0.34217500000000001 67.162051000000005 0.091323000000000001 2.8e-05 0.015952000000000001 0.0064029999999999998 0.007232999999999999 0.20941600000000007 0.035207000000000009 0.010617999999999999 0 1 16 13 0 0 0 0 0 0 67.609571000000003 67.713960999999998 0.0069769999999999997 0.010111 0.019956000000000002 0.00063400000000000001 0 1 1 8 0.11055858717162853 1 43 16 27 3 9 12 0 5 79 16 3 42 0.14062599999999995
0 linear 2 15 68.097060999999997 2.4659804224859272 1 61 67.738833 0.023359000000000001 0.28946900000000009 0.0090229999999999998 0.0019440000000000004 0.010208999999999999 0.029339 0.013115 0.25192799999999999 67.258843999999996 0.089444999999999997 2.0000000000000002e-05 0.014943 0.0066930000000000002 0.0063989999999999984 0.19051700000000002 0.042193999999999968 0.012409999999999997 0 2 19 18 0 0 0 0 0 0 67.612550999999996 67.719294000000005 0.0073899999999999999 0.0098029999999999992 0.022709999999999998 0.00056499999999999996 0 1 1 8 0.0016090859999255856 1 50 19 31 1 14 15 0 6 106 19 3 39 0.14423200000000003
