case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid rootpair_calls rootpair_success rootpair_cold predictor_reject newton_reject branch_reject tmax_reject vfloor_reject newton_iterations newton_pairs_accepted quartic_cold quartic_warm rootpair_ms predictor_nonpositive corrected_nonpositive corrected_tiny_positive
0 linear 0 0 52.733691 7.0379226907888537 1 67 51.490053000000003 0.034964000000000002 0.22161599999999995 0.0074580000000000002 0.0015560000000000001 0.0094240000000000001 0.018315999999999999 0.18477399999999999 0.341277 50.632284999999996 0.109762 2.9e-05 0.062154000000000008 0.012095 0.011562999999999999 0.14736799999999994 0.032085000000000016 0.0093579999999999983 0 0 0 0 0 0 0 0 0 0 51.277284000000002 51.460709999999999 0.0099170000000000005 0.012035000000000001 0.013965 0.00085499999999999997 0 0 0 0 0 0 54 13 41 2 10 12 0 6 65 13 5 49 0.11089299999999998 0 0 6
0 linear 0 7 49.861109999999996 7.165175685042759 1 83 49.440013999999998 0.01217 0.35099800000000014 0.0062360000000000011 0.0020639999999999999 0.008116 0.020697 0.021804 0.370361 48.872237000000005 0.090847999999999998 3.6999999999999998e-05 0.016475 0.0029550000000000002 0.0056979999999999999 0.25187999999999994 0.047856000000000003 0.012123999999999999 0 1 15 15 0 0 0 0 0 0 49.351132999999997 49.426205000000003 0.0058529999999999997 0.008319 0.013032 0.00040400000000000001 0 2 1 16 0.00115407797797932 2 61 15 46 2 11 13 0 7 71 15 5 63 0.17050099999999999 0 0 7
0 linear 0 15 49.742505000000001 7.2540425509600803 1 91 49.306341000000003 0.011837 0.39039699999999999 0.0067380000000000001 0.0024390000000000002 0.0031849999999999999 0.010673999999999999 0.0099419999999999994 0.25611699999999998 48.843755999999999 0.090606999999999993 2.0999999999999999e-05 0.080142000000000005 0.001792 0.0038469999999999993 0.28373599999999993 0.051292999999999998 0.012776000000000001 0 2 13 13 0 0 0 0 0 0 49.183540999999998 49.299244000000002 0.001792 0.0054640000000000001 0.012469000000000001 3.4999999999999997e-05 0 1 1 8 0.0027134713756958736 1 63 13 50 2 16 18 0 6 92 13 5 73 0.18093199999999995 0 0 6
0 linear 0 23 49.913342999999998 7.2793514851610421 1 91 49.500751000000001 0.012309 0.36875900000000006 0.0074469999999999996 0.0014430000000000001 0.0032200000000000002 0.010279999999999999 0.0098160000000000001 0.390347 48.931486999999997 0.091860999999999998 2.4000000000000001e-05 0.051217999999999993 0.001807 0.0038600000000000001 0.25179099999999999 0.051459000000000012 0.014376999999999999 0 3 13 13 0 0 0 0 0 0 49.405697000000004 49.493682999999997 0.0016490000000000001 0.0056470000000000001 0.013600000000000001 2.5000000000000001e-05 0 1 1 8 0.0030160757831446021 1 67 13 54 3 21 24 0 7 119 13 5 73 0.17461300000000007 0 0 7
0 linear 1 0 0.99937399999999998 589.76731831372365 1 105 0.62579799999999997 0.012869 0.30477599999999999 0.0075630000000000003 0.001637 0.003238 0.010135999999999999 0.174655 0.12489699999999999 0 0.013498 0.0014239999999999999 0.25172099999999997 0.00198 0.003986 0.15662399999999999 0.078386000000000039 0.017403000000000009 0 0 0 0 0.0093080000000000003 1 0 0 14 0 0.32275199999999998 0.61747600000000002 0.0011479999999999999 0.0035839999999999999 0.015691000000000004 0.0032889999999999998 0 0 0 0 0 0 74 45 29 4 3 8 0 3 232 65 7 53 0.080429000000000014 0 0 3
0 linear 1 7 0.67229700000000003 593.09247526628167 1 105 0.30927900000000003 0.013422 0.32060700000000003 0.0063200000000000001 0.0015 0.0029009999999999999 0.0093150000000000004 0.0083210000000000003 0.13980999999999999 0 0.00348 0.0010660000000000001 0.105632 0.0011039999999999999 0.0037209999999999999 0.16519400000000001 0.07654000000000015 0.017489000000000005 0 1 19 19 0.0028969999999999998 1 0 0 14 0 0.159964 0.30264600000000003 0.00139 0.0035639999999999999 0.014532 0.0012570000000000001 0 1 1 8 0.0016863986939356674 1 74 45 29 4 3 8 0 3 232 65 7 53 0.089672999999999989 0 0 3
0 linear 1 15 0.89747699999999997 596.53003682974679 1 128 0.39807599999999999 0.013337999999999999 0.43987199999999987 0.0073809999999999995 0.001604 0.002653 0.0086650000000000008 0.0083660000000000002 0.111376 0 0.0034499999999999999 0.0009990000000000001 0.224994 0.001041 0.0038120000000000007 0.22616500000000003 0.10167400000000004 0.022888000000000023 0 2 19 19 0.0028839999999999998 1 0 0 14 0 0.13114999999999999 0.39123400000000003 0.001299 0.0033790000000000001 0.014291 0.001142 0 1 1 8 0.18679473719266346 1 85 46 39 6 3 9 2 3 239 65 8 74 0.11476599999999999 0 0 3
0 linear 1 23 0.74158599999999997 599.54254534181996 1 128 0.26203399999999999 0.013174999999999999 0.43392499999999989 0.0069879999999999994 0.0014380000000000003 0.0024979999999999998 0.0082520000000000007 0.0081659999999999996 0.131462 0 0.0033270000000000001 0.00095399999999999999 0.071613999999999997 0.001114 0.0037260000000000006 0.21518300000000001 0.10647200000000008 0.022767000000000027 0 3 19 19 0.002856 1 0 0 14 0 0.15054300000000001 0.25600400000000001 0.0011999999999999999 0.003153 0.013806000000000001 0.0013259999999999999 0 1 1 8 0.0068439882711387309 1 85 47 38 5 3 8 1 3 243 67 8 73 0.11106300000000002 0 0 3
0 linear 2 0 35.050991000000003 2.3667291596036724 1 61 34.809750000000001 0.011886000000000001 0.20108399999999998 0.0076170000000000005 0.00098900000000000008 0.002967 0.0097160000000000007 0.170929 0.32311000000000001 34.164283999999995 0.085731000000000002 2.6999999999999999e-05 0.043379000000000001 0.0017960000000000001 0.0037949999999999998 0.13476199999999999 0.030323999999999997 0.0073829999999999989 0 0 0 0 0 0 0 0 0 0 34.724842000000002 34.802520000000001 0.00079900000000000001 0.0055690000000000002 0.012371999999999999 3.0000000000000001e-05 0 0 0 0 0 0 47 21 26 2 10 12 0 6 88 21 3 37 0.08188200000000001 0 0 6
0 linear 2 7 47.882086999999999 2.4102109454225378 1 61 47.612904999999998 0.01176 0.23167500000000002 0.0060430000000000006 0.0010099999999999998 0.003189 0.010109 0.0099959999999999997 0.32011200000000001 47.163266 0.084947999999999996 2.5000000000000001e-05 0.011088999999999998 0.0014790000000000001 0.0037759999999999998 0.16805900000000004 0.028825999999999987 0.0078969999999999995 0 1 16 13 0 0 0 0 0 0 47.560648999999998 47.606225000000002 0.001681 0.0055529999999999998 0.0121 3.0000000000000001e-05 0 1 1 8 0.11055858717162853 1 43 16 27 3 9 12 0 5 79 16 3 42 0.10939600000000002 0 0 5
