case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid rootpair_calls rootpair_success rootpair_cold predictor_reject newton_reject branch_reject tmax_reject vfloor_reject newton_iterations newton_pairs_accepted quartic_cold quartic_warm rootpair_ms predictor_nonpositive corrected_nonpositive corrected_tiny_positive tiny_eligible tiny_bracket_pass
0 linear 0 0 51.875321 7.0379226907888537 1 67 50.666803000000002 0.034211999999999999 0.21493100000000001 0.0073630000000000006 0.001673 0.0089020000000000002 0.024735 0.18718699999999999 0.36133999999999999 49.771124 0.11136 2.8e-05 0.07102399999999999 0.014329 0.012894000000000001 0.14408999999999994 0.030813 0.008689000000000004 0 0 0 0 0 0 0 0 0 0 50.445498000000001 50.641340999999997 0.011889 0.012709 0.014741000000000001 0.00087299999999999997 0 0 0 0 0 0 54 13 41 2 10 12 0 6 65 13 5 49 0.10871399999999996 0 0 6 0 0
0 linear 0 7 49.741703999999999 7.165175685042759 1 83 49.388047 0.015136999999999999 0.29586600000000018 0.0068500000000000002 0.0012309999999999999 0.0065389999999999997 0.017957999999999998 0.18321499999999999 0.377697 48.670462999999998 0.093172000000000005 3.6000000000000001e-05 0.016330000000000001 0.0027369999999999998 0.0055589999999999997 0.20625600000000011 0.045552000000000002 0.010117000000000003 0 1 0 0 0 0 0 0 0 0 49.311833 49.379117000000001 0.004071 0.005522 0.012428999999999999 4.3999999999999999e-05 0 0 0 0 0 0 61 15 46 2 11 13 0 7 71 15 5 63 0.13850200000000001 0 0 7 0 0
0 linear 0 15 49.881517000000002 7.2540425509600803 1 91 49.440427999999997 0.014095 0.368643 0.0080340000000000012 0.0014480000000000001 0.003307 0.010390999999999999 0.17652000000000001 0.25172299999999997 48.812895000000005 0.091381000000000004 4.1e-05 0.083969000000000002 0.001817 0.0039550000000000002 0.26572699999999999 0.049077999999999997 0.012667000000000008 0 2 0 0 0 0 0 0 0 0 49.314317000000003 49.434972999999999 0.00096599999999999995 0.0055830000000000003 0.013049999999999999 4.6999999999999997e-05 0 0 0 0 0 0 63 13 50 2 16 18 0 6 92 13 5 73 0.16744599999999998 0 0 6 0 0
0 linear 0 23 49.943069999999999 7.2793514851610421 1 91 49.514229999999998 0.014133 0.37494300000000003 0.010443000000000001 0.00173 0.003143 0.010286 0.17078499999999999 0.32868199999999997 48.846209000000002 0.091166999999999998 2.0999999999999999e-05 0.048668999999999997 0.0020739999999999999 0.004736999999999999 0.26391299999999995 0.049002000000000018 0.012146000000000001 0 3 0 0 0 0 0 0 0 0 49.417757000000002 49.507427 0.00092000000000000003 0.0055919999999999997 0.016573999999999998 3.4999999999999997e-05 0 0 0 0 0 0 67 13 54 3 21 24 0 7 119 13 5 73 0.175453 0 0 7 0 0
0 linear 1 0 0.97594000000000003 589.76731831372365 1 105 0.61982599999999999 0.014376999999999999 0.30716999999999994 0.0074280000000000006 0.001627 0.00329 0.010149 0.174456 0.124685 0 0.0094769999999999993 0.0014319999999999999 0.25147399999999998 0.0023110000000000001 0.0040969999999999999 0.15601200000000001 0.081051000000000012 0.01744200000000001 0 0 0 0 0.0055170000000000002 1 0 0 14 0 0.31911 0.61400600000000005 0.001727 0.0035509999999999999 0.015913999999999998 0.0032929999999999999 0 0 0 0 0 0 74 45 29 4 3 8 0 3 232 65 7 53 0.080039000000000027 0 0 3 0 0
0 linear 1 7 0.81944899999999998 593.09247526628167 1 105 0.47356799999999999 0.014593 0.30078799999999994 0.0065129999999999988 0.0014469999999999999 0.0028739999999999998 0.0093640000000000008 0.17366200000000001 0.14263999999999999 0 0.003699 0.001091 0.103778 0.0011440000000000001 0.003679 0.14498299999999995 0.076780000000000057 0.017633000000000013 0 1 0 0 0.0030100000000000001 1 0 0 14 0 0.328098 0.46883200000000003 0.00087500000000000002 0.0035869999999999999 0.014844 0.0012489999999999999 0 0 0 0 0 0 74 45 29 4 3 8 0 3 232 65 7 53 0.070027999999999979 0 0 3 0 0
0 linear 1 15 1.099707 596.53003682974679 1 128 0.58571700000000004 0.014333 0.42462899999999992 0.0074069999999999995 0.0017279999999999999 0.002709 0.0085990000000000007 0.17647399999999999 0.13180700000000001 0 0.0036059999999999998 0.0011019999999999999 0.22514100000000001 0.0010690000000000001 0.0038999999999999998 0.20342300000000016 0.10892400000000006 0.022874000000000026 0 2 0 0 0.003019 1 0 0 14 0 0.319992 0.58038299999999998 0.00079900000000000001 0.0038609999999999998 0.014434000000000001 0.001354 0 0 0 0 0 0 85 46 39 6 3 9 2 3 239 65 8 74 0.097383000000000011 0 0 3 0 0
0 linear 1 23 0.88252699999999995 599.54254534181996 1 128 0.41575000000000001 0.014215 0.40834700000000002 0.0070029999999999988 0.001518 0.0026779999999999998 0.0083719999999999992 0.17370099999999999 0.120861 0 0.0035170000000000002 0.000919 0.071702000000000002 0.001026 0.0035890000000000002 0.19672900000000004 0.099845000000000045 0.022842999999999999 0 3 0 0 0.0029710000000000001 1 0 0 14 0 0.30543900000000002 0.41111500000000001 0.00080400000000000003 0.0034269999999999999 0.013914000000000003 0.0013010000000000001 0 0 0 0 0 0 85 47 38 5 3 8 1 3 243 67 8 73 0.093075000000000019 0 0 3 0 0
0 linear 2 0 35.070084000000001 2.3667291596036724 1 61 34.822775 0.013122999999999999 0.20537900000000001 0.0075859999999999999 0.00096699999999999998 0.002993 0.0097959999999999992 0.17583199999999999 0.32682800000000001 34.172103 0.086264000000000007 3.0000000000000001e-05 0.041345999999999994 0.0016999999999999999 0.0039389999999999998 0.13829 0.029745000000000028 0.0075470000000000008 0 0 0 0 0 0 0 0 0 0 34.742353000000001 34.817599000000001 0.00090399999999999996 0.0055310000000000003 0.012339999999999999 4.6e-05 0 0 0 0 0 0 47 21 26 2 10 12 0 6 88 21 3 37 0.080414999999999959 0 0 6 0 0
0 linear 2 7 47.926642000000001 2.4102109454225378 1 61 47.664672000000003 0.013089 0.22064099999999995 0.0071040000000000009 0.00097499999999999996 0.0031879999999999999 0.010201 0.176875 0.25673299999999999 47.115195 0.085276000000000005 2.9e-05 0.0098129999999999988 0.0014549999999999999 0.0037980000000000002 0.15454299999999999 0.029794000000000001 0.007333000000000001 0 1 0 0 0 0 0 0 0 0 47.616047000000002 47.659680000000002 0.00093000000000000005 0.0055440000000000003 0.011911000000000001 3.8999999999999999e-05 0 0 0 0 0 0 43 16 27 3 9 12 0 5 79 16 3 42 0.087943000000000049 0 0 5 0 0
