case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid rootpair_calls rootpair_success rootpair_cold predictor_reject newton_reject branch_reject tmax_reject vfloor_reject newton_iterations newton_pairs_accepted quartic_cold quartic_warm rootpair_ms predictor_nonpositive corrected_nonpositive corrected_tiny_positive tiny_eligible tiny_bracket_pass
0 linear 0 0 50.718333000000001 7.0379226907888537 1 67 49.520780000000002 0.027334000000000001 0.21901199999999996 0.0066820000000000004 0.0015759999999999999 0.0091170000000000001 0.021028999999999999 0.18262999999999999 0.36304799999999998 48.699857000000002 0.105411 2.8e-05 0.058901999999999996 0.0086569999999999998 0.010305999999999997 0.14627399999999999 0.033994999999999991 0.0084769999999999967 0 0 0 0 0 0 0 0 0 0 49.353019000000003 49.501077000000002 0.01042 0.0068009999999999998 0.012381 0.00045399999999999998 0 0 0 0 0 0 54 13 41 2 10 12 0 6 65 13 5 49 0.110497 0 0 6 0 0
0 linear 0 7 49.747224000000003 7.165175685042759 1 83 49.370668000000002 0.013939 0.32601700000000011 0.0072689999999999994 0.001774 0.0046480000000000002 0.011077999999999999 0.177234 0.38376900000000003 48.673554000000003 0.092128000000000002 3.1999999999999999e-05 0.016281999999999998 0.0024420000000000002 0.0043909999999999991 0.23520900000000003 0.044541999999999998 0.0099560000000000013 0 1 0 0 0 0 0 0 0 0 49.308655000000002 49.364564000000001 0.0011310000000000001 0.0054790000000000004 0.012257000000000001 0.00015799999999999999 0 0 0 0 0 0 61 15 46 2 11 13 0 7 71 15 5 63 0.15395099999999998 0 0 7 0 0
0 linear 0 15 49.927835000000002 7.2540425509600803 1 91 49.499003999999999 0.013749000000000001 0.38158200000000014 0.0087919999999999995 0.0015709999999999999 0.0032139999999999998 0.010331999999999999 0.17674999999999999 0.26002999999999998 48.863733000000003 0.093408999999999992 3.6999999999999998e-05 0.083749000000000004 0.0019659999999999999 0.0039250000000000005 0.27525100000000008 0.050921000000000001 0.013081000000000004 0 2 0 0 0 0 0 0 0 0 49.373455999999997 49.493678000000003 0.00094799999999999995 0.0056350000000000003 0.013057999999999998 2.4000000000000001e-05 0 0 0 0 0 0 63 13 50 2 16 18 0 6 92 13 5 73 0.17189800000000005 0 0 6 0 0
0 linear 0 23 50.006126000000002 7.2793514851610421 1 91 49.571503 0.013457999999999999 0.38953199999999999 0.0091849999999999987 0.0015999999999999999 0.003189 0.010300999999999999 0.170625 0.330627 48.905518999999998 0.091142000000000001 2.0999999999999999e-05 0.051153000000000004 0.001668 0.0039389999999999989 0.27098899999999992 0.049167999999999989 0.014860000000000003 0 3 0 0 0 0 0 0 0 0 49.479210000000002 49.566366000000002 0.00085999999999999998 0.0055240000000000003 0.013087 2.3e-05 0 0 0 0 0 0 67 13 54 3 21 24 0 7 119 13 5 73 0.18228000000000003 0 0 7 0 0
0 linear 1 0 0.98008499999999998 589.76731831372365 1 105 0.62457499999999999 0.013289 0.30365300000000006 0.0073279999999999994 0.001596 0.0035200000000000001 0.010531 0.181917 0.126439 0 0.0073439999999999998 0.001503 0.25118499999999999 0.001621 0.0040400000000000002 0.15565700000000007 0.078283000000000033 0.017432000000000024 0 0 0 0 0.0047070000000000002 1 0 0 14 0 0.32506499999999999 0.61914899999999995 0.001103 0.0034710000000000001 0.015765999999999999 0.003127 0 0 0 0 0 0 74 45 29 4 3 8 0 3 232 65 7 53 0.079535000000000008 0 0 3 0 0
0 linear 1 7 0.82049700000000003 593.09247526628167 1 105 0.47973300000000002 0.014208999999999999 0.30069599999999991 0.0061919999999999996 0.001508 0.0030560000000000001 0.0091459999999999996 0.173987 0.148813 0 0.003673 0.001088 0.10381699999999999 0.0011000000000000001 0.003637 0.144925 0.076758000000000007 0.017506000000000015 0 1 0 0 0.0029610000000000001 1 0 0 14 0 0.33447100000000002 0.47500300000000001 0.00090700000000000004 0.0036470000000000001 0.014556000000000001 0.0013550000000000001 0 0 0 0 0 0 74 45 29 4 3 8 0 3 232 65 7 53 0.070069999999999966 0 0 3 0 0
0 linear 1 15 1.0807500000000001 596.53003682974679 1 128 0.59225300000000003 0.014892000000000001 0.41694100000000001 0.0077309999999999992 0.0017479999999999998 0.0028769999999999998 0.0087200000000000003 0.17932500000000001 0.13436200000000001 0 0.003627 0.00116 0.22526200000000002 0.0012149999999999999 0.0037780000000000001 0.20315499999999995 0.10163999999999995 0.023002000000000012 0 2 0 0 0.0029580000000000001 1 0 0 14 0 0.32561499999999999 0.58694900000000005 0.00088000000000000003 0.0038400000000000001 0.014267000000000002 0.0012830000000000001 0 0 0 0 0 0 85 46 39 6 3 9 2 3 239 65 8 74 0.097003999999999979 0 0 3 0 0
0 linear 1 23 0.88838399999999995 599.54254534181996 1 128 0.42163099999999998 0.013481999999999999 0.40850299999999989 0.0075220000000000009 0.0015849999999999998 0.002562 0.008482 0.17855599999999999 0.121646 0 0.0035620000000000001 0.00094600000000000001 0.071529999999999996 0.001054 0.0036600000000000005 0.19675300000000001 0.099948000000000134 0.022781999999999993 0 3 0 0 0.0029849999999999998 1 0 0 14 0 0.31109300000000001 0.41689700000000002 0.00082899999999999998 0.0033839999999999999 0.013849 0.00125 0 0 0 0 0 0 85 47 38 5 3 8 1 3 243 67 8 73 0.093240999999999991 0 0 3 0 0
0 linear 2 0 35.082399000000002 2.3667291596036724 1 61 34.843277999999998 0.013132 0.20008899999999996 0.0078830000000000011 0.00097099999999999997 0.0032070000000000002 0.0098440000000000003 0.17549500000000001 0.32721699999999998 34.193210999999998 0.085098000000000007 3.0000000000000001e-05 0.041213 0.001853 0.00382 0.13448000000000004 0.02939400000000001 0.0073420000000000013 0 0 0 0 0 0 0 0 0 0 34.762469000000003 34.838006999999998 0.000919 0.0054980000000000003 0.012041 5.0000000000000002e-05 0 0 0 0 0 0 47 21 26 2 10 12 0 6 88 21 3 37 0.081646999999999983 0 0 6 0 0
0 linear 2 7 47.962136000000001 2.4102109454225378 1 61 47.704089000000003 0.012742 0.22153899999999999 0.0065500000000000003 0.00091900000000000011 0.0032320000000000001 0.0099810000000000003 0.183672 0.25068499999999999 47.153566000000005 0.086955000000000005 2.6999999999999999e-05 0.0098069999999999997 0.001534 0.0038869999999999994 0.15557300000000004 0.029601999999999996 0.0071920000000000022 0 1 0 0 0 0 0 0 0 0 47.654860999999997 47.698895999999998 0.00086799999999999996 0.0054949999999999999 0.012133999999999999 4.3999999999999999e-05 0 0 0 0 0 0 43 16 27 3 9 12 0 5 79 16 3 42 0.089681999999999984 0 0 5 0 0
