case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid rootpair_calls rootpair_success rootpair_cold predictor_reject newton_reject branch_reject tmax_reject vfloor_reject newton_iterations newton_pairs_accepted quartic_cold quartic_warm rootpair_ms predictor_nonpositive corrected_nonpositive corrected_tiny_positive tiny_eligible tiny_bracket_pass
0 linear 0 0 50.984994999999998 7.0379226907888537 1 67 49.796236999999998 0.026173999999999999 0.207036 0.0066229999999999995 0.0015480000000000001 0.01073 0.029588 0.19522999999999999 0.34337400000000001 48.935233000000004 0.10355900000000001 3.3000000000000003e-05 0.058740000000000001 0.010335 0.011226999999999999 0.13879300000000006 0.030838000000000004 0.0084419999999999999 0 0 0 0 0 0 0 0 0 0 49.582073999999999 49.760975000000002 0.0117 0.0066030000000000004 0.012381000000000001 0.00060899999999999995 0 0 0 0 0 0 54 13 41 2 10 12 0 6 65 13 5 49 0.10364399999999999 0 0 6 0 0
0 linear 0 7 49.688488 7.165175685042759 1 83 49.260097000000002 0.011904 0.35488400000000003 0.012414999999999999 0.001428 0.0038049999999999998 0.011643000000000001 0.016820999999999999 0.361869 48.738574 0.090408999999999989 1.9000000000000001e-05 0.016635 0.0026380000000000002 0.0046880000000000003 0.2563379999999999 0.046799 0.012171000000000006 0 1 15 15 0 0 0 0 0 0 49.191994000000001 49.249201999999997 0.0024239999999999999 0.0062709999999999997 0.012484 0.000136 0 2 1 16 0.00115407797797932 2 61 15 46 2 11 13 0 7 71 15 5 63 0.17334100000000011 0 0 7 0 0
0 linear 0 15 49.900523999999997 7.2540425509600803 1 91 49.432935999999998 0.012472 0.42150200000000004 0.0088349999999999991 0.0031649999999999998 0.0032209999999999999 0.010553 0.0099410000000000002 0.249387 48.974129000000005 0.091065000000000007 2.5999999999999998e-05 0.082052 0.0019109999999999999 0.0038989999999999997 0.28933400000000009 0.060135999999999981 0.017057000000000003 0 2 13 13 0 0 0 0 0 0 49.307181999999997 49.425677 0.0016479999999999999 0.0055110000000000003 0.012771000000000001 2.5000000000000001e-05 0 1 1 8 0.0027134713756958736 1 63 13 50 2 16 18 0 6 92 13 5 73 0.18615200000000001 0 0 6 0 0
0 linear 0 23 49.926754000000003 7.2793514851610421 1 91 49.486998999999997 0.011983000000000001 0.40081899999999998 0.0097900000000000001 0.0014009999999999999 0.0033370000000000001 0.010623 0.010178 0.37809300000000001 48.935752999999998 0.090404999999999985 2.5999999999999998e-05 0.048829000000000004 0.001691 0.0037030000000000001 0.28318900000000008 0.051414999999999982 0.013199000000000001 0 3 13 13 0 0 0 0 0 0 49.395851999999998 49.480328 0.0016559999999999999 0.0052480000000000001 0.012428 2.5999999999999998e-05 0 1 1 8 0.0030160757831446021 1 67 13 54 3 21 24 0 7 119 13 5 73 0.19304499999999994 0 0 7 0 0
0 linear 1 0 0.99685800000000002 589.76731831372365 1 105 0.62065099999999995 0.012977000000000001 0.30940100000000004 0.007234 0.001586 0.003228 0.010160000000000001 0.17636199999999999 0.12531200000000001 0 0.0083590000000000001 0.0013810000000000001 0.25166299999999997 0.001477 0.0040800000000000003 0.15808800000000006 0.080750000000000086 0.017452000000000016 0 0 0 0 0.0053559999999999997 1 0 0 14 0 0.31982300000000002 0.61307299999999998 0.0010820000000000001 0.0035790000000000001 0.015592999999999999 0.0026679999999999998 0 0 0 0 0 0 74 45 29 4 3 8 0 3 232 65 7 53 0.081509999999999999 0 0 3 0 0
0 linear 1 7 0.66336099999999998 593.09247526628167 1 105 0.30718499999999999 0.013615 0.32078799999999991 0.0064250000000000002 0.001403 0.0029680000000000002 0.0092739999999999993 0.0082950000000000003 0.139961 0 0.0035969999999999999 0.0010560000000000001 0.10407200000000001 0.0011509999999999999 0.0037309999999999995 0.16493899999999995 0.076798999999999965 0.017531000000000019 0 1 19 19 0.0029759999999999999 1 0 0 14 0 0.160028 0.30082799999999998 0.0013669999999999999 0.0035100000000000001 0.014323000000000001 0.0012830000000000001 0 1 1 8 0.0016863986939356674 1 74 45 29 4 3 8 0 3 232 65 7 53 0.08984499999999998 0 0 3 0 0
0 linear 1 15 0.89096900000000001 596.53003682974679 1 128 0.402306 0.013589 0.43589499999999987 0.0076609999999999994 0.0016000000000000001 0.0026199999999999999 0.0087100000000000007 0.0082970000000000006 0.11095099999999999 0 0.0035049999999999999 0.0010269999999999999 0.22992400000000002 0.001155 0.003761 0.22180899999999995 0.10197500000000005 0.022840000000000006 0 2 19 19 0.002928 1 0 0 14 0 0.13064300000000001 0.395513 0.001274 0.0033110000000000001 0.014115000000000003 0.001152 0 1 1 8 0.18679473719266346 1 85 46 39 6 3 9 2 3 239 65 8 74 0.11555000000000003 0 0 3 0 0
0 linear 1 23 0.73578299999999996 599.54254534181996 1 128 0.26763300000000001 0.013465 0.42881200000000003 0.0081730000000000014 0.0015009999999999997 0.0025360000000000001 0.0085550000000000001 0.0082590000000000007 0.13067400000000001 0 0.0034480000000000001 0.00096599999999999995 0.071822999999999998 0.0010759999999999999 0.0084789999999999987 0.21613499999999997 0.10046400000000011 0.02284000000000001 0 3 19 19 0.0028960000000000001 1 0 0 14 0 0.15022099999999999 0.25671300000000002 0.001189 0.0033800000000000002 0.014104999999999999 0.0014239999999999999 0 1 1 8 0.0068439882711387309 1 85 47 38 5 3 8 1 3 243 67 8 73 0.11227100000000002 0 0 3 0 0
0 linear 2 0 35.109245999999999 2.3667291596036724 1 61 34.902656999999998 0.012062 0.17296 0.0054679999999999998 0.00099899999999999989 0.0031489999999999999 0.0097909999999999994 0.17111699999999999 0.329098 34.253142000000004 0.085426000000000002 2.6999999999999999e-05 0.041898000000000005 0.0016479999999999999 0.0038210000000000006 0.11265199999999996 0.029187000000000008 0.007094999999999998 0 0 0 0 0 0 0 0 0 0 34.819859999999998 34.895629999999997 0.00085300000000000003 0.0054619999999999998 0.01201 3.4e-05 0 0 0 0 0 0 47 21 26 2 10 12 0 6 88 21 3 37 0.071820999999999996 0 0 6 0 0
0 linear 2 7 47.902988999999998 2.4102109454225378 1 61 47.606026 0.01217 0.26088699999999992 0.0073729999999999993 0.00095800000000000008 0.0043629999999999997 0.010167000000000001 0.010031999999999999 0.31330599999999997 47.162420999999995 0.08444299999999999 3.1999999999999999e-05 0.010148000000000001 0.001503 0.0038239999999999997 0.186722 0.033680999999999996 0.0094240000000000018 0 1 16 13 0 0 0 0 0 0 47.552627000000001 47.599184999999999 0.0016019999999999999 0.0056389999999999999 0.012288 2.8e-05 0 1 1 8 0.11055858717162853 1 43 16 27 3 9 12 0 5 79 16 3 42 0.11967000000000001 0 0 5 0 0
