target	profile	topology_fraction	physics_fraction	p50_ms	paired_speedup_median	faster_rows
0.0001	linear	0.0	0.0	0.031338999999999964	39.68749398310693	3608
0.0001	linear	0.0	0.25	0.07449025000000002	18.866025001053554	3551
0.0001	linear	0.0	0.5	0.11689775	12.416465899679942	3401
0.0001	linear	0.0	0.75	0.158975875	9.258762247812875	3365
0.0001	linear	0.0	1.0	0.200399	7.365903622079122	3331
0.0001	linear	0.25	0.0	0.07021512500000006	18.774720118369796	3482
0.0001	linear	0.25	0.25	0.11691249999999997	12.113259038576377	3365
0.0001	linear	0.25	0.5	0.15951537500000001	8.971392069217352	3317
0.0001	linear	0.25	0.75	0.202051625	7.084244250787066	3289
0.0001	linear	0.25	1.0	0.242892875	5.969751654668293	3248
0.0001	linear	0.5	0.0	0.09974099999999994	12.59429140762229	3403
0.0001	linear	0.5	0.25	0.151894125	9.180240164706643	3293
0.0001	linear	0.5	0.5	0.1970905	7.227954140737951	3274
0.0001	linear	0.5	0.75	0.24158837500000002	5.970436768662349	3234
0.0001	linear	0.5	1.0	0.28423575	5.0668256231912014	3207
0.0001	linear	0.75	0.0	0.13207650000000007	9.568780149719045	3300
0.0001	linear	0.75	0.25	0.18396800000000002	7.445114273523458	3248
0.0001	linear	0.75	0.5	0.23372712499999995	6.073399333584257	3224
0.0001	linear	0.75	0.75	0.2778755	5.155374412010691	3173
0.0001	linear	0.75	1.0	0.32208075	4.486463221156567	3125
0.0001	linear	1.0	0.0	0.16508	7.705038690626685	3227
0.0001	linear	1.0	0.25	0.21662162500000004	6.246159942895776	3197
0.0001	linear	1.0	0.5	0.26884474999999997	5.2592757124522755	3141
0.0001	linear	1.0	0.75	0.313445625	4.536018984889026	3107
0.0001	linear	1.0	1.0	0.358556	3.9981605228671606	3074
0.0001	uniform	0.0	0.0	0.02887800000000003	3.5097604707066354	3588
0.0001	uniform	0.0	0.25	0.058650374999999984	1.8534017461742773	3463
0.0001	uniform	0.0	0.5	0.0887675	1.2626056813385074	2690
0.0001	uniform	0.0	0.75	0.1180235	0.9578376913379878	1644
0.0001	uniform	0.0	1.0	0.1472675	0.7722778736262466	971
0.0001	uniform	0.25	0.0	0.06665400000000002	1.7164626597636201	2965
0.0001	uniform	0.25	0.25	0.10016837500000003	1.1539966308285337	2335
0.0001	uniform	0.25	0.5	0.1306535	0.8808016463160521	1333
0.0001	uniform	0.25	0.75	0.16043275	0.7141852572168857	775
0.0001	uniform	0.25	1.0	0.19069437500000003	0.6026278332283805	458
0.0001	uniform	0.5	0.0	0.09661300000000002	1.1799314010931066	2266
