case_id	profile	d_bin_index	epoch_index	target	warm_nodes	warm_panels	warm_splits	other_ms
0	linear	0	0	0.001	67	5	0	0.0377399999999988
0	linear	0	7	0.001	83	5	0	0.038801999999998615
0	linear	0	15	0.001	91	5	0	0.0383239999999988
0	linear	0	23	0.001	91	5	0	0.044427999999999246
0	linear	0	0	0.0001	107	5	0	0.054760000000006526
0	linear	0	7	0.0001	123	5	0	0.05296200000000573
0	linear	0	15	0.0001	123	5	0	0.05162099999999642
0	linear	0	23	0.0001	123	5	0	0.051986999999999006
0	linear	1	0	0.001	105	7	0	0.033001
0	linear	1	7	0.001	105	7	0	0.03145899999999996
0	linear	1	15	0.001	128	8	0	0.037163999999999975
0	linear	1	23	0.001	128	8	0	0.03419399999999967
0	linear	1	0	0.0001	153	7	0	0.04427700000000029
0	linear	1	7	0.0001	137	7	0	0.03811599999999987
0	linear	1	15	0.0001	192	8	0	0.047577000000000425
0	linear	1	23	0.0001	192	8	0	0.047197000000000044
0	linear	2	0	0.001	61	3	0	0.03769100000000086
0	linear	2	7	0.001	61	3	0	0.03657799999999847
0	linear	2	15	0.001	61	3	0	0.031907000000002406
0	linear	2	23	0.001	61	3	0	0.0378750000000016
0	linear	2	0	0.0001	93	3	0	0.051140000000003294
0	linear	2	7	0.0001	77	3	0	0.041725999999997765
0	linear	2	15	0.0001	77	3	0	0.041874999999996165
0	linear	2	23	0.0001	77	3	0	0.040537999999995356
0	linear	3	0	0.001	83	5	0	0.03773699999999994
0	linear	3	7	0.001	83	5	0	0.03497199999999992
0	linear	3	15	0.001	83	5	0	0.03814400000000007
0	linear	3	23	0.001	99	5	0	0.038998999999999895
0	linear	3	0	0.0001	115	5	0	0.046831999999999985
0	linear	3	7	0.0001	115	5	0	0.04318999999999995
0	linear	3	15	0.0001	115	5	0	0.04322700000000004
0	linear	3	23	0.0001	115	5	0	0.04296699999999995
0	linear	4	0	0.001	52	4	0	0.023212999999999956
0	linear	4	7	0.001	52	4	0	0.020818000000000003
0	linear	4	15	0.001	68	4	0	0.02443100000000001
0	linear	4	23	0.001	61	3	0	0.026141000000000025
0	linear	4	0	0.0001	76	4	0	0.028639000000000026
0	linear	4	7	0.0001	100	4	0	0.031677999999999984
0	linear	4	15	0.0001	116	4	0	0.042439000000000004
0	linear	4	23	0.0001	77	3	0	0.030362000000000028
0	uniform	0	0	0.001	67	5	0	0.03325300000000089
0	uniform	0	7	0.001	83	5	0	0.03989799999999821
0	uniform	0	15	0.001	91	5	0	0.03864800000000018
0	uniform	0	23	0.001	91	5	0	0.03699000000000385
0	uniform	0	0	0.0001	107	5	0	0.04185000000000194
0	uniform	0	7	0.0001	107	5	0	0.03719999999999901
0	uniform	0	15	0.0001	107	5	0	0.043855000000002975
0	uniform	0	23	0.0001	107	5	0	0.039725999999999595
0	uniform	1	0	0.001	105	7	0	0.03207600000000002
0	uniform	1	7	0.001	105	7	0	0.030261999999999872
0	uniform	1	15	0.001	128	8	0	0.035216000000000025
0	uniform	1	23	0.001	128	8	0	0.034843999999999764
0	uniform	1	0	0.0001	153	7	0	0.04189400000000004
0	uniform	1	7	0.0001	137	7	0	0.03743999999999986
0	uniform	1	15	0.0001	192	8	0	0.047753000000000045
0	uniform	1	23	0.0001	192	8	0	0.04812400000000017
0	uniform	2	0	0.001	45	3	0	0.029110999999996404
0	uniform	2	7	0.001	45	3	0	0.026922999999996616
0	uniform	2	15	0.001	45	3	0	0.027647000000005695
0	uniform	2	23	0.001	45	3	0	0.02809599999999901
0	uniform	2	0	0.0001	77	3	0	0.0395609999999979
0	uniform	2	7	0.0001	77	3	0	0.03837799999999808
0	uniform	2	15	0.0001	77	3	0	0.04031899999999736
0	uniform	2	23	0.0001	77	3	0	0.03995399999999977
0	uniform	3	0	0.001	67	5	0	0.03289199999999999
0	uniform	3	7	0.001	67	5	0	0.030351000000000017
0	uniform	3	15	0.001	67	5	0	0.03069199999999997
0	uniform	3	23	0.001	67	5	0	0.03039800000000001
0	uniform	3	0	0.0001	99	5	0	0.04075100000000001
0	uniform	3	7	0.0001	99	5	0	0.03846300000000011
0	uniform	3	15	0.0001	99	5	0	0.03850299999999998
0	uniform	3	23	0.0001	99	5	0	0.038075999999999915
0	uniform	4	0	0.001	52	4	0	0.02245000000000001
0	uniform	4	7	0.001	52	4	0	0.020647999999999958
0	uniform	4	15	0.001	68	4	0	0.02405599999999991
0	uniform	4	23	0.001	45	3	0	0.02283399999999998
0	uniform	4	0	0.0001	76	4	0	0.02826000000000009
0	uniform	4	7	0.0001	84	4	0	0.027393000000000056
0	uniform	4	15	0.0001	116	4	0	0.03535400000000022
0	uniform	4	23	0.0001	77	3	0	0.029781999999999975
1	linear	0	0	0.001	67	5	0	0.025957999999999967
1	linear	0	7	0.001	67	5	0	0.02311000000000002
1	linear	0	15	0.001	67	5	0	0.023660999999999974
1	linear	0	23	0.001	67	5	0	0.02334800000000002
1	linear	0	0	0.0001	107	5	0	0.03777700000000003
1	linear	0	7	0.0001	107	5	0	0.03014500000000006
1	linear	0	15	0.0001	107	5	0	0.030084000000000027
1	linear	0	23	0.0001	107	5	0	0.030323000000000072
1	linear	1	0	0.001	59	5	0	0.023902000000000034
1	linear	1	7	0.001	59	5	0	0.02203099999999998
1	linear	1	15	0.001	59	5	0	0.022023000000000015
1	linear	1	23	0.001	59	5	0	0.02174299999999993
1	linear	1	0	0.0001	107	5	0	0.03677199999999989
1	linear	1	7	0.0001	107	5	0	0.03241100000000008
1	linear	1	15	0.0001	107	5	0	0.03189499999999998
1	linear	1	23	0.0001	107	5	0	0.03265599999999999
1	linear	2	0	0.001	90	6	0	0.030948999999999977
1	linear	2	7	0.001	98	6	0	0.034734999999999905
1	linear	2	15	0.001	98	6	0	0.034104999999999996
1	linear	2	23	0.001	98	6	0	0.034896999999999956
1	linear	2	0	0.0001	122	6	0	0.03871999999999992
1	linear	2	7	0.0001	138	6	0	0.0465300000000001
1	linear	2	15	0.0001	138	6	0	0.043241999999999864
1	linear	2	23	0.0001	138	6	0	0.0427519999999999
1	linear	3	0	0.001	99	5	0	0.04046499999999997
1	linear	3	7	0.001	99	5	0	0.04144100000000009
1	linear	3	15	0.001	99	5	0	0.0376739999999999
1	linear	3	23	0.001	99	5	0	0.03989400000000004
1	linear	3	0	0.0001	123	5	0	0.04795599999999997
1	linear	3	7	0.0001	123	5	0	0.04382900000000012
1	linear	3	15	0.0001	123	5	0	0.04355899999999985
1	linear	3	23	0.0001	123	5	0	0.0433869999999999
1	linear	4	0	0.001	61	3	0	0.026135000000000005
1	linear	4	7	0.001	61	3	0	0.023120000000000016
1	linear	4	15	0.001	61	3	0	0.023241999999999985
1	linear	4	23	0.001	61	3	0	0.024917000000000064
1	linear	4	0	0.0001	77	3	0	0.02987899999999999
1	linear	4	7	0.0001	77	3	0	0.02766400000000005
1	linear	4	15	0.0001	77	3	0	0.030782000000000004
1	linear	4	23	0.0001	77	3	0	0.026901000000000036
1	uniform	0	0	0.001	67	5	0	0.025961000000000053
1	uniform	0	7	0.001	67	5	0	0.023003000000000023
1	uniform	0	15	0.001	67	5	0	0.023309999999999942
1	uniform	0	23	0.001	67	5	0	0.023233999999999977
1	uniform	0	0	0.0001	75	5	0	0.027668999999999958
1	uniform	0	7	0.0001	75	5	0	0.024873999999999966
1	uniform	0	15	0.0001	75	5	0	0.025124000000000007
1	uniform	0	23	0.0001	91	5	0	0.02734399999999998
1	uniform	1	0	0.001	59	5	0	0.023384000000000044
1	uniform	1	7	0.001	59	5	0	0.021340000000000012
1	uniform	1	15	0.001	59	5	0	0.021238000000000035
1	uniform	1	23	0.001	59	5	0	0.021208999999999964
1	uniform	1	0	0.0001	91	5	0	0.030295999999999976
1	uniform	1	7	0.0001	91	5	0	0.02843400000000007
1	uniform	1	15	0.0001	75	5	0	0.025514000000000037
1	uniform	1	23	0.0001	75	5	0	0.02517500000000003
1	uniform	2	0	0.001	90	6	0	0.031270999999999924
1	uniform	2	7	0.001	82	6	0	0.030459000000000014
1	uniform	2	15	0.001	82	6	0	0.029482999999999954
1	uniform	2	23	0.001	82	6	0	0.029767999999999933
1	uniform	2	0	0.0001	106	6	0	0.03394399999999992
1	uniform	2	7	0.0001	122	6	0	0.038679000000000074
1	uniform	2	15	0.0001	122	6	0	0.03796800000000006
1	uniform	2	23	0.0001	122	6	0	0.03836300000000012
1	uniform	3	0	0.001	67	5	0	0.03189299999999995
1	uniform	3	7	0.001	67	5	0	0.02913999999999997
1	uniform	3	15	0.001	67	5	0	0.029084999999999972
1	uniform	3	23	0.001	67	5	0	0.028815000000000007
1	uniform	3	0	0.0001	107	5	0	0.04339199999999993
1	uniform	3	7	0.0001	107	5	0	0.039122999999999936
1	uniform	3	15	0.0001	107	5	0	0.039289000000000074
1	uniform	3	23	0.0001	107	5	0	0.03914199999999993
1	uniform	4	0	0.001	45	3	0	0.020829999999999946
1	uniform	4	7	0.001	45	3	0	0.01882499999999998
1	uniform	4	15	0.001	45	3	0	0.018770000000000023
1	uniform	4	23	0.001	45	3	0	0.018840999999999983
1	uniform	4	0	0.0001	77	3	0	0.029500000000000012
1	uniform	4	7	0.0001	77	3	0	0.02698700000000004
1	uniform	4	15	0.0001	77	3	0	0.026695999999999984
1	uniform	4	23	0.0001	77	3	0	0.026698000000000055
2	linear	0	0	0.001	105	7	0	0.036569999999999936
2	linear	0	7	0.001	105	7	0	0.03307999999999989
2	linear	0	15	0.001	105	7	0	0.033515999999999935
2	linear	0	23	0.001	105	7	0	0.03678399999999993
2	linear	0	0	0.0001	121	7	0	0.039796
2	linear	0	7	0.0001	121	7	0	0.03675300000000006
2	linear	0	15	0.0001	129	7	0	0.03846900000000003
2	linear	0	23	0.0001	129	7	0	0.03861100000000006
2	linear	1	0	0.001	105	7	0	0.03694500000000006
2	linear	1	7	0.001	97	7	0	0.03123600000000007
2	linear	1	15	0.001	97	7	0	0.03145900000000004
2	linear	1	23	0.001	89	7	0	0.030463000000000018
2	linear	1	0	0.0001	129	7	0	0.04175900000000002
