case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid rootpair_calls rootpair_success rootpair_cold predictor_reject newton_reject branch_reject tmax_reject vfloor_reject newton_iterations newton_pairs_accepted quartic_cold quartic_warm rootpair_ms predictor_nonpositive corrected_nonpositive corrected_tiny_positive tiny_eligible tiny_bracket_pass endpoint_calls endpoint_evaluations endpoint_repeated endpoint_stationary endpoint_small_step endpoint_limit
0 linear 0 0 50.687708999999998 7.0379226907888537 1 67 49.453316999999998 0.030693000000000002 0.23225800000000005 0.0094420000000000007 0.0019689999999999998 0.0084200000000000004 0.027817999999999999 0.19058700000000001 0.35962899999999998 48.595115 0.099929999999999991 3.3000000000000003e-05 0.059624999999999997 0.0078209999999999998 0.012751999999999996 0.15404300000000001 0.033097000000000015 0.0093360000000000005 0 0 0 0 0 0 0 0 0 0 49.249026000000001 49.412958000000003 0.007803 0.0075300000000000002 0.013847 0.00064400000000000004 0 0 0 0 0 0 54 13 41 2 10 12 0 6 65 13 5 49 0.11510700000000001 0 0 6 0 0 134 0 0 25 43 66
0 linear 0 7 49.465310000000002 7.165175685042759 1 83 49.069150999999998 0.012160000000000001 0.35161199999999992 0.0063109999999999998 0.0019579999999999997 0.004241 0.011560000000000001 0.018509000000000001 0.367141 48.531190000000002 0.091750999999999999 2.4000000000000001e-05 0.017054 0.0030460000000000001 0.0053689999999999996 0.25502699999999989 0.047028999999999987 0.011077000000000002 0 1 15 15 0 0 0 0 0 0 48.995809000000001 49.055712999999997 0.0037590000000000002 0.0072899999999999996 0.012992 0.00025900000000000001 0 2 1 16 0.00115407797797932 2 61 15 46 2 11 13 0 7 71 15 5 63 0.17327299999999995 0 0 7 0 0 166 0 0 22 52 92
0 linear 0 15 49.613422999999997 7.2540425509600803 1 91 49.180579000000002 0.012009000000000001 0.39210699999999993 0.007842 0.0018150000000000002 0.0031909999999999998 0.010168 0.010021 0.25798500000000002 48.715181999999999 0.09298300000000001 2.9e-05 0.080752999999999991 0.001949 0.0038310000000000002 0.28673800000000005 0.050654999999999992 0.012565 0 2 13 13 0 0 0 0 0 0 49.057315000000003 49.173532000000002 0.0021779999999999998 0.0055919999999999997 0.012485 3.0000000000000001e-05 0 1 1 8 0.0027134713756958736 1 63 13 50 2 16 18 0 6 92 13 5 73 0.18464800000000006 0 0 6 0 0 182 0 0 25 59 98
0 linear 0 23 49.708863000000001 7.2793514851610421 1 91 49.323262 0.011756000000000001 0.34808199999999989 0.0084280000000000015 0.0013960000000000001 0.0031809999999999998 0.010219000000000001 0.0098630000000000002 0.37184600000000001 48.774079 0.093716999999999995 3.3000000000000003e-05 0.049356999999999998 0.0016180000000000001 0.0038110000000000006 0.24160499999999999 0.05244600000000002 0.012360000000000006 0 3 13 13 0 0 0 0 0 0 49.231599000000003 49.316217999999999 0.0018140000000000001 0.0055389999999999997 0.012466999999999999 3.3000000000000003e-05 0 1 1 8 0.0030160757831446021 1 67 13 54 3 21 24 0 7 119 13 5 73 0.17075199999999999 0 0 7 0 0 182 0 0 24 54 104
0 linear 1 0 1.005625 589.76731831372365 1 105 0.62953000000000003 0.013889 0.30781299999999978 0.0068709999999999995 0.0016360000000000001 0.0033140000000000001 0.0098849999999999997 0.17585600000000001 0.13056699999999999 0 0.0086490000000000004 0.0016299999999999999 0.25098900000000002 0.0017750000000000001 0.0039230000000000003 0.15663299999999999 0.078694000000000097 0.020083000000000018 0 0 0 0 0.0060340000000000003 1 0 0 14 0 0.32530799999999999 0.62117800000000001 0.0015089999999999999 0.0035950000000000001 0.016229 0.003803 0 0 0 0 0 0 74 45 29 4 3 8 0 3 232 65 7 53 0.080721999999999988 0 0 3 0 0 302 0 0 38 101 163
0 linear 1 7 0.66694500000000001 593.09247526628167 1 105 0.30614200000000003 0.013488 0.32589800000000008 0.005935000000000001 0.0015410000000000003 0.002869 0.0092630000000000004 0.0083859999999999994 0.13914899999999999 0 0.0034290000000000002 0.0010499999999999999 0.10388500000000001 0.0011490000000000001 0.003676 0.165216 0.081546000000000132 0.017458000000000012 0 1 19 19 0.0029120000000000001 1 0 0 14 0 0.159248 0.299674 0.001439 0.003496 0.01448 0.001245 0 1 1 8 0.0016863986939356674 1 74 45 29 4 3 8 0 3 232 65 7 53 0.090030999999999986 0 0 3 0 0 302 0 0 33 108 161
0 linear 1 15 0.903393 596.53003682974679 1 128 0.41312300000000002 0.015127 0.441969 0.0074549999999999998 0.0017700000000000001 0.0039519999999999998 0.0095099999999999994 0.0088360000000000001 0.111066 0 0.0042059999999999997 0.00096000000000000002 0.22558900000000004 0.0015590000000000001 0.0065809999999999992 0.22400999999999996 0.10500300000000008 0.023081000000000004 0 2 19 19 0.003137 1 0 0 14 0 0.133742 0.40051199999999998 0.002042 0.0034459999999999998 0.014592999999999998 0.0017290000000000001 0 1 1 8 0.18679473719266346 1 85 46 39 6 3 9 2 3 239 65 8 74 0.11718700000000006 0 0 3 0 0 394 0 0 37 131 226
0 linear 1 23 0.73005900000000001 599.54254534181996 1 128 0.26223200000000002 0.012947999999999999 0.43080799999999986 0.0068750000000000009 0.001603 0.0026440000000000001 0.0082500000000000004 0.008201 0.131686 0 0.0034749999999999998 0.000892 0.071351999999999999 0.0010950000000000001 0.0037160000000000001 0.21901999999999985 0.099976999999999969 0.022808000000000019 0 3 19 19 0.002993 1 0 0 14 0 0.150867 0.25601200000000002 0.001238 0.0031129999999999999 0.013790999999999999 0.001253 0 1 1 8 0.0068439882711387309 1 85 47 38 5 3 8 1 3 243 67 8 73 0.11172399999999996 0 0 3 0 0 394 0 0 46 140 208
0 linear 2 0 35.049033999999999 2.3667291596036724 1 61 34.805703999999999 0.011990000000000001 0.20702899999999996 0.0077280000000000005 0.0010250000000000001 0.0029810000000000001 0.0098420000000000001 0.17138800000000001 0.32742599999999999 34.151451000000002 0.086592000000000002 2.6999999999999999e-05 0.041464000000000001 0.0031280000000000001 0.0038019999999999998 0.13739899999999997 0.032759999999999984 0.0073090000000000004 0 0 0 0 0 0 0 0 0 0 34.718805000000003 34.796002999999999 0.001338 0.0054099999999999999 0.012566000000000001 4.3999999999999999e-05 0 0 0 0 0 0 47 21 26 2 10 12 0 6 88 21 3 37 0.084040999999999991 0 0 6 0 0 122 0 0 24 47 51
0 linear 2 7 47.701880000000003 2.4102109454225378 1 61 47.387692999999999 0.01244 0.27714600000000006 0.006777 0.0010039999999999999 0.0030569999999999998 0.010255 0.0098589999999999997 0.33232699999999998 46.922988000000004 0.086139999999999994 2.6999999999999999e-05 0.010983 0.001635 0.003869 0.19593499999999994 0.035281999999999987 0.010066000000000002 0 1 16 13 0 0 0 0 0 0 47.334556999999997 47.380555999999999 0.0019550000000000001 0.005679 0.012525999999999999 4.3999999999999999e-05 0 1 1 8 0.11055858717162853 1 43 16 27 3 9 12 0 5 79 16 3 42 0.12758600000000003 0 0 5 0 0 122 0 0 26 46 50
0 linear 2 15 50.382351 2.4659804224859272 1 61 50.117620000000002 0.014928 0.22719499999999998 0.0061809999999999999 0.00097099999999999997 0.0033519999999999999 0.010588999999999999 0.010322 0.26585199999999998 49.721180000000004 0.084294000000000008 2.8e-05 0.010714 0.0016230000000000001 0.0037780000000000001 0.15458799999999998 0.033019 0.0087340000000000039 0 2 19 18 0 0 0 0 0 0 50.064461999999999 50.110736000000003 0.002101 0.0054679999999999998 0.012807999999999998 3.1999999999999999e-05 0 1 1 8 0.0016090859999255856 1 50 19 31 1 14 15 0 6 106 19 3 39 0.11756699999999998 0 0 6 0 0 122 0 0 21 46 55
0 linear 2 23 49.477061999999997 2.5300557252343201 1 61 49.163048000000003 0.012545000000000001 0.27770100000000003 0.0065430000000000002 0.00092000000000000014 0.0042090000000000001 0.0099480000000000002 0.0098279999999999999 0.25382500000000002 48.771431 0.091382999999999992 3.1000000000000001e-05 0.011065 0.001663 0.0038939999999999995 0.19318800000000003 0.036959000000000006 0.0098729999999999998 0 3 17 16 0 0 0 0 0 0 49.108840000000001 49.156044000000001 0.001928 0.0058409999999999998 0.01294 3.3000000000000003e-05 0 1 1 8 0.0026246619501964687 1 50 17 33 1 15 16 0 7 106 17 3 41 0.14592599999999997 0 0 7 0 0 122 0 0 23 46 53
