case_id	profile	d_bin_index	epoch_index	warm_ms	warm_nodes	warm_panels	topology	physics	arc	endpoint	presearch	real	residual	metadata
40	uniform	2	7	0.193466	94	10	0.089176	0.11585600000000001	0.07351599999999998	0.026773999999999992	0.008985	0.022778	0.013065	0.008337
24	uniform	0	23	0.194095	81	7	0.080058	0.11066700000000002	0.068899	0.028589999999999994	0.007677	0.02033	0.011576	0.010523999999999999
66	uniform	1	7	0.195159	95	9	0.087971	0.10498600000000002	0.069751	0.02197300000000002	0.007627	0.02158	0.012123	0.011605
137	uniform	1	23	0.196231	89	7	0.088707	0.10564099999999998	0.062170999999999976	0.029126	0.007726	0.019652	0.014101	0.015597
65	uniform	1	7	0.197302	87	9	0.08524	0.11103999999999999	0.07527499999999995	0.021661000000000003	0.007182	0.020575	0.010124	0.012208
29	uniform	0	15	0.197887	74	6	0.085194	0.10796400000000002	0.06986800000000001	0.025984	0.007369	0.019674	0.011589	0.014776
40	uniform	1	15	0.199142	101	11	0.085764	0.11458499999999996	0.07590700000000002	0.02293200000000001	0.005516	0.0201	0.013064	0.012086000000000003
68	uniform	2	7	0.199746	75	5	0.088933	0.11100599999999998	0.07937	0.01933800000000001	0.007626	0.022447	0.013986	0.01166
70	uniform	0	7	0.201324	73	7	0.101179	0.10086099999999999	0.048322	0.04040000000000002	0.008441	0.031615	0.011729	0.014328
67	uniform	2	15	0.20356	78	10	0.095995	0.11741399999999999	0.07734599999999998	0.02622700000000001	0.008596	0.022977	0.01054	0.013034
40	uniform	0	15	0.204822	109	11	0.079149	0.126193	0.08184799999999999	0.02700100000000001	0.005546	0.011256	0.01469	0.011935000000000001
156	uniform	2	7	0.205484	82	6	0.098828	0.10322500000000003	0.05741999999999999	0.03306	0.008656	0.021858	0.012155	0.018287
178	uniform	4	7	0.207018	74	6	0.093417	0.11189399999999998	0.07306299999999999	0.027380000000000005	0.006739	0.022239	0.01142	0.018207
118	uniform	2	23	0.208122	52	4	0.106467	0.09475199999999996	0.074388	0.012405	0.008152	0.029323	0.025211	0.013485
76	uniform	0	7	0.209865	80	8	0.099782	0.10331999999999998	0.05858399999999999	0.032076	0.007956	0.032961	0.011731	0.01458
148	uniform	2	15	0.211797	110	10	0.082588	0.128557	0.08369299999999999	0.02728599999999998	0.008273	0.020698	0.006573	0.012601000000000001
157	uniform	0	7	0.213583	94	10	0.10019	0.11356999999999999	0.06617299999999998	0.033377999999999984	0.007628	0.022491	0.013186	0.015683
114	uniform	1	15	0.214234	81	7	0.106932	0.11603999999999998	0.07153499999999999	0.031823000000000004	0.009464	0.03238	0.015776	0.015149
75	uniform	1	7	0.21583	110	10	0.091506	0.12887200000000007	0.08230299999999996	0.03081299999999999	0.008217	0.019922	0.012493	0.012361
109	uniform	1	23	0.216999	100	12	0.102608	0.12190200000000002	0.083476	0.023180000000000006	0.009398	0.023084	0.015577	0.014011
84	uniform	1	23	0.220084	82	6	0.082016	0.129843	0.091479	0.025841999999999983	0.008414	0.019268	0.01114	0.013628000000000001
46	uniform	1	23	0.221981	82	6	0.083057	0.13376899999999994	0.097228	0.023998000000000002	0.00729	0.022754	0.007239	0.014816
15	uniform	3	15	0.224454	44	4	0.127472	0.06722700000000001	0.042956999999999995	0.017468	0.006791	0.02213	0.011959	0.010817000000000002
118	uniform	3	15	0.226231	74	6	0.128689	0.08957499999999999	0.04897999999999998	0.029232999999999985	0.008114	0.060425	0.011512	0.017436
157	uniform	3	23	0.227815	66	6	0.142949	0.08626100000000002	0.053140999999999994	0.022964000000000002	0.007158	0.019806	0.012666	0.011601
129	uniform	2	23	0.230263	75	5	0.094798	0.12536099999999997	0.083682	0.030142000000000006	0.008235	0.029311	0.011036	0.013906000000000002
159	uniform	2	15	0.232655	109	11	0.086602	0.14182099999999997	0.09679600000000003	0.02759	0.005827	0.020029	0.010828	0.01589
23	uniform	0	15	0.234691	98	6	0.082237	0.15533800000000006	0.10071500000000003	0.03753099999999997	0.007539	0.020932	0.008071	0.011505999999999999
194	uniform	4	15	0.236953	89	7	0.098467	0.13847100000000004	0.08923000000000005	0.033564	0.006606	0.021438	0.013092	0.020097
66	uniform	0	7	0.238767	118	10	0.088574	0.148547	0.096303	0.035397999999999985	0.007504	0.01968	0.011952	0.01216
32	uniform	4	23	0.24108	67	5	0.090649	0.13928700000000002	0.11136099999999996	0.01760699999999999	0.007717	0.020441	0.014483	0.01687
63	uniform	1	7	0.245418	88	8	0.093417	0.15590300000000007	0.10895400000000004	0.03269099999999997	0.008445	0.022084	0.012369	0.015071000000000001
