case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid rootpair_calls rootpair_success rootpair_cold predictor_reject newton_reject branch_reject tmax_reject vfloor_reject newton_iterations newton_pairs_accepted quartic_cold quartic_warm rootpair_ms predictor_nonpositive corrected_nonpositive corrected_tiny_positive tiny_eligible tiny_bracket_pass endpoint_calls endpoint_evaluations endpoint_repeated endpoint_stationary endpoint_small_step endpoint_limit
15 linear 3 0 1.7249950000000001 1.0349613589615063 1 60 0.63730100000000001 0.0625 0.098165999999999989 0.0076610000000000003 0.0018759999999999998 0.0074689999999999999 0.024140999999999999 0.205651 0.10867400000000001 0 0.027220999999999999 0.001521 0.136101 0.00662 0.012179000000000001 0.042797000000000016 0.02237200000000001 0.0083260000000000001 0 0 0 0 0.0054850000000000003 1 0 0 10 0 0.37149199999999999 0.60104400000000002 0.0089849999999999999 0.0062750000000000002 0.012991000000000001 0.00067400000000000001 0 0 0 0 0 0 60 51 9 3 2 5 0 2 153 51 4 5 0.034372000000000021 0 0 2 0 0 120 0 0 37 39 44
15 linear 3 7 0.27303100000000002 1.036424578793963 1 60 0.109448 0.04088 0.10571799999999998 0.0044619999999999998 0.00078600000000000002 0.0032680000000000001 0.013252 0.0086459999999999992 0.023307000000000001 0 0.014057 0.001173 0.004078 0.001637 0.0039909999999999998 0.059906000000000001 0.022294999999999992 0.0068369999999999985 0 1 27 27 0.0031080000000000001 1 0 0 10 0 0.057904999999999998 0.10152899999999999 0.0023600000000000001 0.005169 0.012568000000000001 0.00027399999999999999 0 1 1 8 0.0013131773164442831 1 60 51 9 3 2 5 0 2 153 51 4 5 0.048446000000000003 0 0 2 0 0 120 0 0 31 44 45
15 linear 3 15 0.29477700000000001 1.0383118102568798 1 60 0.13439499999999999 0.040774999999999999 0.10312799999999997 0.0040210000000000003 0.00073999999999999999 0.0030709999999999999 0.0094999999999999998 0.0075570000000000003 0.020494999999999999 0 0.013121000000000001 0.00095600000000000004 0.045207999999999998 0.0013159999999999999 0.0034349999999999997 0.058052999999999993 0.021680999999999992 0.0068340000000000007 0 2 27 27 0.003042 1 0 0 10 0 0.050319000000000003 0.128272 0.0013140000000000001 0.0043249999999999999 0.011829999999999999 4.1e-05 0 1 1 8 0.0019747965261813724 1 60 51 9 3 2 5 0 2 155 51 4 5 0.050775999999999988 0 0 2 0 0 120 0 0 41 38 41
15 linear 3 23 0.38945800000000003 1.040474110425583 1 67 0.212977 0.037046000000000003 0.10835200000000002 0.0041359999999999999 0.00091700000000000006 0.0027729999999999999 0.0092069999999999999 0.0074089999999999998 0.020351999999999999 0 0.012697 0.00092599999999999996 0.12672899999999998 0.0011429999999999999 0.003251 0.058785999999999998 0.023931999999999991 0.0076479999999999977 0 3 27 27 0.0029940000000000001 1 0 0 10 0 0.048945000000000002 0.20718 0.001201 0.0040480000000000004 0.011317000000000001 4.0000000000000003e-05 0 1 1 8 0.0018729107947430628 1 67 57 10 3 2 5 0 2 171 57 5 5 0.050758000000000005 0 0 2 0 0 134 0 0 43 47 44
15 uniform 3 0 0.57466499999999998 1.0350327531978314 1 44 0.47760900000000001 0.038122000000000003 0.048268999999999999 0.002271 0.00069099999999999999 0.002591 0.0085190000000000005 0.19151000000000001 0.097076999999999997 0 0.012407 0.00093199999999999999 0.13225700000000001 0.001204 0.0031270000000000004 0.023983999999999995 0.017585000000000007 0 0 0 0 0 0.0029510000000000001 1 0 0 10 0 0.309 0.47151300000000002 0.00081499999999999997 0.0039820000000000003 0.011007999999999999 4.0000000000000003e-05 0 0 0 0 0 0 44 37 7 3 0 3 0 0 121 37 4 3 0.018679000000000005 0 0 0 0 0 88 0 0 21 25 42
15 uniform 3 7 0.188832 1.0365193859328952 1 44 0.085056999999999994 0.034733 0.058985999999999997 0.0020720000000000001 0.00064500000000000007 0.0023939999999999999 0.0081709999999999994 0.0068710000000000004 0.019893000000000001 0 0.012211 0.00084199999999999998 0.0037699999999999999 0.0010640000000000001 0.0030709999999999995 0.034256999999999996 0.018134000000000001 0 0 1 13 13 0.002895 1 0 0 10 0 0.047220999999999999 0.079745999999999997 0.0011980000000000001 0.0039890000000000004 0.010803 2.5000000000000001e-05 0 1 1 8 0.0013131773164442831 1 44 37 7 3 0 3 0 0 121 37 4 3 0.028937000000000001 0 0 0 0 0 88 0 0 17 30 41
15 uniform 3 15 0.25848100000000002 1.0384464721750202 1 44 0.14006399999999999 0.041327999999999997 0.065173999999999968 0.0022719999999999997 0.00066399999999999999 0.003274 0.0088929999999999999 0.0073550000000000004 0.022019 0 0.012323000000000001 0.00074899999999999999 0.051315 0.0014530000000000001 0.0031840000000000006 0.041121000000000012 0.017315999999999995 0 0 2 13 13 0.0029369999999999999 1 0 0 10 0 0.050512000000000001 0.134135 0.0014430000000000001 0.003826 0.011145 4.8999999999999998e-05 0 1 1 8 0.0019747965261813724 1 44 37 7 3 0 3 0 0 123 37 4 3 0.035792999999999978 0 0 0 0 0 88 0 0 23 30 35
15 uniform 3 23 0.32173099999999999 1.0406717667140994 1 51 0.20824999999999999 0.034597999999999997 0.069252999999999967 0.0021190000000000002 0.00078699999999999994 0.0022209999999999999 0.0076470000000000002 0.006842 0.021718000000000001 0 0.012118 0.00079699999999999997 0.127053 0.00099400000000000009 0.0029839999999999997 0.04123700000000001 0.020353999999999997 0 0 3 13 13 0.0029229999999999998 1 0 0 10 0 0.048598000000000002 0.20313800000000001 0.001129 0.0036549999999999998 0.010462000000000001 2.4000000000000001e-05 0 1 1 8 0.0018729107947430628 1 51 43 8 3 0 3 0 0 139 43 5 3 0.035109999999999995 0 0 0 0 0 102 0 0 23 38 41
23 linear 0 0 0.50533300000000003 16.233902226671066 1 82 0.249559 0.011379 0.22498899999999991 0.0054029999999999998 0.0011430000000000001 0.00298 0.0090889999999999999 0.16136700000000001 0.025319999999999999 0 0.0084609999999999998 0.0010070000000000001 0.00199 0.0012520000000000001 0.0037139999999999999 0.071527000000000021 0.038014000000000006 0.016249000000000006 0 0 0 0 0.0029840000000000001 1 0 0 12 0 0.20355100000000001 0.24201400000000001 0.001155 0.0039659999999999999 0.012265999999999999 0.0034520000000000002 0 0 0 0 0 0 62 34 28 3 4 7 0 1 235 50 6 42 0.047272999999999989 1 0 0 0 0 240 0 0 90 110 40
23 linear 0 7 0.32988099999999998 16.700879650300749 1 82 0.089159000000000002 0.0098480000000000009 0.21511199999999991 0.0047470000000000004 0.00098200000000000002 0.0028159999999999999 0.0090469999999999995 0.0073749999999999996 0.024237999999999999 0 0.0080479999999999996 0.0010510000000000001 0.0019459999999999998 0.001057 0.0033849999999999991 0.068897 0.032143000000000033 0.015414000000000008 0 1 1 1 0.0030040000000000002 1 0 0 12 0 0.047960999999999997 0.082922999999999997 0.0013309999999999999 0.0037230000000000002 0.011847 0.0012819999999999999 0 1 1 8 0.0022848936079059366 1 62 34 28 3 4 7 0 1 233 50 6 42 0.046204999999999989 1 0 0 0 0 240 0 0 85 122 33
23 linear 0 15 0.33088200000000001 16.995680709723594 1 82 0.086399000000000004 0.01042 0.21879999999999999 0.0044650000000000002 0.00087599999999999993 0.0025219999999999999 0.0086920000000000001 0.0077429999999999999 0.023276999999999999 0 0.0080040000000000007 0.0010510000000000001 0.0018979999999999999 0.0016149999999999999 0.003114 0.067024999999999973 0.033110999999999974 0.014926000000000002 0 2 1 1 0.0029640000000000001 1 0 0 12 0 0.047140000000000001 0.080838999999999994 0.0012440000000000001 0.003591 0.011496000000000001 0.001291 0 1 1 8 0.0015294460646140804 1 62 34 28 3 4 7 0 1 233 50 6 42 0.04431899999999999 1 0 0 0 0 240 0 0 88 113 39
23 linear 0 23 0.32566200000000001 17.041352986733589 1 82 0.082325999999999996 0.010409 0.21838700000000003 0.0041679999999999998 0.0010010000000000002 0.002464 0.0085369999999999994 0.0057710000000000001 0.022454999999999999 0 0.0083940000000000004 0.00095500000000000001 0.001846 0.00066600000000000003 0.0028149999999999998 0.066095999999999988 0.032623000000000006 0.014751000000000011 0 3 1 1 0.0030430000000000001 1 0 0 12 0 0.044762000000000003 0.076665999999999998 0.001328 0.0035560000000000001 0.011479 0.0011349999999999999 0 0 0 0 0 0 62 34 28 3 4 7 0 1 233 50 6 42 0.043552 1 0 0 0 0 240 0 0 77 128 35
23 uniform 0 0 0.39774999999999999 15.529634502737235 1 98 0.238597 0.010093 0.12767399999999998 0.0052360000000000002 0.0012079999999999999 0.0024320000000000001 0.0082699999999999996 0.16100300000000001 0.023581000000000001 0 0.0079889999999999996 0.00093499999999999996 0.0018379999999999998 0.000959 0.003153 0.074697000000000013 0.036313000000000005 0 0 0 0 0 0.0028879999999999999 1 0 0 12 0 0.20019999999999999 0.23284299999999999 0.000861 0.0036259999999999999 0.011195 0.001343 0 0 0 0 0 0 67 34 33 3 4 7 0 1 235 50 6 58 0.04529699999999999 1 0 0 0 0 272 0 0 106 126 40
23 uniform 0 7 0.235904 15.845639454693035 1 98 0.082417000000000004 0.0093670000000000003 0.12743999999999997 0.0046770000000000006 0.001031 0.0022889999999999998 0.0078849999999999996 0.0069439999999999997 0.023427 0 0.0079100000000000004 0.00097799999999999992 0.0018269999999999998 0.000883 0.003137 0.075366000000000016 0.035317000000000001 0 0 1 1 1 0.0029030000000000002 1 0 0 12 0 0.045738000000000001 0.076828999999999995 0.00115 0.0031960000000000001 0.010970000000000001 0.0011620000000000001 0 1 1 8 0.0022848936079059366 1 67 34 33 3 4 7 0 1 233 50 6 58 0.046013999999999979 1 0 0 0 0 272 0 0 98 139 35
23 uniform 0 15 0.23572499999999999 16.042082903898912 1 98 0.080715999999999996 0.0099389999999999999 0.12894700000000006 0.0043839999999999999 0.0011789999999999999 0.002248 0.0077460000000000003 0.0071110000000000001 0.022974999999999999 0 0.0078340000000000007 0.00081700000000000002 0.0018489999999999999 0.00079799999999999999 0.0029009999999999999 0.07525599999999999 0.037011999999999989 0 0 2 1 1 0.0028969999999999998 1 0 0 12 0 0.045268999999999997 0.075574000000000002 0.0010740000000000001 0.003385 0.010755000000000001 0.001219 0 1 1 8 0.0015294460646140804 1 67 34 33 3 4 7 0 1 233 50 6 58 0.045815999999999982 1 0 0 0 0 272 0 0 104 125 43
23 uniform 0 23 0.23719799999999999 16.072291654477414 1 98 0.084261000000000003 0.0099069999999999991 0.12734300000000004 0.004143 0.001067 0.0069550000000000002 0.0079679999999999994 0.0054289999999999998 0.022745999999999999 0 0.0083960000000000007 0.00087100000000000003 0.001807 0.00062 0.0028399999999999996 0.074923000000000031 0.035654999999999978 0 0 3 1 1 0.0029870000000000001 1 0 0 12 0 0.044021999999999999 0.079169000000000003 0.001168 0.0032030000000000001 0.011074000000000001 0.001152 0 0 0 0 0 0 67 34 33 3 4 7 0 1 233 50 6 58 0.045789000000000003 1 0 0 0 0 272 0 0 96 139 37
