case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid rootpair_calls rootpair_success rootpair_cold predictor_reject newton_reject branch_reject tmax_reject vfloor_reject newton_iterations newton_pairs_accepted quartic_cold quartic_warm rootpair_ms predictor_nonpositive corrected_nonpositive corrected_tiny_positive tiny_eligible tiny_bracket_pass endpoint_calls endpoint_evaluations endpoint_repeated endpoint_stationary endpoint_small_step endpoint_limit
0 linear 0 0 50.738768999999998 7.0379226907910697 1 67 49.545848999999997 0.030119 0.19795700000000005 0.013039 0.002029 0.0079450000000000007 0.025284999999999998 0.18856999999999999 0.356346 48.698589999999996 0.10412600000000001 2.8e-05 0.05969399999999999 0.0072989999999999999 0.01125 0.12428900000000002 0.032923999999999981 0.0087579999999999984 0 0 0 0 0 0 0 0 0 0 49.346992 49.510094000000002 0.0088240000000000002 0.0072639999999999996 0.01519 0.00061899999999999998 0 0 0 0 0 0 54 13 41 2 10 12 0 6 65 13 5 49 0.090406999999999987 0 0 6 0 0 134 0 0 26 42 66
0 linear 0 7 49.449635999999998 7.1651756850412518 1 83 49.102877999999997 0.011757999999999999 0.30428499999999997 0.0063969999999999999 0.0021489999999999999 0.0035249999999999999 0.013398 0.019903000000000001 0.37445200000000001 48.560439000000002 0.09059600000000001 3.6000000000000001e-05 0.016390999999999999 0.0033140000000000001 0.0044740000000000005 0.20064699999999994 0.051896999999999999 0.012116 0 1 15 15 0 0 0 0 0 0 49.030490999999998 49.090466999999997 0.0027980000000000001 0.0064999999999999997 0.012820999999999999 0.000233 0 2 1 16 0.00115407797797932 2 61 15 46 2 11 13 0 7 71 15 5 63 0.13453499999999999 0 0 7 0 0 166 0 0 20 58 88
0 linear 0 15 49.559099000000003 7.2540425509606834 1 91 49.173189000000001 0.012411 0.34255800000000008 0.0068389999999999996 0.0016099999999999999 0.0036489999999999999 0.010447 0.0099480000000000002 0.25211 48.714731999999998 0.091066999999999995 3.6999999999999998e-05 0.079592999999999997 0.0018289999999999999 0.0037039999999999998 0.22278000000000003 0.060439000000000014 0.013295 0 2 13 13 0 0 0 0 0 0 49.050154999999997 49.166125999999998 0.001627 0.0053150000000000003 0.012136999999999998 3.8999999999999999e-05 0 1 1 8 0.0027134713756958736 1 63 13 50 2 16 18 0 6 92 13 5 73 0.15261700000000003 0 0 6 0 0 182 0 0 26 57 99
0 linear 0 23 49.802041000000003 7.2793514851625778 1 91 49.441546000000002 0.011587999999999999 0.32396000000000014 0.0084480000000000006 0.0015809999999999997 0.00313 0.010286999999999999 0.0099690000000000004 0.40183099999999999 48.867705999999998 0.089572000000000013 2.8e-05 0.048554999999999994 0.0016540000000000001 0.0037910000000000001 0.20385199999999989 0.054637000000000033 0.013396000000000007 0 3 13 13 0 0 0 0 0 0 49.350681000000002 49.434682000000002 0.0015590000000000001 0.0053239999999999997 0.012591999999999999 4.6e-05 0 1 1 8 0.0030160757831446021 1 67 13 54 3 21 24 0 7 119 13 5 73 0.13567199999999999 0 0 7 0 0 182 0 0 25 55 102
0 linear 1 0 0.930037 589.76731831372842 1 105 0.62901899999999999 0.013285 0.23896100000000006 0.0073619999999999996 0.0016330000000000001 0.003274 0.010139 0.175646 0.13020599999999999 0 0.0080549999999999997 0.001934 0.251002 0.002186 0.0040670000000000003 0.090030000000000013 0.079083000000000014 0.017398000000000004 0 0 0 0 0.0056189999999999999 1 0 0 14 0 0.324133 0.62046699999999999 0.0012769999999999999 0.003705 0.017171000000000002 0.0037100000000000002 0 0 0 0 0 0 74 45 29 4 3 8 0 3 232 65 7 53 0.056097000000000015 0 0 3 0 0 302 0 0 38 101 163
0 linear 1 7 0.60466600000000004 593.09247526627757 1 105 0.31106200000000001 0.013004999999999999 0.25922200000000001 0.0062230000000000002 0.0014169999999999999 0.0029970000000000001 0.012836999999999999 0.008737 0.139769 0 0.0035430000000000001 0.001049 0.10369 0.0010250000000000001 0.0037559999999999998 0.10333299999999995 0.077020000000000019 0.017481000000000017 0 1 19 19 0.0029269999999999999 1 0 0 14 0 0.16023200000000001 0.304282 0.0013359999999999999 0.003424 0.014347999999999998 0.00134 0 1 1 8 0.0016863986939356674 1 74 45 29 4 3 8 0 3 232 65 7 53 0.069752000000000022 0 0 3 0 0 302 0 0 33 110 159
0 linear 1 15 0.79762599999999995 596.53003682974315 1 128 0.41103099999999998 0.013804 0.34103399999999995 0.0077599999999999995 0.001848 0.0034610000000000001 0.0097610000000000006 0.0086779999999999999 0.115314 0 0.0040340000000000003 0.00097900000000000005 0.22536199999999998 0.001408 0.0042049999999999995 0.12599599999999997 0.10244100000000017 0.02290600000000001 0 2 19 19 0.0031380000000000002 1 0 0 14 0 0.13688400000000001 0.40246399999999999 0.0016149999999999999 0.0032989999999999998 0.014746000000000002 0.001457 0 1 1 8 0.18679473719266346 1 85 46 39 6 3 9 2 3 239 65 8 74 0.082291000000000045 0 0 3 0 0 394 0 0 38 127 229
0 linear 1 23 0.63526800000000005 599.54254534181575 1 128 0.266872 0.012751 0.33186199999999993 0.0068879999999999992 0.0015150000000000001 0.0025959999999999998 0.0083429999999999997 0.0082140000000000008 0.13211000000000001 0 0.003529 0.00087900000000000001 0.075077000000000005 0.0010809999999999999 0.0037060000000000001 0.12011900000000003 0.10005300000000017 0.02278400000000002 0 3 19 19 0.0029780000000000002 1 0 0 14 0 0.151339 0.26064399999999999 0.0011789999999999999 0.0031870000000000002 0.013823000000000002 0.001341 0 1 1 8 0.0068439882711387309 1 85 47 38 5 3 8 1 3 243 67 8 73 0.07674499999999998 0 0 3 0 0 394 0 0 46 140 208
0 linear 2 0 35.005222000000003 2.3667291596045543 1 61 34.845351000000001 0.012499 0.12720000000000001 0.0048130000000000004 0.0010300000000000001 0.0030230000000000001 0.0099019999999999993 0.17108699999999999 0.32821600000000001 34.187573999999998 0.087486000000000008 3.1000000000000001e-05 0.043625000000000004 0.0025669999999999998 0.0038680000000000003 0.070108000000000004 0.027980000000000008 0.006709999999999999 0 0 0 0 0 0 0 0 0 0 34.756214 34.835647999999999 0.00082399999999999997 0.0056150000000000002 0.012546000000000002 6.8999999999999997e-05 0 0 0 0 0 0 50 22 28 2 9 11 0 6 87 22 3 36 0.045775999999999997 0 0 6 0 0 122 0 0 24 45 53
0 linear 2 7 47.841296999999997 2.4102109454228473 1 61 47.581029999999998 0.014527 0.22122699999999995 0.006718 0.00098400000000000007 0.0031640000000000001 0.010298 0.0086739999999999994 0.31079600000000002 47.136842999999999 0.085987000000000008 3.8000000000000002e-05 0.013508000000000001 0.0016440000000000001 0.0038369999999999993 0.13756200000000002 0.03984999999999999 0.0099430000000000022 0 1 16 13 0 0 0 0 0 0 47.524506000000002 47.574137999999998 0.0015449999999999999 0.0058479999999999999 0.013261999999999999 6.0999999999999999e-05 0 1 1 8 0.11055858717162853 1 43 16 27 3 9 12 0 5 79 16 3 42 0.088858999999999994 0 0 5 0 0 122 0 0 27 47 48
