case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid rootpair_calls rootpair_success rootpair_cold predictor_reject newton_reject branch_reject tmax_reject vfloor_reject newton_iterations newton_pairs_accepted quartic_cold quartic_warm rootpair_ms predictor_nonpositive corrected_nonpositive corrected_tiny_positive tiny_eligible tiny_bracket_pass endpoint_calls endpoint_evaluations endpoint_repeated endpoint_stationary endpoint_small_step endpoint_limit
0 linear 0 0 50.711444 7.0379226907910697 1 67 49.494546 0.030793000000000001 0.20795399999999997 0.0071609999999999998 0.0016899999999999997 0.0091380000000000003 0.020282000000000001 0.190302 0.36264400000000002 48.642494999999997 0.103519 3.4e-05 0.059600999999999994 0.0062220000000000001 0.012282000000000001 0.130331 0.035425999999999971 0.0086649999999999974 0 0 0 0 0 0 0 0 0 0 49.299598000000003 49.459584999999997 0.010732999999999999 0.0062370000000000004 0.012673 0.00075500000000000003 0 0 0 0 0 0 54 13 41 2 10 12 0 6 65 13 5 49 0.095593999999999957 0 0 6 0 0 134 0 0 26 42 66
0 linear 0 7 49.526646 7.1651756850412518 1 83 49.173161999999998 0.013429999999999999 0.30725500000000011 0.0065189999999999996 0.0013340000000000001 0.0037399999999999998 0.012182 0.018588 0.36933300000000002 48.633248999999999 0.092697000000000002 2.6999999999999999e-05 0.016386999999999999 0.0028159999999999999 0.0064819999999999999 0.20329500000000006 0.050735999999999996 0.011972000000000005 0 1 15 15 0 0 0 0 0 0 49.099912000000003 49.159450999999997 0.0025279999999999999 0.007509 0.012461 0.00019900000000000001 0 2 1 16 0.00115407797797932 2 61 15 46 2 11 13 0 7 71 15 5 63 0.13741899999999996 0 0 7 0 0 166 0 0 20 58 88
0 linear 0 15 49.758724000000001 7.2540425509606834 1 91 49.378191999999999 0.011658999999999999 0.33899299999999993 0.0069670000000000001 0.0022899999999999999 0.0040689999999999997 0.010217 0.0099710000000000007 0.25992999999999999 48.908773000000004 0.093744999999999995 3.4999999999999997e-05 0.079625000000000001 0.0017880000000000001 0.0039629999999999995 0.22065799999999997 0.05909399999999998 0.014165000000000009 0 2 13 13 0 0 0 0 0 0 49.25497 49.370969000000002 0.0015150000000000001 0.0055370000000000003 0.012206999999999999 3.0000000000000001e-05 0 1 1 8 0.0027134713756958736 1 63 13 50 2 16 18 0 6 92 13 5 73 0.15113900000000005 0 0 6 0 0 182 0 0 26 57 99
0 linear 0 23 49.834668999999998 7.2793514851625778 1 91 49.443165 0.011757 0.35311400000000009 0.0094899999999999984 0.0014530000000000001 0.0031849999999999999 0.010192 0.0098930000000000008 0.40073999999999999 48.868378 0.091648999999999994 3.4e-05 0.048715000000000001 0.001709 0.0038309999999999998 0.22419200000000009 0.058949999999999954 0.015023000000000003 0 3 13 13 0 0 0 0 0 0 49.352454999999999 49.436391999999998 0.0016280000000000001 0.0054310000000000001 0.012463999999999999 2.6999999999999999e-05 0 1 1 8 0.0030160757831446021 1 67 13 54 3 21 24 0 7 119 13 5 73 0.14707099999999992 0 0 7 0 0 182 0 0 25 55 102
0 linear 1 0 0.94900799999999996 589.76731831372842 1 105 0.62856299999999998 0.013878 0.25186200000000014 0.007248000000000001 0.0017360000000000001 0.003251 0.0098919999999999998 0.17744599999999999 0.12632199999999999 0 0.0080700000000000008 0.001431 0.25399899999999997 0.001867 0.0043740000000000003 0.09691799999999999 0.08204399999999995 0.018194000000000009 0 0 0 0 0.0053299999999999997 1 0 0 14 0 0.32216 0.61904400000000004 0.001057 0.0047169999999999998 0.015744000000000001 0.0032950000000000002 0 0 0 0 0 0 74 45 29 4 3 8 0 3 232 65 7 53 0.061934999999999962 0 0 3 0 0 302 0 0 38 101 163
0 linear 1 7 0.60729200000000005 593.09247526627757 1 105 0.31459100000000001 0.012985 0.25830999999999998 0.006019 0.0015330000000000001 0.0040229999999999997 0.0093749999999999997 0.010836999999999999 0.14390900000000001 0 0.0035479999999999999 0.0010250000000000001 0.103753 0.001096 0.00396 0.10281600000000003 0.076794000000000057 0.017486000000000002 0 1 19 19 0.00297 1 0 0 14 0 0.16653799999999999 0.30788100000000002 0.001364 0.0034740000000000001 0.014312000000000002 0.001312 0 1 1 8 0.0016863986939356674 1 74 45 29 4 3 8 0 3 232 65 7 53 0.069033999999999998 0 0 3 0 0 302 0 0 33 110 159
0 linear 1 15 0.81806800000000002 596.53003682974315 1 128 0.41444199999999998 0.015436 0.35332800000000003 0.0079640000000000006 0.001758 0.0044739999999999997 0.010329 0.0092049999999999996 0.11137900000000001 0 0.0040000000000000001 0.0010250000000000001 0.22526599999999999 0.0020509999999999999 0.0047130000000000002 0.12950999999999999 0.10403000000000004 0.023581999999999999 0 2 19 19 0.0032200000000000002 1 0 0 14 0 0.13511999999999999 0.40498800000000001 0.0021979999999999999 0.0033660000000000001 0.014921999999999998 0.001794 0 1 1 8 0.18679473719266346 1 85 46 39 6 3 9 2 3 239 65 8 74 0.085000000000000006 0 0 3 0 0 394 0 0 38 127 229
0 linear 1 23 0.63115299999999996 599.54254534181575 1 128 0.26227499999999998 0.012959999999999999 0.33211200000000002 0.006698 0.0015469999999999998 0.0026080000000000001 0.0087060000000000002 0.0081829999999999993 0.13009399999999999 0 0.0035999999999999999 0.00090499999999999999 0.071433999999999997 0.001024 0.0039129999999999998 0.12033700000000003 0.10033500000000002 0.022815999999999999 0 3 19 19 0.0030509999999999999 1 0 0 14 0 0.149593 0.25586599999999998 0.001201 0.003284 0.013965 0.0013600000000000001 0 1 1 8 0.0068439882711387309 1 85 47 38 5 3 8 1 3 243 67 8 73 0.076954000000000022 0 0 3 0 0 394 0 0 46 140 208
0 linear 2 0 35.132340999999997 2.3667291596045543 1 61 34.929105 0.011646 0.16844499999999998 0.0065280000000000008 0.0010249999999999999 0.0030170000000000002 0.0098180000000000003 0.17391300000000001 0.325797 34.275112 0.086008000000000001 3.1999999999999999e-05 0.041242000000000001 0.002892 0.0040210000000000003 0.094922000000000034 0.035226 0.0072989999999999999 0 0 0 0 0 0 0 0 0 0 34.841807000000003 34.918821000000001 0.00088500000000000004 0.0055279999999999999 0.012485 3.1999999999999999e-05 0 0 0 0 0 0 50 22 28 2 9 11 0 6 87 22 3 36 0.061156000000000002 0 0 6 0 0 122 0 0 24 45 53
0 linear 2 7 47.726244999999999 2.4102109454228473 1 61 47.467813 0.011572000000000001 0.2209010000000001 0.006711 0.00088199999999999997 0.0031350000000000002 0.009946 0.0099799999999999993 0.332677 47.006653999999997 0.085527999999999993 2.6999999999999999e-05 0.0098650000000000005 0.001475 0.003922000000000001 0.13654599999999997 0.041152000000000029 0.0092500000000000013 0 1 16 13 0 0 0 0 0 0 47.417104999999999 47.460954999999998 0.001575 0.0056470000000000001 0.012184 3.4999999999999997e-05 0 1 1 8 0.11055858717162853 1 43 16 27 3 9 12 0 5 79 16 3 42 0.086949999999999972 0 0 5 0 0 122 0 0 27 47 48
