case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid rootpair_calls rootpair_success rootpair_cold predictor_reject newton_reject branch_reject tmax_reject vfloor_reject newton_iterations newton_pairs_accepted quartic_cold quartic_warm rootpair_ms predictor_nonpositive corrected_nonpositive corrected_tiny_positive tiny_eligible tiny_bracket_pass endpoint_calls endpoint_evaluations endpoint_repeated endpoint_stationary endpoint_small_step endpoint_limit quartic_unseeded quartic_disabled quartic_after_warm quartic_degree_change quartic_cold_sweeps quartic_warm_sweeps
0 linear 0 0 55.585527999999996 7.0379226907910697 1 67 54.217303000000001 0.044963999999999997 0.21311100000000008 0.0078079999999999998 0.0016119999999999999 0.010865 0.022374999999999999 0.19184799999999999 0.36604500000000001 53.276147999999999 0.11522299999999999 2.8e-05 0.065525000000000014 0.016167000000000001 0.011916999999999999 0.133936 0.033505999999999994 0.0091920000000000023 0 0 0 0 0 0 0 0 0 0 53.961641 54.183062999999997 0.011854999999999999 0.01333 0.014809999999999999 0.00077899999999999996 0 0 0 0 0 0 54 13 41 2 10 12 0 6 65 13 5 49 0.096613999999999978 0 0 6 0 0 134 0 0 26 42 66 5 0 0 0 174 670
0 linear 0 7 49.629579 7.1651756850412518 1 83 49.247534000000002 0.015520000000000001 0.33152100000000001 0.0072510000000000005 0.0017180000000000001 0.0084419999999999999 0.023203000000000001 0.020846 0.38088300000000003 48.662421000000002 0.093461000000000002 0.000176 0.01729 0.0030479999999999999 0.0052260000000000006 0.21277999999999997 0.061262000000000004 0.013666000000000006 0 1 15 15 0 0 0 0 0 0 49.152476 49.232683000000002 0.004927 0.0079920000000000008 0.013885999999999999 0.000397 0 2 1 16 0.00115407797797932 2 61 15 46 2 11 13 0 7 71 15 5 63 0.14402499999999999 0 0 7 0 0 166 0 0 20 58 88 5 0 0 0 199 852
0 linear 0 15 49.762621000000003 7.2540425509606834 1 91 49.365051999999999 0.011873 0.3560580000000001 0.0072350000000000001 0.0016280000000000001 0.003411 0.011072 0.010337000000000001 0.265376 48.888925 0.090164999999999995 2.8e-05 0.081779000000000004 0.001895 0.0040029999999999996 0.22844599999999993 0.065923000000000009 0.014164000000000005 0 2 13 13 0 0 0 0 0 0 49.238126999999999 49.357812000000003 0.0020470000000000002 0.0057869999999999996 0.013389 4.6e-05 0 1 1 8 0.0027134713756958736 1 63 13 50 2 16 18 0 6 92 13 5 73 0.156082 0 0 6 0 0 182 0 0 26 57 99 5 0 0 0 175 1013
0 linear 0 23 49.844115000000002 7.2793514851625778 1 91 49.451810000000002 0.011297 0.35299399999999992 0.009758000000000001 0.00165 0.0033419999999999999 0.010838 0.010482999999999999 0.39518300000000001 48.881959999999999 0.090532000000000001 2.6999999999999999e-05 0.048837999999999999 0.0017470000000000001 0.003813 0.22635399999999994 0.058401000000000015 0.01419000000000001 0 3 13 13 0 0 0 0 0 0 49.359796000000003 49.445036000000002 0.0017099999999999999 0.0054419999999999998 0.012813 4.5000000000000003e-05 0 1 1 8 0.0030160757831446021 1 67 13 54 3 21 24 0 7 119 13 5 73 0.148621 0 0 7 0 0 182 0 0 25 55 102 5 0 0 0 175 1049
0 linear 1 0 0.93919299999999994 589.76731831372842 1 105 0.63419300000000001 0.014703000000000001 0.23841499999999999 0.0068999999999999999 0.001807 0.0031570000000000001 0.0099430000000000004 0.17838699999999999 0.12787100000000001 0 0.010744 0.0018079999999999999 0.25157000000000002 0.0025279999999999999 0.0039619999999999994 0.089876000000000067 0.07876600000000003 0.017416999999999998 0 0 0 0 0.005215 1 0 0 14 0 0.32870899999999997 0.62457600000000002 0.001122 0.0048900000000000002 0.015880000000000002 0.0041110000000000001 0 0 0 0 0 0 74 45 29 4 3 8 0 3 232 65 7 53 0.05577600000000002 0 0 3 0 0 302 0 0 38 101 163 7 0 0 0 225 237
0 linear 1 7 0.60627799999999998 593.09247526627757 1 105 0.31260700000000002 0.012773 0.25887399999999994 0.0061340000000000006 0.0016400000000000002 0.0028249999999999998 0.0090830000000000008 0.0084650000000000003 0.140736 0 0.003555 0.0010529999999999999 0.108375 0.001178 0.0038069999999999996 0.10297500000000001 0.076959000000000069 0.017473000000000016 0 1 19 19 0.002967 1 0 0 14 0 0.16120699999999999 0.305896 0.001371 0.0036150000000000002 0.014527 0.0013010000000000001 0 1 1 8 0.0016863986939356674 1 74 45 29 4 3 8 0 3 232 65 7 53 0.069544000000000022 0 0 3 0 0 302 0 0 33 110 159 7 0 0 0 180 247
0 linear 1 15 0.81881999999999999 596.53003682974315 1 128 0.42332599999999998 0.015824000000000001 0.34364099999999997 0.0074309999999999984 0.0021329999999999999 0.0041830000000000001 0.011061 0.0090279999999999996 0.117103 0 0.0043359999999999996 0.0015020000000000001 0.22634699999999999 0.0018129999999999999 0.0047749999999999997 0.12826699999999996 0.102342 0.023387999999999999 0 2 19 19 0.0034220000000000001 1 0 0 14 0 0.14153399999999999 0.41266900000000001 0.00247 0.0035569999999999998 0.014936000000000001 0.0017600000000000001 0 1 1 8 0.18679473719266346 1 85 46 39 6 3 9 2 3 239 65 8 74 0.08449799999999999 0 0 3 0 0 394 0 0 38 127 229 8 0 0 0 242 332
0 linear 1 23 0.63833799999999996 599.54254534181575 1 128 0.26909300000000003 0.0126 0.33241300000000001 0.0067559999999999999 0.0016640000000000001 0.0027309999999999999 0.0083510000000000008 0.0082509999999999997 0.13187699999999999 0 0.0035149999999999999 0.00093400000000000004 0.076633000000000021 0.0011789999999999999 0.0036719999999999999 0.12046799999999998 0.10006200000000005 0.022813000000000021 0 3 19 19 0.0029619999999999998 1 0 0 14 0 0.151674 0.262934 0.0013630000000000001 0.0034030000000000002 0.013965 0.001395 0 1 1 8 0.0068439882711387309 1 85 47 38 5 3 8 1 3 243 67 8 73 0.077089000000000005 0 0 3 0 0 394 0 0 46 140 208 8 0 0 0 220 323
0 linear 2 0 35.016272999999998 2.3667291596045543 1 61 34.816650000000003 0.01281 0.16418099999999999 0.0065170000000000002 0.001245 0.0029380000000000001 0.0099059999999999999 0.17125499999999999 0.32846399999999998 34.163562999999996 0.085424 2.5999999999999998e-05 0.041461000000000005 0.002581 0.0037629999999999999 0.091566999999999982 0.034393 0.0073859999999999976 0 0 0 0 0 0 0 0 0 0 34.730248000000003 34.806663 0.00097400000000000004 0.0055319999999999996 0.012124999999999999 5.3999999999999998e-05 0 0 0 0 0 0 50 22 28 2 9 11 0 6 87 22 3 36 0.058306000000000018 0 0 6 0 0 122 0 0 24 45 53 3 0 0 0 95 377
0 linear 2 7 47.815297999999999 2.4102109454228473 1 61 47.556407999999998 0.011361 0.22059999999999994 0.0069169999999999995 0.001212 0.0030660000000000001 0.010163 0.0097640000000000001 0.32482499999999997 47.100318999999999 0.085158999999999999 2.9e-05 0.013063999999999999 0.001609 0.0036710000000000002 0.13827600000000009 0.040380999999999986 0.0090900000000000043 0 1 16 13 0 0 0 0 0 0 47.502504999999999 47.549757 0.00173 0.0056309999999999997 0.012154999999999999 5.5000000000000002e-05 0 1 1 8 0.11055858717162853 1 43 16 27 3 9 12 0 5 79 16 3 42 0.089171 0 0 5 0 0 122 0 0 27 47 48 3 0 0 0 95 473
