case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid rootpair_calls rootpair_success rootpair_cold predictor_reject newton_reject branch_reject tmax_reject vfloor_reject newton_iterations newton_pairs_accepted quartic_cold quartic_warm rootpair_ms predictor_nonpositive corrected_nonpositive corrected_tiny_positive tiny_eligible tiny_bracket_pass endpoint_calls endpoint_evaluations endpoint_repeated endpoint_stationary endpoint_small_step endpoint_limit quartic_unseeded quartic_disabled quartic_after_warm quartic_degree_change quartic_cold_sweeps quartic_warm_sweeps
0 linear 0 0 50.782966000000002 7.0379226907910697 1 67 49.582492000000002 0.034987999999999998 0.20342199999999996 0.0080920000000000002 0.0018930000000000002 0.0078300000000000002 0.021569999999999999 0.19042700000000001 0.33904499999999999 48.75056 0.097646000000000011 2.8e-05 0.061649000000000002 0.010763999999999999 0.014217000000000002 0.12909399999999996 0.032644999999999993 0.0087179999999999983 0 0 0 0 0 0 0 0 0 0 49.379088000000003 49.547522999999998 0.010711999999999999 0.0073229999999999996 0.014200000000000001 0.00048899999999999996 0 0 0 0 0 0 54 13 41 2 10 12 0 6 65 13 5 49 0.095189999999999997 0 0 6 0 0 134 0 0 26 42 66 0 0 0 0 0 0
0 linear 0 7 49.587350999999998 7.1651756850412518 1 83 49.287891999999999 0.012248999999999999 0.2594749999999999 0.0069579999999999998 0.0014170000000000001 0.0041000000000000003 0.012248 0.018283000000000001 0.36496499999999998 48.753751999999999 0.091972999999999999 2.8e-05 0.017251999999999997 0.0033630000000000001 0.0049279999999999992 0.17436000000000001 0.044018999999999961 0.010603 0 1 15 15 0 0 0 0 0 0 49.214708999999999 49.276452999999997 0.0028769999999999998 0.0060670000000000003 0.013058999999999999 8.6000000000000003e-05 0 2 1 16 0.00115407797797932 2 61 15 46 2 11 13 0 7 71 15 5 63 0.12203099999999997 0 0 7 0 0 166 0 0 20 58 88 0 0 0 0 0 0
0 linear 0 15 49.755243 7.2540425509606834 1 91 49.376080999999999 0.011983000000000001 0.33727999999999997 0.0071919999999999996 0.0022409999999999999 0.0032360000000000002 0.010383999999999999 0.0086379999999999998 0.24459900000000001 48.918723999999997 0.094291999999999987 2.9e-05 0.083697999999999995 0.0021510000000000001 0.0037320000000000009 0.221391 0.058820999999999998 0.013038000000000006 0 2 13 13 0 0 0 0 0 0 49.248924000000002 49.369073999999998 0.001686 0.0055789999999999998 0.012638 4.1999999999999998e-05 0 1 1 8 0.0027134713756958736 1 63 13 50 2 16 18 0 6 92 13 5 73 0.15103900000000001 0 0 6 0 0 182 0 0 26 57 99 0 0 0 0 0 0
0 linear 0 23 49.864300999999998 7.2793514851625778 1 91 49.469853000000001 0.011977 0.35495300000000002 0.0096900000000000007 0.001552 0.0032320000000000001 0.010500000000000001 0.0099500000000000005 0.39471099999999998 48.902763999999998 0.089335999999999999 2.5000000000000001e-05 0.048575 0.0017060000000000001 0.0036759999999999996 0.22729900000000008 0.060941000000000002 0.013242000000000012 0 3 13 13 0 0 0 0 0 0 49.378818000000003 49.463182000000003 0.001771 0.0052680000000000001 0.012723999999999999 2.5999999999999998e-05 0 1 1 8 0.0030160757831446021 1 67 13 54 3 21 24 0 7 119 13 5 73 0.14526300000000003 0 0 7 0 0 182 0 0 25 55 102 0 0 0 0 0 0
0 linear 1 0 0.93147599999999997 589.76731831372842 1 105 0.62788699999999997 0.013468000000000001 0.23840800000000006 0.0071860000000000005 0.0016490000000000003 0.0031749999999999999 0.010023000000000001 0.175927 0.12581000000000001 0 0.0081349999999999999 0.0013879999999999999 0.25131800000000004 0.0014909999999999999 0.0097949999999999982 0.089723000000000039 0.078777000000000014 0.01739000000000001 0 0 0 0 0.0054260000000000003 1 0 0 14 0 0.318969 0.61390699999999998 0.0011479999999999999 0.0035599999999999998 0.017066999999999999 0.0028739999999999998 0 0 0 0 0 0 74 45 29 4 3 8 0 3 232 65 7 53 0.055819000000000021 0 0 3 0 0 302 0 0 38 101 163 0 0 0 0 0 0
0 linear 1 7 0.60292699999999999 593.09247526627757 1 105 0.308612 0.013384999999999999 0.25851100000000005 0.0064510000000000001 0.001454 0.002872 0.009306 0.0083499999999999998 0.14088999999999999 0 0.0036510000000000002 0.0010560000000000001 0.10373499999999999 0.0011620000000000001 0.003676 0.10260999999999997 0.076868000000000034 0.017457000000000007 0 1 19 19 0.002954 1 0 0 14 0 0.16139600000000001 0.30219400000000002 0.0014580000000000001 0.003588 0.014332999999999999 0.0012769999999999999 0 1 1 8 0.0016863986939356674 1 74 45 29 4 3 8 0 3 232 65 7 53 0.069067000000000017 0 0 3 0 0 302 0 0 33 110 159 0 0 0 0 0 0
0 linear 1 15 0.78331799999999996 596.53003682974315 1 128 0.40189000000000002 0.012961 0.33850600000000008 0.0074279999999999988 0.0016509999999999999 0.002588 0.0085559999999999994 0.011797999999999999 0.11274000000000001 0 0.0035569999999999998 0.00092100000000000005 0.224942 0.00095399999999999999 0.0037230000000000002 0.12415599999999999 0.10236400000000008 0.022856000000000012 0 2 19 19 0.0029369999999999999 1 0 0 14 0 0.13597799999999999 0.39543600000000001 0.001354 0.0033029999999999999 0.014199 0.00114 0 1 1 8 0.18679473719266346 1 85 46 39 6 3 9 2 3 239 65 8 74 0.080665000000000001 0 0 3 0 0 394 0 0 38 127 229 0 0 0 0 0 0
0 linear 1 23 0.63513699999999995 599.54254534181575 1 128 0.26664199999999999 0.012977000000000001 0.33130299999999996 0.0069160000000000003 0.0014549999999999999 0.0026340000000000001 0.0083590000000000001 0.0081060000000000004 0.132409 0 0.0035019999999999999 0.00088699999999999998 0.075470000000000009 0.00091200000000000005 0.0036549999999999994 0.11934699999999999 0.10008100000000007 0.022805000000000027 0 3 19 19 0.0029940000000000001 1 0 0 14 0 0.15159500000000001 0.26069500000000001 0.001242 0.0031979999999999999 0.013724 0.0012800000000000001 0 1 1 8 0.0068439882711387309 1 85 47 38 5 3 8 1 3 243 67 8 73 0.076184999999999989 0 0 3 0 0 394 0 0 46 140 208 0 0 0 0 0 0
0 linear 2 0 35.050598000000001 2.3667291596045543 1 61 34.868695000000002 0.011828999999999999 0.14851300000000006 0.0050520000000000001 0.0010739999999999999 0.0029190000000000002 0.0094739999999999998 0.171208 0.328183 34.221305999999998 0.085139999999999993 2.8e-05 0.041252000000000004 0.0017780000000000001 0.0035479999999999999 0.081559000000000006 0.032041999999999994 0.007048999999999998 0 0 0 0 0 0 0 0 0 0 34.786963 34.861839000000003 0.00090600000000000001 0.00545 0.012199999999999999 3.6000000000000001e-05 0 0 0 0 0 0 50 22 28 2 9 11 0 6 87 22 3 36 0.052428999999999996 0 0 6 0 0 122 0 0 24 45 53 0 0 0 0 0 0
0 linear 2 7 47.881349999999998 2.4102109454228473 1 61 47.627285000000001 0.011899 0.21807400000000002 0.0067609999999999996 0.0010139999999999999 0.003558 0.010415000000000001 0.0099139999999999992 0.31753999999999999 47.180057999999995 0.085507 2.6999999999999999e-05 0.0097769999999999992 0.00164 0.0038279999999999998 0.13638900000000001 0.039168999999999989 0.0094740000000000033 0 1 16 13 0 0 0 0 0 0 47.574978999999999 47.620485000000002 0.001755 0.0054510000000000001 0.012384999999999998 2.5000000000000001e-05 0 1 1 8 0.11055858717162853 1 43 16 27 3 9 12 0 5 79 16 3 42 0.086452000000000029 0 0 5 0 0 122 0 0 27 47 48 0 0 0 0 0 0
