case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid rootpair_calls rootpair_success rootpair_cold predictor_reject newton_reject branch_reject tmax_reject vfloor_reject newton_iterations newton_pairs_accepted quartic_cold quartic_warm rootpair_ms predictor_nonpositive corrected_nonpositive corrected_tiny_positive tiny_eligible tiny_bracket_pass endpoint_calls endpoint_evaluations endpoint_repeated endpoint_stationary endpoint_small_step endpoint_limit quartic_unseeded quartic_disabled quartic_after_warm quartic_degree_change quartic_cold_sweeps quartic_warm_sweeps
0 linear 0 0 50.832155 7.0379226907899683 1 67 49.597168000000003 0.034367000000000002 0.21287600000000007 0.0088129999999999997 0.0021920000000000004 0.006489 0.018426000000000001 0.18557399999999999 0.33374100000000001 48.788542 0.097772999999999999 2.6999999999999999e-05 0.060046999999999996 0.0080529999999999994 0.012449999999999999 0.13191999999999998 0.036832999999999998 0.0087360000000000007 0 0 0 0 0 0 0 0 0 0 49.404370999999998 49.561888000000003 0.0093970000000000008 0.0075319999999999996 0.014487000000000002 0.00084699999999999999 0 0 0 0 0 0 67 14 53 0 16 16 0 7 88 14 5 48 0.11905199999999998 0 0 7 0 0 134 0 0 29 39 66 0 0 0 0 0 0
0 linear 0 7 49.468449 7.1651756850464805 1 83 49.103192999999997 0.012014 0.32050100000000004 0.0074470000000000005 0.001632 0.0040969999999999999 0.012239 0.018918999999999998 0.36276000000000003 48.576209000000006 0.090337000000000001 3.4999999999999997e-05 0.016239 0.0026340000000000001 0.0045700000000000003 0.21547800000000003 0.051181999999999984 0.013240000000000004 0 1 17 16 0 0 0 0 0 0 49.033869000000003 49.091611 0.0024559999999999998 0.0067130000000000002 0.012211000000000001 5.3999999999999998e-05 0 2 1 16 0.00115407797797932 2 80 17 63 0 20 20 0 8 113 17 5 61 0.19650599999999996 0 0 8 0 0 166 0 0 19 61 86 0 0 0 0 0 0
0 linear 0 15 49.623435999999998 7.2540425509525974 1 91 49.224941999999999 0.011894 0.35599800000000009 0.0085579999999999996 0.0016299999999999999 0.0032100000000000002 0.010284 0.0098499999999999994 0.25232100000000002 48.768435999999994 0.089816000000000007 2.9e-05 0.079598000000000002 0.001807 0.0038069999999999996 0.2390500000000001 0.056348999999999941 0.014978000000000005 0 2 15 15 0 0 0 0 0 0 49.102826999999998 49.217905999999999 0.0016509999999999999 0.0054130000000000003 0.012238999999999998 3.8999999999999999e-05 0 1 1 8 0.0027134713756958736 1 85 15 70 0 28 28 0 7 148 15 5 71 0.21421100000000001 0 0 7 0 0 182 0 0 22 65 95 0 0 0 0 0 0
0 linear 0 23 49.938133999999998 7.2793514851604355 1 91 49.500824000000001 0.012501 0.39521800000000007 0.0095469999999999999 0.0016730000000000002 0.003156 0.010418 0.0098449999999999996 0.38561600000000001 48.937255 0.091865000000000002 3.1999999999999999e-05 0.051006999999999997 0.001825 0.0038670000000000002 0.25553599999999987 0.068153000000000019 0.015010000000000011 0 3 14 14 0 0 0 0 0 0 49.406649999999999 49.493684999999999 0.001624 0.0053839999999999999 0.012655999999999999 3.8000000000000002e-05 0 1 1 8 0.0030160757831446021 1 85 14 71 0 31 31 0 8 159 14 5 72 0.22496399999999994 0 0 8 0 0 182 0 0 24 51 107 0 0 0 0 0 0
0 linear 1 0 0.93828299999999998 589.76731831372956 1 105 0.62931499999999996 0.012888999999999999 0.24294300000000005 0.0070999999999999995 0.0016940000000000002 0.0035309999999999999 0.010761 0.184618 0.12654799999999999 0 0.0065170000000000002 0.0015640000000000001 0.25087399999999999 0.0021229999999999999 0.0039589999999999998 0.095302999999999999 0.078144000000000061 0.017431000000000016 0 0 0 0 0.0041349999999999998 1 0 0 14 0 0.32728400000000002 0.62133000000000005 0.0012130000000000001 0.0033289999999999999 0.015692999999999999 0.002372 0 0 0 0 0 0 78 46 32 2 4 7 0 5 233 66 7 52 0.063391000000000003 1 0 4 0 0 302 0 0 39 106 157 0 0 0 0 0 0
0 linear 1 7 0.63793999999999995 593.09247526628599 1 105 0.33066200000000001 0.016150000000000001 0.263484 0.0069569999999999996 0.0017130000000000001 0.0044770000000000001 0.011668 0.008711 0.142627 0 0.0043899999999999998 0.001214 0.10441500000000001 0.0020579999999999999 0.0048760000000000001 0.106518 0.077367999999999965 0.017693000000000014 0 1 19 19 0.0032820000000000002 1 0 0 14 0 0.16622200000000001 0.32128200000000001 0.0023140000000000001 0.0038149999999999998 0.015309 0.0018979999999999999 0 1 1 8 0.0016863986939356674 1 78 46 32 2 4 7 0 5 233 66 7 52 0.074396999999999991 1 0 4 0 0 302 0 0 35 102 165 0 0 0 0 0 0
0 linear 1 15 0.78422800000000004 596.53003682976043 1 128 0.40043499999999999 0.013220000000000001 0.33897999999999995 0.00777 0.0017360000000000001 0.0029610000000000001 0.0089779999999999999 0.0082690000000000003 0.11265600000000001 0 0.0036340000000000001 0.00095100000000000002 0.22478499999999998 0.0011800000000000001 0.0040119999999999991 0.12437099999999997 0.10252800000000011 0.02286800000000002 0 2 19 19 0.0029859999999999999 1 0 0 14 0 0.13244300000000001 0.39297700000000002 0.0012999999999999999 0.0032859999999999999 0.014228999999999999 0.0011869999999999999 0 1 1 8 0.18679473719266346 1 88 47 41 4 4 8 2 5 240 66 8 73 0.081406000000000006 1 0 4 0 0 394 0 0 40 132 222 0 0 0 0 0 0
0 linear 1 23 0.63638600000000001 599.54254534183019 1 128 0.264019 0.013011 0.33418399999999987 0.007196000000000001 0.001632 0.0025179999999999998 0.0087030000000000007 0.0081449999999999995 0.132795 0 0.0034710000000000001 0.0010679999999999999 0.071522000000000002 0.001093 0.0036809999999999994 0.12093000000000001 0.10166100000000011 0.022781000000000013 0 3 19 19 0.0029859999999999999 1 0 0 14 0 0.15214900000000001 0.25777299999999997 0.0012539999999999999 0.0032169999999999998 0.013781000000000002 0.001255 0 1 1 8 0.0068439882711387309 1 88 48 40 3 4 7 1 5 244 68 8 72 0.079695999999999975 1 0 4 0 0 394 0 0 46 136 212 0 0 0 0 0 0
0 linear 2 0 34.981642000000001 2.366729159603977 1 61 34.786659999999998 0.011325 0.16181099999999998 0.0050569999999999999 0.0011099999999999999 0.0029919999999999999 0.0097719999999999994 0.171343 0.32848899999999998 34.135064999999997 0.084455000000000002 2.6999999999999999e-05 0.041432000000000004 0.002398 0.0037629999999999999 0.092853999999999978 0.033544999999999985 0.0069479999999999967 0 0 0 0 0 0 0 0 0 0 34.701366999999998 34.777717000000003 0.00097799999999999992 0.0053660000000000001 0.012503 5.7000000000000003e-05 0 0 0 0 0 0 57 22 35 0 14 14 0 7 106 22 3 36 0.078369000000000008 0 0 7 0 0 122 0 0 21 47 54 0 0 0 0 0 0
0 linear 2 7 47.79316 2.4102109454217144 1 61 47.540112000000001 0.012002000000000001 0.21488500000000002 0.0077910000000000002 0.0010690000000000001 0.0042360000000000002 0.010037000000000001 0.0098329999999999997 0.32299099999999997 47.087589999999999 0.084728999999999999 2.9e-05 0.0098420000000000001 0.0016459999999999999 0.0038389999999999995 0.130024 0.041432999999999984 0.0091560000000000027 0 1 24 23 0 0 0 0 0 0 47.487304999999999 47.533155000000001 0.0016620000000000001 0.0054850000000000003 0.012871 3.6000000000000001e-05 0 1 1 8 0.11055858717162853 1 61 24 37 0 16 16 0 8 121 24 3 34 0.119696 0 0 8 0 0 122 0 0 24 49 49 0 0 0 0 0 0
