case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid rootpair_calls rootpair_success rootpair_cold predictor_reject newton_reject branch_reject tmax_reject vfloor_reject newton_iterations newton_pairs_accepted quartic_cold quartic_warm rootpair_ms predictor_nonpositive corrected_nonpositive corrected_tiny_positive tiny_eligible tiny_bracket_pass endpoint_calls endpoint_evaluations endpoint_repeated endpoint_stationary endpoint_small_step endpoint_limit quartic_unseeded quartic_disabled quartic_after_warm quartic_degree_change quartic_cold_sweeps quartic_warm_sweeps
15 linear 3 0 1.772921 1.0349613589615063 1 60 0.64845699999999995 0.060013999999999998 0.10828099999999997 0.0090150000000000004 0.0024450000000000001 0.0092049999999999996 0.022668000000000001 0.21296300000000001 0.105145 0 0.031091000000000001 0.001513 0.13610899999999998 0.0093530000000000002 0.011655 0.045856000000000015 0.023823000000000007 0.008627000000000001 0 0 0 0 0.0046639999999999997 1 0 0 10 0 0.37925399999999998 0.61985500000000004 0.010834999999999999 0.00547 0.012893 0.00064199999999999999 0 0 0 0 0 0 60 51 9 3 2 5 0 2 153 51 4 5 0.036792999999999999 0 0 2 0 0 120 0 0 37 39 44 0 0 0 0 0 0
15 linear 3 7 0.28071699999999999 1.036424578793963 1 60 0.115049 0.041956 0.10658400000000005 0.004261 0.00083699999999999996 0.0034299999999999999 0.013519 0.0097359999999999999 0.024275000000000001 0 0.015414000000000001 0.001261 0.0040260000000000001 0.0017260000000000001 0.004411 0.057996000000000006 0.02305200000000002 0.0080959999999999973 0 1 27 27 0.003212 1 0 0 10 0 0.061279 0.106785 0.0022829999999999999 0.0049150000000000001 0.012418 8.2000000000000001e-05 0 1 1 8 0.0013131773164442831 1 60 51 9 3 2 5 0 2 153 51 4 5 0.050600999999999986 0 0 2 0 0 120 0 0 31 44 45 0 0 0 0 0 0
15 linear 3 15 0.30737900000000001 1.0383118102568798 1 60 0.1477 0.040460999999999997 0.103627 0.0037670000000000004 0.00076099999999999996 0.0031570000000000001 0.016518999999999999 0.0085330000000000007 0.022984000000000001 0 0.014288 0.001016 0.045742999999999999 0.0013760000000000001 0.0033690000000000005 0.058590999999999997 0.021596000000000001 0.0068369999999999985 0 2 27 27 0.0031350000000000002 1 0 0 10 0 0.055289999999999999 0.14187 0.001498 0.0043940000000000003 0.012728 6.0000000000000002e-05 0 1 1 8 0.0019747965261813724 1 60 51 9 3 2 5 0 2 155 51 4 5 0.051407000000000001 0 0 2 0 0 120 0 0 41 38 41 0 0 0 0 0 0
15 linear 3 23 0.38970300000000002 1.040474110425583 1 67 0.21249399999999999 0.037125999999999999 0.10811900000000001 0.0039799999999999992 0.00099400000000000009 0.0028410000000000002 0.0093030000000000005 0.0072189999999999997 0.020253 0 0.012553 0.000968 0.12633 0.0011919999999999999 0.0032030000000000006 0.058561000000000023 0.02385300000000001 0.0076430000000000005 0 3 27 27 0.0030829999999999998 1 0 0 10 0 0.048821000000000003 0.206817 0.0013990000000000001 0.0041349999999999998 0.011259999999999999 3.1000000000000001e-05 0 1 1 8 0.0018729107947430628 1 67 57 10 3 2 5 0 2 171 57 5 5 0.050495999999999985 0 0 2 0 0 134 0 0 43 47 44 0 0 0 0 0 0
15 uniform 3 0 0.57751699999999995 1.0350327531978314 1 44 0.47721000000000002 0.040037999999999997 0.048848000000000009 0.0026859999999999996 0.00067299999999999999 0.0027160000000000001 0.0086739999999999994 0.19131200000000001 0.095124 0 0.012907999999999999 0.00089099999999999997 0.13225699999999999 0.001302 0.0032069999999999993 0.024415999999999997 0.017681000000000006 0 0 0 0 0 0.0030790000000000001 1 0 0 10 0 0.307506 0.47088799999999997 0.00090399999999999996 0.004091 0.011403999999999999 3.3000000000000003e-05 0 0 0 0 0 0 44 37 7 3 0 3 0 0 121 37 4 3 0.019068999999999999 0 0 0 0 0 88 0 0 21 25 42 0 0 0 0 0 0
15 uniform 3 7 0.231846 1.0365193859328952 1 44 0.109476 0.041908000000000001 0.066014000000000017 0.0026229999999999999 0.00071699999999999997 0.0038270000000000001 0.011566 0.0077819999999999999 0.022862 0 0.013849999999999999 0.0011529999999999999 0.0046740000000000002 0.0029659999999999999 0.0039979999999999998 0.040520999999999988 0.018554999999999995 0 0 1 13 13 0.0035439999999999998 1 0 0 10 0 0.056341000000000002 0.100604 0.002359 0.0045409999999999999 0.011361 8.1000000000000004e-05 0 1 1 8 0.0013131773164442831 1 44 37 7 3 0 3 0 0 121 37 4 3 0.034797999999999989 0 0 0 0 0 88 0 0 17 30 41 0 0 0 0 0 0
15 uniform 3 15 0.24165700000000001 1.0384464721750202 1 44 0.129831 0.038223 0.063500000000000001 0.002127 0.00054600000000000004 0.0025950000000000001 0.0088489999999999992 0.0072589999999999998 0.021933999999999999 0 0.012057999999999999 0.00080199999999999998 0.045174000000000006 0.0010859999999999999 0.0030630000000000002 0.039501999999999982 0.017315000000000007 0 0 2 13 13 0.0030000000000000001 1 0 0 10 0 0.049685 0.124565 0.0013370000000000001 0.003862 0.010905 1.5999999999999999e-05 0 1 1 8 0.0019747965261813724 1 44 37 7 3 0 3 0 0 123 37 4 3 0.03418800000000001 0 0 0 0 0 88 0 0 23 30 35 0 0 0 0 0 0
15 uniform 3 23 0.32361699999999999 1.0406717667140994 1 51 0.20912600000000001 0.035743999999999998 0.069060999999999984 0.0022420000000000001 0.00068499999999999995 0.0025019999999999999 0.0083649999999999992 0.0068430000000000001 0.021998 0 0.012055 0.00081099999999999998 0.126471 0.0010120000000000001 0.0030510000000000003 0.04095399999999999 0.020368000000000004 0 0 3 13 13 0.0029870000000000001 1 0 0 10 0 0.048861000000000002 0.20394300000000001 0.0011839999999999999 0.003771 0.010725 1.5999999999999999e-05 0 1 1 8 0.0018729107947430628 1 51 43 8 3 0 3 0 0 139 43 5 3 0.034801999999999986 0 0 0 0 0 102 0 0 23 38 41 0 0 0 0 0 0
23 linear 0 0 0.51186200000000004 16.233902226671066 1 82 0.24950900000000001 0.011625999999999999 0.22962599999999994 0.0055909999999999996 0.0011150000000000001 0.0029640000000000001 0.0095390000000000006 0.161965 0.024535000000000001 0 0.0084080000000000005 0.001008 0.001866 0.001206 0.0036129999999999999 0.076998999999999998 0.034200000000000008 0.016643999999999999 0 0 0 0 0.0029849999999999998 1 0 0 12 0 0.20330000000000001 0.242114 0.001274 0.0037959999999999999 0.012695999999999999 0.0031029999999999999 0 0 0 0 0 0 62 34 28 3 4 7 0 1 235 50 6 42 0.051764999999999999 1 0 0 0 0 240 0 0 90 110 40 0 0 0 0 0 0
23 linear 0 7 0.33331 16.700879650300749 1 82 0.090677999999999995 0.010326 0.215811 0.0049220000000000002 0.00099599999999999992 0.0029520000000000002 0.0091500000000000001 0.0073899999999999999 0.023543999999999999 0 0.0082419999999999993 0.0011000000000000001 0.001918 0.0010759999999999999 0.003437 0.068917999999999979 0.032318000000000006 0.015469000000000009 0 1 1 1 0.0030309999999999998 1 0 0 12 0 0.048172 0.084128999999999995 0.001606 0.0039760000000000004 0.012081999999999999 0.0012999999999999999 0 1 1 8 0.0022848936079059366 1 62 34 28 3 4 7 0 1 233 50 6 42 0.045709999999999987 1 0 0 0 0 240 0 0 85 122 33 0 0 0 0 0 0
