case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid rootpair_calls rootpair_success rootpair_cold predictor_reject newton_reject branch_reject tmax_reject vfloor_reject newton_iterations newton_pairs_accepted quartic_cold quartic_warm rootpair_ms predictor_nonpositive corrected_nonpositive corrected_tiny_positive tiny_eligible tiny_bracket_pass endpoint_calls endpoint_evaluations endpoint_repeated endpoint_stationary endpoint_small_step endpoint_limit quartic_unseeded quartic_disabled quartic_after_warm quartic_degree_change quartic_cold_sweeps quartic_warm_sweeps
15 linear 3 0 1.680304 1.0349613589615063 1 60 0.61429900000000004 0.060130999999999997 0.096535999999999997 0.0063449999999999999 0.0016070000000000001 0.0083269999999999993 0.022556 0.20604900000000001 0.10512299999999999 0 0.025346 0.001794 0.13670799999999997 0.004254 0.010099000000000002 0.039821000000000016 0.026546999999999994 0.007613 0 0 0 0 0.003839 1 0 0 10 0 0.359489 0.58698499999999998 0.0096159999999999995 0.0054289999999999998 0.014326000000000002 0.00046500000000000003 0 0 0 0 0 0 60 51 9 3 2 5 0 2 153 51 4 5 0.032230999999999996 0 0 2 0 0 120 0 0 37 38 45 0 0 0 0 0 0
15 linear 3 7 0.26906999999999998 1.0364245787939628 1 60 0.111327 0.041174000000000002 0.10003999999999998 0.0044590000000000003 0.00074799999999999997 0.003388 0.011473000000000001 0.0084659999999999996 0.026882 0 0.014042000000000001 0.0011559999999999999 0.0040959999999999998 0.001769 0.0042560000000000002 0.054269999999999999 0.022117000000000005 0.0068380000000000003 0 1 27 27 0.0031210000000000001 1 0 0 10 0 0.060662000000000001 0.102571 0.0023860000000000001 0.0047780000000000001 0.012608999999999999 4.1999999999999998e-05 0 1 1 8 0.0013131773164442831 1 60 51 9 3 2 5 0 2 153 51 4 5 0.047027000000000013 0 0 2 0 0 120 0 0 31 45 44 0 0 0 0 0 0
15 linear 3 15 0.29636600000000002 1.0383118102568798 1 60 0.137402 0.040839 0.10210999999999999 0.0041519999999999994 0.00077200000000000001 0.003088 0.0095940000000000001 0.0074380000000000002 0.022556 0 0.013302 0.00101 0.045842000000000001 0.001359 0.0034309999999999996 0.057102999999999994 0.021408000000000003 0.0068190000000000004 0 2 27 27 0.0029640000000000001 1 0 0 10 0 0.052402999999999998 0.13126299999999999 0.0013849999999999999 0.0043080000000000002 0.011820000000000001 2.5000000000000001e-05 0 1 1 8 0.0019747965261813724 1 60 51 9 3 2 5 0 2 155 51 4 5 0.049867000000000002 0 0 2 0 0 120 0 0 41 39 40 0 0 0 0 0 0
15 linear 3 23 0.42448599999999997 1.040474110425583 1 67 0.21875900000000001 0.038558000000000002 0.10859200000000005 0.0044360000000000007 0.001016 0.0030070000000000001 0.0093880000000000005 0.0074070000000000004 0.022474999999999998 0 0.012793000000000001 0.0010460000000000001 0.12839699999999998 0.00131 0.0035260000000000001 0.058742000000000003 0.023942000000000012 0.0076670000000000011 0 3 27 27 0.0029220000000000001 1 0 0 10 0 0.051747000000000001 0.21262500000000001 0.0013760000000000001 0.0043369999999999997 0.011683000000000001 3.1999999999999999e-05 0 1 1 8 0.0018729107947430628 1 67 57 10 3 2 5 0 2 171 57 5 5 0.050713999999999974 0 0 2 0 0 134 0 0 43 47 44 0 0 0 0 0 0
15 uniform 3 0 0.57501000000000002 1.0350327531978314 1 44 0.476435 0.039392000000000003 0.048475000000000025 0.0024010000000000004 0.00061300000000000005 0.0027169999999999998 0.0088940000000000009 0.19129299999999999 0.092842999999999995 0 0.012781000000000001 0.00094200000000000002 0.133441 0.001351 0.0034950000000000003 0.024073999999999991 0.017643000000000002 0 0 0 0 0 0.00299 1 0 0 10 0 0.30530499999999999 0.47013199999999999 0.00095799999999999998 0.0042269999999999999 0.011415000000000002 2.4000000000000001e-05 0 0 0 0 0 0 44 37 7 3 0 3 0 0 121 37 4 3 0.018774000000000002 0 0 0 0 0 88 0 0 21 25 42 0 0 0 0 0 0
15 uniform 3 7 0.19359199999999999 1.0365193859328952 1 44 0.089067999999999994 0.035602000000000002 0.058579999999999993 0.002297 0.00054900000000000001 0.002594 0.0084849999999999995 0.0068060000000000004 0.021849 0 0.012537 0.00092599999999999996 0.003934 0.001057 0.0033729999999999997 0.033708000000000002 0.018181000000000003 0 0 1 13 13 0.00298 1 0 0 10 0 0.049683999999999999 0.083318000000000003 0.001299 0.0040569999999999998 0.011102000000000001 2.5000000000000001e-05 0 1 1 8 0.0013131773164442831 1 44 37 7 3 0 3 0 0 121 37 4 3 0.028419999999999997 0 0 0 0 0 88 0 0 17 30 41 0 0 0 0 0 0
15 uniform 3 15 0.244282 1.0384464721750202 1 44 0.13328799999999999 0.037678999999999997 0.063232999999999998 0.0021329999999999999 0.00050900000000000001 0.0024840000000000001 0.0080689999999999998 0.006783 0.021861999999999999 0 0.012152 0.00086600000000000002 0.050924999999999998 0.0010460000000000001 0.0032810000000000005 0.039277999999999993 0.017308000000000004 0 0 2 13 13 0.002996 1 0 0 10 0 0.048745999999999998 0.128024 0.0012979999999999999 0.0036050000000000001 0.010784 2.4000000000000001e-05 0 1 1 8 0.0019747965261813724 1 44 37 7 3 0 3 0 0 123 37 4 3 0.034040000000000008 0 0 0 0 0 88 0 0 23 30 35 0 0 0 0 0 0
15 uniform 3 23 0.32172699999999999 1.0406717667140994 1 51 0.20915400000000001 0.034898999999999999 0.068210999999999994 0.0021999999999999997 0.00072399999999999993 0.0023029999999999999 0.0076899999999999998 0.0067939999999999997 0.021405 0 0.011838 0.00089999999999999998 0.12840099999999999 0.00094399999999999996 0.0031610000000000002 0.040218000000000004 0.020320999999999999 0 0 3 13 13 0.0029099999999999998 1 0 0 10 0 0.048006 0.20382400000000001 0.0012160000000000001 0.0036709999999999998 0.010598 2.3e-05 0 1 1 8 0.0018729107947430628 1 51 43 8 3 0 3 0 0 139 43 5 3 0.034162999999999999 0 0 0 0 0 102 0 0 23 38 41 0 0 0 0 0 0
23 linear 0 0 0.50740700000000005 16.233902226671066 1 82 0.248587 0.011027 0.2289800000000001 0.0058240000000000002 0.0011220000000000002 0.0030829999999999998 0.0093489999999999997 0.16108700000000001 0.025172 0 0.0085190000000000005 0.0011379999999999999 0.001915 0.00115 0.0037149999999999996 0.078956999999999999 0.034533999999999988 0.016319999999999998 0 0 0 0 0.0029529999999999999 1 0 0 12 0 0.202958 0.24134700000000001 0.00099500000000000001 0.0038010000000000001 0.012489999999999999 0.0031840000000000002 0 0 0 0 0 0 62 34 28 3 4 7 0 1 235 50 6 42 0.048732999999999999 1 0 0 0 0 240 0 0 89 111 40 0 0 0 0 0 0
23 linear 0 7 0.33491100000000001 16.700879650300749 1 82 0.090771000000000004 0.01014 0.21733300000000008 0.0050730000000000003 0.0010319999999999999 0.0029190000000000002 0.0090959999999999999 0.0073130000000000001 0.024129000000000001 0 0.0082039999999999995 0.0011100000000000001 0.0019769999999999996 0.001157 0.0035960000000000007 0.069903999999999966 0.032251000000000037 0.015490000000000004 0 1 1 1 0.0030019999999999999 1 0 0 12 0 0.048353 0.084266999999999995 0.001516 0.0037799999999999999 0.012349000000000001 0.0012800000000000001 0 1 1 8 0.0022848936079059366 1 62 34 28 3 4 7 0 1 233 50 6 42 0.046672999999999999 1 0 0 0 0 240 0 0 85 122 33 0 0 0 0 0 0
23 linear 0 15 0.33250800000000003 16.995680709723594 1 82 0.087430999999999995 0.010201 0.21943199999999999 0.0046280000000000002 0.00095399999999999999 0.0025920000000000001 0.0086879999999999995 0.0072940000000000001 0.023369999999999998 0 0.008175 0.001054 0.001879 0.001727 0.0033580000000000003 0.066967000000000013 0.033293000000000017 0.015058000000000009 0 2 1 1 0.0029619999999999998 1 0 0 12 0 0.047302999999999998 0.081572000000000006 0.0014120000000000001 0.003712 0.011781 0.001212 0 1 1 8 0.0015294460646140804 1 62 34 28 3 4 7 0 1 233 50 6 42 0.04417900000000001 1 0 0 0 0 240 0 0 88 113 39 0 0 0 0 0 0
23 linear 0 23 0.32480199999999998 17.041352986733589 1 82 0.082195000000000004 0.0099839999999999998 0.21740499999999996 0.0044740000000000005 0.001013 0.0024130000000000002 0.0086630000000000006 0.0055259999999999997 0.022255 0 0.0085590000000000006 0.000968 0.0018489999999999999 0.00068300000000000001 0.0029630000000000004 0.066247999999999987 0.032813000000000009 0.014916000000000007 0 3 1 1 0.003039 1 0 0 12 0 0.044415999999999997 0.076752000000000001 0.00131 0.0035330000000000001 0.011686 0.0011670000000000001 0 0 0 0 0 0 62 34 28 3 4 7 0 1 233 50 6 42 0.043397999999999985 1 0 0 0 0 240 0 0 77 128 35 0 0 0 0 0 0
23 uniform 0 0 0.39818100000000001 15.529634502737235 1 98 0.23790700000000001 0.010293 0.12941400000000006 0.0052610000000000001 0.001163 0.0024489999999999998 0.0084189999999999994 0.160914 0.021447000000000001 0 0.0083370000000000007 0.00099099999999999991 0.0018639999999999998 0.0010139999999999999 0.0034730000000000004 0.076156000000000001 0.036368999999999999 0 0 0 0 0 0.0029380000000000001 1 0 0 12 0 0.198433 0.23192199999999999 0.000861 0.0036610000000000002 0.011511 0.0014499999999999999 0 0 0 0 0 0 67 34 33 3 4 7 0 1 235 50 6 58 0.045868999999999986 1 0 0 0 0 272 0 0 105 127 40 0 0 0 0 0 0
23 uniform 0 7 0.23636299999999999 15.845639454693035 1 98 0.080732999999999999 0.0097319999999999993 0.129271 0.0046849999999999999 0.001042 0.002251 0.0079319999999999998 0.0068269999999999997 0.020865000000000002 0 0.0078799999999999999 0.00092400000000000002 0.001807 0.001039 0.0033379999999999998 0.077363000000000029 0.035216999999999998 0 0 1 1 1 0.0029640000000000001 1 0 0 12 0 0.043123000000000002 0.074820999999999999 0.0012650000000000001 0.00329 0.011174999999999999 0.0012099999999999999 0 1 1 8 0.0022848936079059366 1 67 34 33 3 4 7 0 1 233 50 6 58 0.047372999999999992 1 0 0 0 0 272 0 0 98 139 35 0 0 0 0 0 0
23 uniform 0 15 0.234268 16.042082903898912 1 98 0.078400999999999998 0.0099889999999999996 0.12930800000000001 0.0046969999999999998 0.0011540000000000001 0.0021870000000000001 0.007639 0.0069069999999999999 0.020230999999999999 0 0.0079830000000000005 0.00096699999999999998 0.001828 0.00084199999999999998 0.003094 0.075738000000000041 0.036823999999999968 0 0 2 1 1 0.002934 1 0 0 12 0 0.042703999999999999 0.073041999999999996 0.0011800000000000001 0.0032980000000000002 0.011008 0.00116 0 1 1 8 0.0015294460646140804 1 67 34 33 3 4 7 0 1 233 50 6 58 0.045934999999999983 1 0 0 0 0 272 0 0 104 125 43 0 0 0 0 0 0
