case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid rootpair_calls rootpair_success rootpair_cold predictor_reject newton_reject branch_reject tmax_reject vfloor_reject newton_iterations newton_pairs_accepted quartic_cold quartic_warm rootpair_ms predictor_nonpositive corrected_nonpositive corrected_tiny_positive tiny_eligible tiny_bracket_pass endpoint_calls endpoint_evaluations endpoint_repeated endpoint_stationary endpoint_small_step endpoint_limit quartic_unseeded quartic_disabled quartic_after_warm quartic_degree_change quartic_cold_sweeps quartic_warm_sweeps
15 linear 3 0 1.762184 1.0349613589615063 1 60 0.66159100000000004 0.060752 0.10872199999999997 0.0070850000000000002 0.00139 0.0098320000000000005 0.022610999999999999 0.20738500000000001 0.110443 0 0.031621999999999997 0.001518 0.13657600000000003 0.014237 0.012845000000000001 0.046015999999999994 0.02345400000000001 0.0079519999999999955 0 0 0 0 0.0045469999999999998 1 0 0 10 0 0.38225999999999999 0.63215500000000002 0.01142 0.0065490000000000001 0.012541 0.00060599999999999998 0 0 0 0 0 0 60 51 9 3 2 5 0 2 153 51 4 5 0.037789999999999997 0 0 2 0 0 120 0 0 37 39 44 0 0 0 0 0 0
15 linear 3 7 0.27109499999999997 1.036424578793963 1 60 0.111849 0.042099999999999999 0.10071100000000005 0.0043449999999999999 0.00078899999999999999 0.0034320000000000002 0.012239999999999999 0.0083859999999999994 0.024287 0 0.015827000000000001 0.0011299999999999999 0.0039970000000000006 0.0015280000000000001 0.0042360000000000002 0.05485000000000001 0.022172999999999988 0.0068059999999999996 0 1 27 27 0.0032539999999999999 1 0 0 10 0 0.060158000000000003 0.10363700000000001 0.0020530000000000001 0.005267 0.013829000000000003 0.00011 0 1 1 8 0.0013131773164442831 1 60 51 9 3 2 5 0 2 153 51 4 5 0.047625000000000021 0 0 2 0 0 120 0 0 31 44 45 0 0 0 0 0 0
15 linear 3 15 0.29096 1.0383118102568798 1 60 0.132855 0.040451000000000001 0.10239500000000001 0.0036489999999999999 0.00076300000000000001 0.002892 0.0093209999999999994 0.0074400000000000004 0.020285999999999998 0 0.012997999999999999 0.001031 0.045572999999999995 0.001173 0.0034129999999999998 0.057337999999999986 0.021708000000000002 0.0068380000000000003 0 2 27 27 0.003003 1 0 0 10 0 0.049773999999999999 0.126912 0.0014400000000000001 0.0041200000000000004 0.011330999999999999 3.1000000000000001e-05 0 1 1 8 0.0019747965261813724 1 60 51 9 3 2 5 0 2 155 51 4 5 0.050136000000000014 0 0 2 0 0 120 0 0 41 38 41 0 0 0 0 0 0
15 linear 3 23 0.38793499999999997 1.040474110425583 1 67 0.21138699999999999 0.040127999999999997 0.10789300000000002 0.003754 0.00091200000000000005 0.00265 0.0087220000000000006 0.0070990000000000003 0.020007 0 0.0126 0.000892 0.12695700000000001 0.001073 0.0031309999999999997 0.058317000000000015 0.023828000000000002 0.0076710000000000007 0 3 27 27 0.002957 1 0 0 10 0 0.048300000000000003 0.20583499999999999 0.001323 0.0040119999999999999 0.011225000000000001 2.3e-05 0 1 1 8 0.0018729107947430628 1 67 57 10 3 2 5 0 2 171 57 5 5 0.050304999999999989 0 0 2 0 0 134 0 0 43 47 44 0 0 0 0 0 0
15 uniform 3 0 0.567492 1.0350327531978314 1 44 0.47053 0.038419000000000002 0.048154000000000002 0.0023410000000000002 0.00065700000000000003 0.0024480000000000001 0.0084169999999999991 0.19092500000000001 0.091080999999999995 0 0.012407 0.00089300000000000002 0.13270599999999999 0.001186 0.003127 0.023986000000000007 0.017443999999999998 0 0 0 0 0 0.0029020000000000001 1 0 0 10 0 0.302317 0.46470099999999998 0.00088400000000000002 0.0039039999999999999 0.011178 2.5999999999999998e-05 0 0 0 0 0 0 44 37 7 3 0 3 0 0 121 37 4 3 0.018702999999999997 0 0 0 0 0 88 0 0 21 25 42 0 0 0 0 0 0
15 uniform 3 7 0.18812499999999999 1.0365193859328952 1 44 0.083913000000000001 0.034827999999999998 0.059125000000000004 0.0021710000000000002 0.00062399999999999999 0.0024580000000000001 0.0079179999999999997 0.0066519999999999999 0.020003 0 0.012139 0.00087299999999999997 0.003751 0.001049 0.0029870000000000001 0.034312000000000002 0.018190999999999999 0 0 1 13 13 0.002895 1 0 0 10 0 0.046819 0.078730999999999995 0.00132 0.003604 0.010593 2.5000000000000001e-05 0 1 1 8 0.0013131773164442831 1 44 37 7 3 0 3 0 0 121 37 4 3 0.028985000000000007 0 0 0 0 0 88 0 0 17 30 41 0 0 0 0 0 0
15 uniform 3 15 0.258969 1.0384464721750202 1 44 0.13829900000000001 0.041889000000000003 0.065954000000000013 0.002895 0.00068600000000000009 0.0028530000000000001 0.009443 0.0073419999999999996 0.020503 0 0.013527000000000001 0.0010319999999999999 0.045672999999999998 0.0019710000000000001 0.0039250000000000005 0.041630000000000007 0.017556999999999996 0 0 2 13 13 0.0031329999999999999 1 0 0 10 0 0.050710999999999999 0.13125700000000001 0.0016230000000000001 0.0037919999999999998 0.011498000000000001 6.0999999999999999e-05 0 1 1 8 0.0019747965261813724 1 44 37 7 3 0 3 0 0 123 37 4 3 0.036215999999999984 0 0 0 0 0 88 0 0 23 30 35 0 0 0 0 0 0
15 uniform 3 23 0.325853 1.0406717667140994 1 51 0.21027100000000001 0.036163000000000001 0.069261000000000017 0.0023969999999999998 0.00070500000000000001 0.0024380000000000001 0.0082710000000000006 0.0070679999999999996 0.021801999999999998 0 0.012453000000000001 0.00087600000000000004 0.126411 0.00106 0.0030489999999999992 0.041169000000000011 0.020362999999999989 0 0 3 13 13 0.002931 1 0 0 10 0 0.049407 0.204932 0.0012030000000000001 0.003797 0.011122999999999999 3.1999999999999999e-05 0 1 1 8 0.0018729107947430628 1 51 43 8 3 0 3 0 0 139 43 5 3 0.035057999999999999 0 0 0 0 0 102 0 0 23 38 41 0 0 0 0 0 0
23 linear 0 0 0.50621799999999995 16.233902226671066 1 82 0.24987999999999999 0.011161000000000001 0.22545700000000007 0.0055329999999999997 0.001224 0.0028830000000000001 0.0093380000000000008 0.16348499999999999 0.024292000000000001 0 0.0084589999999999995 0.0010740000000000001 0.0018890000000000001 0.001129 0.0037160000000000001 0.074802000000000021 0.034426999999999985 0.016125000000000004 0 0 0 0 0.0030049999999999999 1 0 0 12 0 0.20421500000000001 0.242842 0.00099599999999999992 0.003627 0.012501999999999999 0.003189 0 0 0 0 0 0 62 34 28 3 4 7 0 1 235 50 6 42 0.04966799999999999 1 0 0 0 0 240 0 0 90 110 40 0 0 0 0 0 0
23 linear 0 7 0.33341700000000002 16.700879650300749 1 82 0.088998999999999995 0.010337000000000001 0.21703099999999997 0.0052360000000000002 0.0010470000000000002 0.00281 0.0088470000000000007 0.0075209999999999999 0.023626999999999999 0 0.008071 0.0011509999999999999 0.0018389999999999999 0.001137 0.0033180000000000002 0.069265999999999966 0.032347999999999995 0.015437999999999999 0 1 1 1 0.0029640000000000001 1 0 0 12 0 0.047837999999999999 0.082707000000000003 0.001485 0.0037190000000000001 0.012114 0.0012459999999999999 0 1 1 8 0.0022848936079059366 1 62 34 28 3 4 7 0 1 233 50 6 42 0.046076999999999986 1 0 0 0 0 240 0 0 85 122 33 0 0 0 0 0 0
