case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid rootpair_calls rootpair_success rootpair_cold predictor_reject newton_reject branch_reject tmax_reject vfloor_reject newton_iterations newton_pairs_accepted quartic_cold quartic_warm rootpair_ms predictor_nonpositive corrected_nonpositive corrected_tiny_positive tiny_eligible tiny_bracket_pass endpoint_calls endpoint_evaluations endpoint_repeated endpoint_stationary endpoint_small_step endpoint_limit quartic_unseeded quartic_disabled quartic_after_warm quartic_degree_change quartic_cold_sweeps quartic_warm_sweeps
15 linear 3 0 1.7242329999999999 1.0349613589615063 1 60 0.650559 0.063426999999999997 0.089712 0.0074869999999999989 0.001057 0.0098729999999999998 0.024740999999999999 0.20183100000000001 0.10916099999999999 0 0.030563 0.0015410000000000001 0.13638700000000001 0.0065449999999999996 0.011250999999999997 0.032740000000000005 0.021246999999999999 0.007626 0 0 0 0 0.0038609999999999998 1 0 0 10 0 0.37695699999999999 0.61866900000000002 0.010801 0.0055760000000000002 0.014345999999999999 0.00062500000000000001 0 0 0 0 0 0 60 51 9 3 2 5 0 2 153 51 0 9 0.024347000000000014 0 0 2 0 0 120 0 0 37 42 41 0 0 0 0 0 0
15 linear 3 7 0.260598 1.0364245787939632 1 60 0.10602399999999999 0.040995999999999998 0.097291000000000002 0.0044250000000000001 0.00078600000000000002 0.0039480000000000001 0.011365 0.0084119999999999993 0.02172 0 0.013983000000000001 0.0012130000000000001 0.0040260000000000001 0.001712 0.0041309999999999993 0.04975799999999999 0.022131999999999999 0.0068350000000000008 0 1 27 27 0.003042 1 0 0 10 0 0.055830999999999999 0.098104999999999998 0.0025270000000000002 0.0048339999999999998 0.012598999999999999 9.7e-05 0 1 1 8 0.0013131773164442831 1 60 51 9 3 2 5 0 2 153 51 0 9 0.042468000000000006 0 0 2 0 0 120 0 0 28 48 44 0 0 0 0 0 0
15 linear 3 15 0.28501100000000001 1.0383118102568796 1 60 0.13483700000000001 0.041370999999999998 0.092818000000000012 0.0040829999999999998 0.00078399999999999997 0.0029919999999999999 0.0097169999999999999 0.007365 0.020560999999999999 0 0.01299 0.00097599999999999998 0.045464999999999998 0.0012700000000000001 0.0034830000000000004 0.045925999999999988 0.021336000000000018 0.0068249999999999995 0 2 27 27 0.0029880000000000002 1 0 0 10 0 0.050255000000000001 0.128694 0.001474 0.0044209999999999996 0.012048999999999999 4.1e-05 0 1 1 8 0.0019747965261813724 1 60 51 9 3 2 5 0 2 155 51 0 9 0.038702000000000007 0 0 2 0 0 120 0 0 40 37 43 0 0 0 0 0 0
15 linear 3 23 0.40294400000000002 1.040474110425583 1 67 0.21307100000000001 0.038210000000000001 0.12174299999999999 0.00413 0.00093499999999999996 0.0026159999999999998 0.0088129999999999997 0.0071139999999999997 0.020181000000000001 0 0.012553999999999999 0.00095699999999999995 0.127307 0.0012539999999999999 0.003284 0.048464 0.045244999999999952 0.0076339999999999967 0 3 27 27 0.0029499999999999999 1 0 0 10 0 0.048822999999999998 0.20718400000000001 0.0013829999999999999 0.0043 0.011308 3.8999999999999999e-05 0 1 1 8 0.0018729107947430628 1 67 57 10 3 2 5 0 2 171 57 0 10 0.040411999999999997 0 0 2 0 0 134 0 0 42 43 49 0 0 0 0 0 0
15 uniform 3 0 0.56596999999999997 1.0350327531978314 1 44 0.47253600000000001 0.040724999999999997 0.042228000000000002 0.0022490000000000001 0.0007000000000000001 0.0024650000000000002 0.008489 0.19106500000000001 0.092584 0 0.012649000000000001 0.00085300000000000003 0.132329 0.0013010000000000001 0.0031529999999999996 0.016993999999999995 0.017072 0 0 0 0 0 0.003045 1 0 0 10 0 0.30412699999999998 0.46672000000000002 0.00083500000000000002 0.0038609999999999998 0.011210999999999999 3.8000000000000002e-05 0 0 0 0 0 0 44 37 7 3 0 3 0 0 121 37 0 7 0.011651 0 0 0 0 0 88 0 0 21 29 38 0 0 0 0 0 0
15 uniform 3 7 0.20760400000000001 1.0365193859328954 1 44 0.098072999999999994 0.040051999999999997 0.056312999999999988 0.0027549999999999996 0.00066600000000000003 0.0029229999999999998 0.0098219999999999991 0.00728 0.022162999999999999 0 0.013148999999999999 0.00092400000000000002 0.004202 0.00167 0.0035750000000000001 0.029481 0.018371999999999996 0 0 1 13 13 0.0030219999999999999 1 0 0 10 0 0.052053000000000002 0.090905 0.0016999999999999999 0.0040340000000000003 0.011715 5.5999999999999999e-05 0 1 1 8 0.0013131773164442831 1 44 37 7 3 0 3 0 0 121 37 0 7 0.023915000000000006 0 0 0 0 0 88 0 0 15 32 41 0 0 0 0 0 0
15 uniform 3 15 0.23130200000000001 1.0384464721750202 1 44 0.12914500000000001 0.038407999999999998 0.053755999999999998 0.0020449999999999999 0.00060000000000000006 0.0025379999999999999 0.0085470000000000008 0.0067210000000000004 0.021763000000000001 0 0.012579 0.00084500000000000005 0.045356 0.0010369999999999999 0.0029769999999999996 0.028492999999999991 0.016992999999999998 0 0 2 13 13 0.003032 1 0 0 10 0 0.049137 0.124095 0.0012149999999999999 0.0037209999999999999 0.011142999999999998 5.3999999999999998e-05 0 1 1 8 0.0019747965261813724 1 44 37 7 3 0 3 0 0 123 37 0 7 0.023113000000000009 0 0 0 0 0 88 0 0 22 29 37 0 0 0 0 0 0
15 uniform 3 23 0.31525999999999998 1.0406717667140997 1 51 0.20866499999999999 0.035950000000000003 0.060250999999999964 0.0022989999999999998 0.00072100000000000007 0.0023379999999999998 0.0079249999999999998 0.0066950000000000004 0.021465000000000001 0 0.012189 0.000883 0.126971 0.001024 0.0029850000000000002 0.029995000000000004 0.020568999999999987 0 0 3 13 13 0.0029380000000000001 1 0 0 10 0 0.048334000000000002 0.20353199999999999 0.001111 0.0038310000000000002 0.010877000000000001 2.4000000000000001e-05 0 1 1 8 0.0018729107947430628 1 51 43 8 3 0 3 0 0 139 43 0 8 0.023817999999999992 0 0 0 0 0 102 0 0 22 35 45 0 0 0 0 0 0
23 linear 0 0 0.49718499999999999 16.233902226671066 1 82 0.25118200000000002 0.011546000000000001 0.21507899999999994 0.0057060000000000001 0.0011559999999999999 0.0030699999999999998 0.0095209999999999999 0.16376299999999999 0.024754000000000002 0 0.0084659999999999996 0.0009810000000000001 0.0019740000000000001 0.001114 0.0036840000000000002 0.059721000000000003 0.034517000000000013 0.016600000000000007 0 0 0 0 0.0029520000000000002 1 0 0 12 0 0.205092 0.24416099999999999 0.001013 0.003833 0.012126 0.003872 0 0 0 0 0 0 62 34 28 3 4 7 0 1 235 50 0 48 0.035124000000000002 1 0 0 0 0 240 0 0 89 112 39 0 0 0 0 0 0
23 linear 0 7 0.32380999999999999 16.700879650300749 1 82 0.090383000000000005 0.010206 0.20625399999999994 0.0051879999999999999 0.0010580000000000001 0.0028579999999999999 0.0090369999999999999 0.0072810000000000001 0.024296999999999999 0 0.0081510000000000003 0.0011039999999999999 0.0019120000000000001 0.001165 0.0035710000000000004 0.056869999999999976 0.032218999999999998 0.01546 0 1 1 1 0.0029129999999999998 1 0 0 12 0 0.048170999999999999 0.083735000000000004 0.001526 0.0036540000000000001 0.012190000000000001 0.001379 0 1 1 8 0.0022848936079059366 1 62 34 28 3 4 7 0 1 233 50 0 48 0.034061000000000001 1 0 0 0 0 240 0 0 88 119 33 0 0 0 0 0 0
23 linear 0 15 0.32403799999999999 16.995680709723594 1 82 0.086804999999999993 0.01026 0.20885899999999996 0.0074089999999999998 0.0008789999999999999 0.0025799999999999998 0.0086540000000000002 0.0075119999999999996 0.023446000000000002 0 0.0080440000000000008 0.001023 0.0018830000000000001 0.001165 0.003065 0.053703000000000008 0.033620999999999991 0.014946000000000001 0 2 1 1 0.0029250000000000001 1 0 0 12 0 0.047338999999999999 0.081090999999999996 0.001366 0.0037269999999999998 0.011708999999999999 0.001279 0 1 1 8 0.0015294460646140804 1 62 34 28 3 4 7 0 1 233 50 0 48 0.031331999999999999 1 0 0 0 0 240 0 0 87 113 40 0 0 0 0 0 0
23 linear 0 23 0.31301600000000002 17.041352986733589 1 82 0.082530000000000006 0.010181000000000001 0.20557299999999998 0.0042929999999999999 0.00097999999999999997 0.002637 0.0086079999999999993 0.0054999999999999997 0.022985999999999999 0 0.0084279999999999997 0.00097799999999999992 0.001794 0.00069300000000000004 0.0027880000000000001 0.053893999999999991 0.032691999999999978 0.01482700000000001 0 3 1 1 0.0031259999999999999 1 0 0 12 0 0.044875999999999999 0.077239000000000002 0.001235 0.0034640000000000001 0.011669000000000001 0.001178 0 0 0 0 0 0 62 34 28 3 4 7 0 1 233 50 0 48 0.031393000000000011 1 0 0 0 0 240 0 0 76 129 35 0 0 0 0 0 0
23 uniform 0 0 0.38896799999999998 15.529634502737235 1 98 0.24012900000000001 0.010137999999999999 0.11725100000000002 0.0052960000000000004 0.001181 0.002421 0.0084340000000000005 0.16114600000000001 0.023664000000000001 0 0.0082679999999999993 0.00097300000000000002 0.0018859999999999999 0.00095399999999999999 0.003222 0.061612999999999966 0.036136000000000001 0 0 0 0 0 0.0029629999999999999 1 0 0 12 0 0.20105700000000001 0.234428 0.00083699999999999996 0.003705 0.011490999999999999 0.001377 0 0 0 0 0 0 67 34 33 3 4 7 0 1 235 50 0 64 0.032414999999999985 1 0 0 0 0 272 0 0 105 128 39 0 0 0 0 0 0
23 uniform 0 7 0.226187 15.845639454693035 1 98 0.082177 0.0097529999999999995 0.117628 0.0046109999999999996 0.0010400000000000001 0.0022750000000000001 0.0078639999999999995 0.0069610000000000002 0.022811000000000001 0 0.0078840000000000004 0.00097400000000000004 0.0018749999999999999 0.00088699999999999998 0.0031510000000000002 0.063331999999999972 0.035054999999999996 0 0 1 1 1 0.0029350000000000001 1 0 0 12 0 0.045357000000000001 0.076632000000000006 0.001299 0.0033530000000000001 0.011165000000000001 0.0011199999999999999 0 1 1 8 0.0022848936079059366 1 67 34 33 3 4 7 0 1 233 50 0 64 0.034114999999999993 1 0 0 0 0 272 0 0 100 137 35 0 0 0 0 0 0
23 uniform 0 15 0.22414999999999999 16.042082903898912 1 98 0.077947000000000002 0.010019 0.11953699999999996 0.0045890000000000002 0.0011409999999999999 0.002238 0.0076769999999999998 0.0070099999999999997 0.020246 0 0.0077000000000000002 0.00089899999999999995 0.0018389999999999999 0.00082799999999999996 0.0028790000000000005 0.062488000000000016 0.037667999999999993 0 0 2 1 1 0.002911 1 0 0 12 0 0.042465999999999997 0.072836999999999999 0.001178 0.0032490000000000002 0.010803 0.001165 0 1 1 8 0.0015294460646140804 1 67 34 33 3 4 7 0 1 233 50 0 64 0.033429 1 0 0 0 0 272 0 0 102 126 44 0 0 0 0 0 0
23 uniform 0 23 0.221078 16.072291654477414 1 98 0.076790999999999998 0.010029 0.11820899999999999 0.0043280000000000002 0.00097300000000000002 0.002366 0.0079260000000000008 0.005208 0.020319 0 0.0080560000000000007 0.00085300000000000003 0.0018259999999999999 0.00065600000000000001 0.002679 0.063053999999999985 0.03581399999999995 0 0 3 1 1 0.002996 1 0 0 12 0 0.041078000000000003 0.071940000000000004 0.0012509999999999999 0.0031970000000000002 0.011358 0.0011150000000000001 0 0 0 0 0 0 67 34 33 3 4 7 0 1 233 50 0 64 0.033844999999999986 1 0 0 0 0 272 0 0 95 140 37 0 0 0 0 0 0
24 linear 0 0 0.37191000000000002 2.6529489494757308 1 89 0.22842299999999999 0.010851 0.11215000000000001 0.0058330000000000005 0.001366 0.0029719999999999998 0.0093849999999999992 0.14589299999999999 0.022098 0 0.012378999999999999 0.0010269999999999999 0.00064199999999999999 0.0012600000000000001 0.0033869999999999998 0.044411999999999979 0.031411000000000015 0.012231000000000001 0 0 0 0 0.0029559999999999999 1 0 0 10 0 0.18859899999999999 0.222304 0.00092599999999999996 0.0041289999999999999 0.012566000000000001 4.6999999999999997e-05 0 0 0 0 0 0 89 79 10 3 0 3 0 0 296 93 2 8 0.032572000000000004 0 0 0 0 0 208 0 0 47 147 14 0 0 0 0 0 0
