name,u,jac,warm,repeat,mode,mu,status,stop,evaluations,whole_ms,topology_ms
plan15,0,0,0,0,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,1.412200,0.374849
plan15,0,0,0,0,adaptive_affine,6.019965682498543,0,Converged,368,1.367744,0.297667
plan15,0,0,0,0,adaptive_fold,6.0199533596044921,0,Converged,176,0.942714,0.298854
plan15,0,0,0,1,adaptive_fold,6.0199533596044921,0,Converged,176,0.924947,0.294201
plan15,0,0,0,1,adaptive_affine,6.019965682498543,0,Converged,368,1.153698,0.292212
plan15,0,0,0,1,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,1.290367,0.296512
plan15,0,0,0,2,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,1.277145,0.288361
plan15,0,0,0,2,adaptive_affine,6.019965682498543,0,Converged,368,1.189277,0.287778
plan15,0,0,0,2,adaptive_fold,6.0199533596044921,0,Converged,176,0.956346,0.293687
plan15,0,0,1,0,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,1.253130,0.176422
plan15,0,0,1,0,adaptive_affine,6.0267864989591979,0,Converged,368,1.035928,0.168108
plan15,0,0,1,0,adaptive_fold,6.0267740818191164,0,Converged,176,0.817692,0.169270
plan15,0,0,1,1,adaptive_fold,6.0267740818191164,0,Converged,176,0.804408,0.168846
plan15,0,0,1,1,adaptive_affine,6.0267864989591979,0,Converged,368,1.013265,0.176582
plan15,0,0,1,1,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,1.234308,0.168664
plan15,0,0,1,2,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,1.218756,0.166578
plan15,0,0,1,2,adaptive_affine,6.0267864989591979,0,Converged,368,1.042040,0.166776
plan15,0,0,1,2,adaptive_fold,6.0267740818191164,0,Converged,176,0.833150,0.166548
plan15,0,1,0,0,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,1.315829,0.282079
plan15,0,1,0,0,adaptive_affine,6.0199533810315735,8,BudgetExceeded,23556,646.786891,0.289568
plan15,0,1,0,0,adaptive_fold,6.0199533596497696,0,Converged,264,1.370920,0.479682
plan15,0,1,0,1,adaptive_fold,6.0199533596497696,0,Converged,264,1.150062,0.310705
plan15,0,1,0,1,adaptive_affine,6.0199533810315735,8,BudgetExceeded,23556,376.259210,0.293864
plan15,0,1,0,1,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,1.416467,0.347579
plan15,0,1,0,2,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,1.332837,0.300109
plan15,0,1,0,2,adaptive_affine,6.0199533810315735,8,BudgetExceeded,23556,379.811325,0.291047
plan15,0,1,0,2,adaptive_fold,6.0199533596497696,0,Converged,264,1.266063,0.361938
plan15,0,1,1,0,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,1.292959,0.171896
plan15,0,1,1,0,adaptive_affine,6.0267741047598715,8,BudgetExceeded,23818,392.937559,0.168460
plan15,0,1,1,0,adaptive_fold,6.0267740818625244,0,Converged,264,1.080279,0.177438
plan15,0,1,1,1,adaptive_fold,6.0267740818625244,0,Converged,264,1.019187,0.172305
plan15,0,1,1,1,adaptive_affine,6.0267741047598715,8,BudgetExceeded,23818,396.342694,0.168368
plan15,0,1,1,1,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,1.345298,0.182192
plan15,0,1,1,2,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,1.272582,0.168715
plan15,0,1,1,2,adaptive_affine,6.0267741047598715,8,BudgetExceeded,23818,395.045555,0.169400
plan15,0,1,1,2,adaptive_fold,6.0267740818625244,0,Converged,264,1.129383,0.180011
plan15,0.5,0,0,0,mapped_fixed63,6.1205016227172306,0,fixed_resolution,504,1.661506,0.296256
plan15,0.5,0,0,0,adaptive_affine,6.1205154790060341,0,Converged,272,1.135118,0.294934
plan15,0.5,0,0,0,adaptive_fold,6.120501628854238,0,Converged,176,1.006416,0.295496
plan15,0.5,0,0,1,adaptive_fold,6.120501628854238,0,Converged,176,1.008508,0.298203
plan15,0.5,0,0,1,adaptive_affine,6.1205154790060341,0,Converged,272,1.117194,0.292690
plan15,0.5,0,0,1,mapped_fixed63,6.1205016227172306,0,fixed_resolution,504,1.622605,0.292202
plan15,0.5,0,0,2,mapped_fixed63,6.1205016227172306,0,fixed_resolution,504,1.616184,0.289977
plan15,0.5,0,0,2,adaptive_affine,6.1205154790060341,0,Converged,272,1.137767,0.288234
plan15,0.5,0,0,2,adaptive_fold,6.120501628854238,0,Converged,176,1.013578,0.294091
plan15,0.5,0,1,0,mapped_fixed63,6.1294554709774953,0,fixed_resolution,504,1.580932,0.169540
plan15,0.5,0,1,0,adaptive_affine,6.1294693764924384,0,Converged,272,0.986404,0.166535
plan15,0.5,0,1,0,adaptive_fold,6.129455477263571,0,Converged,176,0.889545,0.168010
plan15,0.5,0,1,1,adaptive_fold,6.129455477263571,0,Converged,176,0.886484,0.169504
plan15,0.5,0,1,1,adaptive_affine,6.1294693764924384,0,Converged,272,0.998846,0.167832
plan15,0.5,0,1,1,mapped_fixed63,6.1294554709774953,0,fixed_resolution,504,1.571946,0.165374
plan15,0.5,0,1,2,mapped_fixed63,6.1294554709774953,0,fixed_resolution,504,1.568722,0.165736
