name,u,parameter,step,n,stop,analytic,estimated_error,finite_difference,difference
plan15,0,0,0.000125,128,Converged,5.5616784624163538,2.47356452e-05,5.561679338846659,8.76430305e-07
plan15,0,0,0.000125,256,Converged,5.5616784624163538,2.47356452e-05,5.561679338846659,8.76430305e-07
plan15,0,0,3.7499999999999997e-05,128,Converged,5.5616784624163538,2.47356452e-05,5.5616785412837553,7.88674015e-08
plan15,0,0,3.7499999999999997e-05,256,Converged,5.5616784624163538,2.47356452e-05,5.5616785412837553,7.88674015e-08
plan15,0,0,1.2500000000000001e-05,128,Converged,5.5616784624163538,2.47356452e-05,5.5616784711531864,8.73683259e-09
plan15,0,0,1.2500000000000001e-05,256,Converged,5.5616784624163538,2.47356452e-05,5.5616784711887135,8.77235973e-09
plan15,0,1,0.000125,128,Converged,-17.137986488993693,2.99480895e-05,-17.137992869255214,6.38026152e-06
plan15,0,1,0.000125,256,Converged,-17.137986488993693,2.99480895e-05,-17.137992869251661,6.38025797e-06
plan15,0,1,3.7499999999999997e-05,128,Converged,-17.137986488993693,2.99480895e-05,-17.137987063217491,5.74223797e-07
plan15,0,1,3.7499999999999997e-05,256,Converged,-17.137986488993693,2.99480895e-05,-17.137987063205649,5.74211956e-07
plan15,0,1,1.2500000000000001e-05,128,Converged,-17.137986488993693,2.99480895e-05,-17.13798655277543,6.37817372e-08
plan15,0,1,1.2500000000000001e-05,256,Converged,-17.137986488993693,2.99480895e-05,-17.137986552810958,6.38172644e-08
plan15,0,2,0.000125,128,Converged,-10.351485564303815,3.36769693e-05,-10.351490887035908,5.32273209e-06
plan15,0,2,0.000125,256,Converged,-10.351485564303815,3.36769693e-05,-10.351490887035908,5.32273209e-06
plan15,0,2,3.7499999999999997e-05,128,Converged,-10.351485564303815,3.36769693e-05,-10.351486043340687,4.79036872e-07
plan15,0,2,3.7499999999999997e-05,256,Converged,-10.351485564303815,3.36769693e-05,-10.351486043352528,4.79048714e-07
plan15,0,2,1.2500000000000001e-05,128,Converged,-10.351485564303815,3.36769693e-05,-10.351485617583478,5.32796633e-08
plan15,0,2,1.2500000000000001e-05,256,Converged,-10.351485564303815,3.36769693e-05,-10.351485617547951,5.32441362e-08
plan15,0,3,0.00050000000000000001,128,Converged,-4.9880854846361142,3.04647301e-05,-4.9880838047027254,1.67993339e-06
plan15,0,3,0.00050000000000000001,256,Converged,-4.9880854846361142,3.04647301e-05,-4.9880838047027254,1.67993339e-06
plan15,0,3,0.00014999999999999999,128,Converged,-4.9880854846361142,3.04647301e-05,-4.9880853334283159,1.51207798e-07
plan15,0,3,0.00014999999999999999,256,Converged,-4.9880854846361142,3.04647301e-05,-4.9880853334283159,1.51207798e-07
plan15,0,3,5.0000000000000002e-05,128,Converged,-4.9880854846361142,3.04647301e-05,-4.9880854678008291,1.68352852e-08
plan15,0,3,5.0000000000000002e-05,256,Converged,-4.9880854846361142,3.04647301e-05,-4.9880854678008291,1.68352852e-08
plan15,0,4,0.0011999999999999999,128,Converged,1.2384878952762686,5.35304377e-06,1.2384948581985653,6.9629223e-06
plan15,0,4,0.0011999999999999999,256,Converged,1.2384878952762686,5.35304377e-06,1.2384948581981952,6.96292193e-06
plan15,0,4,0.00035999999999999997,128,Converged,1.2384878952762686,5.35304377e-06,1.2384885219250841,6.26648816e-07
plan15,0,4,0.00035999999999999997,256,Converged,1.2384878952762686,5.35304377e-06,1.2384885219250841,6.26648816e-07
plan15,0,4,0.00012,128,Converged,1.2384878952762686,5.35304377e-06,1.2384879649052216,6.9628953e-08
plan15,0,4,0.00012,256,Converged,1.2384878952762686,5.35304377e-06,1.2384879649052216,6.9628953e-08
plan15,0.5,0,0.000125,128,Converged,7.3097580436511,1.94446215e-05,7.3097575748555244,4.68795576e-07
plan15,0.5,0,0.000125,256,Converged,7.3097580436511,1.94446215e-05,7.3097575748519716,4.68799128e-07
plan15,0.5,0,3.7499999999999997e-05,128,Converged,7.3097580436511,1.94446215e-05,7.3097580014547257,4.21963744e-08
plan15,0.5,0,3.7499999999999997e-05,256,Converged,7.3097580436511,1.94446215e-05,7.3097580014547257,4.21963744e-08
plan15,0.5,0,1.2500000000000001e-05,128,Converged,7.3097580436511,1.94446215e-05,7.3097580389358541,4.71524597e-09
plan15,0.5,0,1.2500000000000001e-05,256,Converged,7.3097580436511,1.94446215e-05,7.3097580389358541,4.71524597e-09
plan15,0.5,1,0.000125,128,Converged,-17.352260795271313,2.21613326e-05,-17.352266256327908,5.4610566e-06
plan15,0.5,1,0.000125,256,Converged,-17.352260795271313,2.21613326e-05,-17.352266256324356,5.46105304e-06
plan15,0.5,1,3.7499999999999997e-05,128,Converged,-17.352260795271313,2.21613326e-05,-17.352261286767146,4.91495832e-07
plan15,0.5,1,3.7499999999999997e-05,256,Converged,-17.352260795271313,2.21613326e-05,-17.352261286755304,4.91483991e-07
plan15,0.5,1,1.2500000000000001e-05,128,Converged,-17.352260795271313,2.21613326e-05,-17.352260849889944,5.46186314e-08
plan15,0.5,1,1.2500000000000001e-05,256,Converged,-17.352260795271313,2.21613326e-05,-17.352260849889944,5.46186314e-08
plan15,0.5,2,0.000125,128,Converged,-11.441453834871259,2.56403214e-05,-11.441460681034243,6.84616298e-06
plan15,0.5,2,0.000125,256,Converged,-11.441453834871259,2.56403214e-05,-11.441460681034243,6.84616298e-06
plan15,0.5,2,3.7499999999999997e-05,128,Converged,-11.441453834871259,2.56403214e-05,-11.441454451031065,6.16159806e-07
plan15,0.5,2,3.7499999999999997e-05,256,Converged,-11.441453834871259,2.56403214e-05,-11.441454451031065,6.16159806e-07
plan15,0.5,2,1.2500000000000001e-05,128,Converged,-11.441453834871259,2.56403214e-05,-11.44145390338025,6.85089905e-08
plan15,0.5,2,1.2500000000000001e-05,256,Converged,-11.441453834871259,2.56403214e-05,-11.44145390338025,6.85089905e-08
plan15,0.5,3,0.00050000000000000001,128,Converged,-5.4831820637020261,2.34359916e-05,-5.4831788781424251,3.1855596e-06
plan15,0.5,3,0.00050000000000000001,256,Converged,-5.4831820637020261,2.34359916e-05,-5.4831788781433133,3.18555871e-06
plan15,0.5,3,0.00014999999999999999,128,Converged,-5.4831820637020261,2.34359916e-05,-5.4831817769921782,2.86709848e-07
plan15,0.5,3,0.00014999999999999999,256,Converged,-5.4831820637020261,2.34359916e-05,-5.4831817769951394,2.86706887e-07
plan15,0.5,3,5.0000000000000002e-05,128,Converged,-5.4831820637020261,2.34359916e-05,-5.4831820318135271,3.1888499e-08
plan15,0.5,3,5.0000000000000002e-05,256,Converged,-5.4831820637020261,2.34359916e-05,-5.4831820318135271,3.1888499e-08
plan15,0.5,4,0.0011999999999999999,128,Converged,1.3006760643964501,4.47516161e-06,1.3006818748310482,5.8104346e-06
plan15,0.5,4,0.0011999999999999999,256,Converged,1.3006760643964501,4.47516161e-06,1.3006818748310482,5.8104346e-06
plan15,0.5,4,0.00035999999999999997,128,Converged,1.3006760643964501,4.47516161e-06,1.3006765873235795,5.22927129e-07
plan15,0.5,4,0.00035999999999999997,256,Converged,1.3006760643964501,4.47516161e-06,1.3006765873223458,5.22925896e-07
plan15,0.5,4,0.00012,128,Converged,1.3006760643964501,4.47516161e-06,1.3006761224991041,5.8102654e-08
plan15,0.5,4,0.00012,256,Converged,1.3006760643964501,4.47516161e-06,1.3006761224991041,5.8102654e-08
paper_highA,0,0,8.1133264861482079e-08,128,EventLocationLimited,-133429878.86450942,461.235333,-133430005.42373534,126.559226
paper_highA,0,0,8.1133264861482079e-08,256,EventLocationLimited,-133429878.86450942,461.235333,-133430009.73343231,130.868923
paper_highA,0,0,2.4339979458444623e-08,128,EventLocationLimited,-133429878.86450942,461.235333,-133429907.26103738,28.396528
paper_highA,0,0,2.4339979458444623e-08,256,EventLocationLimited,-133429878.86450942,461.235333,-133429147.99628377,730.868226
paper_highA,0,0,8.1133264861482083e-09,128,EventLocationLimited,-133429878.86450942,461.235333,-133429146.59788777,732.266622
paper_highA,0,0,8.1133264861482083e-09,256,EventLocationLimited,-133429878.86450942,461.235333,-133429363.75188828,515.112621
paper_highA,0,1,8.1133264861482079e-08,128,EventLocationLimited,-32496657.875853486,533.176318,-32496774.035565373,116.159712
paper_highA,0,1,8.1133264861482079e-08,256,EventLocationLimited,-32496657.875853486,533.176318,-32496839.180240981,181.304387
paper_highA,0,1,2.4339979458444623e-08,128,EventLocationLimited,-32496657.875853486,533.176318,-32496672.887498982,15.0116455
paper_highA,0,1,2.4339979458444623e-08,256,EventLocationLimited,-32496657.875853486,533.176318,18251272.834477823,50747930.7
paper_highA,0,1,8.1133264861482083e-09,128,EventLocationLimited,-32496657.875853486,533.176318,-32496669.938439369,12.0625859
paper_highA,0,1,8.1133264861482083e-09,256,EventLocationLimited,-32496657.875853486,533.176318,-32496668.784605738,10.9087523
paper_highA,0,2,8.1133264861482079e-08,128,EventLocationLimited,-6947009.4197016833,2054.71293,-6946678.84778581,330.571916
paper_highA,0,2,8.1133264861482079e-08,256,EventLocationLimited,-6947009.4197016833,2054.71293,-6946742.6754790982,266.744223
paper_highA,0,2,2.4339979458444623e-08,128,EventLocationLimited,-6947009.4197016833,2054.71293,-6946941.8896403797,67.5300613
paper_highA,0,2,2.4339979458444623e-08,256,EventLocationLimited,-6947009.4197016833,2054.71293,-6946750.3451863853,259.074515
paper_highA,0,2,8.1133264861482083e-09,128,EventLocationLimited,-6947009.4197016833,2054.71293,-6946963.046582561,46.3731191
