name,u,parameter,step,n,stop,analytic,estimated_error,finite_difference,difference
plan15,0,0,0.000125,128,Converged,5.5616784624149505,2.47326181e-05,5.561679338846659,8.76431709e-07
plan15,0,0,0.000125,256,Converged,5.5616784624149505,2.47326181e-05,5.561679338846659,8.76431709e-07
plan15,0,0,3.7499999999999997e-05,128,Converged,5.5616784624149505,2.47326181e-05,5.5616785412837553,7.88688048e-08
plan15,0,0,3.7499999999999997e-05,256,Converged,5.5616784624149505,2.47326181e-05,5.5616785412837553,7.88688048e-08
plan15,0,0,1.2500000000000001e-05,128,Converged,5.5616784624149505,2.47326181e-05,5.5616784711531864,8.73823591e-09
plan15,0,0,1.2500000000000001e-05,256,Converged,5.5616784624149505,2.47326181e-05,5.5616784711887135,8.77376305e-09
plan15,0,1,0.000125,128,Converged,-17.137986488994411,2.99466896e-05,-17.137992869255214,6.3802608e-06
plan15,0,1,0.000125,256,Converged,-17.137986488994411,2.99466896e-05,-17.137992869251661,6.38025725e-06
plan15,0,1,3.7499999999999997e-05,128,Converged,-17.137986488994411,2.99466896e-05,-17.137987063217491,5.7422308e-07
plan15,0,1,3.7499999999999997e-05,256,Converged,-17.137986488994411,2.99466896e-05,-17.137987063205649,5.74211239e-07
plan15,0,1,1.2500000000000001e-05,128,Converged,-17.137986488994411,2.99466896e-05,-17.13798655277543,6.37810196e-08
plan15,0,1,1.2500000000000001e-05,256,Converged,-17.137986488994411,2.99466896e-05,-17.137986552810958,6.38165467e-08
plan15,0,2,0.000125,128,Converged,-10.351485564306246,3.36736338e-05,-10.351490887035908,5.32272966e-06
plan15,0,2,0.000125,256,Converged,-10.351485564306246,3.36736338e-05,-10.351490887035908,5.32272966e-06
plan15,0,2,3.7499999999999997e-05,128,Converged,-10.351485564306246,3.36736338e-05,-10.351486043340687,4.79034441e-07
plan15,0,2,3.7499999999999997e-05,256,Converged,-10.351485564306246,3.36736338e-05,-10.351486043352528,4.79046282e-07
plan15,0,2,1.2500000000000001e-05,128,Converged,-10.351485564306246,3.36736338e-05,-10.351485617583478,5.32772315e-08
plan15,0,2,1.2500000000000001e-05,256,Converged,-10.351485564306246,3.36736338e-05,-10.351485617547951,5.32417044e-08
plan15,0,3,0.00050000000000000001,128,Converged,-4.9880854846340306,3.04602828e-05,-4.9880838047027254,1.67993131e-06
plan15,0,3,0.00050000000000000001,256,Converged,-4.9880854846340306,3.04602828e-05,-4.9880838047027254,1.67993131e-06
plan15,0,3,0.00014999999999999999,128,Converged,-4.9880854846340306,3.04602828e-05,-4.9880853334283159,1.51205715e-07
plan15,0,3,0.00014999999999999999,256,Converged,-4.9880854846340306,3.04602828e-05,-4.9880853334283159,1.51205715e-07
plan15,0,3,5.0000000000000002e-05,128,Converged,-4.9880854846340306,3.04602828e-05,-4.9880854678008291,1.68332015e-08
plan15,0,3,5.0000000000000002e-05,256,Converged,-4.9880854846340306,3.04602828e-05,-4.9880854678008291,1.68332015e-08
plan15,0,4,0.0011999999999999999,128,Converged,1.2384878952743548,5.34925961e-06,1.2384948581985653,6.96292421e-06
plan15,0,4,0.0011999999999999999,256,Converged,1.2384878952743548,5.34925961e-06,1.2384948581981952,6.96292384e-06
plan15,0,4,0.00035999999999999997,128,Converged,1.2384878952743548,5.34925961e-06,1.2384885219250841,6.26650729e-07
plan15,0,4,0.00035999999999999997,256,Converged,1.2384878952743548,5.34925961e-06,1.2384885219250841,6.26650729e-07
plan15,0,4,0.00012,128,Converged,1.2384878952743548,5.34925961e-06,1.2384879649052216,6.96308669e-08
plan15,0,4,0.00012,256,Converged,1.2384878952743548,5.34925961e-06,1.2384879649052216,6.96308669e-08
plan15,0.5,0,0.000125,128,Converged,7.3097580436502447,1.94427832e-05,7.3097575748555244,4.6879472e-07
plan15,0.5,0,0.000125,256,Converged,7.3097580436502447,1.94427832e-05,7.3097575748519716,4.68798273e-07
plan15,0.5,0,3.7499999999999997e-05,128,Converged,7.3097580436502447,1.94427832e-05,7.3097580014547257,4.21955191e-08
plan15,0.5,0,3.7499999999999997e-05,256,Converged,7.3097580436502447,1.94427832e-05,7.3097580014547257,4.21955191e-08
plan15,0.5,0,1.2500000000000001e-05,128,Converged,7.3097580436502447,1.94427832e-05,7.3097580389358541,4.71439066e-09
plan15,0.5,0,1.2500000000000001e-05,256,Converged,7.3097580436502447,1.94427832e-05,7.3097580389358541,4.71439066e-09
plan15,0.5,1,0.000125,128,Converged,-17.352260795271743,2.21604833e-05,-17.352266256327908,5.46105617e-06
plan15,0.5,1,0.000125,256,Converged,-17.352260795271743,2.21604833e-05,-17.352266256324356,5.46105261e-06
plan15,0.5,1,3.7499999999999997e-05,128,Converged,-17.352260795271743,2.21604833e-05,-17.352261286767146,4.91495403e-07
plan15,0.5,1,3.7499999999999997e-05,256,Converged,-17.352260795271743,2.21604833e-05,-17.352261286755304,4.91483561e-07
plan15,0.5,1,1.2500000000000001e-05,128,Converged,-17.352260795271743,2.21604833e-05,-17.352260849889944,5.46182015e-08
plan15,0.5,1,1.2500000000000001e-05,256,Converged,-17.352260795271743,2.21604833e-05,-17.352260849889944,5.46182015e-08
plan15,0.5,2,0.000125,128,Converged,-11.441453834872716,2.5638295e-05,-11.441460681034243,6.84616153e-06
plan15,0.5,2,0.000125,256,Converged,-11.441453834872716,2.5638295e-05,-11.441460681034243,6.84616153e-06
plan15,0.5,2,3.7499999999999997e-05,128,Converged,-11.441453834872716,2.5638295e-05,-11.441454451031065,6.16158349e-07
plan15,0.5,2,3.7499999999999997e-05,256,Converged,-11.441453834872716,2.5638295e-05,-11.441454451031065,6.16158349e-07
plan15,0.5,2,1.2500000000000001e-05,128,Converged,-11.441453834872716,2.5638295e-05,-11.44145390338025,6.85075339e-08
plan15,0.5,2,1.2500000000000001e-05,256,Converged,-11.441453834872716,2.5638295e-05,-11.44145390338025,6.85075339e-08
plan15,0.5,3,0.00050000000000000001,128,Converged,-5.48318206370078,2.34332905e-05,-5.4831788781424251,3.18555835e-06
plan15,0.5,3,0.00050000000000000001,256,Converged,-5.48318206370078,2.34332905e-05,-5.4831788781433133,3.18555747e-06
plan15,0.5,3,0.00014999999999999999,128,Converged,-5.48318206370078,2.34332905e-05,-5.4831817769921782,2.86708602e-07
plan15,0.5,3,0.00014999999999999999,256,Converged,-5.48318206370078,2.34332905e-05,-5.4831817769951394,2.86705641e-07
plan15,0.5,3,5.0000000000000002e-05,128,Converged,-5.48318206370078,2.34332905e-05,-5.4831820318135271,3.18872528e-08
plan15,0.5,3,5.0000000000000002e-05,256,Converged,-5.48318206370078,2.34332905e-05,-5.4831820318135271,3.18872528e-08
plan15,0.5,4,0.0011999999999999999,128,Converged,1.300676064395299,4.47286349e-06,1.3006818748310482,5.81043575e-06
plan15,0.5,4,0.0011999999999999999,256,Converged,1.300676064395299,4.47286349e-06,1.3006818748310482,5.81043575e-06
plan15,0.5,4,0.00035999999999999997,128,Converged,1.300676064395299,4.47286349e-06,1.3006765873235795,5.2292828e-07
plan15,0.5,4,0.00035999999999999997,256,Converged,1.300676064395299,4.47286349e-06,1.3006765873223458,5.22927047e-07
plan15,0.5,4,0.00012,128,Converged,1.300676064395299,4.47286349e-06,1.3006761224991041,5.81038051e-08
plan15,0.5,4,0.00012,256,Converged,1.300676064395299,4.47286349e-06,1.3006761224991041,5.81038051e-08
paper_highA,0,0,8.1133264861482079e-08,128,EventLocationLimited,-133429878.86450049,461.235335,-133429900.88207006,22.0175696
paper_highA,0,0,8.1133264861482079e-08,256,EventLocationLimited,-133429878.86450049,461.235335,-133429900.94622426,22.0817238
paper_highA,0,0,2.4339979458444623e-08,128,EventLocationLimited,-133429878.86450049,461.235335,nan,nan
paper_highA,0,0,2.4339979458444623e-08,256,EventLocationLimited,-133429878.86450049,461.235335,-133429879.91504206,1.05054156
paper_highA,0,0,8.1133264861482083e-09,128,EventLocationLimited,-133429878.86450049,461.235335,-133429878.87431617,0.009815678
paper_highA,0,0,8.1133264861482083e-09,256,EventLocationLimited,-133429878.86450049,461.235335,-133429878.58308332,0.281417176
paper_highA,0,1,8.1133264861482079e-08,128,EventLocationLimited,-32496657.875841264,533.176322,-32496685.626989599,27.7511483
paper_highA,0,1,8.1133264861482079e-08,256,EventLocationLimited,-32496657.875841264,533.176322,nan,nan
paper_highA,0,1,2.4339979458444623e-08,128,EventLocationLimited,-32496657.875841264,533.176322,nan,nan
paper_highA,0,1,2.4339979458444623e-08,256,EventLocationLimited,-32496657.875841264,533.176322,nan,nan
paper_highA,0,1,8.1133264861482083e-09,128,EventLocationLimited,-32496657.875841264,533.176322,nan,nan
paper_highA,0,1,8.1133264861482083e-09,256,EventLocationLimited,-32496657.875841264,533.176322,nan,nan
paper_highA,0,2,8.1133264861482079e-08,128,EventLocationLimited,-6947009.4197333166,2054.71294,-6946721.3269337974,288.0928
paper_highA,0,2,8.1133264861482079e-08,256,EventLocationLimited,-6947009.4197333166,2054.71294,nan,nan
paper_highA,0,2,2.4339979458444623e-08,128,EventLocationLimited,-6947009.4197333166,2054.71294,-6946983.6677295286,25.7520038
paper_highA,0,2,2.4339979458444623e-08,256,EventLocationLimited,-6947009.4197333166,2054.71294,nan,nan
paper_highA,0,2,8.1133264861482083e-09,128,EventLocationLimited,-6947009.4197333166,2054.71294,-6947005.5261116838,3.89362163
paper_highA,0,2,8.1133264861482083e-09,256,EventLocationLimited,-6947009.4197333166,2054.71294,nan,nan
paper_highA,0,3,5.8095075817158435,128,EventLocationLimited,-4.5853632059859892,1.29508617e-05,-4.5853663734914036,3.16750541e-06
paper_highA,0,3,5.8095075817158435,256,EventLocationLimited,-4.5853632059859892,1.29508617e-05,nan,nan
paper_highA,0,3,1.7428522745147528,128,EventLocationLimited,-4.5853632059859892,1.29508617e-05,-4.5853634972309099,2.91244921e-07
paper_highA,0,3,1.7428522745147528,256,EventLocationLimited,-4.5853632059859892,1.29508617e-05,nan,nan
paper_highA,0,3,0.58095075817158437,128,EventLocationLimited,-4.5853632059859892,1.29508617e-05,-4.5853632545667562,4.8580767e-08
paper_highA,0,3,0.58095075817158437,256,EventLocationLimited,-4.5853632059859892,1.29508617e-05,-4.585363257517777,5.15317877e-08
paper_highA,0,4,0.0016869965260211354,128,EventLocationLimited,29310.413174189507,48.8158699,29310.530504639075,0.11733045
paper_highA,0,4,0.0016869965260211354,256,EventLocationLimited,29310.413174189507,48.8158699,nan,nan
paper_highA,0,4,0.0005060989578063405,128,EventLocationLimited,29310.413174189507,48.8158699,nan,nan
paper_highA,0,4,0.0005060989578063405,256,EventLocationLimited,29310.413174189507,48.8158699,29310.423270626408,0.0100964369
paper_highA,0,4,0.00016869965260211354,128,EventLocationLimited,29310.413174189507,48.8158699,29310.413788622333,0.000614432825
paper_highA,0,4,0.00016869965260211354,256,EventLocationLimited,29310.413174189507,48.8158699,29310.413764426597,0.00059023709
paper_highA,0.5,0,8.1133264861482079e-08,128,InnerAccuracyLimited,-144429215.87340963,1979.95433,-144429300.62155169,84.7481421
paper_highA,0.5,0,8.1133264861482079e-08,256,InnerAccuracyLimited,-144429215.87340963,1979.95433,-144429300.67964131,84.8062317
paper_highA,0.5,0,2.4339979458444623e-08,128,InnerAccuracyLimited,-144429215.87340963,1979.95433,nan,nan
paper_highA,0.5,0,2.4339979458444623e-08,256,InnerAccuracyLimited,-144429215.87340963,1979.95433,-144429331.33949959,115.46609
paper_highA,0.5,0,8.1133264861482083e-09,128,InnerAccuracyLimited,-144429215.87340963,1979.95433,-144429334.52445257,118.651043
paper_highA,0.5,0,8.1133264861482083e-09,256,InnerAccuracyLimited,-144429215.87340963,1979.95433,-144429334.34868157,118.475272
paper_highA,0.5,1,8.1133264861482079e-08,128,InnerAccuracyLimited,-52457858.709179819,2146.56941,-52457881.733922161,23.0247423
paper_highA,0.5,1,8.1133264861482079e-08,256,InnerAccuracyLimited,-52457858.709179819,2146.56941,nan,nan
paper_highA,0.5,1,2.4339979458444623e-08,128,InnerAccuracyLimited,-52457858.709179819,2146.56941,nan,nan
paper_highA,0.5,1,2.4339979458444623e-08,256,InnerAccuracyLimited,-52457858.709179819,2146.56941,nan,nan
paper_highA,0.5,1,8.1133264861482083e-09,128,InnerAccuracyLimited,-52457858.709179819,2146.56941,nan,nan
paper_highA,0.5,1,8.1133264861482083e-09,256,InnerAccuracyLimited,-52457858.709179819,2146.56941,nan,nan
paper_highA,0.5,2,8.1133264861482079e-08,128,InnerAccuracyLimited,7897911.9112040494,6478.96946,7898213.997483152,302.086279
paper_highA,0.5,2,8.1133264861482079e-08,256,InnerAccuracyLimited,7897911.9112040494,6478.96946,nan,nan
paper_highA,0.5,2,2.4339979458444623e-08,128,InnerAccuracyLimited,7897911.9112040494,6478.96946,7897962.1519549964,50.2407509
paper_highA,0.5,2,2.4339979458444623e-08,256,InnerAccuracyLimited,7897911.9112040494,6478.96946,nan,nan
paper_highA,0.5,2,8.1133264861482083e-09,128,InnerAccuracyLimited,7897911.9112040494,6478.96946,7897940.725153476,28.8139494
paper_highA,0.5,2,8.1133264861482083e-09,256,InnerAccuracyLimited,7897911.9112040494,6478.96946,nan,nan
