name,u,jac,warm,rtol,stop,mu,error,nodes,reused,splits,whole_ms,topology_ms,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
plan15,0.0,0,0,1.0e-03,Converged,6.0199516089053375,0.005839888,120,57,0,1.021416,0.371747,0.146467,0.007878,0.002113,0.646153,6.0204103664095419,0,4.5873117e-14,1.1394538e-14,2.6733956e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-04,Converged,6.0199533596044921,0.00031935832,176,109,0,0.962175,0.296226,0.178419,0.010716,0.002174,0.640137,6.0204103664095419,0,4.5472499e-14,1.1311239e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-05,Converged,6.0199533595851955,5.8400462e-05,208,139,0,0.951756,0.284831,0.208731,0.010545,0.002497,0.637184,6.0204103664095419,0,4.5647859e-14,1.1179161e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-06,Converged,6.0199533596497696,2.6306329e-06,264,192,0,1.088777,0.285174,0.254247,0.013717,0.002852,0.629367,6.0204103664095419,0,4.5705769e-14,1.1179139e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-08,Converged,6.019953359650013,2.3952302e-08,328,254,0,1.124031,0.304752,0.317636,0.020095,0.003375,0.759750,6.0204103664095419,0,4.5580656e-14,1.1130644e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-03,Converged,6.0267722202986098,0.0059217089,120,57,0,0.726404,0.169651,0.125909,0.006296,0.001506,0.521627,6.027232423426514,0,4.5732503e-14,1.1470775e-14,2.6764245e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-04,Converged,6.0267740818191173,0.00032163431,176,109,0,0.826251,0.168580,0.181097,0.007742,0.001971,0.512736,6.027232423426514,0,4.5348295e-14,1.1380573e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-05,Converged,6.0267740817994939,5.769977e-05,208,139,0,0.853625,0.169984,0.231013,0.010309,0.002425,0.516002,6.027232423426514,0,4.5497408e-14,1.1247279e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-06,Converged,6.0267740818625253,2.6054181e-06,264,192,0,0.909536,0.169737,0.269477,0.013591,0.002896,0.515955,6.027232423426514,0,4.5511346e-14,1.1247251e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-08,Converged,6.026774081862742,2.2032672e-08,328,254,0,0.995045,0.169348,0.331796,0.018672,0.003236,0.513963,6.027232423426514,0,4.5706908e-14,1.1208874e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,1,0,1.0e-03,Converged,6.0199533597338144,0.00029001793,184,116,0,1.010196,0.292031,0.202393,0.044966,0.008122,1.182194,6.0204103664095419,0,4.5484267e-14,1.1311239e-14,2.6733963e-15,5.5616784661169678,-17.137986500956952,-10.351485573652155,-4.9880854993560941,1.2384878941304636,0.0026021232,0.0039837767,0.0076584124,0.002620414,0.00085213421
plan15,0.0,1,0,1.0e-04,Converged,6.0199533596497696,2.6306329e-06,264,192,0,1.137081,0.285443,0.276850,0.072879,0.008984,1.164630,6.0204103664095419,0,4.5705769e-14,1.1179139e-14,2.6733963e-15,5.5616784624053279,-17.137986489027639,-10.351485564235421,-4.9880854846065343,1.2384878952848106,6.9637111e-05,0.00012098101,0.00013843534,6.7863765e-05,1.3488723e-05
plan15,0.0,1,0,1.0e-05,Converged,6.0199533596499943,1.3937834e-07,296,223,0,1.157169,0.284395,0.296264,0.087392,0.009265,1.167120,6.0204103664095419,0,4.5780333e-14,1.1140583e-14,2.6733963e-15,5.5616784624402733,-17.137986488958578,-10.351485564285866,-4.9880854846346878,1.2384878952775724,2.475227e-05,2.9966379e-05,3.3698639e-05,3.0456499e-05,5.3312561e-06
plan15,0.0,1,0,1.0e-06,Converged,6.019953359650013,2.3952302e-08,328,254,0,1.280762,0.283640,0.377427,0.116582,0.011131,1.196272,6.0204103664095419,0,4.5580656e-14,1.1130644e-14,2.6733963e-15,5.5616784624544646,-17.137986488940168,-10.351485564258168,-4.9880854846223377,1.2384878952809915,2.6851865e-06,4.0119161e-06,4.6691586e-06,2.2309124e-06,1.1786176e-06
plan15,0.0,1,0,1.0e-08,EventLocationLimited,6.019953359650013,1.3239109e-08,344,269,0,1.244782,0.284061,0.354758,0.105631,0.010166,1.158911,6.0204103664095419,0,4.5627503e-14,1.1130644e-14,2.6733963e-15,5.5616784624544602,-17.137986488940172,-10.351485564258164,-4.9880854846223412,1.2384878952809908,2.1559878e-06,2.7264326e-06,3.5301114e-06,1.7775761e-06,1.1350758e-06
plan15,0.0,1,1,1.0e-03,Converged,6.0267740819408857,0.00029350288,184,116,0,1.390511,0.174757,0.213472,0.045759,0.007714,1.174240,6.027232423426514,0,4.543647e-14,1.1380573e-14,2.6764253e-15,5.351559377565474,-16.945458090618178,-10.617977041512782,-4.9307707377614287,1.2299369665820137,0.0027201222,0.0040478508,0.007819809,0.0027270802,0.00086529962
plan15,0.0,1,1,1.0e-04,Converged,6.0267740818625253,2.6054181e-06,264,192,0,1.007282,0.177402,0.288655,0.074334,0.008809,1.042231,6.027232423426514,0,4.5511346e-14,1.1247251e-14,2.6764253e-15,5.3515593739531484,-16.945458078880456,-10.617977031914572,-4.9307707227521487,1.2299369678236141,7.0716107e-05,0.00011813105,0.0001384291,7.042154e-05,1.3875534e-05
plan15,0.0,1,1,1.0e-05,Converged,6.0267740818627225,1.5372459e-07,296,223,0,1.056084,0.170449,0.315869,0.094543,0.009140,1.042396,6.027232423426514,0,4.5501466e-14,1.1219886e-14,2.6764253e-15,5.3515593739850047,-16.945458078817815,-10.617977031962285,-4.9307707227777957,1.229936967817076,2.8127385e-05,3.1788933e-05,3.6604834e-05,3.4094176e-05,6.090258e-06
