name,u,jac,warm,rtol,stop,mu,error,nodes,reused,splits,whole_ms,topology_ms,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
plan15,0.0,0,0,1.0e-03,Converged,6.0199516089053375,0.005839888,120,57,0,0.713528,0.349718,0.133849,0.006424,0.001869,0.664612,6.0204103664095419,0,4.5873117e-14,1.1394538e-14,2.6733956e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-04,Converged,6.0199533596044921,0.00031935832,176,109,0,0.695551,0.290766,0.176338,0.008300,0.002194,0.631564,6.0204103664095419,0,4.54649e-14,1.1311239e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-05,Converged,6.0199533595851955,5.8400462e-05,208,139,0,0.711073,0.285303,0.208101,0.009894,0.002430,0.630143,6.0204103664095419,0,4.564026e-14,1.1179161e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-06,Converged,6.0199533596497696,2.6306329e-06,264,192,0,0.809871,0.277696,0.252505,0.013641,0.002873,0.631371,6.0204103664095419,0,4.570233e-14,1.1179139e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-08,Converged,6.019953359650013,2.3952302e-08,328,254,0,0.864766,0.287056,0.315030,0.017214,0.003143,0.629051,6.0204103664095419,0,4.5577216e-14,1.1130644e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-03,Converged,6.0267722202986098,0.0059217089,120,57,0,0.490231,0.172818,0.126793,0.005101,0.001485,0.621441,6.027232423426514,0,4.5698193e-14,1.1477185e-14,2.6764245e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-04,Converged,6.0267740818191173,0.00032163431,176,109,0,0.553819,0.173439,0.180941,0.007125,0.001958,0.624933,6.027232423426514,0,4.5313985e-14,1.1386983e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-05,Converged,6.0267740817994939,5.769977e-05,208,139,0,0.600648,0.168941,0.222825,0.008895,0.002384,0.623946,6.027232423426514,0,4.5547627e-14,1.1248885e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-06,Converged,6.0267740818625253,2.6054181e-06,264,192,0,0.664101,0.166614,0.266374,0.013110,0.002860,0.631185,6.027232423426514,0,4.5570485e-14,1.1248857e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-08,Converged,6.026774081862742,2.2032672e-08,328,254,0,0.802098,0.178989,0.333435,0.016930,0.003093,0.622161,6.027232423426514,0,4.5766047e-14,1.1210481e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,1,0,1.0e-03,Converged,6.0199533597338144,0.00029001793,184,116,0,0.756083,0.288593,0.200285,0.043500,0.008397,1.165799,6.0204103664095419,0,4.5476668e-14,1.1311239e-14,2.6733963e-15,5.5616784661169669,-17.137986500956952,-10.351485573652155,-4.9880854993560941,1.2384878941304638,0.0026021232,0.0039837767,0.0076584124,0.002620414,0.00085213421
plan15,0.0,1,0,1.0e-04,Converged,6.0199533596497696,2.6306329e-06,264,192,0,0.886469,0.282604,0.273378,0.066098,0.009044,1.151627,6.0204103664095419,0,4.570233e-14,1.1179139e-14,2.6733963e-15,5.561678462405327,-17.137986489027639,-10.351485564235421,-4.9880854846065343,1.2384878952848106,6.9637111e-05,0.00012098101,0.00013843534,6.7863765e-05,1.3488723e-05
