name,u,rtol,stop,component,Q,budget,error,radial,inner,geometry,event,roundoff,nodes
plan15,0,0.001,Converged,0,6.0199533597338144,0.00601995336,0.000290017928,0.000290017928,0,4.53841231e-14,1.13112392e-14,2.67339633e-15,184
plan15,0,0.001,Converged,1,5.5616784661169705,0.00556167847,0.00260212324,0.0026002748,0,3.16201877e-11,1.84841069e-06,1.16584042e-14,184
plan15,0,0.001,Converged,2,-17.137986500956949,0.0171379865,0.00398377671,0.00398172981,0,3.16548113e-11,2.04687418e-06,1.96548946e-14,184
plan15,0,0.001,Converged,3,-10.351485573652161,0.0103514856,0.00765841239,0.00765556502,0,4.69743038e-11,2.84731834e-06,7.37636852e-14,184
plan15,0,0.001,Converged,4,-4.9880854993560932,0.0049880855,0.00262041398,0.00261908545,0,1.97671781e-11,1.32850964e-06,1.01163538e-14,184
plan15,0,0.001,Converged,5,1.2384878941304642,0.00123848789,0.00085213421,0.00085114856,0,1.00957591e-11,9.85640026e-07,5.31314151e-15,184
plan15,0,0.0001,Converged,0,6.0199533596497696,0.000601995336,2.63063291e-06,2.63063285e-06,0,4.56010255e-14,1.1179139e-14,2.67339633e-15,264
plan15,0,0.0001,Converged,1,5.5616784624051441,0.000556167846,6.96371096e-05,6.77826234e-05,0,5.76014161e-11,1.85442852e-06,1.16587955e-14,264
plan15,0,0.0001,Converged,2,-17.137986489027483,0.00171379865,0.000120981012,0.00011894573,0,6.86344987e-11,2.03521323e-06,1.96554233e-14,264
plan15,0,0.0001,Converged,3,-10.351485564235663,0.00103514856,0.000138435333,0.000135591288,0,9.31950547e-11,2.84395173e-06,7.37614791e-14,264
plan15,0,0.0001,Converged,4,-4.9880854846064162,0.000498808548,6.78637641e-05,6.65313342e-05,0,3.96736016e-11,1.3323902e-06,1.0116228e-14,264
plan15,0,0.0001,Converged,5,1.2384878952848566,0.00012384879,1.34887228e-05,1.25017221e-05,0,2.11399091e-11,9.86979552e-07,5.31221676e-15,264
plan15,0,1e-05,Converged,0,6.0199533596499943,6.01995336e-05,1.39378343e-07,1.39378284e-07,0,4.57180843e-14,1.11405827e-14,2.67339633e-15,296
plan15,0,1e-05,Converged,1,5.5616784624400974,5.56167846e-05,2.47522682e-05,2.2900522e-05,0,7.86775654e-11,1.85166759e-06,1.1654534e-14,296
plan15,0,1e-05,Converged,2,-17.137986488958415,0.000171379865,2.99663779e-05,2.7935432e-05,0,1.02054553e-10,2.03084385e-06,1.96469779e-14,296
plan15,0,1e-05,Converged,3,-10.351485564286092,0.000103514856,3.36986363e-05,3.08558139e-05,0,1.3270827e-10,2.84268958e-06,7.37634842e-14,296
plan15,0,1e-05,Converged,4,-4.9880854846345741,4.98808548e-05,3.0456498e-05,2.9125341e-05,0,5.2016367e-11,1.33110498e-06,1.01158747e-14,296
plan15,0,1e-05,Converged,5,1.2384878952776164,1.2384879e-05,5.33125571e-06,4.34466957e-06,0,2.7143638e-11,9.86558991e-07,5.31292729e-15,296
plan15,0,1e-06,Converged,0,6.019953359650013,6.01995336e-06,2.39523018e-08,2.39522424e-08,0,4.56214219e-14,1.11306438e-14,2.67339633e-15,328
plan15,0,1e-06,Converged,1,5.5616784624542879,5.56167846e-06,2.6851847e-06,8.33395833e-07,0,1.19868088e-10,1.85166899e-06,1.1654534e-14,328
plan15,0,1e-06,Converged,2,-17.137986488940005,1.71379865e-05,4.01191453e-06,1.98094084e-06,0,1.29355703e-10,2.03084431e-06,1.96469779e-14,328
plan15,0,1e-06,Converged,3,-10.351485564258395,1.03514856e-05,4.66915611e-06,1.82627687e-06,0,1.82122948e-10,2.84269704e-06,7.3761419e-14,328
plan15,0,1e-06,Converged,4,-4.988085484622224,4.98808548e-06,2.23091141e-06,8.99738144e-07,0,6.88659407e-11,1.33110439e-06,1.01158747e-14,328
plan15,0,1e-06,Converged,5,1.238487895281035,1.2384879e-06,1.17861723e-06,1.92025904e-07,0,3.25009474e-11,9.86558819e-07,5.31292729e-15,328
plan15,0,1e-08,EventLocationLimited,0,6.019953359650013,6.01995336e-08,1.32391091e-08,1.32390497e-08,0,4.56308455e-14,1.11306438e-14,2.67339633e-15,344
plan15,0,1e-08,EventLocationLimited,1,5.5616784624542852,1e-06,2.15598606e-06,3.04197189e-07,0,1.19868125e-10,1.85166899e-06,1.1654534e-14,344
plan15,0,1e-08,EventLocationLimited,2,-17.137986488940005,1e-06,2.726431e-06,6.95457313e-07,0,1.29355791e-10,2.03084431e-06,1.96469779e-14,344
plan15,0,1e-08,EventLocationLimited,3,-10.351485564258393,1e-06,3.53010889e-06,6.8722965e-07,0,1.82123195e-10,2.84269704e-06,7.3761419e-14,344
plan15,0,1e-08,EventLocationLimited,4,-4.9880854846222267,1e-06,1.77757516e-06,4.46401891e-07,0,6.88659679e-11,1.33110439e-06,1.01158747e-14,344
plan15,0,1e-08,EventLocationLimited,5,1.2384878952810343,1e-06,1.13507542e-06,1.48484093e-07,0,3.25009573e-11,9.86558819e-07,5.31297207e-15,344
plan15,0.5,0.001,Converged,0,6.1205016226286428,0.00612050162,0.000128946389,0.000128945342,1.04630365e-09,5.44389863e-14,1.00311072e-14,2.71804873e-15,192
plan15,0.5,0.001,Converged,1,7.3097580190204408,0.00730975802,0.00519257383,0.00519140581,4.87799843e-08,2.00499688e-11,1.11921844e-06,1.21617701e-14,192
plan15,0.5,0.001,Converged,2,-17.352260827660881,0.0173522608,0.00569332549,0.00569188459,1.85658449e-07,1.96452196e-11,1.2552208e-06,2.0685581e-14,192
plan15,0.5,0.001,Converged,3,-11.441453803023544,0.0114414538,0.00819475916,0.0081927911,2.31661702e-07,2.98862958e-11,1.73636861e-06,7.43422576e-14,192
plan15,0.5,0.001,Converged,4,-5.4831820988711142,0.0054831821,0.00395779762,0.00395692697,6.56662052e-08,1.30854324e-11,8.04975658e-07,1.0792679e-14,192
plan15,0.5,0.001,Converged,5,1.3006760599181293,0.00130067606,0.00097544225,0.000974817717,2.6576861e-08,9.58734988e-12,5.97946518e-07,5.63245699e-15,192
plan15,0.5,0.0001,Converged,0,6.1205016227170841,0.000612050162,1.28026359e-06,1.27894602e-06,1.31750221e-09,5.47212305e-14,9.99220987e-15,2.71804873e-15,264
plan15,0.5,0.0001,Converged,1,7.3097580436534182,0.000730975804,4.59787097e-05,4.48018559e-05,5.5636406e-08,3.45608497e-11,1.12118281e-06,1.21646094e-14,264
plan15,0.5,0.0001,Converged,2,-17.352260795280948,0.00173522608,7.62065335e-05,7.47503225e-05,2.21399463e-07,4.11806992e-11,1.23477036e-06,2.06858097e-14,264
plan15,0.5,0.0001,Converged,3,-11.441453834829304,0.00114414538,8.72246998e-05,8.52188978e-05,2.84413788e-07,5.63548027e-11,1.72133173e-06,7.4342656e-14,264
plan15,0.5,0.0001,Converged,4,-5.4831820636860398,0.000548318206,4.45130741e-05,4.3629187e-05,7.78793643e-08,2.3804161e-11,8.05983952e-07,1.07899639e-14,264
plan15,0.5,0.0001,Converged,5,1.3006760644026505,0.000130067606,9.43674397e-06,8.80459582e-06,3.38628603e-08,1.26839454e-11,5.98272602e-07,5.63240378e-15,264
plan15,0.5,1e-05,Converged,0,6.1205016227170841,6.12050162e-05,1.28026359e-06,1.27894602e-06,1.31750221e-09,5.47212305e-14,9.99220987e-15,2.71804873e-15,264
plan15,0.5,1e-05,Converged,1,7.3097580436534182,7.30975804e-05,4.59787097e-05,4.48018559e-05,5.5636406e-08,3.45608497e-11,1.12118281e-06,1.21646094e-14,264
plan15,0.5,1e-05,Converged,2,-17.352260795280948,0.000173522608,7.62065335e-05,7.47503225e-05,2.21399463e-07,4.11806992e-11,1.23477036e-06,2.06858097e-14,264
plan15,0.5,1e-05,Converged,3,-11.441453834829304,0.000114414538,8.72246998e-05,8.52188978e-05,2.84413788e-07,5.63548027e-11,1.72133173e-06,7.4342656e-14,264
plan15,0.5,1e-05,Converged,4,-5.4831820636860398,5.48318206e-05,4.45130741e-05,4.3629187e-05,7.78793643e-08,2.3804161e-11,8.05983952e-07,1.07899639e-14,264
plan15,0.5,1e-05,Converged,5,1.3006760644026505,1.30067606e-05,9.43674397e-06,8.80459582e-06,3.38628603e-08,1.26839454e-11,5.98272602e-07,5.63240378e-15,264
plan15,0.5,1e-06,Converged,0,6.1205016227172306,6.12050162e-06,3.60303658e-08,3.46908161e-08,1.33948224e-09,5.47457062e-14,9.96285591e-15,2.71804873e-15,328
plan15,0.5,1e-06,Converged,1,7.3097580436823524,7.30975804e-06,2.16885713e-06,9.97477129e-07,5.60232966e-08,7.1920853e-11,1.11528477e-06,1.2163869e-14,328
plan15,0.5,1e-06,Converged,2,-17.3522607952277,1.73522608e-05,3.53342195e-06,2.0811818e-06,2.26105246e-07,7.76134219e-11,1.22605727e-06,2.0679838e-14,328
plan15,0.5,1e-06,Converged,3,-11.441453834842122,1.14414538e-05,4.01016015e-06,2.00621372e-06,2.89325262e-07,1.09711735e-10,1.71451138e-06,7.43448642e-14,328
plan15,0.5,1e-06,Converged,4,-5.4831820636947732,5.48318206e-06,1.94271533e-06,1.05933956e-06,8.04891347e-08,4.13195644e-11,8.02845299e-07,1.07889234e-14,328
plan15,0.5,1e-06,Converged,5,1.3006760644004032,1.30067606e-06,1.08035882e-06,4.48982847e-07,3.4242803e-08,1.95005685e-11,5.97113659e-07,5.63353607e-15,328
plan15,0.5,1e-08,EventLocationLimited,0,6.1205016227172306,6.12050162e-08,2.9052069e-08,2.77032697e-08,1.34873189e-09,5.47570147e-14,9.96285591e-15,2.71804873e-15,344
plan15,0.5,1e-08,EventLocationLimited,1,7.3097580436823479,1e-06,1.66354536e-06,4.91824654e-07,5.63640038e-08,7.19208749e-11,1.11528477e-06,1.2163869e-14,344
plan15,0.5,1e-08,EventLocationLimited,2,-17.352260795227707,1e-06,2.49027197e-06,1.03700318e-06,2.27133887e-07,7.76134747e-11,1.22605727e-06,2.0679838e-14,344
plan15,0.5,1e-08,EventLocationLimited,3,-11.441453834842124,1e-06,3.01947805e-06,1.01373966e-06,2.91117234e-07,1.09711973e-10,1.71451138e-06,7.43448642e-14,344
plan15,0.5,1e-08,EventLocationLimited,4,-5.4831820636947732,1e-06,1.51019333e-06,6.26422397e-07,8.08843072e-08,4.13195807e-11,8.02845299e-07,1.07889234e-14,344
