name,u,jac,warm,rtol,cache,repeat,stop,mu,error,nodes,evaluations,reused,splits,whole_ms,topology_ms,setup_ms,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,fixed64_status,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
plan15,0.0,0,0,1.0e-03,1,0,Converged,6.0199516089053375,0.005839888,120,120,57,0,0.869050,0.287259,0.409815,0.120828,0.005990,0.001837,0.616549,6.0204103664095419,0,0,4.5688784e-14,1.1394538e-14,2.6733956e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-03,1,1,Converged,6.0199516089053375,0.005839888,120,120,57,0,0.838550,0.281607,0.402733,0.126247,0.005565,0.001576,0.608608,6.0204103664095419,0,0,4.5688784e-14,1.1394538e-14,2.6733956e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-03,1,2,Converged,6.0199516089053375,0.005839888,120,120,57,0,0.820931,0.286552,0.389659,0.117882,0.005051,0.001412,0.612799,6.0204103664095419,0,0,4.5688784e-14,1.1394538e-14,2.6733956e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-03,0,0,Converged,6.0199516089053375,0.005839888,120,177,0,0,0.890408,0.281302,0.397743,0.160778,0.004724,0.001318,0.604127,6.0204103664095419,0,0,4.5816575e-14,1.1394538e-14,2.6733956e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-03,0,1,Converged,6.0199516089053375,0.005839888,120,177,0,0,0.878734,0.275087,0.404217,0.161352,0.006165,0.001455,0.596776,6.0204103664095419,0,0,4.5816575e-14,1.1394538e-14,2.6733956e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-03,0,2,Converged,6.0199516089053375,0.005839888,120,177,0,0,0.871684,0.280987,0.393454,0.160995,0.005229,0.001300,0.611958,6.0204103664095419,0,0,4.5816575e-14,1.1394538e-14,2.6733956e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-04,1,0,Converged,6.0199533596044921,0.00031935832,176,176,109,0,0.916518,0.296847,0.401201,0.176111,0.008916,0.002158,0.606372,6.0204103664095419,0,0,4.5339369e-14,1.1311239e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-04,1,1,Converged,6.0199533596044921,0.00031935832,176,176,109,0,0.891495,0.278137,0.402840,0.170318,0.008679,0.002211,0.647144,6.0204103664095419,0,0,4.5339369e-14,1.1311239e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-04,1,2,Converged,6.0199533596044921,0.00031935832,176,176,109,0,0.888014,0.286381,0.398571,0.164838,0.007578,0.002008,0.614076,6.0204103664095419,0,0,4.5339369e-14,1.1311239e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-04,0,0,Converged,6.0199533596044921,0.00031935832,176,285,0,0,1.085511,0.281945,0.401350,0.254079,0.009201,0.002055,0.606614,6.0204103664095419,0,0,4.548553e-14,1.1311239e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-04,0,1,Converged,6.0199533596044921,0.00031935832,176,285,0,0,0.993854,0.282761,0.401877,0.251285,0.008948,0.002306,0.598656,6.0204103664095419,0,0,4.548553e-14,1.1311239e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
