name,u,jac,warm,rtol,cache,repeat,stop,mu,error,nodes,evaluations,reused,splits,whole_ms,topology_ms,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,fixed64_status,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
plan15,0.0,0,0,1.0e-03,1,0,Converged,6.0199516089053375,0.005839888,120,120,57,0,1.037414,0.374264,0.138488,0.007416,0.002532,0.628786,6.0204103664095419,0,0,4.5688784e-14,1.1394538e-14,2.6733956e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-03,0,0,Converged,6.0199516089053375,0.005839888,120,177,0,0,0.939000,0.289083,0.163041,0.005757,0.001578,0.612715,6.0204103664095419,0,0,4.5816575e-14,1.1394538e-14,2.6733956e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-04,1,0,Converged,6.0199533596044921,0.00031935832,176,176,109,0,0.892614,0.282277,0.174688,0.008533,0.002067,0.607121,6.0204103664095419,0,0,4.5339369e-14,1.1311239e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-04,0,0,Converged,6.0199533596044921,0.00031935832,176,285,0,0,1.105197,0.284313,0.251432,0.007857,0.002092,0.610221,6.0204103664095419,0,0,4.548553e-14,1.1311239e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-05,1,0,Converged,6.0199533595851955,5.8400462e-05,208,208,139,0,0.936076,0.279327,0.199653,0.009608,0.002506,0.599088,6.0204103664095419,0,0,4.5493289e-14,1.1179161e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-05,0,0,Converged,6.0199533595851955,5.8400462e-05,208,347,0,0,1.224828,0.329736,0.311325,0.010275,0.002521,0.605602,6.0204103664095419,0,0,4.5623526e-14,1.1179161e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-06,1,0,Converged,6.0199533596497696,2.6306329e-06,264,264,192,0,1.003797,0.291459,0.242968,0.013678,0.002984,0.614457,6.0204103664095419,0,0,4.5567079e-14,1.1179139e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-06,0,0,Converged,6.0199533596497696,2.6306329e-06,264,456,0,0,1.316326,0.278408,0.386827,0.013667,0.002976,0.609881,6.0204103664095419,0,0,4.5703288e-14,1.1179139e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-08,1,0,Converged,6.019953359650013,2.3952302e-08,328,328,254,0,1.057090,0.282383,0.297592,0.017579,0.003275,0.606773,6.0204103664095419,0,0,4.5610442e-14,1.1130644e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-08,0,0,Converged,6.019953359650013,2.3952302e-08,328,582,0,0,1.432922,0.284388,0.509867,0.018418,0.003232,0.612935,6.0204103664095419,0,0,4.5653587e-14,1.1130644e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-03,1,0,Converged,6.0267722202986098,0.0059217089,120,120,57,0,0.721205,0.169631,0.126396,0.005203,0.001648,0.496240,6.0272324234265131,0,0,4.5790724e-14,1.1470775e-14,2.6764245e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-03,0,0,Converged,6.0267722202986098,0.0059217089,120,177,0,0,0.776517,0.169705,0.166144,0.004769,0.001382,0.486494,6.0272324234265131,0,0,4.5762226e-14,1.1470775e-14,2.6764245e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-04,1,0,Converged,6.0267740818191164,0.00032163431,176,176,109,0,0.781619,0.169979,0.180732,0.007872,0.002166,0.489609,6.0272324234265131,0,0,4.5408924e-14,1.1380573e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-04,0,0,Converged,6.0267740818191164,0.00032163431,176,285,0,0,0.884364,0.175236,0.259676,0.007989,0.002156,0.494747,6.0272324234265131,0,0,4.5404222e-14,1.1380573e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-05,1,0,Converged,6.026774081799493,5.769977e-05,208,208,139,0,0.830821,0.169809,0.217131,0.008713,0.002460,0.497382,6.0272324234265131,0,0,4.5605226e-14,1.1247279e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-05,0,0,Converged,6.026774081799493,5.769977e-05,208,347,0,0,0.963477,0.169675,0.331647,0.008335,0.002442,0.493230,6.0272324234265131,0,0,4.556377e-14,1.1247279e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-06,1,0,Converged,6.0267740818625244,2.6054181e-06,264,264,192,0,0.884009,0.167518,0.256731,0.012972,0.002968,0.488441,6.0272324234265131,0,0,4.5572045e-14,1.1247251e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-06,0,0,Converged,6.0267740818625244,2.6054181e-06,264,456,0,0,1.108772,0.168596,0.440816,0.014172,0.002998,0.506238,6.0272324234265131,0,0,4.5527264e-14,1.1247251e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-08,1,0,Converged,6.026774081862742,2.2032672e-08,328,328,254,0,0.957396,0.169153,0.317475,0.017567,0.003243,0.493044,6.0272324234265131,0,0,4.5706548e-14,1.1208874e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-08,0,0,Converged,6.026774081862742,2.2032673e-08,328,582,0,0,1.201503,0.176612,0.519984,0.016577,0.003173,0.489988,6.0272324234265131,0,0,4.5724528e-14,1.1208874e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,1,0,1.0e-03,1,0,Converged,6.0199533597338144,0.00029001793,184,184,116,0,1.034849,0.287193,0.195473,0.041983,0.008930,1.150196,6.0204103664095419,0,0,4.5350177e-14,1.1311239e-14,2.6733963e-15,5.5616784661169705,-17.137986500956949,-10.351485573652162,-4.9880854993560924,1.2384878941304642,0.0026021232,0.0039837767,0.0076584124,0.002620414,0.00085213421
plan15,0.0,1,0,1.0e-03,0,0,Converged,6.0199533597338144,0.00029001793,184,300,0,0,1.114669,0.287284,0.290126,0.038641,0.007253,1.144595,6.0204103664095419,0,0,4.5496338e-14,1.1311239e-14,2.6733963e-15,5.5616784661179661,-17.137986500956277,-10.351485573651029,-4.9880854993557708,1.2384878941305641,0.0026021232,0.0039837767,0.0076584124,0.002620414,0.00085213421
plan15,0.0,1,0,1.0e-04,1,0,Converged,6.0199533596497696,2.6306329e-06,264,264,192,0,1.082786,0.283783,0.274756,0.069218,0.009071,1.145560,6.0204103664095419,0,0,4.5567079e-14,1.1179139e-14,2.6733963e-15,5.5616784624051441,-17.137986489027483,-10.351485564235663,-4.9880854846064162,1.2384878952848566,6.963711e-05,0.00012098101,0.00013843533,6.7863764e-05,1.3488723e-05
