name,u,policy,warm,rtol,repeat,stop,value_stop,gradient_stop,value_converged,mu,value_error,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,nodes,evaluations,event_double_checks,event_dd_checks,event_dd_accepts,qf_family_constructions,event_qf_refinements,gq0,gq1,gq2,gq3,gq4,gr0,gr1,gr2,gr3,gr4
plan15,0.0,None,0,1.0e-03,0,Converged,Converged,Converged,1,6.0199516089053375,0.005839888,9.520988,7.937631,1.581692,0.000147,0.005028,0.449365,0.016348,120,120,8,0,0,1,8,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
plan15,0.0,None,0,1.0e-04,0,Converged,Converged,Converged,1,6.0199533596044921,0.00031935832,1.014557,0.305378,0.707539,0.000021,0.001539,0.429513,0.001979,176,176,8,0,0,1,8,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
plan15,0.0,None,1,1.0e-03,0,Converged,Converged,Converged,1,6.0267722202986089,0.0059217089,0.782135,0.171430,0.608466,0.000019,0.001396,0.443711,0.001825,120,120,8,0,0,1,8,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
plan15,0.0,None,1,1.0e-04,0,Converged,Converged,Converged,1,6.0267740818191173,0.00032163431,0.821555,0.174432,0.645236,0.000018,0.001265,0.412822,0.001640,176,176,8,0,0,1,8,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
plan15,0.0,Strict,0,1.0e-03,0,EventLocationLimited,Converged,EventLocationLimited,1,6.0199516089053375,0.005839888,24.267005,0.291200,23.974075,0.000022,0.001734,0.417229,0.002468,3219,3219,8,0,0,1,8,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
plan15,0.0,Strict,0,1.0e-04,0,EventLocationLimited,Converged,EventLocationLimited,1,6.0199533596044921,0.00031935832,10.370610,0.342072,10.002883,0.000153,0.002545,0.458486,0.004685,3219,3219,8,0,0,1,8,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
plan15,0.0,Strict,1,1.0e-03,0,EventLocationLimited,Converged,EventLocationLimited,1,6.0267722202986089,0.0059217089,13.511102,0.265705,13.053746,0.000202,0.004129,0.526590,0.004860,3092,3092,8,0,0,1,8,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
plan15,0.0,Strict,1,1.0e-04,0,EventLocationLimited,Converged,EventLocationLimited,1,6.0267740818191173,0.00032163431,13.088164,0.248357,12.814587,0.000046,0.002886,0.501510,0.004206,3092,3092,8,0,0,1,8,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
plan15,0.0,ValueFirst,0,1.0e-03,0,Converged,Converged,BudgetExceeded,1,6.0199516089053375,0.005839888,1.237495,0.402244,0.833068,0.000044,0.003696,0.504118,0.006581,160,160,8,0,0,1,8,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
plan15,0.0,ValueFirst,0,1.0e-04,0,Converged,Converged,BudgetExceeded,1,6.0199533596044921,0.00031935832,1.196803,0.327669,0.867175,0.000052,0.001586,0.461886,0.001936,232,232,8,0,0,1,8,FiniteUncertified,ToleranceMet,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,ToleranceMet,BudgetExceeded,BudgetExceeded,BudgetExceeded
