name,u,jac,warm,repeat,mode,mu,status,stop,evaluations,whole_ms,topology_ms
plan15,0,0,0,0,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,1.413274,0.373493
plan15,0,0,0,0,adaptive_affine,6.019965682498543,0,Converged,368,1.367555,0.299240
plan15,0,0,0,0,adaptive_fold,6.0199533596044921,0,Converged,176,0.998334,0.301219
plan15,0,0,0,1,adaptive_fold,6.0199533596044921,0,Converged,176,0.969809,0.295049
plan15,0,0,0,1,adaptive_affine,6.019965682498543,0,Converged,368,1.192632,0.291337
plan15,0,0,0,1,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,1.292042,0.295101
plan15,0,0,0,2,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,1.274639,0.292076
plan15,0,0,0,2,adaptive_affine,6.019965682498543,0,Converged,368,1.223729,0.291200
plan15,0,0,0,2,adaptive_fold,6.0199533596044921,0,Converged,176,1.029864,0.331955
plan15,0,0,1,0,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,1.246472,0.171423
plan15,0,0,1,0,adaptive_affine,6.0267864989591979,0,Converged,368,1.067671,0.166322
plan15,0,0,1,0,adaptive_fold,6.0267740818191173,0,Converged,176,0.899917,0.176353
plan15,0,0,1,1,adaptive_fold,6.0267740818191173,0,Converged,176,0.866490,0.174358
plan15,0,0,1,1,adaptive_affine,6.0267864989591979,0,Converged,368,1.062638,0.168254
plan15,0,0,1,1,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,1.232154,0.168429
plan15,0,0,1,2,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,1.226950,0.167811
plan15,0,0,1,2,adaptive_affine,6.0267864989591979,0,Converged,368,1.089136,0.167035
plan15,0,0,1,2,adaptive_fold,6.0267740818191173,0,Converged,176,0.871859,0.168761
plan15,0,1,0,0,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,1.331362,0.287407
plan15,0,1,0,0,adaptive_affine,6.019965682498543,0,BudgetExceeded,23580,562.442694,0.288532
plan15,0,1,0,0,adaptive_fold,6.0199533596044921,0,EventLocationLimited,3219,14.473109,0.493312
plan15,0,1,0,1,adaptive_fold,6.0199533596044921,0,EventLocationLimited,3219,13.411913,0.361809
plan15,0,1,0,1,adaptive_affine,6.019965682498543,0,BudgetExceeded,23580,339.783197,0.352848
plan15,0,1,0,1,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,1.453384,0.359964
plan15,0,1,0,2,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,1.331894,0.296468
plan15,0,1,0,2,adaptive_affine,6.019965682498543,0,BudgetExceeded,23580,350.523907,0.291972
plan15,0,1,0,2,adaptive_fold,6.0199533596044921,0,EventLocationLimited,3219,13.777612,0.374202
plan15,0,1,1,0,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,1.373704,0.181012
plan15,0,1,1,0,adaptive_affine,6.0267864989591979,0,BudgetExceeded,23842,360.862436,0.168850
plan15,0,1,1,0,adaptive_fold,6.0267740818191173,0,EventLocationLimited,3092,15.808090,0.176977
plan15,0,1,1,1,adaptive_fold,6.0267740818191173,0,EventLocationLimited,3092,15.686862,0.174693
plan15,0,1,1,1,adaptive_affine,6.0267864989591979,0,BudgetExceeded,23842,358.616420,0.180664
plan15,0,1,1,1,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,1.335457,0.175802
plan15,0,1,1,2,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,1.275617,0.168004
plan15,0,1,1,2,adaptive_affine,6.0267864989591979,0,BudgetExceeded,23842,372.208288,0.165940
plan15,0,1,1,2,adaptive_fold,6.0267740818191173,0,EventLocationLimited,3092,15.822127,0.185811
