name,u,policy,warm,rtol,index,input_radius,selected_radius,radius_lo,uncertainty,precision_tier,double_reason,dd_reason,qf_reason,double_residual,dd_residual
rand033,0,None,0,0.001,0,0.345085,0.345085,4.01581e-18,5.9527e-17,2,DoubleAmbiguous,DDConditionRejected,QfRefined,0.999999,0.999999
rand033,0,None,0,0.001,1,0.346555,0.346555,2.53461e-17,8.08572e-17,2,DoubleAmbiguous,DDConditionRejected,QfRefined,0.999999,0.999999
rand033,0,None,0,0.001,2,0.885321,0.885321,4.15364e-17,1.52559e-16,2,DoubleAmbiguous,DDConditionRejected,QfRefined,0.0583471,0.0583402
rand033,0,None,0,0.001,3,0.906535,0.906535,-2.56389e-17,1.36661e-16,2,DoubleAmbiguous,DDConditionRejected,QfRefined,0.0540922,0.0540782
rand033,0,None,0,0.001,4,1.05698,1.05698,7.75395e-17,2.99584e-16,2,DoubleAmbiguous,DDConditionRejected,QfRefined,0.890108,0.890108
rand033,0,None,0,0.001,5,1.05908,1.05908,9.60415e-17,3.18086e-16,2,DoubleAmbiguous,DDConditionRejected,QfRefined,0.889631,0.889631
rand033,0,None,0,0.001,6,1.12597,1.12597,0,1.00961e-05,0,DoubleBudgetAccepted,NotAttempted,NotAttempted,0.992145,inf
rand033,0,None,0,0.001,7,1.14789,1.14789,5.22105e-17,2.74255e-16,2,DoubleAmbiguous,DDConditionRejected,QfRefined,1,1
rand033,0,None,0,0.0001,0,0.345085,0.345085,4.01581e-18,5.9527e-17,2,DoubleAmbiguous,DDConditionRejected,QfRefined,0.999999,0.999999
rand033,0,None,0,0.0001,1,0.346555,0.346555,2.53461e-17,8.08572e-17,2,DoubleAmbiguous,DDConditionRejected,QfRefined,0.999999,0.999999
rand033,0,None,0,0.0001,2,0.885321,0.885321,4.15364e-17,1.52559e-16,2,DoubleAmbiguous,DDConditionRejected,QfRefined,0.0583471,0.0583402
rand033,0,None,0,0.0001,3,0.906535,0.906535,-2.56389e-17,1.36661e-16,2,DoubleAmbiguous,DDConditionRejected,QfRefined,0.0540922,0.0540782
rand033,0,None,0,0.0001,4,1.05698,1.05698,7.75395e-17,2.99584e-16,2,DoubleAmbiguous,DDConditionRejected,QfRefined,0.890108,0.890108
rand033,0,None,0,0.0001,5,1.05908,1.05908,9.60415e-17,3.18086e-16,2,DoubleAmbiguous,DDConditionRejected,QfRefined,0.889631,0.889631
rand033,0,None,0,0.0001,6,1.12597,1.12597,-7.2327e-17,2.94372e-16,2,DoubleAmbiguous,DDConditionRejected,QfRefined,0.992145,0.992145
rand033,0,None,0,0.0001,7,1.14789,1.14789,5.22105e-17,2.74255e-16,2,DoubleAmbiguous,DDConditionRejected,QfRefined,1,1
rand033,0,None,1,0.001,0,0.345092,0.345092,0,1.91195e-14,1,DoubleAmbiguous,DDAccepted,QfRequired,4.14631e-05,6.51035e-21
rand033,0,None,1,0.001,1,0.346562,0.346562,2.62492e-17,8.17604e-17,2,DoubleAmbiguous,DDConditionRejected,QfRefined,0.999999,0.999999
rand033,0,None,1,0.001,2,0.885216,0.885216,2.82295e-17,1.39252e-16,2,DoubleAmbiguous,DDConditionRejected,QfRefined,0.058409,0.0584022
rand033,0,None,1,0.001,3,0.906428,0.906428,1.40379e-17,1.2506e-16,2,DoubleAmbiguous,DDConditionRejected,QfRefined,0.0541597,0.0541458
rand033,0,None,1,0.001,4,1.05732,1.05732,-8.56442e-17,3.07689e-16,2,DoubleAmbiguous,DDConditionRejected,QfRefined,0.891168,0.891168
rand033,0,None,1,0.001,5,1.05944,1.05944,-6.18008e-18,2.28225e-16,2,DoubleAmbiguous,DDConditionRejected,QfRefined,0.89073,0.89073
rand033,0,None,1,0.001,6,1.12608,1.12608,0,9.97095e-06,0,DoubleBudgetAccepted,NotAttempted,NotAttempted,0.99215,inf
rand033,0,None,1,0.001,7,1.148,1.148,0,3.05781e-14,1,DoubleAmbiguous,DDAccepted,QfRequired,0.000201925,3.1351e-18
rand033,0,None,1,0.0001,0,0.345092,0.345092,0,1.91195e-14,1,DoubleAmbiguous,DDAccepted,QfRequired,4.14631e-05,6.51035e-21
rand033,0,None,1,0.0001,1,0.346562,0.346562,2.62492e-17,8.17604e-17,2,DoubleAmbiguous,DDConditionRejected,QfRefined,0.999999,0.999999
rand033,0,None,1,0.0001,2,0.885216,0.885216,2.82295e-17,1.39252e-16,2,DoubleAmbiguous,DDConditionRejected,QfRefined,0.058409,0.0584022
rand033,0,None,1,0.0001,3,0.906428,0.906428,1.40379e-17,1.2506e-16,2,DoubleAmbiguous,DDConditionRejected,QfRefined,0.0541597,0.0541458
