name,u,policy,warm,rtol,index,panel,cell,parent,depth,level,node_evaluations,value_error,gradient_error0,gradient_error1,gradient_error2,gradient_error3,gradient_error4,gradient_phase,value_resolved,gradient_resolved0,gradient_resolved1,gradient_resolved2,gradient_resolved3,gradient_resolved4
rand033,0,None,0,0.001,0,0,1,-1,0,3,7,0.000302262,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.001,1,1,4,-1,0,3,14,1.13609e-07,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.001,2,2,5,-1,0,3,21,0.0439538,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.001,3,3,6,-1,0,3,28,0.0836486,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.001,4,4,7,-1,0,3,35,6.14478e-07,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.001,5,5,10,-1,0,3,42,0.0111827,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.001,6,6,11,-1,0,3,49,2.27018,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.001,7,7,12,-1,0,3,56,0.111422,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.001,8,8,13,-1,0,3,63,2.16763e-07,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.001,9,9,14,-1,0,3,70,0.00617115,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.001,10,6,11,-1,0,4,78,0.0648235,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.0001,0,0,1,-1,0,3,7,0.000302262,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.0001,1,1,4,-1,0,3,14,1.13609e-07,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.0001,2,2,5,-1,0,3,21,0.0439538,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.0001,3,3,6,-1,0,3,28,0.0836486,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.0001,4,4,7,-1,0,3,35,6.14478e-07,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.0001,5,5,10,-1,0,3,42,0.0111827,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.0001,6,6,11,-1,0,3,49,2.25915,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.0001,7,7,12,-1,0,3,56,0.0992033,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.0001,8,8,13,-1,0,3,63,2.16763e-07,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.0001,9,9,14,-1,0,3,70,0.00617115,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.0001,10,6,11,-1,0,4,78,0.0529152,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.0001,11,7,12,-1,0,4,86,0.000107521,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.0001,12,3,6,-1,0,4,94,0.00856027,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.0001,13,6,11,-1,0,5,110,4.30894e-05,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.0001,14,2,5,-1,0,4,118,0.00493335,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.0001,15,5,10,-1,0,4,126,2.58535e-05,0,0,0,0,0,0,1,0,0,0,0,0
rand033,0,None,0,0.0001,16,3,6,-1,0,5,142,0.000642573,0,0,0,0,0,0,1,0,0,0,0,0
