name,u,jac,warm,rtol,cache,repeat,stop,mu,error,nodes,evaluations,reused,splits,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,event_double_checks,event_dd_checks,event_dd_accepts,event_qf_refinements,qf_family_constructions,first_value_pass_nodes,first_gradient_error_pass_nodes,first_gradient_contract_nodes,gradient_error_pass_mask,gradient_contract_mask,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,fixed64_status,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
plan15,0.0,0,0,1.0e-03,1,0,Converged,6.0199516089053375,0.005839888,120,120,57,0,0.951779,0.292189,0.657865,0.000054,0.002905,0.445942,0.003670,8,0,0,8,1,120,56,56,0,0,0.132369,0.007718,0.002042,0.613081,6.0204103664095419,0,0,4.5229249e-14,1.1394538e-14,2.6733956e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-03,0,0,Converged,6.0199516089053375,0.005839888,120,177,0,0,0.977794,0.311482,0.664808,0.000025,0.001424,0.431434,0.001884,8,0,0,8,1,177,56,56,0,0,0.165410,0.006359,0.001705,0.614593,6.0204103664095419,0,0,4.5199011e-14,1.1394538e-14,2.6733956e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-04,1,0,Converged,6.0199533596044921,0.00031935832,176,176,109,0,0.939824,0.283091,0.654962,0.000026,0.001283,0.428392,0.001726,8,0,0,8,1,176,56,56,0,0,0.174401,0.010739,0.002352,0.609209,6.0204103664095419,0,0,4.5120924e-14,1.1311239e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-04,0,0,Converged,6.0199533596044921,0.00031935832,176,285,0,0,1.113808,0.291316,0.820672,0.000022,0.001352,0.423567,0.001628,8,0,0,8,1,285,56,56,0,0,0.258359,0.012015,0.002460,0.607727,6.0204103664095419,0,0,4.5139032e-14,1.1311239e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-05,1,0,Converged,6.0199533595851955,5.8400462e-05,208,208,139,0,0.989759,0.282356,0.704981,0.000022,0.001321,0.436070,0.001662,8,0,0,8,1,208,56,56,0,0,0.204961,0.013234,0.002519,0.606893,6.0204103664095419,0,0,4.5300374e-14,1.1179161e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-05,0,0,Converged,6.0199533595851955,5.8400462e-05,208,347,0,0,1.181821,0.279716,0.900097,0.000023,0.001310,0.443119,0.001736,8,0,0,8,1,347,56,56,0,0,0.347695,0.013307,0.002759,0.620070,6.0204103664095419,0,0,4.5318481e-14,1.1179161e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-06,1,0,Converged,6.0199533596497696,2.6306329e-06,264,264,192,0,1.033218,0.284880,0.745184,0.000022,0.001280,0.417939,0.001673,8,0,0,8,1,264,56,56,0,0,0.251417,0.017594,0.002980,0.606672,6.0204103664095419,0,0,4.5468618e-14,1.1179139e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-06,0,0,Converged,6.0199533596497696,2.6306329e-06,264,456,0,0,1.265168,0.284159,0.978770,0.000021,0.001353,0.425952,0.001660,8,0,0,8,1,456,56,56,0,0,0.393714,0.017595,0.002959,0.616888,6.0204103664095419,0,0,4.5492697e-14,1.1179139e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-08,1,0,Converged,6.019953359650013,2.3952302e-08,328,328,254,0,1.123364,0.286785,0.833018,0.000022,0.001418,0.436226,0.001573,8,0,0,8,1,328,56,56,0,0,0.302363,0.023494,0.003528,0.620832,6.0204103664095419,0,0,4.559778e-14,1.1130644e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-08,0,0,Converged,6.019953359650013,2.3952302e-08,328,582,0,0,1.435555,0.287114,1.145822,0.000022,0.001342,0.436062,0.001629,8,0,0,8,1,582,56,56,0,0,0.505832,0.023912,0.003581,0.610177,6.0204103664095419,0,0,4.5565265e-14,1.1130644e-14,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-03,1,0,Converged,6.0267722202986089,0.0059217089,120,120,57,0,0.783958,0.170795,0.611188,0.000022,0.001372,0.443862,0.001768,8,0,0,8,1,120,56,56,0,0,0.128850,0.006903,0.001666,0.492971,6.0272324234265131,0,0,4.502875e-14,1.1470775e-14,2.6764245e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-03,0,0,Converged,6.0267722202986098,0.0059217089,120,177,0,0,0.813334,0.170621,0.640885,0.000022,0.001378,0.416833,0.001651,8,0,0,8,1,177,56,56,0,0,0.172531,0.007241,0.001584,0.497052,6.0272324234265131,0,0,4.5003036e-14,1.1470775e-14,2.6764245e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-04,1,0,Converged,6.0267740818191173,0.00032163431,176,176,109,0,0.825127,0.168472,0.654855,0.000021,0.001300,0.423652,0.001578,8,0,0,8,1,176,56,56,0,0,0.178867,0.010748,0.002243,0.496845,6.0272324234265131,0,0,4.4841685e-14,1.1380573e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-04,0,0,Converged,6.0267740818191164,0.00032163431,176,285,0,0,0.935952,0.170878,0.762739,0.000022,0.001303,0.432123,0.001614,8,0,0,8,1,285,56,56,0,0,0.260092,0.009311,0.002023,0.496195,6.0272324234265131,0,0,4.4820149e-14,1.1380573e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-05,1,0,Converged,6.026774081799493,5.769977e-05,208,208,139,0,0.884591,0.172767,0.709907,0.000024,0.001294,0.428671,0.001671,8,0,0,8,1,208,56,56,0,0,0.219283,0.012548,0.002512,0.490345,6.0272324234265131,0,0,4.5035809e-14,1.1247279e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-05,0,0,Converged,6.026774081799493,5.769977e-05,208,347,0,0,1.037680,0.174241,0.860685,0.000022,0.001320,0.428678,0.001580,8,0,0,8,1,347,56,56,0,0,0.343406,0.011595,0.002483,0.490559,6.0272324234265131,0,0,4.5039204e-14,1.1247279e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-06,1,0,Converged,6.0267740818625244,2.6054181e-06,264,264,192,0,0.933716,0.169390,0.762152,0.000022,0.001301,0.429568,0.001556,8,0,0,8,1,264,56,56,0,0,0.261658,0.015032,0.002910,0.491708,6.0272324234265131,0,0,4.5151872e-14,1.1247251e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-06,0,0,Converged,6.0267740818625244,2.6054181e-06,264,456,0,0,1.114948,0.168910,0.942836,0.000023,0.001379,0.423422,0.001605,8,0,0,8,1,456,56,56,0,0,0.410977,0.015974,0.003039,0.494628,6.0272324234265131,0,0,4.5152549e-14,1.1247251e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-08,1,0,Converged,6.026774081862742,2.2032671e-08,328,328,254,0,1.024484,0.173844,0.848029,0.000024,0.001313,0.432477,0.001702,8,0,0,8,1,328,56,56,0,0,0.320447,0.023785,0.003435,0.497595,6.0272324234265131,0,0,4.5440645e-14,1.1208874e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-08,0,0,Converged,6.026774081862742,2.2032672e-08,328,582,0,0,1.287579,0.176100,1.107339,0.000022,0.001318,0.435128,0.001568,8,0,0,8,1,582,56,56,0,0,0.532547,0.022166,0.003542,0.492077,6.0272324234265131,0,0,4.5494588e-14,1.1208874e-14,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,1,0,1.0e-03,1,0,EventLocationLimited,6.0199516089053375,0.005839888,3219,3219,2948,10,18.215178,0.290705,17.922901,0.000018,0.001699,0.423535,0.002701,8,0,0,8,1,120,0,0,31,0,3.164244,2.819893,0.068094,1.176158,6.0204103664095419,0,0,4.5229249e-14,1.1394538e-14,2.6733956e-15,5.5616784577950291,-17.137986485627586,-10.351485558545091,-4.9880854905097802,1.23848787756261,2.7961699e-06,4.1143385e-06,5.3011978e-06,2.3450278e-06,1.4685853e-06
plan15,0.0,1,0,1.0e-03,0,0,EventLocationLimited,6.0199516089053375,0.005839888,3219,6167,0,10,34.755804,0.287394,34.444408,0.000060,0.001915,0.444366,0.002353,8,0,0,8,1,177,0,0,31,0,6.050595,2.877828,0.067490,1.177815,6.0204103664095419,0,0,4.5199011e-14,1.1394538e-14,2.6733956e-15,5.5616784577952556,-17.137986485626985,-10.351485558544939,-4.9880854905093335,1.2384878775627937,2.7962008e-06,4.1143591e-06,5.301235e-06,2.3450402e-06,1.4685894e-06
plan15,0.0,1,0,1.0e-04,1,0,EventLocationLimited,6.0199533596044921,0.00031935832,3219,3219,2948,10,10.132024,0.287509,9.786749,0.000058,0.001738,0.436014,0.002476,8,0,0,8,1,176,0,0,31,0,3.124613,2.802188,0.049402,1.192566,6.0204103664095419,0,0,4.5120924e-14,1.1311239e-14,2.6733963e-15,5.5616784577950291,-17.137986485627586,-10.351485558545091,-4.9880854905097802,1.23848787756261,2.7961699e-06,4.1143385e-06,5.3011978e-06,2.3450278e-06,1.4685853e-06
plan15,0.0,1,0,1.0e-04,0,0,EventLocationLimited,6.0199533596044921,0.00031935832,3219,6167,0,10,16.235614,0.289226,15.924651,0.000055,0.001636,0.446874,0.002347,8,0,0,8,1,285,0,0,31,0,5.794841,2.830931,0.051694,1.160006,6.0204103664095419,0,0,4.5139032e-14,1.1311239e-14,2.6733963e-15,5.5616784577952556,-17.137986485626985,-10.351485558544939,-4.9880854905093335,1.2384878775627937,2.7962008e-06,4.1143591e-06,5.301235e-06,2.3450402e-06,1.4685894e-06
plan15,0.0,1,0,1.0e-05,1,0,EventLocationLimited,6.0199533595851955,5.8400462e-05,3219,3219,2948,10,10.163648,0.290226,9.831035,0.000056,0.001862,0.433305,0.002080,8,0,0,8,1,208,0,0,31,0,3.093643,2.838131,0.049232,1.198865,6.0204103664095419,0,0,4.5300374e-14,1.1179161e-14,2.6733963e-15,5.5616784577950291,-17.137986485627586,-10.351485558545091,-4.9880854905097802,1.23848787756261,2.7961699e-06,4.1143385e-06,5.3011978e-06,2.3450278e-06,1.4685853e-06
plan15,0.0,1,0,1.0e-05,0,0,EventLocationLimited,6.0199533595851955,5.8400462e-05,3219,6167,0,10,16.291805,0.289149,15.977315,0.000057,0.001660,0.449677,0.002663,8,0,0,8,1,347,0,0,31,0,5.768992,2.819290,0.049297,1.160601,6.0204103664095419,0,0,4.5318481e-14,1.1179161e-14,2.6733963e-15,5.5616784577952556,-17.137986485626985,-10.351485558544939,-4.9880854905093335,1.2384878775627937,2.7962008e-06,4.1143591e-06,5.301235e-06,2.3450402e-06,1.4685894e-06
plan15,0.0,1,0,1.0e-06,1,0,EventLocationLimited,6.0199533596497696,2.6306329e-06,3219,3219,2948,10,10.297915,0.293643,9.916618,0.000050,0.001878,0.432731,0.002214,8,0,0,8,1,264,0,0,15,0,3.167094,2.831743,0.052730,1.159034,6.0204103664095419,0,0,4.5468618e-14,1.1179139e-14,2.6733963e-15,5.5616784577950291,-17.137986485627586,-10.351485558545091,-4.9880854905097802,1.23848787756261,2.7961699e-06,4.1143385e-06,5.3011978e-06,2.3450278e-06,1.4685853e-06
plan15,0.0,1,0,1.0e-06,0,0,EventLocationLimited,6.0199533596497696,2.6306329e-06,3219,6167,0,10,16.299814,0.287249,15.988926,0.000048,0.001577,0.436847,0.002341,8,0,0,8,1,456,0,0,15,0,5.784061,2.833444,0.049189,1.155334,6.0204103664095419,0,0,4.5492697e-14,1.1179139e-14,2.6733963e-15,5.5616784577952556,-17.137986485626985,-10.351485558544939,-4.9880854905093335,1.2384878775627937,2.7962008e-06,4.1143591e-06,5.301235e-06,2.3450402e-06,1.4685894e-06
plan15,0.0,1,0,1.0e-08,1,0,EventLocationLimited,6.019953359650013,2.3952302e-08,344,344,269,0,1.391581,0.295715,1.012258,0.000057,0.001602,0.445152,0.002574,8,0,0,8,1,328,0,0,0,0,0.347984,0.126439,0.011065,1.141529,6.0204103664095419,0,0,4.559778e-14,1.1130644e-14,2.6733963e-15,5.5616784624538091,-17.137986488941657,-10.351485564261569,-4.9880854846179776,1.2384878952837681,2.1559867e-06,2.7264315e-06,3.530108e-06,1.777577e-06,1.1350705e-06
