name,u,rtol,stop,mu,error,reference128,reference256,reference_uncertainty,actual_difference,reference_usable,violation
plan15,0,0.001,Converged,6.0267722202986089,0.00592170893,6.0267740818627429,6.0267740818627411,1.77635684e-15,1.86156413e-06,1,0
plan15,0,0.0001,Converged,6.0267740818191173,0.000321634314,6.0267740818627429,6.0267740818627411,1.77635684e-15,4.36237713e-11,1,0
plan15,0,1e-05,Converged,6.026774081799493,5.76997702e-05,6.0267740818627429,6.0267740818627411,1.77635684e-15,6.32480734e-11,1,0
plan15,0,1e-06,Converged,6.0267740818625244,2.60541814e-06,6.0267740818627429,6.0267740818627411,1.77635684e-15,2.16715534e-13,1,0
plan15,0,1e-08,Converged,6.026774081862742,2.20326714e-08,6.0267740818627429,6.0267740818627411,1.77635684e-15,8.8817842e-16,1,0
plan15,0.5,0.001,Converged,6.1294544594355331,0.00435894512,6.129455470981271,6.1294554709812692,1.77635684e-15,1.01154574e-06,1,0
plan15,0.5,0.0001,Converged,6.1294554772635701,0.000446048332,6.129455470981271,6.1294554709812692,1.77635684e-15,6.2823009e-09,1,0
plan15,0.5,1e-05,Converged,6.1294554708994573,5.99441602e-05,6.129455470981271,6.1294554709812692,1.77635684e-15,8.18118906e-11,1,0
plan15,0.5,1e-06,Converged,6.1294554709811564,1.27572447e-06,6.129455470981271,6.1294554709812692,1.77635684e-15,1.12798659e-13,1,0
plan15,0.5,1e-08,Converged,6.1294554709774953,3.50562352e-08,6.129455470981271,6.1294554709812692,1.77635684e-15,3.77387011e-12,1,0
resonant,0,0.001,Converged,13.807811515694054,0.0111284608,13.80780745584457,13.807807455844562,7.10542736e-15,4.05984949e-06,1,0
resonant,0,0.0001,Converged,13.807807472466951,0.00123490072,13.80780745584457,13.807807455844562,7.10542736e-15,1.66223888e-08,1,0
resonant,0,1e-05,Converged,13.807807455680086,8.32267835e-05,13.80780745584457,13.807807455844562,7.10542736e-15,1.64476432e-10,1,0
resonant,0,1e-06,Converged,13.807807455906001,9.50457398e-06,13.80780745584457,13.807807455844562,7.10542736e-15,6.1438854e-11,1,0
resonant,0,1e-08,Converged,13.807807455844568,6.8078156e-08,13.80780745584457,13.807807455844562,7.10542736e-15,5.32907052e-15,1,0
resonant,0.5,0.001,Converged,13.960822824509574,0.0127311068,13.960820066113037,13.960820065935104,1.77932336e-10,2.75857447e-06,1,0
resonant,0.5,0.0001,Converged,13.960820125801241,0.00116461631,13.960820066113037,13.960820065935104,1.77932336e-10,5.98661369e-08,1,0
resonant,0.5,1e-05,Converged,13.960820116972265,0.000110236784,13.960820066113037,13.960820065935104,1.77932336e-10,5.10371603e-08,1,0
resonant,0.5,1e-06,Converged,13.960820115763925,6.1967062e-06,13.960820066113037,13.960820065935104,1.77932336e-10,4.98288202e-08,1,0
resonant,0.5,1e-08,InnerAccuracyLimited,13.960820115727044,1.27336334e-06,13.960820066113037,13.960820065935104,1.77932336e-10,4.97919395e-08,1,0
close-binary,0,0.001,Converged,8.0874897495427014,0.00734731687,8.087490714643284,8.087490714643284,0,9.65100583e-07,1,0
close-binary,0,0.0001,Converged,8.0874907246957317,0.000333045196,8.087490714643284,8.087490714643284,0,1.00524478e-08,1,0
close-binary,0,1e-05,Converged,8.0874907147218593,5.66632305e-05,8.087490714643284,8.087490714643284,0,7.85753684e-11,1,0
close-binary,0,1e-06,Converged,8.0874907146432822,7.17857672e-06,8.087490714643284,8.087490714643284,0,1.77635684e-15,1,0
close-binary,0,1e-08,Converged,8.0874907146432857,2.85694301e-08,8.087490714643284,8.087490714643284,0,1.77635684e-15,1,0
close-binary,0.5,0.001,Converged,8.036982527855697,0.00302961069,8.0369870020848637,8.0369870024363621,3.51498386e-10,4.47458067e-06,1,0
close-binary,0.5,0.0001,Converged,8.0369871411537464,0.000591080306,8.0369870020848637,8.0369870024363621,3.51498386e-10,1.38717384e-07,1,0
close-binary,0.5,1e-05,Converged,8.0369871335663827,4.22618869e-05,8.0369870020848637,8.0369870024363621,3.51498386e-10,1.31130021e-07,1,0
close-binary,0.5,1e-06,Converged,8.0369871358418017,4.11895112e-06,8.0369870020848637,8.0369870024363621,3.51498386e-10,1.3340544e-07,1,0
close-binary,0.5,1e-08,InnerAccuracyLimited,8.0369871358418017,4.11895112e-06,8.0369870020848637,8.0369870024363621,3.51498386e-10,1.3340544e-07,1,0
wide-planet,0,0.001,Converged,1.15911069692811,9.28696808e-05,1.1591106976264336,1.1591106976264336,0,6.98323621e-10,1,0
wide-planet,0,0.0001,Converged,1.15911069692811,9.28696808e-05,1.1591106976264336,1.1591106976264336,0,6.98323621e-10,1,0
wide-planet,0,1e-05,Converged,1.1591106969282219,1.03879375e-06,1.1591106976264336,1.1591106976264336,0,6.98211711e-10,1,0
wide-planet,0,1e-06,Converged,1.1591106969282219,1.03879375e-06,1.1591106976264336,1.1591106976264336,0,6.98211711e-10,1,0
wide-planet,0,1e-08,Converged,1.1591106976264338,4.66014084e-09,1.1591106976264336,1.1591106976264336,0,2.22044605e-16,1,0
wide-planet,0.5,0.001,Converged,1.1591074816517033,0.000444246095,1.1591074850435366,1.1591074850435366,0,3.39183326e-09,1,0
wide-planet,0.5,0.0001,Converged,1.1591074817214295,1.41411515e-06,1.1591074850435366,1.1591074850435366,0,3.32210703e-09,1,0
wide-planet,0.5,1e-05,Converged,1.1591074817214295,1.41411515e-06,1.1591074850435366,1.1591074850435366,0,3.32210703e-09,1,0
wide-planet,0.5,1e-06,Converged,1.1591074850435368,3.6300434e-08,1.1591074850435366,1.1591074850435366,0,2.22044605e-16,1,0
wide-planet,0.5,1e-08,Converged,1.1591074850435374,1.0325009e-09,1.1591074850435366,1.1591074850435366,0,8.8817842e-16,1,0
cusp-approach,0,0.001,Converged,1.4998202014623159,9.29837088e-05,1.4998202014520168,1.4998202014520161,6.66133815e-16,1.0299761e-11,1,0
cusp-approach,0,0.0001,Converged,1.4998202014623159,9.29837088e-05,1.4998202014520168,1.4998202014520161,6.66133815e-16,1.0299761e-11,1,0
cusp-approach,0,1e-05,Converged,1.4998202014550901,1.2522923e-05,1.4998202014520168,1.4998202014520161,6.66133815e-16,3.07398551e-12,1,0
cusp-approach,0,1e-06,Converged,1.4998202014520152,3.88624628e-08,1.4998202014520168,1.4998202014520161,6.66133815e-16,8.8817842e-16,1,0
cusp-approach,0,1e-08,Converged,1.4998202014520148,7.67731753e-10,1.4998202014520168,1.4998202014520161,6.66133815e-16,1.33226763e-15,1,0
cusp-approach,0.5,0.001,Converged,1.4997634600093368,0.000262349935,1.4997634600309444,1.4997634600309442,2.22044605e-16,2.16073825e-11,1,0
cusp-approach,0.5,0.0001,Converged,1.4997634600250056,9.48400029e-05,1.4997634600309444,1.4997634600309442,2.22044605e-16,5.93858296e-12,1,0
cusp-approach,0.5,1e-05,Converged,1.4997634600309444,1.34224969e-07,1.4997634600309444,1.4997634600309442,2.22044605e-16,2.22044605e-16,1,0
cusp-approach,0.5,1e-06,Converged,1.4997634600309444,1.34224969e-07,1.4997634600309444,1.4997634600309442,2.22044605e-16,2.22044605e-16,1,0
cusp-approach,0.5,1e-08,Converged,1.4997634600309435,4.16748919e-10,1.4997634600309444,1.4997634600309442,2.22044605e-16,6.66133815e-16,1,0
on-axis-off,0,0.001,Converged,3.8277152338090104,0.00336935126,3.8276855803109262,3.827685435309816,1.4500111e-07,2.97984992e-05,1,0
on-axis-off,0,0.0001,Converged,3.827689119180913,0.000366195679,3.8276855803109262,3.827685435309816,1.4500111e-07,3.6838711e-06,1,0
on-axis-off,0,1e-05,Converged,3.8276858774396132,3.26757816e-05,3.8276855803109262,3.827685435309816,1.4500111e-07,4.42129797e-07,1,0
on-axis-off,0,1e-06,Converged,3.8276854349170639,2.69646811e-06,3.8276855803109262,3.827685435309816,1.4500111e-07,3.92752053e-10,1,0
on-axis-off,0,1e-08,Converged,3.8276854145706056,3.67262812e-08,3.8276855803109262,3.827685435309816,1.4500111e-07,2.07392103e-08,0,-1
on-axis-off,0.5,0.001,Converged,3.8261030647895988,0.00171987175,3.8260852730744488,3.8260851860737817,8.70006671e-08,1.78787158e-05,1,0
on-axis-off,0.5,0.0001,Converged,3.8260873963930835,0.000295622123,3.8260852730744488,3.8260851860737817,8.70006671e-08,2.2103193e-06,1,0
on-axis-off,0.5,1e-05,Converged,3.8260854513516591,1.96153734e-05,3.8260852730744488,3.8260851860737817,8.70006671e-08,2.65277877e-07,1,0
on-axis-off,0.5,1e-06,Converged,3.8260851858414116,3.45204815e-06,3.8260852730744488,3.8260851860737817,8.70006671e-08,2.32370123e-10,1,0
on-axis-off,0.5,1e-08,Converged,3.8260851736302546,3.80189705e-08,3.8260852730744488,3.8260851860737817,8.70006671e-08,1.24435271e-08,0,-1
R=sqrt(m0),0,0.001,Converged,1.3878570237613608,0.000640912429,1.3878570234812846,1.3878570234812857,1.11022302e-15,2.80075074e-10,1,0
R=sqrt(m0),0,0.0001,Converged,1.3878570236857222,4.46594162e-05,1.3878570234812846,1.3878570234812857,1.11022302e-15,2.04436468e-10,1,0
R=sqrt(m0),0,1e-05,Converged,1.3878570234812861,9.57492409e-09,1.3878570234812846,1.3878570234812857,1.11022302e-15,4.4408921e-16,1,0
R=sqrt(m0),0,1e-06,Converged,1.3878570234812861,9.57492409e-09,1.3878570234812846,1.3878570234812857,1.11022302e-15,4.4408921e-16,1,0
R=sqrt(m0),0,1e-08,Converged,1.3878570234812861,9.57492409e-09,1.3878570234812846,1.3878570234812857,1.11022302e-15,4.4408921e-16,1,0
R=sqrt(m0),0.5,0.001,Converged,1.3878402243024923,0.000594657531,1.3878402241524528,1.3878402241524532,4.4408921e-16,1.50039092e-10,1,0
R=sqrt(m0),0.5,0.0001,Converged,1.38784022425874,0.000116680544,1.3878402241524528,1.3878402241524532,4.4408921e-16,1.06286757e-10,1,0
R=sqrt(m0),0.5,1e-05,Converged,1.3878402241524534,1.06193594e-08,1.3878402241524528,1.3878402241524532,4.4408921e-16,2.22044605e-16,1,0
R=sqrt(m0),0.5,1e-06,Converged,1.3878402241524534,1.06193594e-08,1.3878402241524528,1.3878402241524532,4.4408921e-16,2.22044605e-16,1,0
R=sqrt(m0),0.5,1e-08,Converged,1.3878402241524534,1.06193594e-08,1.3878402241524528,1.3878402241524532,4.4408921e-16,2.22044605e-16,1,0
tiny-rho,0,0.001,Converged,38.304177513727694,0.0333984127,38.304176964249471,38.304176964250345,8.73967565e-13,5.49477349e-07,1,0
tiny-rho,0,0.0001,Converged,38.30417696424842,0.000345283905,38.304176964249471,38.304176964250345,8.73967565e-13,1.92557081e-12,1,0
tiny-rho,0,1e-05,Converged,38.30417696424842,0.000345283905,38.304176964249471,38.304176964250345,8.73967565e-13,1.92557081e-12,1,0
tiny-rho,0,1e-06,Converged,38.304176964250431,1.37483834e-05,38.304176964249471,38.304176964250345,8.73967565e-13,8.52651283e-14,1,0
tiny-rho,0,1e-08,Converged,38.304176964249478,5.80912908e-08,38.304176964249471,38.304176964250345,8.73967565e-13,8.66862138e-13,1,0
tiny-rho,0.5,0.001,Converged,38.289441393033897,0.0287093532,38.289441009163639,38.289441009164257,6.1817218e-13,3.8386964e-07,1,0
tiny-rho,0.5,0.0001,Converged,38.289441008892638,0.00166826138,38.289441009163639,38.289441009164257,6.1817218e-13,2.71619172e-10,1,0
tiny-rho,0.5,1e-05,Converged,38.289441009163603,1.26476812e-05,38.289441009163639,38.289441009164257,6.1817218e-13,6.53699317e-13,1,0
tiny-rho,0.5,1e-06,Converged,38.289441009163603,1.26476812e-05,38.289441009163639,38.289441009164257,6.1817218e-13,6.53699317e-13,1,0
tiny-rho,0.5,1e-08,Converged,38.289441009163255,7.16905855e-08,38.289441009163639,38.289441009164257,6.1817218e-13,1.00186526e-12,1,0
caustic-cross,0,0.001,Converged,31.968932142645752,0.0153698712,31.969006505447879,31.969012700149204,6.19470132e-06,8.05575035e-05,1,0
caustic-cross,0,0.0001,Converged,31.969003422700442,0.0031228236,31.969006505447879,31.969012700149204,6.19470132e-06,9.27744876e-06,1,0
caustic-cross,0,1e-05,Converged,31.969012827891959,0.000227538566,31.969006505447879,31.969012700149204,6.19470132e-06,1.27742755e-07,1,0
caustic-cross,0,1e-06,Converged,31.969013534790413,2.9318287e-05,31.969006505447879,31.969012700149204,6.19470132e-06,8.34641209e-07,1,0
caustic-cross,0,1e-08,Converged,31.969013590625561,2.4343534e-07,31.969006505447879,31.969012700149204,6.19470132e-06,8.90476358e-07,0,-1
caustic-cross,0.5,0.001,Converged,33.304050190376834,0.0245315836,33.303713496485578,33.303717283920335,3.78743476e-06,0.000332906456,1,0
caustic-cross,0.5,0.0001,Converged,33.303712727538475,0.00216355586,33.303713496485578,33.303717283920335,3.78743476e-06,4.55638186e-06,1,0
caustic-cross,0.5,1e-05,Converged,33.303719409999715,0.000274260916,33.303713496485578,33.303717283920335,3.78743476e-06,2.12607938e-06,1,0
caustic-cross,0.5,1e-06,Converged,33.303718381407514,3.08457874e-05,33.303713496485578,33.303717283920335,3.78743476e-06,1.09748718e-06,1,0
caustic-cross,0.5,1e-08,InnerAccuracyLimited,33.303718459174092,4.70069378e-05,33.303713496485578,33.303717283920335,3.78743476e-06,1.17525376e-06,0,-1
extreme-q-lo,0,0.001,Converged,1.6754780330472665,0.000402408783,1.6754780330445389,1.6754780330445391,2.22044605e-16,2.72737388e-12,1,0
extreme-q-lo,0,0.0001,Converged,1.6754780330440928,1.80328448e-09,1.6754780330445389,1.6754780330445391,2.22044605e-16,4.46309656e-13,1,0
extreme-q-lo,0,1e-05,Converged,1.6754780330440928,1.80328448e-09,1.6754780330445389,1.6754780330445391,2.22044605e-16,4.46309656e-13,1,0
extreme-q-lo,0,1e-06,Converged,1.6754780330440928,1.80328448e-09,1.6754780330445389,1.6754780330445391,2.22044605e-16,4.46309656e-13,1,0
extreme-q-lo,0,1e-08,Converged,1.6754780330440928,1.80328448e-09,1.6754780330445389,1.6754780330445391,2.22044605e-16,4.46309656e-13,1,0
extreme-q-lo,0.5,0.001,Converged,1.675464608123451,3.38415335e-08,1.6754646081254359,1.6754646081254359,0,1.98485672e-12,1,0
extreme-q-lo,0.5,0.0001,Converged,1.675464608123451,3.38415335e-08,1.6754646081254359,1.6754646081254359,0,1.98485672e-12,1,0
extreme-q-lo,0.5,1e-05,Converged,1.675464608123451,3.38415335e-08,1.6754646081254359,1.6754646081254359,0,1.98485672e-12,1,0
extreme-q-lo,0.5,1e-06,Converged,1.675464608123451,3.38415335e-08,1.6754646081254359,1.6754646081254359,0,1.98485672e-12,1,0
extreme-q-lo,0.5,1e-08,Converged,1.6754646081234541,8.11199233e-09,1.6754646081254359,1.6754646081254359,0,1.9817481e-12,1,0
extreme-q-planet,0,0.001,Converged,1.3707084399960816,0.000928755754,1.3707088282846003,1.3707088282846036,3.33066907e-15,3.88288522e-07,1,0
extreme-q-planet,0,0.0001,Converged,1.3707087790830221,7.11880482e-05,1.3707088282846003,1.3707088282846036,3.33066907e-15,4.92015815e-08,1,0
extreme-q-planet,0,1e-05,Converged,1.3707088282902797,4.28991547e-06,1.3707088282846003,1.3707088282846036,3.33066907e-15,5.67612624e-12,1,0
extreme-q-planet,0,1e-06,Converged,1.3707088282796493,6.19616972e-07,1.3707088282846003,1.3707088282846036,3.33066907e-15,4.95425923e-12,1,0
extreme-q-planet,0,1e-08,Converged,1.3707088282846032,1.05451118e-08,1.3707088282846003,1.3707088282846036,3.33066907e-15,4.4408921e-16,1,0
extreme-q-planet,0.5,0.001,Converged,1.3696280266602427,0.000896903638,1.3696267023229696,1.3696267023229722,2.66453526e-15,1.32433727e-06,1,0
extreme-q-planet,0.5,0.0001,Converged,1.3696267140768188,0.000129507492,1.3696267023229696,1.3696267023229722,2.66453526e-15,1.17538466e-08,1,0
extreme-q-planet,0.5,1e-05,Converged,1.3696267026647091,8.0622559e-06,1.3696267023229696,1.3696267023229722,2.66453526e-15,3.41736861e-10,1,0
extreme-q-planet,0.5,1e-06,Converged,1.3696267023263899,1.24379247e-06,1.3696267023229696,1.3696267023229722,2.66453526e-15,3.41771056e-12,1,0
extreme-q-planet,0.5,1e-08,Converged,1.36962670232301,6.62824286e-09,1.3696267023229696,1.3696267023229722,2.66453526e-15,3.77475828e-14,1,0
very-wide,0,0.001,Converged,1.0325050758619907,1.13753579e-05,1.0325050758620675,1.0325050758620653,2.22044605e-15,7.46069873e-14,1,0
very-wide,0,0.0001,Converged,1.0325050758619907,1.13753579e-05,1.0325050758620675,1.0325050758620653,2.22044605e-15,7.46069873e-14,1,0
very-wide,0,1e-05,Converged,1.0325050758620309,5.60690729e-06,1.0325050758620675,1.0325050758620653,2.22044605e-15,3.44169138e-14,1,0
very-wide,0,1e-06,Converged,1.0325050758620662,8.91454193e-10,1.0325050758620675,1.0325050758620653,2.22044605e-15,8.8817842e-16,1,0
very-wide,0,1e-08,Converged,1.0325050758620662,8.91454193e-10,1.0325050758620675,1.0325050758620653,2.22044605e-15,8.8817842e-16,1,0
very-wide,0.5,0.001,Converged,1.0325049845476741,5.63150202e-05,1.0325049845555074,1.0325049845555054,1.99840144e-15,7.83129117e-12,1,0
very-wide,0.5,0.0001,Converged,1.0325049845476741,5.63150202e-05,1.0325049845555074,1.0325049845555054,1.99840144e-15,7.83129117e-12,1,0
very-wide,0.5,1e-05,Converged,1.0325049845555063,2.34853865e-08,1.0325049845555074,1.0325049845555054,1.99840144e-15,8.8817842e-16,1,0
very-wide,0.5,1e-06,Converged,1.0325049845555063,2.34853865e-08,1.0325049845555074,1.0325049845555054,1.99840144e-15,8.8817842e-16,1,0
very-wide,0.5,1e-08,Converged,1.0325049845555068,2.3388721e-10,1.0325049845555074,1.0325049845555054,1.99840144e-15,1.33226763e-15,1,0
very-close,0,0.001,Converged,25.075552237346358,0.0224382821,25.075590808312725,25.075590808325462,1.27364785e-11,3.85709791e-05,1,0
very-close,0,0.0001,Converged,25.075585343214144,0.00157331877,25.075590808312725,25.075590808325462,1.27364785e-11,5.46511132e-06,1,0
very-close,0,1e-05,Converged,25.075590288635013,0.000152098426,25.075590808312725,25.075590808325462,1.27364785e-11,5.19690449e-07,1,0
very-close,0,1e-06,Converged,25.07559078153017,1.55939012e-05,25.075590808312725,25.075590808325462,1.27364785e-11,2.67952913e-08,1,0
very-close,0,1e-08,Converged,25.075590808079326,1.95554803e-07,25.075590808312725,25.075590808325462,1.27364785e-11,2.46135556e-10,1,0
very-close,0.5,0.001,Converged,24.79585573216448,0.0164190351,24.795868541415533,24.795868539546227,1.86930649e-09,1.28073817e-05,1,0
very-close,0.5,0.0001,Converged,24.795840792214037,0.00215153148,24.795868541415533,24.795868539546227,1.86930649e-09,2.77473322e-05,1,0
very-close,0.5,1e-05,Converged,24.795868691561083,0.000217976602,24.795868541415533,24.795868539546227,1.86930649e-09,1.52014856e-07,1,0
very-close,0.5,1e-06,Converged,24.795868255598769,2.25202524e-05,24.795868541415533,24.795868539546227,1.86930649e-09,2.83947458e-07,1,0
very-close,0.5,1e-08,InnerAccuracyLimited,24.795868209596016,2.68784205e-06,24.795868541415533,24.795868539546227,1.86930649e-09,3.29950211e-07,1,0
fold-tangent,0,0.001,Converged,6.088186569982974,0.00523564978,6.0881853043318346,6.0881853043318372,2.66453526e-15,1.26565114e-06,1,0
fold-tangent,0,0.0001,Converged,6.0881853044809091,0.000580135431,6.0881853043318346,6.0881853043318372,2.66453526e-15,1.49071866e-10,1,0
fold-tangent,0,1e-05,Converged,6.0881853044542833,4.44721645e-05,6.0881853043318346,6.0881853043318372,2.66453526e-15,1.22446053e-10,1,0
fold-tangent,0,1e-06,Converged,6.0881853043325957,2.06119851e-06,6.0881853043318346,6.0881853043318372,2.66453526e-15,7.5850437e-13,1,0
fold-tangent,0,1e-08,Converged,6.0881853043318337,2.10782862e-08,6.0881853043318346,6.0881853043318372,2.66453526e-15,3.55271368e-15,1,0
fold-tangent,0.5,0.001,Converged,6.0778222012955796,0.00331895032,6.0778214380803623,6.0778214380803632,8.8817842e-16,7.63215216e-07,1,0
fold-tangent,0.5,0.0001,Converged,6.0778214381271827,0.000288255608,6.0778214380803623,6.0778214380803632,8.8817842e-16,4.68194372e-11,1,0
fold-tangent,0.5,1e-05,Converged,6.0778214381527187,1.32814482e-05,6.0778214380803623,6.0778214380803632,8.8817842e-16,7.2355455e-11,1,0
fold-tangent,0.5,1e-06,Converged,6.0778214380809805,2.37138562e-06,6.0778214380803623,6.0778214380803632,8.8817842e-16,6.17284002e-13,1,0
fold-tangent,0.5,1e-08,Converged,6.0778214380803606,3.40605983e-08,6.0778214380803623,6.0778214380803632,8.8817842e-16,2.66453526e-15,1,0
rand000,0,0.001,Converged,1.9396862097211514,0.00176163611,1.9396862095127461,1.939686209512743,3.10862447e-15,2.08408402e-10,1,0
rand000,0,0.0001,Converged,1.9396862096590108,4.54011361e-05,1.9396862095127461,1.939686209512743,3.10862447e-15,1.46267887e-10,1,0
rand000,0,1e-05,Converged,1.9396862095127814,1.14590458e-06,1.9396862095127461,1.939686209512743,3.10862447e-15,3.84137167e-14,1,0
rand000,0,1e-06,Converged,1.9396862095127814,1.14590458e-06,1.9396862095127461,1.939686209512743,3.10862447e-15,3.84137167e-14,1,0
rand000,0,1e-08,Converged,1.9396862095127396,7.83876922e-09,1.9396862095127461,1.939686209512743,3.10862447e-15,3.33066907e-15,1,0
rand000,0.5,0.001,Converged,1.9396354897570207,2.8351258e-05,1.9396354896692647,1.9396354896692614,3.33066907e-15,8.77593553e-11,1,0
rand000,0.5,0.0001,Converged,1.9396354897570207,2.8351258e-05,1.9396354896692647,1.9396354896692614,3.33066907e-15,8.77593553e-11,1,0
rand000,0.5,1e-05,Converged,1.9396354896692827,6.39281406e-07,1.9396354896692647,1.9396354896692614,3.33066907e-15,2.13162821e-14,1,0
rand000,0.5,1e-06,Converged,1.9396354896692827,6.39281406e-07,1.9396354896692647,1.9396354896692614,3.33066907e-15,2.13162821e-14,1,0
rand000,0.5,1e-08,Converged,1.939635489669258,4.04042155e-09,1.9396354896692647,1.9396354896692614,3.33066907e-15,3.33066907e-15,1,0
rand001,0,0.001,Converged,1.8524330488668375,0.00160329301,1.8524330514593195,1.8524330514593188,6.66133815e-16,2.59248134e-09,1,0
rand001,0,0.0001,Converged,1.8524330492436083,6.61995138e-05,1.8524330514593195,1.8524330514593188,6.66133815e-16,2.2157105e-09,1,0
rand001,0,1e-05,Converged,1.8524330492161849,3.35764182e-06,1.8524330514593195,1.8524330514593188,6.66133815e-16,2.2431339e-09,1,0
rand001,0,1e-06,Converged,1.8524330514593192,3.52980204e-08,1.8524330514593195,1.8524330514593188,6.66133815e-16,4.4408921e-16,1,0
rand001,0,1e-08,Converged,1.8524330514593192,1.52379959e-08,1.8524330514593195,1.8524330514593188,6.66133815e-16,4.4408921e-16,1,0
rand001,0.5,0.001,Converged,1.8511657102650174,5.79393419e-05,1.8511657206041143,1.8511657206041137,6.66133815e-16,1.03390962e-08,1,0
rand001,0.5,0.0001,Converged,1.8511657102650174,5.79393419e-05,1.8511657206041143,1.8511657206041137,6.66133815e-16,1.03390962e-08,1,0
rand001,0.5,1e-05,Converged,1.8511657102485588,4.50334836e-06,1.8511657206041143,1.8511657206041137,6.66133815e-16,1.03555549e-08,1,0
rand001,0.5,1e-06,Converged,1.851165720604143,9.30897054e-08,1.8511657206041143,1.8511657206041137,6.66133815e-16,2.93098879e-14,1,0
rand001,0.5,1e-08,Converged,1.8511657206041143,5.43452799e-10,1.8511657206041143,1.8511657206041137,6.66133815e-16,6.66133815e-16,1,0
rand002,0,0.001,Converged,2.5509855149502672,0.00183801132,2.5509855148742302,2.550985514874232,1.77635684e-15,7.60351782e-11,1,0
rand002,0,0.0001,Converged,2.5509855148742298,4.77454272e-08,2.5509855148742302,2.550985514874232,1.77635684e-15,2.22044605e-15,1,0
rand002,0,1e-05,Converged,2.5509855148742298,4.77454272e-08,2.5509855148742302,2.550985514874232,1.77635684e-15,2.22044605e-15,1,0
rand002,0,1e-06,Converged,2.5509855148742298,4.77454272e-08,2.5509855148742302,2.550985514874232,1.77635684e-15,2.22044605e-15,1,0
rand002,0,1e-08,Converged,2.5509855148742306,1.06928416e-08,2.5509855148742302,2.550985514874232,1.77635684e-15,1.33226763e-15,1,0
rand002,0.5,0.001,Converged,2.5502953538432012,8.10192677e-08,2.5502953538432043,2.5502953538432065,2.22044605e-15,5.32907052e-15,1,0
rand002,0.5,0.0001,Converged,2.5502953538432012,8.10192677e-08,2.5502953538432043,2.5502953538432065,2.22044605e-15,5.32907052e-15,1,0
rand002,0.5,1e-05,Converged,2.5502953538432012,8.10192677e-08,2.5502953538432043,2.5502953538432065,2.22044605e-15,5.32907052e-15,1,0
rand002,0.5,1e-06,Converged,2.5502953538432012,8.10192677e-08,2.5502953538432043,2.5502953538432065,2.22044605e-15,5.32907052e-15,1,0
rand002,0.5,1e-08,Converged,2.5502953538432029,1.32056543e-12,2.5502953538432043,2.5502953538432065,2.22044605e-15,3.55271368e-15,1,0
rand003,0,0.001,Converged,2.1660083935920227,0.00101672437,2.1660049502896599,2.1660049502896594,4.4408921e-16,3.44330236e-06,1,0
rand003,0,0.0001,Converged,2.1660049626692035,4.64552275e-05,2.1660049502896599,2.1660049502896594,4.4408921e-16,1.23795441e-08,1,0
rand003,0,1e-05,Converged,2.1660049502907865,2.39944493e-06,2.1660049502896599,2.1660049502896594,4.4408921e-16,1.12709841e-12,1,0
rand003,0,1e-06,Converged,2.1660049502907794,9.33532854e-07,2.1660049502896599,2.1660049502896594,4.4408921e-16,1.11999299e-12,1,0
rand003,0,1e-08,Converged,2.1660049502896599,5.76030579e-11,2.1660049502896599,2.1660049502896594,4.4408921e-16,4.4408921e-16,1,0
rand003,0.5,0.001,Converged,2.1595362723734843,0.000627543127,2.1595342063920633,2.1595342063920633,0,2.06598142e-06,1,0
rand003,0.5,0.0001,Converged,2.1595342138197928,4.53796555e-05,2.1595342063920633,2.1595342063920633,0,7.42772954e-09,1,0
rand003,0.5,1e-05,Converged,2.1595342063927423,1.89461859e-05,2.1595342063920633,2.1595342063920633,0,6.79012402e-13,1,0
rand003,0.5,1e-06,Converged,2.1595342063927343,3.16566648e-07,2.1595342063920633,2.1595342063920633,0,6.71018796e-13,1,0
rand003,0.5,1e-08,Converged,2.1595342063920637,3.6100031e-11,2.1595342063920633,2.1595342063920633,0,4.4408921e-16,1,0
