name,u,policy,warm,rtol,repeat,stop,value_stop,gradient_stop,value_converged,mu,value_error,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,nodes,evaluations,event_double_checks,event_dd_checks,event_dd_accepts,qf_family_constructions,event_qf_refinements,event_topology_reuses,event_radius_reuses,event_direct_qf_failures,gq0,gq1,gq2,gq3,gq4,gr0,gr1,gr2,gr3,gr4
plan15,0.0,None,0,1.0e-03,0,Converged,Converged,Converged,1,6.0199516089053375,0.005839888,1.580183,0.435479,0.049803,0.000040,0.004158,0.029895,0.015565,120,120,8,0,0,0,0,0,0,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
plan15,0.0,None,0,1.0e-04,0,Converged,Converged,Converged,1,6.019953359604493,0.00031935832,0.614228,0.349404,0.023370,0.000038,0.001928,0.019416,0.001840,176,176,8,0,0,0,0,0,0,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
plan15,0.0,None,1,1.0e-03,0,Converged,Converged,Converged,1,6.0267722202986098,0.0059217089,0.377886,0.215476,0.021351,0.000026,0.001299,0.018676,0.001247,120,120,8,0,0,0,0,0,0,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
plan15,0.0,None,1,1.0e-04,0,Converged,Converged,Converged,1,6.0267740818191173,0.00032163431,0.437644,0.214205,0.023012,0.000026,0.001285,0.020221,0.001369,176,176,8,0,0,0,0,0,0,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
plan15,0.0,Strict,0,1.0e-03,0,EventLocationLimited,Converged,EventLocationLimited,1,6.0199516089053375,0.005839888,26.811052,0.332925,0.024142,0.000019,0.001503,0.020307,0.002202,3219,3219,8,0,0,0,0,0,0,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
plan15,0.0,Strict,0,1.0e-04,0,EventLocationLimited,Converged,EventLocationLimited,1,6.019953359604493,0.00031935832,10.393819,0.411865,0.039323,0.000086,0.009597,0.024947,0.004340,3219,3219,8,0,0,0,0,0,0,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
plan15,0.0,Strict,1,1.0e-03,0,Converged,Converged,Converged,1,6.0267722202986098,0.0059217089,12.732726,0.267590,0.027518,0.000115,0.001763,0.022122,0.003244,3219,3219,8,0,0,0,0,0,0,0,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet
plan15,0.0,Strict,1,1.0e-04,0,Converged,Converged,Converged,1,6.0267740818191173,0.00032163431,12.804123,0.245710,0.025892,0.000118,0.001698,0.021583,0.002195,3219,3219,8,0,0,0,0,0,0,0,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet
plan15,0.0,ValueFirst,0,1.0e-03,0,Converged,Converged,BudgetExceeded,1,6.0199516089053375,0.005839888,0.707889,0.364976,0.030792,0.000055,0.002643,0.021841,0.006094,160,160,8,0,0,0,0,0,0,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
plan15,0.0,ValueFirst,0,1.0e-04,0,Converged,Converged,BudgetExceeded,1,6.019953359604493,0.00031935832,0.723156,0.340046,0.024127,0.000027,0.001344,0.020990,0.001657,232,232,8,0,0,0,0,0,0,0,FiniteUncertified,ToleranceMet,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,ToleranceMet,BudgetExceeded,BudgetExceeded,BudgetExceeded
