name,u,jac,warm,repeat,mode,mu,status,stop,evaluations,whole_ms,topology_ms
plan15,0,0,0,0,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,0.912436,0.437143
plan15,0,0,0,0,adaptive_affine,6.019965682498543,0,Converged,368,1.041639,0.341886
plan15,0,0,0,0,adaptive_fold,6.019953359604493,0,Converged,176,0.617749,0.338239
plan15,0,0,0,1,adaptive_fold,6.019953359604493,0,Converged,176,0.563419,0.325732
plan15,0,0,0,1,adaptive_affine,6.019965682498543,0,Converged,368,0.808783,0.322852
plan15,0,0,0,1,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,0.767727,0.324257
plan15,0,0,0,2,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,0.775974,0.317987
plan15,0,0,0,2,adaptive_affine,6.019965682498543,0,Converged,368,0.826399,0.317030
plan15,0,0,0,2,adaptive_fold,6.019953359604493,0,Converged,176,0.595987,0.327630
plan15,0,0,1,0,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,0.740463,0.218904
plan15,0,0,1,0,adaptive_affine,6.0267864989591979,0,Converged,368,0.691376,0.209365
plan15,0,0,1,0,adaptive_fold,6.0267740818191173,0,Converged,176,0.485785,0.212624
plan15,0,0,1,1,adaptive_fold,6.0267740818191173,0,Converged,176,0.454389,0.202444
plan15,0,0,1,1,adaptive_affine,6.0267864989591979,0,Converged,368,0.681918,0.203844
plan15,0,0,1,1,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,0.730221,0.202524
plan15,0,0,1,2,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,0.789722,0.199561
plan15,0,0,1,2,adaptive_affine,6.0267864989591979,0,Converged,368,0.720701,0.198513
plan15,0,0,1,2,adaptive_fold,6.0267740818191173,0,Converged,176,0.507117,0.210092
plan15,0,1,0,0,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,0.815735,0.324455
plan15,0,1,0,0,adaptive_affine,6.019965682498543,0,BudgetExceeded,23580,624.684644,0.318072
plan15,0,1,0,0,adaptive_fold,6.019953359604493,0,EventLocationLimited,3219,15.736794,0.471268
plan15,0,1,0,1,adaptive_fold,6.019953359604493,0,EventLocationLimited,3219,14.207229,0.427195
plan15,0,1,0,1,adaptive_affine,6.019965682498543,0,BudgetExceeded,23580,410.081626,0.437618
plan15,0,1,0,1,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,0.935609,0.431947
plan15,0,1,0,2,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,0.819407,0.333583
plan15,0,1,0,2,adaptive_affine,6.019965682498543,0,BudgetExceeded,23580,417.153559,0.325604
plan15,0,1,0,2,adaptive_fold,6.019953359604493,0,EventLocationLimited,3219,15.766499,0.435258
plan15,0,1,1,0,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,0.807332,0.222077
plan15,0,1,1,0,adaptive_affine,6.0267864989591979,0,BudgetExceeded,23842,446.660029,0.208753
plan15,0,1,1,0,adaptive_fold,6.0267740818191173,0,Converged,3219,18.454061,0.221092
plan15,0,1,1,1,adaptive_fold,6.0267740818191173,0,Converged,3219,16.708520,0.221264
plan15,0,1,1,1,adaptive_affine,6.0267864989591979,0,BudgetExceeded,23842,442.515784,0.221296
plan15,0,1,1,1,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,0.837814,0.226709
plan15,0,1,1,2,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,0.781642,0.206062
plan15,0,1,1,2,adaptive_affine,6.0267864989591979,0,BudgetExceeded,23842,536.069326,0.208933
plan15,0,1,1,2,adaptive_fold,6.0267740818191173,0,Converged,3219,19.339766,0.225569
plan15,0.5,0,0,0,mapped_fixed63,6.1205016227172315,0,fixed_resolution,504,1.275031,0.460277
plan15,0.5,0,0,0,adaptive_affine,6.1205154790060332,0,Converged,272,0.818641,0.334344
plan15,0.5,0,0,0,adaptive_fold,6.1205016288542389,0,Converged,176,0.657913,0.337491
plan15,0.5,0,0,1,adaptive_fold,6.1205016288542389,0,Converged,176,0.640154,0.323698
plan15,0.5,0,0,1,adaptive_affine,6.1205154790060332,0,Converged,272,0.755931,0.319015
plan15,0.5,0,0,1,mapped_fixed63,6.1205016227172315,0,fixed_resolution,504,1.122817,0.326034
plan15,0.5,0,0,2,mapped_fixed63,6.1205016227172315,0,fixed_resolution,504,1.175426,0.347427
plan15,0.5,0,0,2,adaptive_affine,6.1205154790060332,0,Converged,272,0.770819,0.314694
plan15,0.5,0,0,2,adaptive_fold,6.1205016288542389,0,Converged,176,0.636329,0.319546
plan15,0.5,0,1,0,mapped_fixed63,6.1294554709774953,0,fixed_resolution,504,1.090025,0.217335
plan15,0.5,0,1,0,adaptive_affine,6.1294693764924384,0,Converged,272,0.657993,0.204592
plan15,0.5,0,1,0,adaptive_fold,6.129455477263571,0,Converged,176,0.544762,0.206347
plan15,0.5,0,1,1,adaptive_fold,6.129455477263571,0,Converged,176,0.547306,0.210849
plan15,0.5,0,1,1,adaptive_affine,6.1294693764924384,0,Converged,272,0.648186,0.212128
plan15,0.5,0,1,1,mapped_fixed63,6.1294554709774953,0,fixed_resolution,504,1.101632,0.199508
