name,u,parameter,step,n,stop,analytic,estimated_error,finite_difference,difference
plan15,0,0,0.000125,128,EventLocationLimited,5.5616784512147346,2.63621578e-06,5.561679338846659,8.87631924e-07
plan15,0,0,0.000125,256,EventLocationLimited,5.5616784512147346,2.63621578e-06,5.561679338846659,8.87631924e-07
plan15,0,0,3.7499999999999997e-05,128,EventLocationLimited,5.5616784512147346,2.63621578e-06,5.5616785412837553,9.00690207e-08
plan15,0,0,3.7499999999999997e-05,256,EventLocationLimited,5.5616784512147346,2.63621578e-06,5.5616785412837553,9.00690207e-08
plan15,0,0,1.2500000000000001e-05,128,EventLocationLimited,5.5616784512147346,2.63621578e-06,5.5616784711531864,1.99384518e-08
plan15,0,0,1.2500000000000001e-05,256,EventLocationLimited,5.5616784512147346,2.63621578e-06,5.5616784711887135,1.99739789e-08
plan15,0,1,0.000125,128,EventLocationLimited,-17.137986481038379,3.91725418e-06,-17.137992869255214,6.38821684e-06
plan15,0,1,0.000125,256,EventLocationLimited,-17.137986481038379,3.91725418e-06,-17.137992869251661,6.38821328e-06
plan15,0,1,3.7499999999999997e-05,128,EventLocationLimited,-17.137986481038379,3.91725418e-06,-17.137987063217491,5.82179112e-07
plan15,0,1,3.7499999999999997e-05,256,EventLocationLimited,-17.137986481038379,3.91725418e-06,-17.137987063205649,5.82167271e-07
plan15,0,1,1.2500000000000001e-05,128,EventLocationLimited,-17.137986481038379,3.91725418e-06,-17.13798655277543,7.17370519e-08
plan15,0,1,1.2500000000000001e-05,256,EventLocationLimited,-17.137986481038379,3.91725418e-06,-17.137986552810958,7.1772579e-08
plan15,0,2,0.000125,128,EventLocationLimited,-10.351485550570892,5.04095561e-06,-10.351490887035908,5.33646502e-06
plan15,0,2,0.000125,256,EventLocationLimited,-10.351485550570892,5.04095561e-06,-10.351490887035908,5.33646502e-06
plan15,0,2,3.7499999999999997e-05,128,EventLocationLimited,-10.351485550570892,5.04095561e-06,-10.351486043340687,4.92769795e-07
plan15,0,2,3.7499999999999997e-05,256,EventLocationLimited,-10.351485550570892,5.04095561e-06,-10.351486043352528,4.92781636e-07
