name,u,rtol,stop,component,Q,budget,error,radial,inner,geometry,event,roundoff,nodes
plan15,0,0.001,EventLocationLimited,0,6.0199516089053375,0.00601995161,0.005839888,0.005839888,0,4.61370235e-14,8.88401105e-15,2.67339555e-15,3219
plan15,0,0.001,EventLocationLimited,1,5.5616784633860261,0.00556167846,2.57647528e-06,8.97863131e-07,0,1.3805766e-08,1.66480637e-06,1.16546878e-14,3219
plan15,0,0.001,EventLocationLimited,2,-17.137986489592233,0.0171379865,3.876119e-06,2.05026276e-06,0,9.86159156e-09,1.81599462e-06,1.96469226e-14,3219
plan15,0,0.001,EventLocationLimited,3,-10.351485565404818,0.0103514856,4.9682973e-06,2.40123142e-06,0,1.69752163e-08,2.55009058e-06,7.37621502e-14,3219
plan15,0,0.001,EventLocationLimited,4,-4.9880854834523163,0.00498808548,2.16272508e-06,9.55036214e-07,0,1.73772784e-08,1.19031158e-06,1.01156524e-14,3219
plan15,0,0.001,EventLocationLimited,5,1.2384878988089743,0.0012384879,1.23042517e-06,3.05081926e-07,0,5.20932874e-08,8.73249949e-07,5.31151694e-15,3219
plan15,0,0.0001,EventLocationLimited,0,6.019953359604493,0.000601995336,0.000319358321,0.00031935832,0,4.56699925e-14,8.81144336e-15,2.67339633e-15,3219
plan15,0,0.0001,EventLocationLimited,1,5.5616784633860261,0.000556167846,2.57647528e-06,8.97863131e-07,0,1.3805766e-08,1.66480637e-06,1.16546878e-14,3219
plan15,0,0.0001,EventLocationLimited,2,-17.137986489592233,0.00171379865,3.876119e-06,2.05026276e-06,0,9.86159156e-09,1.81599462e-06,1.96469226e-14,3219
plan15,0,0.0001,EventLocationLimited,3,-10.351485565404818,0.00103514856,4.9682973e-06,2.40123142e-06,0,1.69752163e-08,2.55009058e-06,7.37621502e-14,3219
plan15,0,0.0001,EventLocationLimited,4,-4.9880854834523163,0.000498808548,2.16272508e-06,9.55036214e-07,0,1.73772784e-08,1.19031158e-06,1.01156524e-14,3219
plan15,0,0.0001,EventLocationLimited,5,1.2384878988089743,0.00012384879,1.23042517e-06,3.05081926e-07,0,5.20932874e-08,8.73249949e-07,5.31151694e-15,3219
plan15,0,1e-05,EventLocationLimited,0,6.0199533595851964,6.01995336e-05,5.84004617e-05,5.84004616e-05,0,4.58079007e-14,8.70695239e-15,2.67339633e-15,3219
plan15,0,1e-05,EventLocationLimited,1,5.5616784633860261,5.56167846e-05,2.57647528e-06,8.97863131e-07,0,1.3805766e-08,1.66480637e-06,1.16546878e-14,3219
plan15,0,1e-05,EventLocationLimited,2,-17.137986489592233,0.000171379865,3.876119e-06,2.05026276e-06,0,9.86159156e-09,1.81599462e-06,1.96469226e-14,3219
plan15,0,1e-05,EventLocationLimited,3,-10.351485565404818,0.000103514856,4.9682973e-06,2.40123142e-06,0,1.69752163e-08,2.55009058e-06,7.37621502e-14,3219
plan15,0,1e-05,EventLocationLimited,4,-4.9880854834523163,4.98808548e-05,2.16272508e-06,9.55036214e-07,0,1.73772784e-08,1.19031158e-06,1.01156524e-14,3219
plan15,0,1e-05,EventLocationLimited,5,1.2384878988089743,1.2384879e-05,1.23042517e-06,3.05081926e-07,0,5.20932874e-08,8.73249949e-07,5.31151694e-15,3219
plan15,0,1e-06,EventLocationLimited,0,6.0199533596497705,6.01995336e-06,2.63063291e-06,2.63063285e-06,0,4.58594225e-14,8.70693307e-15,2.67339633e-15,3219
plan15,0,1e-06,EventLocationLimited,1,5.5616784633860261,5.56167846e-06,2.57647528e-06,8.97863131e-07,0,1.3805766e-08,1.66480637e-06,1.16546878e-14,3219
plan15,0,1e-06,EventLocationLimited,2,-17.137986489592233,1.71379865e-05,3.876119e-06,2.05026276e-06,0,9.86159156e-09,1.81599462e-06,1.96469226e-14,3219
plan15,0,1e-06,EventLocationLimited,3,-10.351485565404818,1.03514856e-05,4.9682973e-06,2.40123142e-06,0,1.69752163e-08,2.55009058e-06,7.37621502e-14,3219
plan15,0,1e-06,EventLocationLimited,4,-4.9880854834523163,4.98808548e-06,2.16272508e-06,9.55036214e-07,0,1.73772784e-08,1.19031158e-06,1.01156524e-14,3219
plan15,0,1e-06,EventLocationLimited,5,1.2384878988089743,1.2384879e-06,1.23042517e-06,3.05081926e-07,0,5.20932874e-08,8.73249949e-07,5.31151694e-15,3219
plan15,0,1e-08,EventLocationLimited,0,6.019953359650013,6.01995336e-08,2.39522996e-08,2.39522425e-08,0,4.56902814e-14,8.67009183e-15,2.67339633e-15,344
plan15,0,1e-08,EventLocationLimited,1,5.5616784624582642,1e-06,1.96917631e-06,3.04191008e-07,0,1.18222903e-10,1.66486706e-06,1.1654534e-14,344
plan15,0,1e-08,EventLocationLimited,2,-17.137986488932338,1e-06,2.51160406e-06,6.9544049e-07,0,1.25550229e-10,1.816038e-06,1.96469779e-14,344
plan15,0,1e-08,EventLocationLimited,3,-10.351485564267014,1e-06,3.23756551e-06,6.87233677e-07,0,1.78124614e-10,2.55015364e-06,7.3761419e-14,344
plan15,0,1e-08,EventLocationLimited,4,-4.9880854846255387,1e-06,1.63686311e-06,4.46406087e-07,0,6.79766671e-11,1.19038904e-06,1.01158747e-14,344
plan15,0,1e-08,EventLocationLimited,5,1.2384878952803031,1e-06,1.02200106e-06,1.48485303e-07,0,3.19711117e-11,8.73483784e-07,5.31297207e-15,344
plan15,0.5,0.001,TopologyUnresolved,0,6.1205006645589846,0.00612050066,0.00432225846,0.00432225735,1.11144617e-09,5.53692314e-14,7.89080894e-15,2.7180483e-15,2236
plan15,0.5,0.001,TopologyUnresolved,1,7.3097580436538454,0.00730975804,1.75340053e-06,6.95578843e-07,5.60234756e-08,6.07970651e-10,1.00119023e-06,1.21631531e-14,2236
plan15,0.5,0.001,TopologyUnresolved,2,-17.352260795200259,0.0173522608,2.82479603e-06,1.50264051e-06,2.26105354e-07,4.5562718e-10,1.09559451e-06,2.06803524e-14,2236
plan15,0.5,0.001,TopologyUnresolved,3,-11.441453834806405,0.0114414538,3.21676766e-06,1.39037969e-06,2.8932546e-07,7.65568404e-10,1.53629687e-06,7.43451516e-14,2236
plan15,0.5,0.001,TopologyUnresolved,4,-5.4831820637373294,0.00548318206,1.51994913e-06,7.2278162e-07,8.04893627e-08,7.19902617e-10,7.15958235e-07,1.07879257e-14,2236
plan15,0.5,0.001,TopologyUnresolved,5,1.3006760642810558,0.00130067606,6.90389524e-07,1.28665075e-07,3.42435066e-08,2.05013569e-09,5.25430801e-07,5.63373458e-15,2236
plan15,0.5,0.0001,TopologyUnresolved,0,6.1205016288542389,0.000612050163,0.000424651965,0.000424650945,1.01997096e-09,5.51545681e-14,7.83678448e-15,2.71804873e-15,2236
plan15,0.5,0.0001,TopologyUnresolved,1,7.3097580436538454,0.000730975804,1.75340053e-06,6.95578843e-07,5.60234756e-08,6.07970651e-10,1.00119023e-06,1.21631531e-14,2236
plan15,0.5,0.0001,TopologyUnresolved,2,-17.352260795200259,0.00173522608,2.82479603e-06,1.50264051e-06,2.26105354e-07,4.5562718e-10,1.09559451e-06,2.06803524e-14,2236
plan15,0.5,0.0001,TopologyUnresolved,3,-11.441453834806405,0.00114414538,3.21676766e-06,1.39037969e-06,2.8932546e-07,7.65568404e-10,1.53629687e-06,7.43451516e-14,2236
plan15,0.5,0.0001,TopologyUnresolved,4,-5.4831820637373294,0.000548318206,1.51994913e-06,7.2278162e-07,8.04893627e-08,7.19902617e-10,7.15958235e-07,1.07879257e-14,2236
plan15,0.5,0.0001,TopologyUnresolved,5,1.3006760642810558,0.000130067606,6.90389524e-07,1.28665075e-07,3.42435066e-08,2.05013569e-09,5.25430801e-07,5.63373458e-15,2236
plan15,0.5,1e-05,TopologyUnresolved,0,6.1205016227633129,6.12050162e-05,2.15178433e-05,2.15167678e-05,1.07543817e-09,5.49923668e-14,7.78253177e-15,2.71804873e-15,2236
plan15,0.5,1e-05,TopologyUnresolved,1,7.3097580436538454,7.30975804e-05,1.75340053e-06,6.95578843e-07,5.60234756e-08,6.07970651e-10,1.00119023e-06,1.21631531e-14,2236
plan15,0.5,1e-05,TopologyUnresolved,2,-17.352260795200259,0.000173522608,2.82479603e-06,1.50264051e-06,2.26105354e-07,4.5562718e-10,1.09559451e-06,2.06803524e-14,2236
plan15,0.5,1e-05,TopologyUnresolved,3,-11.441453834806405,0.000114414538,3.21676766e-06,1.39037969e-06,2.8932546e-07,7.65568404e-10,1.53629687e-06,7.43451516e-14,2236
plan15,0.5,1e-05,TopologyUnresolved,4,-5.4831820637373294,5.48318206e-05,1.51994913e-06,7.2278162e-07,8.04893627e-08,7.19902617e-10,7.15958235e-07,1.07879257e-14,2236
plan15,0.5,1e-05,TopologyUnresolved,5,1.3006760642810558,1.30067606e-05,6.90389524e-07,1.28665075e-07,3.42435066e-08,2.05013569e-09,5.25430801e-07,5.63373458e-15,2236
plan15,0.5,1e-06,TopologyUnresolved,0,6.1205016227777014,6.12050162e-06,5.80467026e-06,5.80350525e-06,1.16494934e-09,5.49074067e-14,7.78251012e-15,2.71804873e-15,2236
plan15,0.5,1e-06,TopologyUnresolved,1,7.3097580436538454,7.30975804e-06,1.75340053e-06,6.95578843e-07,5.60234756e-08,6.07970651e-10,1.00119023e-06,1.21631531e-14,2236
plan15,0.5,1e-06,TopologyUnresolved,2,-17.352260795200259,1.73522608e-05,2.82479603e-06,1.50264051e-06,2.26105354e-07,4.5562718e-10,1.09559451e-06,2.06803524e-14,2236
plan15,0.5,1e-06,TopologyUnresolved,3,-11.441453834806405,1.14414538e-05,3.21676766e-06,1.39037969e-06,2.8932546e-07,7.65568404e-10,1.53629687e-06,7.43451516e-14,2236
plan15,0.5,1e-06,TopologyUnresolved,4,-5.4831820637373294,5.48318206e-06,1.51994913e-06,7.2278162e-07,8.04893627e-08,7.19902617e-10,7.15958235e-07,1.07879257e-14,2236
plan15,0.5,1e-06,TopologyUnresolved,5,1.3006760642810558,1.30067606e-06,6.90389524e-07,1.28665075e-07,3.42435066e-08,2.05013569e-09,5.25430801e-07,5.63373458e-15,2236
plan15,0.5,1e-08,EventLocationLimited,0,6.1205016227172315,6.12050162e-08,3.60303639e-08,3.46908164e-08,1.33948223e-09,5.48283376e-14,7.76021772e-15,2.71804873e-15,344
plan15,0.5,1e-08,EventLocationLimited,1,7.3097580436847327,1e-06,1.55096339e-06,4.91820745e-07,5.63639965e-08,7.09337417e-11,1.0027077e-06,1.2163869e-14,344
plan15,0.5,1e-08,EventLocationLimited,2,-17.352260795223096,1e-06,2.36049147e-06,1.03699357e-06,2.2713386e-07,7.53301375e-11,1.09628869e-06,2.0679838e-14,344
plan15,0.5,1e-08,EventLocationLimited,3,-11.441453834847328,1e-06,2.84293036e-06,1.01373027e-06,2.91117206e-07,1.07313537e-10,1.53797549e-06,7.43448642e-14,344
plan15,0.5,1e-08,EventLocationLimited,4,-5.4831820636967556,1e-06,1.4252933e-06,6.26423568e-07,8.08843012e-08,4.07860002e-11,7.17944636e-07,1.07889234e-14,344
plan15,0.5,1e-08,EventLocationLimited,5,1.3006760643999606,1e-06,9.64789213e-07,4.01839413e-07,3.42533984e-08,1.9182667e-11,5.28677214e-07,5.63356632e-15,344
resonant,0,0.001,EventLocationLimited,0,13.730120074185391,0.0137301201,0.0108194838,0.0108194838,0,1.68377885e-13,2.14985109e-13,6.09739817e-15,3536
resonant,0,0.001,EventLocationLimited,1,155.52847183759783,0.155528472,2.87717606e-05,5.30050771e-06,0,2.62557621e-07,2.32086952e-05,1.22220934e-13,3536
