name,u,jac,warm,rtol,cache,repeat,stop,mu,error,nodes,evaluations,reused,splits,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,event_double_checks,event_dd_checks,event_dd_accepts,event_qf_refinements,qf_family_constructions,event_topology_reuses,event_radius_reuses,event_direct_qf_failures,first_value_pass_nodes,first_gradient_error_pass_nodes,first_gradient_contract_nodes,gradient_error_pass_mask,gradient_contract_mask,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,fixed64_status,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
plan15,0.0,0,0,1.0e-03,1,0,Converged,6.0199516089053375,0.005839888,120,120,57,0,0.606511,0.354425,0.037833,0.000019,0.003597,0.025484,0.008220,8,0,0,0,0,0,0,0,120,56,56,0,0,0.116638,0.006940,0.002191,0.604848,6.0204103664095419,0,0,4.6170159e-14,8.8840111e-15,2.6733956e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-03,0,0,Converged,6.0199516089053384,0.005839888,120,177,0,0,0.583770,0.343775,0.024614,0.000047,0.001658,0.020314,0.002422,8,0,0,0,0,0,0,0,177,56,56,0,0,0.151072,0.005829,0.001594,0.597940,6.0204103664095419,0,0,4.6013409e-14,8.8840111e-15,2.6733956e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-04,1,0,Converged,6.019953359604493,0.00031935832,176,176,109,0,0.636883,0.359083,0.033882,0.000018,0.001429,0.028534,0.003785,8,0,0,0,0,0,0,0,176,56,56,0,0,0.193568,0.009901,0.002342,0.644727,6.0204103664095419,0,0,4.5703128e-14,8.8114434e-15,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-04,0,0,Converged,6.0199533596044921,0.00031935832,176,285,0,0,0.721053,0.320723,0.021638,0.000019,0.001264,0.018748,0.001489,8,0,0,0,0,0,0,0,285,56,56,0,0,0.235713,0.008642,0.002142,0.582527,6.0204103664095419,0,0,4.5548444e-14,8.8114434e-15,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-05,1,0,Converged,6.0199533595851964,5.8400462e-05,208,208,139,0,0.578631,0.316455,0.021227,0.000018,0.001257,0.018486,0.001361,8,0,0,0,0,0,0,0,208,56,56,0,0,0.186885,0.009637,0.002257,0.579724,6.0204103664095419,0,0,4.5841036e-14,8.7069524e-15,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-05,0,0,Converged,6.0199533595851955,5.8400462e-05,208,347,0,0,0.708690,0.320268,0.021193,0.000019,0.001166,0.018642,0.001266,8,0,0,0,0,0,0,0,347,56,56,0,0,0.289743,0.009129,0.002258,0.590246,6.0204103664095419,0,0,4.5708717e-14,8.7069524e-15,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-06,1,0,Converged,6.0199533596497705,2.6306329e-06,264,264,192,0,0.621886,0.315543,0.022488,0.000019,0.001155,0.019832,0.001377,8,0,0,0,0,0,0,0,264,56,56,0,0,0.223260,0.014408,0.002680,0.610106,6.0204103664095419,0,0,4.5875729e-14,8.7069331e-15,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-06,0,0,Converged,6.0199533596497696,2.6306329e-06,264,456,0,0,0.866012,0.319577,0.022866,0.000018,0.001275,0.020043,0.001429,8,0,0,0,0,0,0,0,456,56,56,0,0,0.370924,0.013871,0.002792,0.583408,6.0204103664095419,0,0,4.5728382e-14,8.7069331e-15,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-08,1,0,Converged,6.019953359650013,2.39523e-08,328,328,254,0,0.709971,0.326087,0.027851,0.000018,0.001246,0.025195,0.001270,8,0,0,0,0,0,0,0,328,56,56,0,0,0.281528,0.018570,0.003117,0.587544,6.0204103664095419,0,0,4.5695774e-14,8.6700918e-15,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-08,0,0,Converged,6.019953359650013,2.39523e-08,328,582,0,0,1.023460,0.316830,0.021290,0.000018,0.001215,0.018530,0.001330,8,0,0,0,0,0,0,0,582,56,56,0,0,0.467579,0.018952,0.003181,0.580890,6.0204103664095419,0,0,4.5830205e-14,8.6700918e-15,2.6733963e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-03,1,0,Converged,6.0267722202986098,0.0059217089,120,120,57,0,0.384895,0.219883,0.021392,0.000021,0.001225,0.018729,0.001305,8,0,0,0,0,0,0,0,120,56,56,0,0,0.117663,0.004639,0.001424,0.516655,6.027232423426514,0,0,4.560453e-14,8.8822046e-15,2.6764245e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-03,0,0,Converged,6.0267722202986098,0.0059217089,120,177,0,0,0.427053,0.205255,0.021322,0.000019,0.001274,0.018554,0.001354,8,0,0,0,0,0,0,0,177,56,56,0,0,0.157088,0.004991,0.001442,0.510440,6.027232423426514,0,0,4.5652931e-14,8.8822046e-15,2.6764245e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-04,1,0,Converged,6.0267740818191173,0.00032163431,176,176,109,0,0.438108,0.205133,0.021141,0.000019,0.001267,0.018423,0.001326,8,0,0,0,0,0,0,0,176,56,56,0,0,0.172293,0.008686,0.002084,0.509295,6.027232423426514,0,0,4.534677e-14,8.8094131e-15,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-04,0,0,Converged,6.0267740818191173,0.00032163431,176,285,0,0,0.534837,0.216723,0.021023,0.000021,0.001230,0.018389,0.001262,8,0,0,0,0,0,0,0,285,56,56,0,0,0.242212,0.007475,0.001897,0.508320,6.027232423426514,0,0,4.5228229e-14,8.8094131e-15,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-05,1,0,Converged,6.0267740817994939,5.769977e-05,208,208,139,0,0.476865,0.207005,0.020751,0.000019,0.001179,0.018278,0.001163,8,0,0,0,0,0,0,0,208,56,56,0,0,0.204341,0.008884,0.002176,0.505616,6.027232423426514,0,0,4.5576713e-14,8.7047571e-15,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-05,0,0,Converged,6.0267740817994939,5.769977e-05,208,347,0,0,0.617479,0.211749,0.022379,0.000019,0.001193,0.019731,0.001327,8,0,0,0,0,0,0,0,347,56,56,0,0,0.316723,0.009045,0.002123,0.518615,6.027232423426514,0,0,4.5442016e-14,8.7047571e-15,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-06,1,0,Converged,6.0267740818625253,2.6054181e-06,264,264,192,0,0.527039,0.204772,0.022314,0.000020,0.001172,0.019756,0.001251,8,0,0,0,0,0,0,0,264,56,56,0,0,0.242674,0.013029,0.002608,0.521201,6.027232423426514,0,0,4.554222e-14,8.7047379e-15,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,1,1.0e-06,0,0,Converged,6.0267740818625253,2.6054181e-06,264,456,0,0,0.704394,0.201863,0.021312,0.000019,0.001234,0.018705,0.001245,8,0,0,0,0,0,0,0,456,56,56,0,0,0.394314,0.013277,0.002666,0.509483,6.027232423426514,0,0,4.5404197e-14,8.7047379e-15,2.6764253e-15,0,0,0,0,0,0,0,0,0,0
