name,u,rtol,stop,mu,error,reference128,reference256,reference_uncertainty,actual_difference,reference_usable,violation
plan15,0,0.001,Converged,6.0267722202986098,0.00592170893,6.0267740818627429,6.0267740818627411,1.77635684e-15,1.86156413e-06,1,0
plan15,0,0.0001,Converged,6.0267740818191173,0.000321634314,6.0267740818627429,6.0267740818627411,1.77635684e-15,4.36237713e-11,1,0
plan15,0,1e-05,Converged,6.0267740817994939,5.76997701e-05,6.0267740818627429,6.0267740818627411,1.77635684e-15,6.32471853e-11,1,0
plan15,0,1e-06,Converged,6.0267740818625253,2.60541814e-06,6.0267740818627429,6.0267740818627411,1.77635684e-15,2.15827356e-13,1,0
plan15,0,1e-08,Converged,6.026774081862742,2.20326699e-08,6.0267740818627429,6.0267740818627411,1.77635684e-15,8.8817842e-16,1,0
plan15,0.5,0.001,Converged,6.129454459435534,0.00435894512,6.129455470981271,6.1294554709812692,1.77635684e-15,1.01154574e-06,1,0
plan15,0.5,0.0001,Converged,6.129455477263571,0.000446048332,6.129455470981271,6.1294554709812692,1.77635684e-15,6.28230179e-09,1,0
plan15,0.5,1e-05,Converged,6.1294554708994573,5.99441602e-05,6.129455470981271,6.1294554709812692,1.77635684e-15,8.18118906e-11,1,0
plan15,0.5,1e-06,Converged,6.1294554709811564,1.27572447e-06,6.129455470981271,6.1294554709812692,1.77635684e-15,1.12798659e-13,1,0
plan15,0.5,1e-08,Converged,6.1294554709774953,3.50562346e-08,6.129455470981271,6.1294554709812692,1.77635684e-15,3.77387011e-12,1,0
resonant,0,0.001,Converged,13.807811515694056,0.0111284608,13.80780745584457,13.807807455844562,7.10542736e-15,4.05984949e-06,1,0
resonant,0,0.0001,Converged,13.807807472466955,0.00123490072,13.80780745584457,13.807807455844562,7.10542736e-15,1.66223924e-08,1,0
resonant,0,1e-05,Converged,13.80780745568009,8.32267834e-05,13.80780745584457,13.807807455844562,7.10542736e-15,1.6447288e-10,1,0
resonant,0,1e-06,Converged,13.807807455906003,9.50457391e-06,13.80780745584457,13.807807455844562,7.10542736e-15,6.14406304e-11,1,0
resonant,0,1e-08,Converged,13.80780745584457,6.80780844e-08,13.80780745584457,13.807807455844562,7.10542736e-15,7.10542736e-15,1,0
resonant,0.5,0.001,Converged,13.960822824509576,0.0127311068,13.960820066113037,13.960820065935104,1.77932336e-10,2.75857447e-06,1,0
resonant,0.5,0.0001,Converged,13.960820125801247,0.00116461631,13.960820066113037,13.960820065935104,1.77932336e-10,5.98661423e-08,1,0
resonant,0.5,1e-05,Converged,13.96082011697227,0.000110236784,13.960820066113037,13.960820065935104,1.77932336e-10,5.10371656e-08,1,0
resonant,0.5,1e-06,Converged,13.96082011576393,6.19670614e-06,13.960820066113037,13.960820065935104,1.77932336e-10,4.98288255e-08,1,0
resonant,0.5,1e-08,InnerAccuracyLimited,13.960820115727049,1.27336328e-06,13.960820066113037,13.960820065935104,1.77932336e-10,4.97919448e-08,1,0
close-binary,0,0.001,Converged,8.0874897495427032,0.00734731687,8.087490714643284,8.087490714643284,0,9.65100581e-07,1,0
close-binary,0,0.0001,Converged,8.0874907246957317,0.000333045196,8.087490714643284,8.087490714643284,0,1.00524478e-08,1,0
close-binary,0,1e-05,Converged,8.0874907147218593,5.66632305e-05,8.087490714643284,8.087490714643284,0,7.85753684e-11,1,0
close-binary,0,1e-06,Converged,8.0874907146432804,7.1785767e-06,8.087490714643284,8.087490714643284,0,3.55271368e-15,1,0
close-binary,0,1e-08,Converged,8.0874907146432857,2.85694127e-08,8.087490714643284,8.087490714643284,0,1.77635684e-15,1,0
close-binary,0.5,0.001,Converged,8.036982527855697,0.00302961069,8.0369870020848637,8.0369870024363621,3.51498386e-10,4.47458067e-06,1,0
close-binary,0.5,0.0001,Converged,8.0369871411537464,0.000591080306,8.0369870020848637,8.0369870024363621,3.51498386e-10,1.38717384e-07,1,0
close-binary,0.5,1e-05,Converged,8.0369871335663827,4.22618869e-05,8.0369870020848637,8.0369870024363621,3.51498386e-10,1.31130021e-07,1,0
close-binary,0.5,1e-06,Converged,8.0369871358418017,4.11895111e-06,8.0369870020848637,8.0369870024363621,3.51498386e-10,1.3340544e-07,1,0
close-binary,0.5,1e-08,InnerAccuracyLimited,8.0369871358418017,4.11895111e-06,8.0369870020848637,8.0369870024363621,3.51498386e-10,1.3340544e-07,1,0
wide-planet,0,0.001,Converged,1.1591106969281086,9.28696808e-05,1.1591106976264336,1.1591106976264336,0,6.98324953e-10,1,0
wide-planet,0,0.0001,Converged,1.1591106969281086,9.28696808e-05,1.1591106976264336,1.1591106976264336,0,6.98324953e-10,1,0
wide-planet,0,1e-05,Converged,1.1591106969282201,1.03879375e-06,1.1591106976264336,1.1591106976264336,0,6.98213487e-10,1,0
wide-planet,0,1e-06,Converged,1.1591106969282201,1.03879375e-06,1.1591106976264336,1.1591106976264336,0,6.98213487e-10,1,0
wide-planet,0,1e-08,Converged,1.1591106976264323,4.66013967e-09,1.1591106976264336,1.1591106976264336,0,1.33226763e-15,1,0
wide-planet,0.5,0.001,Converged,1.1591074816517013,0.000444246095,1.1591074850435366,1.1591074850435366,0,3.39183526e-09,1,0
wide-planet,0.5,0.0001,Converged,1.1591074817214275,1.41411516e-06,1.1591074850435366,1.1591074850435366,0,3.32210903e-09,1,0
wide-planet,0.5,1e-05,Converged,1.1591074817214275,1.41411516e-06,1.1591074850435366,1.1591074850435366,0,3.32210903e-09,1,0
wide-planet,0.5,1e-06,Converged,1.1591074850435346,3.63004389e-08,1.1591074850435366,1.1591074850435366,0,1.99840144e-15,1,0
wide-planet,0.5,1e-08,Converged,1.1591074850435361,1.03250007e-09,1.1591074850435366,1.1591074850435366,0,4.4408921e-16,1,0
cusp-approach,0,0.001,Converged,1.4998202014623163,9.29837088e-05,1.4998202014520168,1.4998202014520161,6.66133815e-16,1.03002051e-11,1,0
cusp-approach,0,0.0001,Converged,1.4998202014623163,9.29837088e-05,1.4998202014520168,1.4998202014520161,6.66133815e-16,1.03002051e-11,1,0
cusp-approach,0,1e-05,Converged,1.4998202014550908,1.2522923e-05,1.4998202014520168,1.4998202014520161,6.66133815e-16,3.07465164e-12,1,0
cusp-approach,0,1e-06,Converged,1.4998202014520159,3.88624599e-08,1.4998202014520168,1.4998202014520161,6.66133815e-16,2.22044605e-16,1,0
cusp-approach,0,1e-08,Converged,1.4998202014520159,7.67729557e-10,1.4998202014520168,1.4998202014520161,6.66133815e-16,2.22044605e-16,1,0
cusp-approach,0.5,0.001,Converged,1.4997634600093368,0.000262349935,1.4997634600309444,1.4997634600309442,2.22044605e-16,2.16073825e-11,1,0
cusp-approach,0.5,0.0001,Converged,1.4997634600250056,9.48400029e-05,1.4997634600309444,1.4997634600309442,2.22044605e-16,5.93858296e-12,1,0
cusp-approach,0.5,1e-05,Converged,1.4997634600309444,1.34224967e-07,1.4997634600309444,1.4997634600309442,2.22044605e-16,2.22044605e-16,1,0
cusp-approach,0.5,1e-06,Converged,1.4997634600309444,1.34224967e-07,1.4997634600309444,1.4997634600309442,2.22044605e-16,2.22044605e-16,1,0
cusp-approach,0.5,1e-08,Converged,1.4997634600309446,4.16747043e-10,1.4997634600309444,1.4997634600309442,2.22044605e-16,4.4408921e-16,1,0
on-axis-off,0,0.001,Converged,3.8277152338090108,0.00336935126,3.8276855803109262,3.827685435309816,1.4500111e-07,2.97984992e-05,1,0
on-axis-off,0,0.0001,Converged,3.8276891191809144,0.000366195679,3.8276855803109262,3.827685435309816,1.4500111e-07,3.6838711e-06,1,0
on-axis-off,0,1e-05,Converged,3.8276858774396141,3.26757816e-05,3.8276855803109262,3.827685435309816,1.4500111e-07,4.42129798e-07,1,0
on-axis-off,0,1e-06,Converged,3.8276854349170644,2.69646808e-06,3.8276855803109262,3.827685435309816,1.4500111e-07,3.92751609e-10,1,0
on-axis-off,0,1e-08,Converged,3.8276854145706061,3.67262717e-08,3.8276855803109262,3.827685435309816,1.4500111e-07,2.07392099e-08,0,-1
on-axis-off,0.5,0.001,Converged,3.8261030647895988,0.00171987175,3.8260852730744488,3.8260851860737817,8.70006671e-08,1.78787158e-05,1,0
on-axis-off,0.5,0.0001,Converged,3.8260873963930848,0.000295622122,3.8260852730744488,3.8260851860737817,8.70006671e-08,2.2103193e-06,1,0
on-axis-off,0.5,1e-05,Converged,3.8260854513516604,1.96153734e-05,3.8260852730744488,3.8260851860737817,8.70006671e-08,2.65277879e-07,1,0
on-axis-off,0.5,1e-06,Converged,3.8260851858414124,3.45204813e-06,3.8260852730744488,3.8260851860737817,8.70006671e-08,2.32369235e-10,1,0
on-axis-off,0.5,1e-08,Converged,3.826085173630255,3.80189647e-08,3.8260852730744488,3.8260851860737817,8.70006671e-08,1.24435267e-08,0,-1
R=sqrt(m0),0,0.001,Converged,1.3878570237613599,0.000640912429,1.3878570234812846,1.3878570234812857,1.11022302e-15,2.80074186e-10,1,0
R=sqrt(m0),0,0.0001,Converged,1.3878570236857222,4.46594162e-05,1.3878570234812846,1.3878570234812857,1.11022302e-15,2.04436468e-10,1,0
R=sqrt(m0),0,1e-05,Converged,1.3878570234812857,9.57492392e-09,1.3878570234812846,1.3878570234812857,1.11022302e-15,0,1,0
R=sqrt(m0),0,1e-06,Converged,1.3878570234812857,9.57492392e-09,1.3878570234812846,1.3878570234812857,1.11022302e-15,0,1,0
R=sqrt(m0),0,1e-08,Converged,1.3878570234812857,9.57492392e-09,1.3878570234812846,1.3878570234812857,1.11022302e-15,0,1,0
R=sqrt(m0),0.5,0.001,Converged,1.3878402243024919,0.000594657531,1.3878402241524528,1.3878402241524532,4.4408921e-16,1.50038648e-10,1,0
R=sqrt(m0),0.5,0.0001,Converged,1.3878402242587402,0.000116680544,1.3878402241524528,1.3878402241524532,4.4408921e-16,1.06286979e-10,1,0
R=sqrt(m0),0.5,1e-05,Converged,1.3878402241524532,1.06193595e-08,1.3878402241524528,1.3878402241524532,4.4408921e-16,0,1,0
R=sqrt(m0),0.5,1e-06,Converged,1.3878402241524532,1.06193595e-08,1.3878402241524528,1.3878402241524532,4.4408921e-16,0,1,0
R=sqrt(m0),0.5,1e-08,Converged,1.3878402241524532,1.06193595e-08,1.3878402241524528,1.3878402241524532,4.4408921e-16,0,1,0
tiny-rho,0,0.001,Converged,38.304177513728625,0.0333984127,38.304176964249471,38.304176964250345,8.73967565e-13,5.4947828e-07,1,0
