name,u,policy,warm,rtol,repeat,stop,value_stop,gradient_stop,value_converged,mu,value_error,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,nodes,evaluations,event_double_checks,event_dd_checks,event_dd_accepts,qf_family_constructions,event_qf_refinements,event_topology_reuses,event_radius_reuses,event_direct_qf_failures,gq0,gq1,gq2,gq3,gq4,gr0,gr1,gr2,gr3,gr4
plan15,0.0,None,0,1.0e-03,0,Converged,Converged,Converged,1,6.0199516089053375,0.005839888,1.566276,0.428194,0.032013,0.000042,0.004117,0.014017,0.013707,120,120,0,8,8,0,0,8,8,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
plan15,0.0,None,0,1.0e-04,0,Converged,Converged,Converged,1,6.019953359604493,0.00031935832,0.634171,0.353128,0.014462,0.000064,0.001544,0.010809,0.001898,176,176,0,8,8,0,0,8,8,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
plan15,0.0,None,1,1.0e-03,0,Converged,Converged,Converged,1,6.0267722202986089,0.0059217089,0.380014,0.218079,0.011714,0.000028,0.001242,0.008986,0.001360,120,120,0,8,8,0,0,8,8,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
plan15,0.0,None,1,1.0e-04,0,Converged,Converged,Converged,1,6.0267740818191164,0.00032163431,0.435771,0.211878,0.011486,0.000026,0.001180,0.008997,0.001188,176,176,0,8,8,0,0,8,8,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
plan15,0.0,Strict,0,1.0e-03,0,EventLocationLimited,Converged,EventLocationLimited,1,6.0199516089053375,0.005839888,26.897646,0.331850,0.012852,0.000018,0.001470,0.009139,0.002103,3219,3219,0,8,8,0,0,8,8,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
plan15,0.0,Strict,0,1.0e-04,0,EventLocationLimited,Converged,EventLocationLimited,1,6.019953359604493,0.00031935832,10.195355,0.377616,0.015337,0.000049,0.002039,0.010502,0.002593,3219,3219,0,8,8,0,0,8,8,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
plan15,0.0,Strict,1,1.0e-03,0,Converged,Converged,Converged,1,6.0267722202986089,0.0059217089,12.826822,0.246182,0.014602,0.000052,0.001920,0.010137,0.002288,3219,3219,0,8,8,0,0,8,8,0,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet
plan15,0.0,Strict,1,1.0e-04,0,Converged,Converged,Converged,1,6.0267740818191164,0.00032163431,12.707580,0.235046,0.014405,0.000045,0.001558,0.010739,0.001910,3219,3219,0,8,8,0,0,8,8,0,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet,ToleranceMet
plan15,0.0,ValueFirst,0,1.0e-03,0,Converged,Converged,BudgetExceeded,1,6.0199516089053375,0.005839888,0.672594,0.354110,0.016377,0.000054,0.002030,0.009921,0.004221,160,160,0,8,8,0,0,8,8,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
plan15,0.0,ValueFirst,0,1.0e-04,0,Converged,Converged,BudgetExceeded,1,6.019953359604493,0.00031935832,0.707673,0.335759,0.012440,0.000024,0.001491,0.009261,0.001535,232,232,0,8,8,0,0,8,8,0,FiniteUncertified,ToleranceMet,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,ToleranceMet,BudgetExceeded,BudgetExceeded,BudgetExceeded
plan15,0.0,ValueFirst,1,1.0e-03,0,Converged,Converged,BudgetExceeded,1,6.0267722202986089,0.0059217089,0.463792,0.214478,0.011635,0.000027,0.001214,0.008947,0.001345,160,160,0,8,8,0,0,8,8,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
plan15,0.0,ValueFirst,1,1.0e-04,0,Converged,Converged,BudgetExceeded,1,6.0267740818191164,0.00032163431,0.568702,0.215753,0.011865,0.000028,0.001221,0.009086,0.001429,232,232,0,8,8,0,0,8,8,0,FiniteUncertified,ToleranceMet,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,ToleranceMet,BudgetExceeded,BudgetExceeded,BudgetExceeded
plan15,0.5,None,0,1.0e-03,0,Converged,Converged,Converged,1,6.1205006645589837,0.0043222585,0.609238,0.332401,0.013234,0.000019,0.001674,0.009123,0.002320,128,128,0,8,8,0,0,8,8,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
plan15,0.5,None,0,1.0e-04,0,Converged,Converged,Converged,1,6.120501628854238,0.00042465197,0.627909,0.324485,0.011846,0.000019,0.001299,0.008967,0.001465,176,176,0,8,8,0,0,8,8,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
