name,u,jac,warm,repeat,mode,mu,status,stop,evaluations,whole_ms,topology_ms
plan15,0,0,0,0,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,0.942166,0.440993
plan15,0,0,0,0,adaptive_affine,6.019965682498543,0,Converged,368,1.034942,0.361533
plan15,0,0,0,0,adaptive_fold,6.019953359604493,0,Converged,176,0.620214,0.343693
plan15,0,0,0,1,adaptive_fold,6.019953359604493,0,Converged,176,0.567137,0.328463
plan15,0,0,0,1,adaptive_affine,6.019965682498543,0,Converged,368,0.837231,0.329067
plan15,0,0,0,1,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,0.854513,0.344975
plan15,0,0,0,2,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,0.863550,0.356482
plan15,0,0,0,2,adaptive_affine,6.019965682498543,0,Converged,368,0.893971,0.352153
plan15,0,0,0,2,adaptive_fold,6.019953359604493,0,Converged,176,0.651789,0.354902
plan15,0,0,1,0,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,0.817195,0.237928
plan15,0,0,1,0,adaptive_affine,6.0267864989591979,0,Converged,368,0.745321,0.228495
plan15,0,0,1,0,adaptive_fold,6.0267740818191164,0,Converged,176,0.475818,0.202259
plan15,0,0,1,1,adaptive_fold,6.0267740818191164,0,Converged,176,0.444139,0.200175
plan15,0,0,1,1,adaptive_affine,6.0267864989591979,0,Converged,368,0.736987,0.229109
plan15,0,0,1,1,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,0.753254,0.213121
plan15,0,0,1,2,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,0.729459,0.203274
plan15,0,0,1,2,adaptive_affine,6.0267864989591979,0,Converged,368,0.701497,0.199619
plan15,0,0,1,2,adaptive_fold,6.0267740818191164,0,Converged,176,0.546891,0.227251
plan15,0,1,0,0,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,0.830538,0.341621
plan15,0,1,0,0,adaptive_affine,6.019965682498543,0,BudgetExceeded,23580,1208.365111,0.337330
plan15,0,1,0,0,adaptive_fold,6.019953359604493,0,EventLocationLimited,3219,15.592977,0.475909
plan15,0,1,0,1,adaptive_fold,6.019953359604493,0,EventLocationLimited,3219,14.125099,0.484109
plan15,0,1,0,1,adaptive_affine,6.019965682498543,0,BudgetExceeded,23580,420.624496,0.489564
plan15,0,1,0,1,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,1.013742,0.505157
plan15,0,1,0,2,mapped_fixed63,6.019953359650013,0,fixed_resolution,504,0.827464,0.332700
plan15,0,1,0,2,adaptive_affine,6.019965682498543,0,BudgetExceeded,23580,406.895518,0.329920
plan15,0,1,0,2,adaptive_fold,6.019953359604493,0,EventLocationLimited,3219,16.083803,0.504460
plan15,0,1,1,0,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,0.819168,0.223491
plan15,0,1,1,0,adaptive_affine,6.0267864989591979,0,BudgetExceeded,23842,424.683200,0.206047
plan15,0,1,1,0,adaptive_fold,6.0267740818191164,0,Converged,3219,18.575488,0.222048
plan15,0,1,1,1,adaptive_fold,6.0267740818191164,0,Converged,3219,16.785908,0.222631
plan15,0,1,1,1,adaptive_affine,6.0267864989591979,0,BudgetExceeded,23842,393.358114,0.222897
plan15,0,1,1,1,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,0.820790,0.224832
plan15,0,1,1,2,mapped_fixed63,6.026774081862742,0,fixed_resolution,504,0.784600,0.211381
plan15,0,1,1,2,adaptive_affine,6.0267864989591979,0,BudgetExceeded,23842,401.962285,0.212015
plan15,0,1,1,2,adaptive_fold,6.0267740818191164,0,Converged,3219,18.050175,0.222511
plan15,0.5,0,0,0,mapped_fixed63,6.1205016227172315,0,fixed_resolution,504,1.245161,0.430153
plan15,0.5,0,0,0,adaptive_affine,6.1205154790060332,0,Converged,272,0.781727,0.331491
plan15,0.5,0,0,0,adaptive_fold,6.120501628854238,0,Converged,176,0.656669,0.329747
plan15,0.5,0,0,1,adaptive_fold,6.120501628854238,0,Converged,176,0.637056,0.324529
plan15,0.5,0,0,1,adaptive_affine,6.1205154790060332,0,Converged,272,0.748882,0.325785
plan15,0.5,0,0,1,mapped_fixed63,6.1205016227172315,0,fixed_resolution,504,1.098928,0.320156
plan15,0.5,0,0,2,mapped_fixed63,6.1205016227172315,0,fixed_resolution,504,1.092757,0.315490
plan15,0.5,0,0,2,adaptive_affine,6.1205154790060332,0,Converged,272,0.740873,0.313765
plan15,0.5,0,0,2,adaptive_fold,6.120501628854238,0,Converged,176,0.632355,0.313274
plan15,0.5,0,1,0,mapped_fixed63,6.1294554709774953,0,fixed_resolution,504,1.081840,0.214703
plan15,0.5,0,1,0,adaptive_affine,6.1294693764924384,0,Converged,272,0.677667,0.221339
plan15,0.5,0,1,0,adaptive_fold,6.129455477263571,0,Converged,176,0.534983,0.208727
plan15,0.5,0,1,1,adaptive_fold,6.129455477263571,0,Converged,176,0.532825,0.203347
plan15,0.5,0,1,1,adaptive_affine,6.1294693764924384,0,Converged,272,0.626725,0.201278
plan15,0.5,0,1,1,mapped_fixed63,6.1294554709774953,0,fixed_resolution,504,1.061460,0.204242
plan15,0.5,0,1,2,mapped_fixed63,6.1294554709774953,0,fixed_resolution,504,1.061325,0.204630
plan15,0.5,0,1,2,adaptive_affine,6.1294693764924384,0,Converged,272,0.617139,0.201080
plan15,0.5,0,1,2,adaptive_fold,6.129455477263571,0,Converged,176,0.529937,0.203029
plan15,0.5,1,0,0,mapped_fixed63,6.1205016227172315,0,fixed_resolution,504,1.425219,0.319130
plan15,0.5,1,0,0,adaptive_affine,6.1205154790060332,0,BudgetExceeded,23572,401.197875,0.313852
plan15,0.5,1,0,0,adaptive_fold,6.120501628854238,8,TopologyUnresolved,2498,12.353100,0.514541
plan15,0.5,1,0,1,adaptive_fold,6.120501628854238,8,TopologyUnresolved,2498,10.937638,0.430295
plan15,0.5,1,0,1,adaptive_affine,6.1205154790060332,0,BudgetExceeded,23572,395.488949,0.440461
plan15,0.5,1,0,1,mapped_fixed63,6.1205016227172315,0,fixed_resolution,504,1.544001,0.422808
plan15,0.5,1,0,2,mapped_fixed63,6.1205016227172315,0,fixed_resolution,504,1.440951,0.337790
plan15,0.5,1,0,2,adaptive_affine,6.1205154790060332,0,BudgetExceeded,23572,384.449150,0.324076
plan15,0.5,1,0,2,adaptive_fold,6.120501628854238,8,TopologyUnresolved,2498,11.966671,0.425157
plan15,0.5,1,1,0,mapped_fixed63,6.1294554709774953,0,fixed_resolution,504,1.421944,0.221931
plan15,0.5,1,1,0,adaptive_affine,6.1294693764924384,0,BudgetExceeded,23572,375.998892,0.217786
plan15,0.5,1,1,0,adaptive_fold,6.129455477263571,8,TopologyUnresolved,2284,10.814986,0.224051
plan15,0.5,1,1,1,adaptive_fold,6.129455477263571,8,TopologyUnresolved,2284,9.824693,0.225989
plan15,0.5,1,1,1,adaptive_affine,6.1294693764924384,0,BudgetExceeded,23572,375.411382,0.223787
plan15,0.5,1,1,1,mapped_fixed63,6.1294554709774953,0,fixed_resolution,504,1.453817,0.236022
plan15,0.5,1,1,2,mapped_fixed63,6.1294554709774953,0,fixed_resolution,504,1.393666,0.207277
plan15,0.5,1,1,2,adaptive_affine,6.1294693764924384,0,BudgetExceeded,23572,380.831116,0.206685
plan15,0.5,1,1,2,adaptive_fold,6.129455477263571,8,TopologyUnresolved,2284,10.930635,0.231204
resonant,0,0,0,0,mapped_fixed63,13.730115998899564,0,fixed_resolution,567,3.048924,0.610803
resonant,0,0,0,0,adaptive_affine,13.73012362785169,0,Converged,239,0.814160,0.452869
resonant,0,0,0,0,adaptive_fold,13.730116144653453,0,Converged,151,0.722061,0.443316
resonant,0,0,0,1,adaptive_fold,13.730116144653453,0,Converged,151,0.709767,0.436612
resonant,0,0,0,1,adaptive_affine,13.73012362785169,0,Converged,239,0.770732,0.434893
resonant,0,0,0,1,mapped_fixed63,13.730115998899564,0,fixed_resolution,567,2.884925,0.441282
resonant,0,0,0,2,mapped_fixed63,13.730115998899564,0,fixed_resolution,567,2.826405,0.445403
resonant,0,0,0,2,adaptive_affine,13.73012362785169,0,Converged,239,0.773386,0.438621
resonant,0,0,0,2,adaptive_fold,13.730116144653453,0,Converged,151,0.712673,0.431127
resonant,0,0,1,0,mapped_fixed63,13.807807455844564,0,fixed_resolution,567,2.870873,0.409457
resonant,0,0,1,0,adaptive_affine,13.807823245948168,0,Converged,239,0.767656,0.411596
resonant,0,0,1,0,adaptive_fold,13.807807472466953,0,Converged,143,0.667030,0.398708
resonant,0,0,1,1,adaptive_fold,13.807807472466953,0,Converged,143,0.660653,0.395993
resonant,0,0,1,1,adaptive_affine,13.807823245948168,0,Converged,239,0.747286,0.395137
resonant,0,0,1,1,mapped_fixed63,13.807807455844564,0,fixed_resolution,567,2.830434,0.395746
resonant,0,0,1,2,mapped_fixed63,13.807807455844564,0,fixed_resolution,567,2.847035,0.408573
resonant,0,0,1,2,adaptive_affine,13.807823245948168,0,Converged,239,0.758412,0.405294
resonant,0,0,1,2,adaptive_fold,13.807807472466953,0,Converged,143,0.662639,0.395275
resonant,0,1,0,0,mapped_fixed63,13.730115998899564,0,fixed_resolution,567,2.883533,0.439334
resonant,0,1,0,0,adaptive_affine,13.73012362785169,0,BudgetExceeded,20213,269.390897,0.437865
resonant,0,1,0,0,adaptive_fold,13.730116144653453,0,EventLocationLimited,3536,17.553828,0.592601
resonant,0,1,0,1,adaptive_fold,13.730116144653453,0,EventLocationLimited,3536,16.374170,0.576044
resonant,0,1,0,1,adaptive_affine,13.73012362785169,0,BudgetExceeded,20213,269.378212,0.489111
resonant,0,1,0,1,mapped_fixed63,13.730115998899564,0,fixed_resolution,567,3.094599,0.584501
resonant,0,1,0,2,mapped_fixed63,13.730115998899564,0,fixed_resolution,567,2.979590,0.472207
resonant,0,1,0,2,adaptive_affine,13.73012362785169,0,BudgetExceeded,20213,270.690227,0.465052
resonant,0,1,0,2,adaptive_fold,13.730116144653453,0,EventLocationLimited,3536,17.614686,0.563439
resonant,0,1,1,0,mapped_fixed63,13.807807455844564,0,fixed_resolution,567,2.944637,0.423588
resonant,0,1,1,0,adaptive_affine,13.807823245948168,0,BudgetExceeded,20689,341.693040,0.426035
