name,u,parameter,step,n,stop,analytic,estimated_error,finite_difference,difference
plan15,0,0,0.000125,128,EventLocationLimited,5.5616784512121473,2.68422543e-06,5.561679338846659,8.87634512e-07
plan15,0,0,0.000125,256,EventLocationLimited,5.5616784512121473,2.68422543e-06,5.561679338846659,8.87634512e-07
plan15,0,0,3.7499999999999997e-05,128,EventLocationLimited,5.5616784512121473,2.68422543e-06,5.5616785412837553,9.00716079e-08
plan15,0,0,3.7499999999999997e-05,256,EventLocationLimited,5.5616784512121473,2.68422543e-06,5.5616785412837553,9.00716079e-08
plan15,0,0,1.2500000000000001e-05,128,EventLocationLimited,5.5616784512121473,2.68422543e-06,5.5616784711531864,1.9941039e-08
plan15,0,0,1.2500000000000001e-05,256,EventLocationLimited,5.5616784512121473,2.68422543e-06,5.5616784711887135,1.99765662e-08
plan15,0,1,0.000125,128,EventLocationLimited,-17.137986481036858,3.9527835e-06,-17.137992869255214,6.38821836e-06
plan15,0,1,0.000125,256,EventLocationLimited,-17.137986481036858,3.9527835e-06,-17.137992869251661,6.3882148e-06
plan15,0,1,3.7499999999999997e-05,128,EventLocationLimited,-17.137986481036858,3.9527835e-06,-17.137987063217491,5.82180633e-07
plan15,0,1,3.7499999999999997e-05,256,EventLocationLimited,-17.137986481036858,3.9527835e-06,-17.137987063205649,5.82168791e-07
plan15,0,1,1.2500000000000001e-05,128,EventLocationLimited,-17.137986481036858,3.9527835e-06,-17.13798655277543,7.17385724e-08
plan15,0,1,1.2500000000000001e-05,256,EventLocationLimited,-17.137986481036858,3.9527835e-06,-17.137986552810958,7.17740996e-08
plan15,0,2,0.000125,128,EventLocationLimited,-10.351485550566611,5.10055267e-06,-10.351490887035908,5.3364693e-06
plan15,0,2,0.000125,256,EventLocationLimited,-10.351485550566611,5.10055267e-06,-10.351490887035908,5.3364693e-06
plan15,0,2,3.7499999999999997e-05,128,EventLocationLimited,-10.351485550566611,5.10055267e-06,-10.351486043340687,4.92774076e-07
plan15,0,2,3.7499999999999997e-05,256,EventLocationLimited,-10.351485550566611,5.10055267e-06,-10.351486043352528,4.92785917e-07
plan15,0,2,1.2500000000000001e-05,128,EventLocationLimited,-10.351485550566611,5.10055267e-06,-10.351485617583478,6.70168667e-08
plan15,0,2,1.2500000000000001e-05,256,EventLocationLimited,-10.351485550566611,5.10055267e-06,-10.351485617547951,6.69813396e-08
plan15,0,3,0.00050000000000000001,128,EventLocationLimited,-4.9880854987756722,2.29900546e-06,-4.9880838047027254,1.69407295e-06
plan15,0,3,0.00050000000000000001,256,EventLocationLimited,-4.9880854987756722,2.29900546e-06,-4.9880838047027254,1.69407295e-06
plan15,0,3,0.00014999999999999999,128,EventLocationLimited,-4.9880854987756722,2.29900546e-06,-4.9880853334283159,1.65347356e-07
plan15,0,3,0.00014999999999999999,256,EventLocationLimited,-4.9880854987756722,2.29900546e-06,-4.9880853334283159,1.65347356e-07
plan15,0,3,5.0000000000000002e-05,128,EventLocationLimited,-4.9880854987756722,2.29900546e-06,-4.9880854678008291,3.09748431e-08
plan15,0,3,5.0000000000000002e-05,256,EventLocationLimited,-4.9880854987756722,2.29900546e-06,-4.9880854678008291,3.09748431e-08
plan15,0,4,0.0011999999999999999,128,EventLocationLimited,1.2384878526861918,1.6402942e-06,1.2384948581985653,7.00551237e-06
plan15,0,4,0.0011999999999999999,256,EventLocationLimited,1.2384878526861918,1.6402942e-06,1.2384948581981952,7.005512e-06
plan15,0,4,0.00035999999999999997,128,EventLocationLimited,1.2384878526861918,1.6402942e-06,1.2384885219250841,6.69238892e-07
plan15,0,4,0.00035999999999999997,256,EventLocationLimited,1.2384878526861918,1.6402942e-06,1.2384885219250841,6.69238892e-07
plan15,0,4,0.00012,128,EventLocationLimited,1.2384878526861918,1.6402942e-06,1.2384879649052216,1.1221903e-07
plan15,0,4,0.00012,256,EventLocationLimited,1.2384878526861918,1.6402942e-06,1.2384879649052216,1.1221903e-07
plan15,0.5,0,0.000125,128,TopologyUnresolved,7.3097580435827387,1.75441614e-06,7.3097575748555244,4.68727214e-07
plan15,0.5,0,0.000125,256,TopologyUnresolved,7.3097580435827387,1.75441614e-06,7.3097575748519716,4.68730767e-07
plan15,0.5,0,3.7499999999999997e-05,128,TopologyUnresolved,7.3097580435827387,1.75441614e-06,7.3097580014547257,4.21280131e-08
plan15,0.5,0,3.7499999999999997e-05,256,TopologyUnresolved,7.3097580435827387,1.75441614e-06,7.3097580014547257,4.21280131e-08
plan15,0.5,0,1.2500000000000001e-05,128,TopologyUnresolved,7.3097580435827387,1.75441614e-06,7.3097580389358541,4.64688465e-09
plan15,0.5,0,1.2500000000000001e-05,256,TopologyUnresolved,7.3097580435827387,1.75441614e-06,7.3097580389358541,4.64688465e-09
plan15,0.5,1,0.000125,128,TopologyUnresolved,-17.352260795228528,2.82552307e-06,-17.352266256327908,5.46109938e-06
plan15,0.5,1,0.000125,256,TopologyUnresolved,-17.352260795228528,2.82552307e-06,-17.352266256324356,5.46109583e-06
plan15,0.5,1,3.7499999999999997e-05,128,TopologyUnresolved,-17.352260795228528,2.82552307e-06,-17.352261286767146,4.91538618e-07
plan15,0.5,1,3.7499999999999997e-05,256,TopologyUnresolved,-17.352260795228528,2.82552307e-06,-17.352261286755304,4.91526777e-07
plan15,0.5,1,1.2500000000000001e-05,128,TopologyUnresolved,-17.352260795228528,2.82552307e-06,-17.352260849889944,5.46614167e-08
plan15,0.5,1,1.2500000000000001e-05,256,TopologyUnresolved,-17.352260795228528,2.82552307e-06,-17.352260849889944,5.46614167e-08
plan15,0.5,2,0.000125,128,TopologyUnresolved,-11.441453834792847,3.21801907e-06,-11.441460681034243,6.8462414e-06
plan15,0.5,2,0.000125,256,TopologyUnresolved,-11.441453834792847,3.21801907e-06,-11.441460681034243,6.8462414e-06
plan15,0.5,2,3.7499999999999997e-05,128,TopologyUnresolved,-11.441453834792847,3.21801907e-06,-11.441454451031065,6.16238218e-07
plan15,0.5,2,3.7499999999999997e-05,256,TopologyUnresolved,-11.441453834792847,3.21801907e-06,-11.441454451031065,6.16238218e-07
plan15,0.5,2,1.2500000000000001e-05,128,TopologyUnresolved,-11.441453834792847,3.21801907e-06,-11.44145390338025,6.85874024e-08
plan15,0.5,2,1.2500000000000001e-05,256,TopologyUnresolved,-11.441453834792847,3.21801907e-06,-11.44145390338025,6.85874024e-08
plan15,0.5,3,0.00050000000000000001,128,TopologyUnresolved,-5.4831820637742785,1.52123654e-06,-5.4831788781424251,3.18563185e-06
plan15,0.5,3,0.00050000000000000001,256,TopologyUnresolved,-5.4831820637742785,1.52123654e-06,-5.4831788781433133,3.18563097e-06
plan15,0.5,3,0.00014999999999999999,128,TopologyUnresolved,-5.4831820637742785,1.52123654e-06,-5.4831817769921782,2.867821e-07
plan15,0.5,3,0.00014999999999999999,256,TopologyUnresolved,-5.4831820637742785,1.52123654e-06,-5.4831817769951394,2.86779139e-07
plan15,0.5,3,5.0000000000000002e-05,128,TopologyUnresolved,-5.4831820637742785,1.52123654e-06,-5.4831820318135271,3.19607514e-08
plan15,0.5,3,5.0000000000000002e-05,256,TopologyUnresolved,-5.4831820637742785,1.52123654e-06,-5.4831820318135271,3.19607514e-08
plan15,0.5,4,0.0011999999999999999,128,TopologyUnresolved,1.3006760641511053,6.9424676e-07,1.3006818748310482,5.81067994e-06
plan15,0.5,4,0.0011999999999999999,256,TopologyUnresolved,1.3006760641511053,6.9424676e-07,1.3006818748310482,5.81067994e-06
plan15,0.5,4,0.00035999999999999997,128,TopologyUnresolved,1.3006760641511053,6.9424676e-07,1.3006765873235795,5.23172474e-07
plan15,0.5,4,0.00035999999999999997,256,TopologyUnresolved,1.3006760641511053,6.9424676e-07,1.3006765873223458,5.23171241e-07
plan15,0.5,4,0.00012,128,TopologyUnresolved,1.3006760641511053,6.9424676e-07,1.3006761224991041,5.83479989e-08
plan15,0.5,4,0.00012,256,TopologyUnresolved,1.3006760641511053,6.9424676e-07,1.3006761224991041,5.83479989e-08
paper_highA,0,0,8.1133264861482079e-08,128,EventLocationLimited,-133429878.17681362,464.32682,-133429900.88207006,22.7052564
paper_highA,0,0,8.1133264861482079e-08,256,EventLocationLimited,-133429878.17681362,464.32682,-133429900.94622426,22.7694106
paper_highA,0,0,2.4339979458444623e-08,128,EventLocationLimited,-133429878.17681362,464.32682,nan,nan
paper_highA,0,0,2.4339979458444623e-08,256,EventLocationLimited,-133429878.17681362,464.32682,-133429879.91504206,1.73822844
