name,u,policy,warm,rtol,repeat,stop,value_stop,gradient_stop,value_converged,mu,value_error,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,nodes,evaluations,event_double_checks,event_dd_checks,event_dd_accepts,qf_family_constructions,event_qf_refinements,gq0,gq1,gq2,gq3,gq4,gr0,gr1,gr2,gr3,gr4
plan15,0.0,None,0,1.0e-03,0,Converged,Converged,Converged,1,6.0199516089053375,0.005839888,1.944761,0.369891,1.573801,0.000185,0.004683,0.451731,0.017614,120,120,8,0,0,1,8,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
plan15,0.0,None,0,1.0e-04,0,Converged,Converged,Converged,1,6.0199533596044921,0.00031935832,1.040949,0.304507,0.734805,0.000041,0.001507,0.449153,0.001897,176,176,8,0,0,1,8,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
plan15,0.0,None,1,1.0e-03,0,Converged,Converged,Converged,1,6.0267722202986089,0.0059217089,0.760487,0.180639,0.578198,0.000017,0.001458,0.415249,0.001878,120,120,8,0,0,1,8,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
plan15,0.0,None,1,1.0e-04,0,Converged,Converged,Converged,1,6.0267740818191173,0.00032163431,0.819907,0.174801,0.643373,0.000018,0.001343,0.416962,0.001536,176,176,8,0,0,1,8,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
plan15,0.0,Strict,0,1.0e-03,0,EventLocationLimited,Converged,EventLocationLimited,1,6.0199516089053375,0.005839888,25.208640,0.290594,24.916827,0.000026,0.001739,0.443613,0.002577,3219,3219,8,0,0,1,8,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
plan15,0.0,Strict,0,1.0e-04,0,EventLocationLimited,Converged,EventLocationLimited,1,6.0199533596044921,0.00031935832,10.254372,0.341712,9.889047,0.000171,0.002692,0.456457,0.004846,3219,3219,8,0,0,1,8,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
plan15,0.0,Strict,1,1.0e-03,0,EventLocationLimited,Converged,EventLocationLimited,1,6.0267722202986089,0.0059217089,12.129340,0.243631,11.687060,0.000218,0.003191,0.461591,0.005101,3092,3092,8,0,0,1,8,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
plan15,0.0,Strict,1,1.0e-04,0,EventLocationLimited,Converged,EventLocationLimited,1,6.0267740818191173,0.00032163431,11.912352,0.202373,11.688735,0.000037,0.002035,0.427230,0.002186,3092,3092,8,0,0,1,8,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
plan15,0.0,ValueFirst,0,1.0e-03,0,Converged,Converged,BudgetExceeded,1,6.0199516089053375,0.005839888,1.101014,0.349236,0.750552,0.000044,0.003217,0.443105,0.004608,160,160,8,0,0,1,8,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
plan15,0.0,ValueFirst,0,1.0e-04,0,Converged,Converged,BudgetExceeded,1,6.0199533596044921,0.00031935832,1.088112,0.292773,0.793534,0.000020,0.001384,0.417097,0.001738,232,232,8,0,0,1,8,FiniteUncertified,ToleranceMet,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,ToleranceMet,BudgetExceeded,BudgetExceeded,BudgetExceeded
plan15,0.0,ValueFirst,1,1.0e-03,0,Converged,Converged,BudgetExceeded,1,6.0267722202986089,0.0059217089,0.863352,0.180357,0.680840,0.000018,0.001379,0.424650,0.001858,160,160,8,0,0,1,8,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
plan15,0.0,ValueFirst,1,1.0e-04,0,Converged,Converged,BudgetExceeded,1,6.0267740818191173,0.00032163431,0.977835,0.178349,0.797342,0.000025,0.001373,0.437118,0.001636,232,232,8,0,0,1,8,FiniteUncertified,ToleranceMet,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,ToleranceMet,BudgetExceeded,BudgetExceeded,BudgetExceeded
plan15,0.5,None,0,1.0e-03,0,Converged,Converged,Converged,1,6.1205006645589828,0.0043222585,1.013273,0.298907,0.713834,0.000025,0.001655,0.424737,0.002814,128,128,8,0,0,1,8,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
plan15,0.5,None,0,1.0e-04,0,Converged,Converged,Converged,1,6.1205016288542371,0.00042465197,1.017159,0.295047,0.720551,0.000026,0.001337,0.411804,0.001612,176,176,8,0,0,1,8,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
plan15,0.5,None,1,1.0e-03,0,Converged,Converged,Converged,1,6.1294544594355331,0.0043589451,0.853440,0.171896,0.679983,0.000018,0.001359,0.429537,0.001687,128,128,8,0,0,1,8,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
plan15,0.5,None,1,1.0e-04,0,Converged,Converged,Converged,1,6.1294554772635701,0.00044604833,0.902790,0.173992,0.727004,0.000025,0.001311,0.415029,0.001582,176,176,8,0,0,1,8,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
plan15,0.5,Strict,0,1.0e-03,0,TopologyUnresolved,Converged,TopologyUnresolved,1,6.1205006645589828,0.0043222585,11.859120,0.287919,11.570124,0.000027,0.001549,0.417543,0.002519,2490,2490,8,0,0,1,8,Invalid,Invalid,Invalid,Invalid,Invalid,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved
plan15,0.5,Strict,0,1.0e-04,0,TopologyUnresolved,Converged,TopologyUnresolved,1,6.1205016288542371,0.00042465197,8.920156,0.319388,8.578225,0.000108,0.002331,0.448292,0.003238,2490,2490,8,0,0,1,8,Invalid,Invalid,Invalid,Invalid,Invalid,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved,TopologyUnresolved
