name,u,rtol,stop,component,Q,budget,error,radial,inner,geometry,event,roundoff,nodes
plan15,0,0.001,EventLocationLimited,0,6.0199516089053375,0.00601995161,0.005839888,0.005839888,0,4.52593698e-14,1.13945375e-14,2.67339555e-15,3219
plan15,0,0.001,EventLocationLimited,1,5.5616784577950291,0.00556167846,2.79616992e-06,9.26968903e-07,0,1.69417942e-08,1.85225921e-06,1.16546878e-14,3219
plan15,0,0.001,EventLocationLimited,2,-17.137986485627586,0.0171379865,4.11433848e-06,2.07097902e-06,0,1.20955098e-08,2.03126394e-06,1.96469226e-14,3219
plan15,0,0.001,EventLocationLimited,3,-10.351485558545091,0.0103514856,5.30119783e-06,2.4369375e-06,0,2.08259684e-08,2.84343429e-06,7.37621502e-14,3219
plan15,0,0.001,EventLocationLimited,4,-4.9880854905097802,0.00498808549,2.3450278e-06,9.91835278e-07,0,2.13424175e-08,1.3318501e-06,1.01156524e-14,3219
plan15,0,0.001,EventLocationLimited,5,1.2384878775626098,0.00123848788,1.46858529e-06,4.15765165e-07,0,6.40192274e-08,9.88800889e-07,5.31151695e-15,3219
plan15,0,0.0001,EventLocationLimited,0,6.0199533596044921,0.000601995336,0.000319358321,0.00031935832,0,4.51548737e-14,1.13112392e-14,2.67339633e-15,3219
plan15,0,0.0001,EventLocationLimited,1,5.5616784577950291,0.000556167846,2.79616992e-06,9.26968903e-07,0,1.69417942e-08,1.85225921e-06,1.16546878e-14,3219
plan15,0,0.0001,EventLocationLimited,2,-17.137986485627586,0.00171379865,4.11433848e-06,2.07097902e-06,0,1.20955098e-08,2.03126394e-06,1.96469226e-14,3219
plan15,0,0.0001,EventLocationLimited,3,-10.351485558545091,0.00103514856,5.30119783e-06,2.4369375e-06,0,2.08259684e-08,2.84343429e-06,7.37621502e-14,3219
plan15,0,0.0001,EventLocationLimited,4,-4.9880854905097802,0.000498808549,2.3450278e-06,9.91835278e-07,0,2.13424175e-08,1.3318501e-06,1.01156524e-14,3219
plan15,0,0.0001,EventLocationLimited,5,1.2384878775626098,0.000123848788,1.46858529e-06,4.15765165e-07,0,6.40192274e-08,9.88800889e-07,5.31151695e-15,3219
plan15,0,1e-05,EventLocationLimited,0,6.0199533595851955,6.01995336e-05,5.84004617e-05,5.84004616e-05,0,4.53343236e-14,1.11791614e-14,2.67339633e-15,3219
plan15,0,1e-05,EventLocationLimited,1,5.5616784577950291,5.56167846e-05,2.79616992e-06,9.26968903e-07,0,1.69417942e-08,1.85225921e-06,1.16546878e-14,3219
plan15,0,1e-05,EventLocationLimited,2,-17.137986485627586,0.000171379865,4.11433848e-06,2.07097902e-06,0,1.20955098e-08,2.03126394e-06,1.96469226e-14,3219
plan15,0,1e-05,EventLocationLimited,3,-10.351485558545091,0.000103514856,5.30119783e-06,2.4369375e-06,0,2.08259684e-08,2.84343429e-06,7.37621502e-14,3219
plan15,0,1e-05,EventLocationLimited,4,-4.9880854905097802,4.98808549e-05,2.3450278e-06,9.91835278e-07,0,2.13424175e-08,1.3318501e-06,1.01156524e-14,3219
plan15,0,1e-05,EventLocationLimited,5,1.2384878775626098,1.23848788e-05,1.46858529e-06,4.15765165e-07,0,6.40192274e-08,9.88800889e-07,5.31151695e-15,3219
plan15,0,1e-06,EventLocationLimited,0,6.0199533596497696,6.01995336e-06,2.63063291e-06,2.63063285e-06,0,4.54857389e-14,1.1179139e-14,2.67339633e-15,3219
plan15,0,1e-06,EventLocationLimited,1,5.5616784577950291,5.56167846e-06,2.79616992e-06,9.26968903e-07,0,1.69417942e-08,1.85225921e-06,1.16546878e-14,3219
plan15,0,1e-06,EventLocationLimited,2,-17.137986485627586,1.71379865e-05,4.11433848e-06,2.07097902e-06,0,1.20955098e-08,2.03126394e-06,1.96469226e-14,3219
plan15,0,1e-06,EventLocationLimited,3,-10.351485558545091,1.03514856e-05,5.30119783e-06,2.4369375e-06,0,2.08259684e-08,2.84343429e-06,7.37621502e-14,3219
plan15,0,1e-06,EventLocationLimited,4,-4.9880854905097802,4.98808549e-06,2.3450278e-06,9.91835278e-07,0,2.13424175e-08,1.3318501e-06,1.01156524e-14,3219
plan15,0,1e-06,EventLocationLimited,5,1.2384878775626098,1.23848788e-06,1.46858529e-06,4.15765165e-07,0,6.40192274e-08,9.88800889e-07,5.31151695e-15,3219
plan15,0,1e-08,EventLocationLimited,0,6.019953359650013,6.01995336e-08,2.39523021e-08,2.39522427e-08,0,4.5600254e-14,1.11306438e-14,2.67339633e-15,344
plan15,0,1e-08,EventLocationLimited,1,5.56167846245381,1e-06,2.15598667e-06,3.04198966e-07,0,1.18701629e-10,1.85166899e-06,1.1654534e-14,344
plan15,0,1e-08,EventLocationLimited,2,-17.137986488941657,1e-06,2.72643152e-06,6.95458558e-07,0,1.28632387e-10,2.03084431e-06,1.96469779e-14,344
plan15,0,1e-08,EventLocationLimited,3,-10.351485564261569,1e-06,3.530108e-06,6.8723014e-07,0,1.80744364e-10,2.84269704e-06,7.3761419e-14,344
plan15,0,1e-08,EventLocationLimited,4,-4.9880854846179776,1e-06,1.77757699e-06,4.464053e-07,0,6.72897021e-11,1.33110439e-06,1.01158747e-14,344
plan15,0,1e-08,EventLocationLimited,5,1.2384878952837679,1e-06,1.13507048e-06,1.48482469e-07,0,2.919163e-11,9.86558819e-07,5.31297207e-15,344
plan15,0.5,0.001,TopologyUnresolved,0,6.1205006645589828,0.00612050066,0.00432225846,0.00432225735,1.1114462e-09,5.4316047e-14,1.01239625e-14,2.7180483e-15,2490
plan15,0.5,0.001,TopologyUnresolved,1,7.3097580431641047,0.00730975804,1.91485177e-06,7.44143101e-07,5.60234894e-08,1.08519778e-09,1.11359997e-06,1.21631531e-14,2490
plan15,0.5,0.001,TopologyUnresolved,2,-17.35226079485891,0.0173522608,2.99278606e-06,1.5405998e-06,2.26105383e-07,7.96480775e-10,1.22528438e-06,2.06803524e-14,2490
plan15,0.5,0.001,TopologyUnresolved,3,-11.441453834205255,0.0114414538,3.51129427e-06,1.50796756e-06,2.89325499e-07,1.35230366e-09,1.71264882e-06,7.43451516e-14,2490
plan15,0.5,0.001,TopologyUnresolved,4,-5.48318206434997,0.00548318206,1.66374496e-06,7.81286929e-07,8.04893786e-08,1.32322407e-09,8.00645413e-07,1.07879257e-14,2490
plan15,0.5,0.001,TopologyUnresolved,5,1.3006760624297005,0.00130067606,9.31264327e-07,2.99613752e-07,3.42435365e-08,3.85899583e-09,5.93548037e-07,5.63373458e-15,2490
plan15,0.5,0.0001,TopologyUnresolved,0,6.1205016288542371,0.000612050163,0.000424651965,0.000424650945,1.01997099e-09,5.43828238e-14,1.00551764e-14,2.71804873e-15,2490
plan15,0.5,0.0001,TopologyUnresolved,1,7.3097580431641047,0.000730975804,1.91485177e-06,7.44143101e-07,5.60234894e-08,1.08519778e-09,1.11359997e-06,1.21631531e-14,2490
plan15,0.5,0.0001,TopologyUnresolved,2,-17.35226079485891,0.00173522608,2.99278606e-06,1.5405998e-06,2.26105383e-07,7.96480775e-10,1.22528438e-06,2.06803524e-14,2490
plan15,0.5,0.0001,TopologyUnresolved,3,-11.441453834205255,0.00114414538,3.51129427e-06,1.50796756e-06,2.89325499e-07,1.35230366e-09,1.71264882e-06,7.43451516e-14,2490
plan15,0.5,0.0001,TopologyUnresolved,4,-5.48318206434997,0.000548318206,1.66374496e-06,7.81286929e-07,8.04893786e-08,1.32322407e-09,8.00645413e-07,1.07879257e-14,2490
plan15,0.5,0.0001,TopologyUnresolved,5,1.3006760624297005,0.000130067606,9.31264327e-07,2.99613752e-07,3.42435365e-08,3.85899583e-09,5.93548037e-07,5.63373458e-15,2490
plan15,0.5,1e-05,TopologyUnresolved,0,6.1205016227633111,6.12050162e-05,2.15178433e-05,2.15167678e-05,1.07543819e-09,5.43939637e-14,9.99223495e-15,2.71804873e-15,2490
plan15,0.5,1e-05,TopologyUnresolved,1,7.3097580431641047,7.30975804e-05,1.91485177e-06,7.44143101e-07,5.60234894e-08,1.08519778e-09,1.11359997e-06,1.21631531e-14,2490
plan15,0.5,1e-05,TopologyUnresolved,2,-17.35226079485891,0.000173522608,2.99278606e-06,1.5405998e-06,2.26105383e-07,7.96480775e-10,1.22528438e-06,2.06803524e-14,2490
plan15,0.5,1e-05,TopologyUnresolved,3,-11.441453834205255,0.000114414538,3.51129427e-06,1.50796756e-06,2.89325499e-07,1.35230366e-09,1.71264882e-06,7.43451516e-14,2490
plan15,0.5,1e-05,TopologyUnresolved,4,-5.48318206434997,5.48318206e-05,1.66374496e-06,7.81286929e-07,8.04893786e-08,1.32322407e-09,8.00645413e-07,1.07879257e-14,2490
plan15,0.5,1e-05,TopologyUnresolved,5,1.3006760624297005,1.30067606e-05,9.31264327e-07,2.99613752e-07,3.42435365e-08,3.85899583e-09,5.93548037e-07,5.63373458e-15,2490
plan15,0.5,1e-06,TopologyUnresolved,0,6.1205016227777005,6.12050162e-06,5.80467026e-06,5.80350525e-06,1.16494938e-09,5.4446586e-14,9.99220987e-15,2.71804873e-15,2490
plan15,0.5,1e-06,TopologyUnresolved,1,7.3097580431641047,7.30975804e-06,1.91485177e-06,7.44143101e-07,5.60234894e-08,1.08519778e-09,1.11359997e-06,1.21631531e-14,2490
plan15,0.5,1e-06,TopologyUnresolved,2,-17.35226079485891,1.73522608e-05,2.99278606e-06,1.5405998e-06,2.26105383e-07,7.96480775e-10,1.22528438e-06,2.06803524e-14,2490
plan15,0.5,1e-06,TopologyUnresolved,3,-11.441453834205255,1.14414538e-05,3.51129427e-06,1.50796756e-06,2.89325499e-07,1.35230366e-09,1.71264882e-06,7.43451516e-14,2490
plan15,0.5,1e-06,TopologyUnresolved,4,-5.48318206434997,5.48318206e-06,1.66374496e-06,7.81286929e-07,8.04893786e-08,1.32322407e-09,8.00645413e-07,1.07879257e-14,2490
plan15,0.5,1e-06,TopologyUnresolved,5,1.3006760624297005,1.30067606e-06,9.31264327e-07,2.99613752e-07,3.42435365e-08,3.85899583e-09,5.93548037e-07,5.63373458e-15,2490
plan15,0.5,1e-08,EventLocationLimited,0,6.1205016227172306,6.12050162e-08,3.60303661e-08,3.46908164e-08,1.33948227e-09,5.47203047e-14,9.96285591e-15,2.71804873e-15,344
plan15,0.5,1e-08,EventLocationLimited,1,7.3097580436820575,1e-06,1.66354383e-06,4.91823825e-07,5.63640039e-08,7.12209773e-11,1.11528477e-06,1.2163869e-14,344
plan15,0.5,1e-08,EventLocationLimited,2,-17.352260795228705,1e-06,2.49027231e-06,1.03700395e-06,2.27133886e-07,7.71794321e-11,1.22605727e-06,2.0679838e-14,344
plan15,0.5,1e-08,EventLocationLimited,3,-11.441453834844042,1e-06,3.01947529e-06,1.01373772e-06,2.91117235e-07,1.08884471e-10,1.71451138e-06,7.43448642e-14,344
plan15,0.5,1e-08,EventLocationLimited,4,-5.4831820636922162,1e-06,1.51019093e-06,6.26420934e-07,8.08843073e-08,4.03738213e-11,8.02845299e-07,1.07889234e-14,344
plan15,0.5,1e-08,EventLocationLimited,5,1.3006760644020501,1e-06,1.03321798e-06,4.01833396e-07,3.42534e-08,1.7514978e-11,5.97113659e-07,5.63356632e-15,344
