name,u,jac,warm,rtol,cache,repeat,stop,mu,error,nodes,evaluations,reused,splits,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,event_double_checks,event_dd_checks,event_dd_accepts,event_qf_refinements,qf_family_constructions,first_value_pass_nodes,first_gradient_error_pass_nodes,first_gradient_contract_nodes,gradient_error_pass_mask,gradient_contract_mask,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,fixed64_status,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
plan15,0.0,0,0,1.0e-03,1,0,Converged,6.0199516089053375,0.005839888,120,120,57,0,0.967630,0.294968,0.670162,0.000065,0.003677,0.452072,0.006002,8,0,0,8,1,120,56,56,0,0,1943936557,0.016654,0.002216,0.611899,6.020410,0,0,4.5229249e-14,1.1394538e-14,2.6733956e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-03,0,0,Converged,6.0199516089053375,0.005839888,120,177,0,0,0.964474,0.292468,0.670009,0.000018,0.001661,0.424557,0.002371,8,0,0,8,1,177,56,56,0,0,2279837364,0.006751,0.001587,0.610148,6.020410,0,0,4.5199011e-14,1.1394538e-14,2.6733956e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-04,1,0,Converged,6.0199533596044921,0.00031935832,176,176,109,0,0.942031,0.292608,0.647623,0.000018,0.001248,0.421435,0.001738,8,0,0,8,1,176,56,56,0,0,2074228684,0.010482,0.002305,0.628656,6.020410,0,0,4.5120924e-14,1.1311239e-14,2.6733963e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-04,0,0,Converged,6.0199533596044921,0.00031935832,176,285,0,0,1.141747,0.296746,0.843225,0.000019,0.001370,0.440126,0.001819,8,0,0,8,1,285,56,56,0,0,3559668895,0.011655,0.002943,0.617549,6.020410,0,0,4.5139032e-14,1.1311239e-14,2.6733963e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-05,1,0,Converged,6.0199533595851955,5.8400462e-05,208,208,139,0,1.007095,0.286565,0.718207,0.000020,0.001225,0.421127,0.001626,8,0,0,8,1,208,56,56,0,0,2585501591,0.013327,0.002612,0.606430,6.020410,0,0,4.5300374e-14,1.1179161e-14,2.6733963e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-05,0,0,Converged,6.0199533595851955,5.8400462e-05,208,347,0,0,1.145513,0.290384,0.853141,0.000016,0.001361,0.434315,0.001731,8,0,0,8,1,347,56,56,0,0,4048676694,0.012102,0.002660,0.616957,6.020410,0,0,4.5318481e-14,1.1179161e-14,2.6733963e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-06,1,0,Converged,6.0199533596497696,2.6306329e-06,264,264,192,0,1.049313,0.283730,0.762937,0.000016,0.001312,0.447829,0.001683,8,0,0,8,1,264,56,56,0,0,3573412786,0.016201,0.002968,0.620424,6.020410,0,0,4.5468618e-14,1.1179139e-14,2.6733963e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-06,0,0,Converged,6.0199533596497696,2.6306329e-06,264,456,0,0,1.267700,0.283589,0.981896,0.000019,0.001309,0.422505,0.001693,8,0,0,8,1,456,56,56,0,0,755914240,0.015650,0.002879,0.616709,6.020410,0,0,4.5492697e-14,1.1179139e-14,2.6733963e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-08,1,0,Converged,6.019953359650013,2.3952302e-08,328,328,254,0,1.130082,0.285896,0.840779,0.000018,0.001267,0.438584,0.001683,8,0,0,8,1,328,56,56,0,0,1946410462,0.022649,0.003335,0.612519,6.020410,0,0,4.559778e-14,1.1130644e-14,2.6733963e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
plan15,0.0,0,0,1.0e-08,0,0,Converged,6.019953359650013,2.3952302e-08,328,582,0,0,1.444830,0.294156,1.147971,0.000021,0.001319,0.427530,0.001729,8,0,0,8,1,582,56,56,0,0,1026394104,0.022263,0.003326,0.611129,6.020410,0,0,4.5565265e-14,1.1130644e-14,2.6733963e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
