case_id profile d_bin epoch target lane whole_ms topology_ms seed_ms band_ms mu reference relerr converged stop status support seeds bands probes nodes panels splits
0 linear 0 0 0.001 d14 55.539296999999998 54.293449000000003 0 0 7.0382229029880632 7.037894869661673 4.66095803454318e-05 1 Converged OK 0 0 0 0 115 5 0
0 linear 0 0 0.001 alg-cold 2.5698279999999998 1.8933610000000001 1.661948 0.230514 7.038186762532237 7.037894869661673 4.1474457344089598e-05 1 Converged OK 1 80 6 42 186 6 0
0 linear 0 0 0.001 alg-warm 2.051482 1.4669810000000001 1.2450460000000001 0.22149199999999999 7.0381867622516339 7.037894869661673 4.1474417473773043e-05 1 Converged OK 1 80 6 42 186 6 0
0 linear 0 7 0.001 d14 54.657401999999998 54.202646000000001 0 0 7.1654600978877001 7.1651902970737442 3.7654382196391318e-05 1 Converged OK 0 0 0 0 115 5 0
0 linear 0 7 0.001 alg-cold 2.63131 1.893907 1.606708 0.285771 7.1652143301984506 7.1651902970737442 3.3541502332674026e-06 1 Converged OK 1 80 6 53 194 6 0
0 linear 0 7 0.001 alg-warm 1.005331 0.390741 0.10964400000000001 0.28062500000000001 7.1652143303850258 7.1651902970737442 3.3541762723803918e-06 1 Converged OK 1 80 6 53 194 6 0
0 linear 0 15 0.001 d14 54.393650999999998 53.901411000000003 0 0 7.2543844908259745 7.2540663721087535 4.3853847056613878e-05 1 Converged OK 0 0 0 0 115 5 0
0 linear 0 15 0.001 alg-cold 3.0499990000000001 1.783202 1.462202 0.31998900000000002 7.2543435643906404 7.2540663721087535 3.8211985894245444e-05 1 Converged OK 1 80 6 64 314 6 0
0 linear 0 15 0.001 alg-warm 1.4475309999999999 0.37845400000000001 0.10792300000000001 0.270148 7.2543435662881279 7.2540663721087535 3.8212247469947007e-05 1 Converged OK 1 80 6 53 314 6 0
0 linear 0 23 0.001 d14 54.162025 53.660499999999999 0 0 7.2796619642099634 7.2792531935334868 5.6155578822252051e-05 1 Converged OK 0 0 0 0 115 5 0
0 linear 0 23 0.001 alg-cold 3.2653759999999998 1.958307 1.58203 0.37485000000000002 7.2794099293382111 7.2792531935334868 2.1531852314677302e-05 1 Converged OK 1 233 6 42 322 6 0
0 linear 0 23 0.001 alg-warm 1.6476949999999999 0.54961700000000002 0.180418 0.36861899999999997 7.2794099294094625 7.2792531935334868 2.1531862102968394e-05 1 Converged OK 1 233 6 42 322 6 0
0 linear 0 0 0.0001 d14 54.934804999999997 53.936354000000001 0 0 7.0379294913041113 7.037894869661673 4.9193179323444535e-06 1 Converged OK 0 0 0 0 251 5 0
0 linear 0 0 0.0001 alg-cold 2.8755600000000001 1.560451 1.3123130000000001 0.246304 7.037924981834121 7.037894869661673 4.2785766206563035e-06 1 Converged OK 1 80 6 42 370 6 0
0 linear 0 0 0.0001 alg-warm 2.7701539999999998 1.5203850000000001 1.288821 0.23102 7.0379249809358964 7.037894869661673 4.2784489937703609e-06 1 Converged OK 1 80 6 42 370 6 0
0 linear 0 7 0.0001 d14 54.575994999999999 53.563166000000002 0 0 7.1651657657134029 7.1651902970737442 3.4236858093392486e-06 1 Converged OK 0 0 0 0 251 5 0
0 linear 0 7 0.0001 alg-cold 3.1981700000000002 1.8188219999999999 1.530894 0.28668300000000002 7.165161169505442 7.1651902970737442 4.0651492974438409e-06 1 Converged OK 1 80 6 53 370 6 0
0 linear 0 7 0.0001 alg-warm 1.5647200000000001 0.39611400000000002 0.11276799999999999 0.28290599999999999 7.1651611695987345 7.1651902970737442 4.0651362772055804e-06 1 Converged OK 1 80 6 53 370 6 0
0 linear 0 15 0.0001 d14 54.970041000000002 53.987442000000001 0 0 7.2540895350058783 7.2540663721087535 3.1930914243966204e-06 1 Converged OK 0 0 0 0 251 5 0
0 linear 0 15 0.0001 alg-cold 4.6093729999999997 1.76685 1.4434940000000001 0.322266 7.2540860312299973 7.2540663721087535 2.7100829018308371e-06 1 Converged OK 1 80 6 64 688 7 1
0 linear 0 15 0.0001 alg-warm 2.9715340000000001 0.38489699999999999 0.10606599999999999 0.27841700000000003 7.2540860362327377 7.2540663721087535 2.7107725481874462e-06 1 Converged OK 1 80 6 53 688 7 1
0 linear 0 23 0.0001 d14 54.744217999999996 53.795934000000003 0 0 7.2793655519892821 7.2792531935334868 1.5435437236225545e-05 1 Converged OK 0 0 0 0 251 5 0
0 linear 0 23 0.0001 alg-cold 4.9177350000000004 1.9595309999999999 1.5761160000000001 0.38180700000000001 7.2793619723420102 7.2792531935334868 1.4943676999733975e-05 1 Converged OK 1 233 6 42 688 7 1
0 linear 0 23 0.0001 alg-warm 3.1184210000000001 0.55426799999999998 0.18201200000000001 0.37157400000000002 7.2793619719541871 7.2792531935334868 1.4943623721863753e-05 1 Converged OK 1 233 6 42 688 7 1
0 linear 1 0 0.001 d14 1.274583 0.82325999999999999 0 0 589.79456093573413 589.76910771294774 4.315794512378994e-05 1 Converged OK 0 0 0 0 129 7 0
0 linear 1 0 0.001 alg-cold 16.710146000000002 1.606484 1.3101419999999999 0.29518 589.77250801055538 589.76910771294774 5.7654725606547282e-06 1 Converged OK 1 113 6 77 2038 12 6
0 linear 1 0 0.001 alg-warm 12.462698 1.605683 1.286815 0.31785999999999998 589.77250801061894 589.76910771294774 5.7654726684103592e-06 1 Converged OK 1 113 6 77 2038 12 6
0 linear 1 7 0.001 d14 1.2109049999999999 0.75297599999999998 0 0 593.10540222771601 593.08183624951698 3.9734783226637581e-05 1 Converged OK 0 0 0 0 129 7 0
0 linear 1 7 0.001 alg-cold 12.609636 1.5824339999999999 1.2843340000000001 0.29696499999999998 593.09669816534108 593.08183624951698 2.5058794445774292e-05 1 Converged OK 1 113 6 77 2116 13 7
0 linear 1 7 0.001 alg-warm 10.680859999999999 0.41171400000000002 0.11992700000000001 0.289941 593.09669816533847 593.08183624951698 2.5058794441365462e-05 1 Converged OK 1 113 6 77 2116 13 7
0 linear 1 15 0.001 d14 1.410018 0.87054200000000004 0 0 596.52981718882654 596.52004720667082 1.6378296423510139e-05 1 Converged OK 0 0 0 0 144 8 0
0 linear 1 15 0.001 alg-cold 14.303264 1.608994 1.2993589999999999 0.30842900000000001 596.53020509091323 596.52004720667082 1.7028571445284487e-05 1 Converged OK 1 140 6 77 2180 13 7
0 linear 1 15 0.001 alg-warm 9.9290240000000001 0.43525799999999998 0.12535399999999999 0.30866199999999999 596.53020509092948 596.52004720667082 1.7028571472537918e-05 1 Converged OK 1 140 6 77 2180 13 7
0 linear 1 23 0.001 d14 1.2232959999999999 0.69444499999999998 0 0 599.54249071529966 599.53614633227335 1.0582152661068451e-05 1 Converged OK 0 0 0 0 144 8 0
0 linear 1 23 0.001 alg-cold 12.834325 1.574516 1.2969869999999999 0.27665800000000002 599.54196300946012 599.53614633227335 9.7019624627405016e-06 1 Converged OK 1 140 6 66 2046 12 6
0 linear 1 23 0.001 alg-warm 9.1655859999999993 0.40615600000000002 0.12121899999999999 0.28407500000000002 599.54196300968886 599.53614633227335 9.7019628442653169e-06 1 Converged OK 1 140 6 66 2046 12 6
0 linear 1 0 0.0001 d14 1.738961 0.89216399999999996 0 0 589.77433482503545 589.76910771294774 8.8629804771896734e-06 1 Converged OK 0 0 0 0 265 7 0
0 linear 1 0 0.0001 alg-cold 34.056058999999998 1.6417060000000001 1.3690819999999999 0.27186500000000002 589.77511081435819 589.76910771294774 1.0178731527193345e-05 1 Converged OK 1 113 6 77 3380 17 11
0 linear 1 0 0.0001 alg-warm 25.112902999999999 1.634593 1.331693 0.30177399999999999 589.77511081417981 589.76910771294774 1.0178731224745071e-05 1 Converged OK 1 113 6 77 3380 17 11
0 linear 1 7 0.0001 d14 1.6649750000000001 0.78312800000000005 0 0 593.08575514839936 593.08183624951698 6.6076865667600012e-06 1 Converged OK 0 0 0 0 265 7 0
0 linear 1 7 0.0001 alg-cold 23.635864000000002 1.59145 1.297561 0.29250199999999998 593.08589227227867 593.08183624951698 6.8388922300117575e-06 1 Converged OK 1 113 6 77 3342 16 10
0 linear 1 7 0.0001 alg-warm 15.686087000000001 0.45083699999999999 0.14388500000000001 0.30555100000000002 593.0858922722507 593.08183624951698 6.8388921828564406e-06 1 Converged OK 1 113 6 77 3342 16 10
0 linear 1 15 0.0001 d14 1.8447020000000001 0.88267499999999999 0 0 596.52518459223279 596.52004720667082 8.6122596986014686e-06 1 Converged OK 0 0 0 0 272 8 0
0 linear 1 15 0.0001 alg-cold 29.994564 1.6922729999999999 1.379907 0.31161899999999998 596.52497432529628 596.52004720667082 8.2597703941925891e-06 1 Converged OK 1 140 6 77 3634 18 12
0 linear 1 15 0.0001 alg-warm 18.660862999999999 0.45846199999999998 0.14138000000000001 0.31604199999999999 596.52497432516327 596.52004720667082 8.2597701712099731e-06 1 Converged OK 1 140 6 77 3634 18 12
0 linear 1 23 0.0001 d14 1.628619 0.70280299999999996 0 0 599.53845937191056 599.53614633227335 3.8580486787419991e-06 1 Converged OK 0 0 0 0 272 8 0
0 linear 1 23 0.0001 alg-cold 25.235287 1.673637 1.413511 0.25925900000000002 599.53899714155853 599.53614633227335 4.7550248681720589e-06 1 Converged OK 1 140 6 66 3340 17 11
0 linear 1 23 0.0001 alg-warm 16.298931 0.40879399999999999 0.146734 0.26083099999999998 599.5389971415949 599.53614633227335 4.75502492885195e-06 1 Converged OK 1 140 6 66 3340 17 11
0 linear 2 0 0.001 d14 38.308447999999999 37.837825000000002 0 0 2.3667900929590933 2.3667306603356812 2.5111697079880259e-05 1 Converged OK 0 0 0 0 109 3 0
0 linear 2 0 0.001 alg-cold 1.9983109999999999 1.621151 1.313558 0.30687700000000001 2.366789975398552 2.3667306603356812 2.5062024954837918e-05 1 Converged OK 1 3 6 63 130 6 0
0 linear 2 0 0.001 alg-warm 1.80688 1.4663280000000001 1.2193510000000001 0.24681400000000001 2.3667900198370702 2.3667306603356812 2.5080801285809298e-05 1 Converged OK 1 3 6 52 130 6 0
0 linear 2 7 0.001 d14 52.510835999999998 52.093983000000001 0 0 2.4102720830752205 2.4102124914501046 2.4724635411695441e-05 1 Converged OK 0 0 0 0 109 3 0
0 linear 2 7 0.001 alg-cold 2.0052539999999999 1.6312359999999999 1.3240130000000001 0.30685699999999999 2.4102719319570705 2.4102124914501046 2.4661936313367117e-05 1 Converged OK 1 3 6 63 130 6 0
0 linear 2 7 0.001 alg-warm 0.69306800000000002 0.36764400000000003 0.063672000000000006 0.30379 2.4102719319570705 2.4102124914501046 2.4661936313367117e-05 1 Converged OK 1 3 6 63 130 6 0
0 linear 2 15 0.001 d14 52.882790999999997 52.468259000000003 0 0 2.4660418130223891 2.4659820375089936 2.4240044122914434e-05 1 Converged OK 0 0 0 0 109 3 0
0 linear 2 15 0.001 alg-cold 1.8750279999999999 1.497725 1.2334080000000001 0.26405000000000001 2.4660417894253412 2.4659820375089936 2.4230475096249875e-05 1 Converged OK 1 3 6 52 130 6 0
0 linear 2 15 0.001 alg-warm 0.64577300000000004 0.32159799999999999 0.059542999999999999 0.26189600000000002 2.4660417894253412 2.4659820375089936 2.4230475096249875e-05 1 Converged OK 1 3 6 52 130 6 0
0 linear 2 23 0.001 d14 54.699294999999999 54.283698999999999 0 0 2.5301173942455364 2.5300573667300794 2.37257527225773e-05 1 Converged OK 0 0 0 0 109 3 0
0 linear 2 23 0.001 alg-cold 1.8343970000000001 1.4725839999999999 1.240194 0.23208899999999999 2.5301173819572496 2.5300573667300794 2.3720895802337419e-05 1 Converged OK 1 3 6 52 130 6 0
0 linear 2 23 0.001 alg-warm 0.61021999999999998 0.28376299999999999 0.059172000000000002 0.22442899999999999 2.5301173819572496 2.5300573667300794 2.3720895802337419e-05 1 Converged OK 1 3 6 52 130 6 0
0 linear 2 0 0.0001 d14 38.558017999999997 37.747773000000002 0 0 2.3667338539967884 2.3667306603356812 1.349397783469356e-06 1 Converged OK 0 0 0 0 285 3 0
0 linear 2 0 0.0001 alg-cold 2.4243049999999999 1.532818 1.234396 0.29814299999999999 2.3667337936780224 2.3667306603356812 1.3239116700755114e-06 1 Converged OK 1 3 6 63 306 6 0
0 linear 2 0 0.0001 alg-warm 2.4107989999999999 1.580301 1.2726679999999999 0.30731599999999998 2.3667337936780224 2.3667306603356812 1.3239116700755114e-06 1 Converged OK 1 3 6 63 306 6 0
0 linear 2 7 0.0001 d14 52.814700000000002 52.016255000000001 0 0 2.4102156653209956 2.4102124914501046 1.316842768947668e-06 1 Converged OK 0 0 0 0 285 3 0
0 linear 2 7 0.0001 alg-cold 2.52169 1.6462829999999999 1.3391 0.30662099999999998 2.4102155871554407 2.4102124914501046 1.2844117881960302e-06 1 Converged OK 1 3 6 63 306 6 0
0 linear 2 7 0.0001 alg-warm 1.2978749999999999 0.360684 0.060308 0.30019899999999999 2.4102155871554407 2.4102124914501046 1.2844117881960302e-06 1 Converged OK 1 3 6 63 306 6 0
0 linear 2 15 0.0001 d14 53.330658999999997 52.411904 0 0 2.4659851739595582 2.4659820375089936 1.2718870279236108e-06 1 Converged OK 0 0 0 0 285 3 0
0 linear 2 15 0.0001 alg-cold 2.3196099999999999 1.5004599999999999 1.233935 0.26624300000000001 2.4659851622116351 2.4659820375089936 1.2671230341474623e-06 1 Converged OK 1 3 6 52 306 6 0
0 linear 2 15 0.0001 alg-warm 1.0665199999999999 0.32647399999999999 0.058366000000000001 0.26793899999999998 2.4659851622116351 2.4659820375089936 1.2671230341474623e-06 1 Converged OK 1 3 6 52 306 6 0
0 linear 2 23 0.0001 d14 55.331527000000001 54.494585999999998 0 0 2.5300605114773314 2.5300573667300794 1.2429549200308601e-06 1 Converged OK 0 0 0 0 285 3 0
0 linear 2 23 0.0001 alg-cold 2.3689710000000002 1.52695 1.2808949999999999 0.24568499999999999 2.5300605049355847 2.5300573667300794 1.2403693080262003e-06 1 Converged OK 1 3 6 52 306 6 0
0 linear 2 23 0.0001 alg-warm 1.079412 0.31170100000000001 0.063835000000000003 0.24771099999999999 2.5300605049355847 2.5300573667300794 1.2403693080262003e-06 1 Converged OK 1 3 6 52 306 6 0
0 linear 3 0 0.001 d14 0.89904700000000004 0.59476200000000001 0 0 488.06713502288778 488.05744869038392 1.9846705607818833e-05 1 Converged OK 0 0 0 0 147 5 0
0 linear 3 0 0.001 alg-cold 2.276913 1.9427540000000001 1.2390460000000001 0.70295200000000002 488.06706277413861 488.05744869038392 1.9698672319174281e-05 1 Converged OK 1 5 10 174 182 10 0
0 linear 3 0 0.001 alg-warm 2.1828759999999998 1.8412790000000001 1.2011430000000001 0.63989600000000002 488.06706277418931 488.05744869038392 1.9698672423064366e-05 1 Converged OK 1 5 10 174 182 10 0
0 linear 3 7 0.001 d14 0.98254200000000003 0.68792600000000004 0 0 497.80311007618121 497.79328032918818 1.9746644604230179e-05 1 Converged OK 0 0 0 0 147 5 0
0 linear 3 7 0.001 alg-cold 2.1752950000000002 1.7885329999999999 1.2410639999999999 0.54711399999999999 497.80309939754278 497.79328032918818 1.9725192650469133e-05 1 Converged OK 1 5 10 131 182 10 0
0 linear 3 7 0.001 alg-warm 0.92879900000000004 0.62422599999999995 0.065069000000000002 0.558921 497.80309939754278 497.79328032918818 1.9725192650469133e-05 1 Converged OK 1 5 10 131 182 10 0
0 linear 3 15 0.001 d14 0.95415899999999998 0.68865200000000004 0 0 510.0261075189299 510.01613600715001 1.955136529200968e-05 1 Converged OK 0 0 0 0 147 5 0
0 linear 3 15 0.001 alg-cold 2.0011220000000001 1.6756409999999999 1.2014849999999999 0.47396700000000003 510.02608266012595 510.01613600715001 1.9502624081293111e-05 1 Converged OK 1 5 10 142 182 10 0
0 linear 3 15 0.001 alg-warm 0.82757400000000003 0.52960200000000002 0.057086999999999999 0.472298 510.02608266012595 510.01613600715001 1.9502624081293111e-05 1 Converged OK 1 5 10 142 182 10 0
0 linear 3 23 0.001 d14 0.97126699999999999 0.68295799999999995 0 0 523.74841243644084 523.73830156079396 1.9305205704368113e-05 1 Converged OK 0 0 0 0 147 5 0
0 linear 3 23 0.001 alg-cold 2.1770640000000001 1.8639749999999999 1.2580990000000001 0.605491 523.74831310296622 523.73830156079396 1.9115543282645988e-05 1 Converged OK 1 5 10 164 182 10 0
0 linear 3 23 0.001 alg-warm 0.98008899999999999 0.67917099999999997 0.056718999999999999 0.62229000000000001 523.74831310296622 523.73830156079396 1.9115543282645988e-05 1 Converged OK 1 5 10 164 182 10 0
0 linear 3 0 0.0001 d14 1.212588 0.60443899999999995 0 0 488.05790460977204 488.05744869038392 9.3415107041144123e-07 1 Converged OK 0 0 0 0 355 5 0
0 linear 3 0 0.0001 alg-cold 2.6590150000000001 1.9186909999999999 1.2351920000000001 0.68327700000000002 488.05787306680338 488.05744869038392 8.6952144793311434e-07 1 Converged OK 1 5 10 174 390 10 0
0 linear 3 0 0.0001 alg-warm 2.637775 1.9636020000000001 1.223163 0.74022900000000003 488.05787306680338 488.05744869038392 8.6952144793311434e-07 1 Converged OK 1 5 10 174 390 10 0
0 linear 3 7 0.0001 d14 1.263193 0.679678 0 0 497.79371985746047 497.79328032918818 8.8295340588901065e-07 1 Converged OK 0 0 0 0 355 5 0
0 linear 3 7 0.0001 alg-cold 2.530796 1.749155 1.2753209999999999 0.47364200000000001 497.79371451512611 497.79328032918818 8.7222137198524872e-07 1 Converged OK 1 5 10 131 390 10 0
0 linear 3 7 0.0001 alg-warm 1.173449 0.52441499999999996 0.059247000000000001 0.46498 497.79371451512611 497.79328032918818 8.7222137198524872e-07 1 Converged OK 1 5 10 131 390 10 0
0 linear 3 15 0.0001 d14 1.2849440000000001 0.71061700000000005 0 0 510.01651659754407 510.01613600715001 7.4623206441739719e-07 1 Converged OK 0 0 0 0 355 5 0
0 linear 3 15 0.0001 alg-cold 2.3617590000000002 1.6757219999999999 1.2077 0.46780500000000003 510.01650749239042 510.01613600715001 7.2837938680846358e-07 1 Converged OK 1 5 10 142 390 10 0
0 linear 3 15 0.0001 alg-warm 1.2250030000000001 0.55604500000000001 0.061342000000000001 0.49447600000000003 510.01650749239042 510.01613600715001 7.2837938680846358e-07 1 Converged OK 1 5 10 142 390 10 0
0 linear 3 23 0.0001 d14 1.2241569999999999 0.65723100000000001 0 0 523.73859727481204 523.73830156079396 5.6462171507878789e-07 1 Converged OK 0 0 0 0 355 5 0
0 linear 3 23 0.0001 alg-cold 2.448 1.7559800000000001 1.2150840000000001 0.54066899999999996 523.73855980620306 523.73830156079396 4.9308100692693665e-07 1 Converged OK 1 5 10 164 390 10 0
0 linear 3 23 0.0001 alg-warm 1.308894 0.66443300000000005 0.063935000000000006 0.60030799999999995 523.73855980620306 523.73830156079396 4.9308100692693665e-07 1 Converged OK 1 5 10 164 390 10 0
0 linear 4 0 0.001 d14 0.74558899999999995 0.45036900000000002 0 0 2.6197279472003139 2.6196492485236935 3.0041684650992779e-05 1 Converged OK 0 0 0 0 92 4 0
0 linear 4 0 0.001 alg-cold 1.8450279999999999 1.5237149999999999 1.222143 0.30118200000000001 2.6197018602103728 2.6196492485236935 2.0083485111183714e-05 1 Converged OK 1 3 6 63 130 6 0
0 linear 4 0 0.001 alg-warm 1.8724000000000001 1.509398 1.1940839999999999 0.315085 2.6197018602103728 2.6196492485236935 2.0083485111183714e-05 1 Converged OK 1 3 6 63 130 6 0
0 linear 4 7 0.001 d14 0.68339099999999997 0.45515699999999998 0 0 2.5175066240296231 2.5174345319049873 2.8637139803280749e-05 1 Converged OK 0 0 0 0 92 4 0
0 linear 4 7 0.001 alg-cold 1.8205739999999999 1.478127 1.2290760000000001 0.24882899999999999 2.5174870210286726 2.5174345319049873 2.0850243777959816e-05 1 Converged OK 1 3 6 52 130 6 0
0 linear 4 7 0.001 alg-warm 0.62429299999999999 0.31048700000000001 0.056988999999999998 0.25335400000000002 2.5174870210286726 2.5174345319049873 2.0850243777959816e-05 1 Converged OK 1 3 6 52 130 6 0
0 linear 4 15 0.001 d14 0.67138500000000001 0.44370599999999999 0 0 2.4213045210032891 2.4212347726041608 2.8806954169629801e-05 1 Converged OK 0 0 0 0 84 4 0
0 linear 4 15 0.001 alg-cold 1.8334109999999999 1.520689 1.2724709999999999 0.24804999999999999 2.4212870677406473 2.4212347726041608 2.1598540165635493e-05 1 Converged OK 1 3 6 52 130 6 0
0 linear 4 15 0.001 alg-warm 0.59859099999999998 0.30908200000000002 0.058019000000000001 0.25090600000000002 2.4212870677406473 2.4212347726041608 2.1598540165635493e-05 1 Converged OK 1 3 6 52 130 6 0
0 linear 4 23 0.001 d14 0.68882600000000005 0.41590899999999997 0 0 2.340904470342057 2.3408523335578364 2.2272564344678525e-05 1 Converged OK 0 0 0 0 109 3 0
0 linear 4 23 0.001 alg-cold 1.7208209999999999 1.3870929999999999 1.1995020000000001 0.18742300000000001 2.3409044705368398 2.3408523335578364 2.2272647554906577e-05 1 Converged OK 1 3 6 41 130 6 0
0 linear 4 23 0.001 alg-warm 0.56209699999999996 0.24767600000000001 0.057929000000000001 0.18957099999999999 2.3409044705368398 2.3408523335578364 2.2272647554906577e-05 1 Converged OK 1 3 6 41 130 6 0
0 linear 4 0 0.0001 d14 1.307269 0.43058999999999997 0 0 2.6196528534043595 2.6196492485236935 1.3760928750314604e-06 1 Converged OK 0 0 0 0 316 4 0
