D14GEN	status=nonfinite	sweep=1	root=0	nearest=1	zRe=631043855796.44507	zIm=266801062957.11942	absP=7.3864002821929714e+159	absDP=1.5093491796268012e+149	minSep=319383603125.55841	absS=5.2390182981322381e-12	absB=1.2025602607257584e+149	absW=nan	candidateRe=-nan	candidateIm=-nan
D14GEN	status=nonfinite	sweep=1	root=1	nearest=2	zRe=485132384525.70697	zIm=550906199301.17212	absP=1.9405192997966203e+160	absDP=3.700936443376326e+149	minSep=340934051837.23322	absS=nan	absB=nan	absW=nan	candidateRe=-nan	candidateIm=-nan
D14GEN	status=nonfinite	sweep=1	root=2	nearest=3	zRe=211263929187.29828	zIm=753963080181.1543	absP=4.7898299682665676e+160	absDP=8.5641651545760568e+149	minSep=362511855772.95966	absS=nan	absB=nan	absW=nan	candidateRe=-nan	candidateIm=-nan
D14GEN	status=nonfinite	sweep=1	root=3	nearest=4	zRe=-145339478356.9119	zIm=819146324222.95544	absP=1.1192451961143291e+161	absDP=1.8834809726526835e+150	minSep=384112404859.39709	absS=nan	absB=nan	absW=nan	candidateRe=-nan	candidateIm=-nan
D14GEN	status=nonfinite	sweep=1	root=4	nearest=5	zRe=-514970063274.72125	zIm=714668717721.90894	absP=2.4914685603386181e+161	absDP=3.9597505305725168e+150	minSep=405732066362.63837	absS=nan	absB=nan	absW=nan	candidateRe=-nan	candidateIm=-nan
D14GEN	status=nonfinite	sweep=1	root=5	nearest=6	zRe=-817058193187.11731	zIm=443815858329.71478	absP=5.3111767332222815e+161	absDP=7.9969074844437577e+150	minSep=427367939719.43652	absS=nan	absB=nan	absW=nan	candidateRe=-nan	candidateIm=-nan
D14GEN	status=nonfinite	sweep=1	root=6	nearest=7	zRe=-977587873071.53503	zIm=47743165789.264206	absP=1.0890812448299006e+162	absDP=1.5578125669006987e+151	minSep=449017681436.1413	absS=nan	absB=nan	absW=nan	candidateRe=-nan	candidateIm=-nan
D14GEN	status=nonfinite	sweep=1	root=7	nearest=8	zRe=-946565783694.6676	zIm=-400201594435.67883	absP=2.1563063709600121e+162	absDP=2.9374879306317511e+151	minSep=470679377816.42072	absS=nan	absB=nan	absW=nan	candidateRe=-nan	candidateIm=-nan
D14GEN	status=nonfinite	sweep=1	root=8	nearest=9	zRe=-711527497304.37036	zIm=-807995758975.05225	absP=4.135784214604989e+162	absDP=5.3779914818620213e+151	minSep=492351450975.95752	absS=nan	absB=nan	absW=nan	candidateRe=-nan	candidateIm=-nan
D14GEN	status=nonfinite	sweep=1	root=9	nearest=10	zRe=-303691898206.74091	zIm=-1083821927760.4094	absP=7.706018441242522e+162	absDP=9.5848898770032517e+151	minSep=514032588433.57416	absS=nan	absB=nan	absW=nan	candidateRe=-nan	candidateIm=-nan
D14GEN	status=nonfinite	sweep=1	root=10	nearest=11	zRe=205185145915.64069	zIm=-1156441869491.2312	absP=1.3982915194143377e+163	absDP=1.6667535988852772e+152	minSep=535721689669.57251	absS=nan	absB=nan	absW=nan	candidateRe=-nan	candidateIm=-nan
D14GEN	status=nonfinite	sweep=1	root=11	nearest=12	zRe=715236198992.66785	zIm=-992595441280.42957	absP=2.4762840544410228e+163	absDP=2.8336445513805515e+152	minSep=557417825074.00964	absS=nan	absB=nan	absW=nan	candidateRe=-nan	candidateIm=-nan
D14GEN	status=nonfinite	sweep=1	root=12	nearest=13	zRe=1118079632782.3711	zIm=-607326964030.13562	absP=4.2881227745289938e+163	absDP=4.7182264715146567e+152	minSep=579120204064.03296	absS=nan	absB=nan	absW=nan	candidateRe=-nan	candidateIm=-nan
D14GEN	status=nonfinite	sweep=1	root=13	nearest=-1	zRe=1319743628646.5723	zIm=-64453273815.505081	absP=7.2733257362870802e+163	absDP=7.7064469531876266e+152	minSep=inf	absS=nan	absB=nan	absW=nan	candidateRe=-nan	candidateIm=-nan
