case_id	configuration_id	profile	d_bin_index	epoch_index	rep	lane	max_root_absdiff	sum_root_absdiff
0	0	linear	0	0	0	cold	3.0306973896909693e-12	7.144955648368545e-12
0	0	linear	2	0	0	cold	2.3042360446065207e-12	6.007960429547732e-12
0	0	linear	2	7	0	cold	5.274558249050087e-12	2.0505521061485913e-11
0	0	linear	2	15	0	cold	1.9567680934150028e-11	4.8380431220119555e-11
0	0	linear	2	23	0	cold	5.38488086292091e-11	1.1089259979115621e-10
0	0	uniform	0	0	0	cold	3.0306973896909693e-12	7.144955648368545e-12
0	0	uniform	2	0	0	cold	2.3042360446065207e-12	6.007960429547732e-12
0	0	uniform	2	7	0	cold	5.274558249050087e-12	2.0505521061485913e-11
0	0	uniform	2	15	0	cold	1.9567680934150028e-11	4.8380431220119555e-11
0	0	uniform	2	23	0	cold	5.38488086292091e-11	1.1089259979115621e-10
49	49	linear	1	23	0	cold	3.308722450212111e-24	3.308722450212111e-24
49	49	uniform	1	23	0	cold	3.308722450212111e-24	3.308722450212111e-24
64	64	linear	0	0	0	cold	5.300447580847134e-15	1.1723735589101725e-14
64	64	linear	0	7	0	cold	7.959952141867177e-14	1.1126099426386451e-13
64	64	linear	0	23	0	cold	6.800116025829084e-15	1.1600936140540585e-14
64	64	uniform	0	0	0	cold	5.300447580847134e-15	1.1723735589101725e-14
64	64	uniform	0	7	0	cold	7.959952141867177e-14	1.1126099426386451e-13
64	64	uniform	0	23	0	cold	6.800116025829084e-15	1.1600936140540585e-14
105	105	linear	1	0	0	cold	1.5717543369250797e-17	3.1435086738501594e-17
105	105	linear	1	7	0	cold	1.2048874268102971e-16	2.4097748536205943e-16
105	105	uniform	1	0	0	cold	1.5717543369250797e-17	3.1435086738501594e-17
105	105	uniform	1	7	0	cold	1.2048874268102971e-16	2.4097748536205943e-16
149	149	linear	1	7	0	cold	5.020417858819305e-16	1.1151058742263766e-15
149	149	linear	1	15	0	cold	1.1102230246251565e-16	2.5008478361093767e-16
149	149	uniform	1	7	0	cold	5.020417858819305e-16	1.1151058742263766e-15
149	149	uniform	1	15	0	cold	1.1102230246251565e-16	2.5008478361093767e-16
152	152	linear	0	0	0	cold	3.8050308177439273e-23	3.8050308177439273e-23
152	152	uniform	0	0	0	cold	3.8050308177439273e-23	3.8050308177439273e-23
0	0	linear	0	0	0	warm	3.0306973896909693e-12	7.144955648368545e-12
0	0	linear	0	7	0	warm	2.8967541048155677e-12	6.2290900037263885e-12
0	0	linear	0	23	0	warm	7.55203682822587e-12	1.8034358969530528e-11
0	0	linear	2	0	0	warm	2.3042360446065207e-12	6.007960429547732e-12
0	0	linear	2	7	0	warm	1.1597894031470648e-11	3.292525439081252e-11
0	0	linear	2	15	0	warm	3.722844453998157e-11	1.3748100164966236e-10
0	0	linear	2	23	0	warm	7.281276508506351e-11	2.909957184769045e-10
0	0	uniform	0	0	0	warm	3.0306973896909693e-12	7.144955648368545e-12
0	0	uniform	0	7	0	warm	2.8967541048155677e-12	6.2290900037263885e-12
0	0	uniform	0	23	0	warm	7.55203682822587e-12	1.8034358969530528e-11
0	0	uniform	2	0	0	warm	2.3042360446065207e-12	6.007960429547732e-12
0	0	uniform	2	7	0	warm	1.1597894031470648e-11	3.292525439081252e-11
0	0	uniform	2	15	0	warm	3.722844453998157e-11	1.3748100164966236e-10
0	0	uniform	2	23	0	warm	7.281276508506351e-11	2.909957184769045e-10
9	9	linear	2	7	0	warm	4.999798318416904e-16	6.999609225566417e-16
9	9	uniform	2	7	0	warm	4.999798318416904e-16	6.999609225566417e-16
64	64	linear	0	0	0	warm	5.300447580847134e-15	1.1723735589101725e-14
64	64	linear	0	15	0	warm	1.1900203045200897e-14	1.7294271483642154e-14
64	64	uniform	0	0	0	warm	5.300447580847134e-15	1.1723735589101725e-14
64	64	uniform	0	15	0	warm	1.1900203045200897e-14	1.7294271483642154e-14
105	105	linear	1	0	0	warm	1.5717543369250797e-17	3.1435086738501594e-17
105	105	linear	1	15	0	warm	7.716050021144838e-15	1.149255017064715e-14
105	105	linear	1	23	0	warm	8.326672684688674e-16	1.2771223965521439e-15
105	105	uniform	1	0	0	warm	1.5717543369250797e-17	3.1435086738501594e-17
105	105	uniform	1	15	0	warm	7.716050021144838e-15	1.149255017064715e-14
105	105	uniform	1	23	0	warm	8.326672684688674e-16	1.2771223965521439e-15
149	149	linear	1	7	0	warm	2.220446049250313e-16	5.541763879388095e-16
149	149	linear	1	15	0	warm	6.510803452364905e-17	1.302160690472981e-16
149	149	uniform	1	7	0	warm	2.220446049250313e-16	5.541763879388095e-16
149	149	uniform	1	15	0	warm	6.510803452364905e-17	1.302160690472981e-16
152	152	linear	0	0	0	warm	3.8050308177439273e-23	3.8050308177439273e-23
152	152	uniform	0	0	0	warm	3.8050308177439273e-23	3.8050308177439273e-23
