case_id configuration_id profile d_bin_index epoch_index rep lane root_index source_root_index role role_hint physical_real v_re v_im final_v_re final_v_im d14real_updates cluster_id double_seed_index double_seed_v_re double_seed_v_im double_seed_valid expanded_seed_source_index expanded_seed_displacement expanded_seed_match_valid cluster_size freeze_count reactivation_count d14real_newton d14real_nearest_sep d14real_rel_correction d14real_position_error qf_escalated qf_source_match_valid qf_displacement qf_displacement_valid qf_newton qf_nearest_sep qf_position_error qf_expanded_relative_residual
49 49 linear 1 0 0 cold 0 0 2 0 -1 -0.017873759576695371 -0.062054396001652648 9.7342073593577867e-06 -0.00015560449581573943 25 0 0 -6.5635703188932961 -25.847191526335916 1 0 26.66739299328589 0 1 0 0 0.010010350042868049 0.054780343744622359 0.18273616700060846 -1 1 0 0.0644304255752466 0 3.2695970696320416e-38 0.00013000589095697764 5.2397907407835626e-36 1.9074699409892323e-58
49 49 linear 1 0 0 cold 1 1 2 2 -1 0.043881040840206068 -0.052143849592896911 2.9115783435461546e-05 -2.7051447651474715e-05 25 1 1 5.3302719914980043 -26.136483595537573 1 1 26.674441883481027 0 1 0 0 0.010752665077446478 0.062544978252865605 0.17191891943705051 0.025665377876528419 1 0 0.068111320498848674 0 1.805126881553123e-39 3.9735205339881524e-05 1.6726824405610051e-37 5.5928973637121023e-61
49 49 linear 1 0 0 cold 2 2 1 2 1 0.087763062849575385 -0.0072927855382625027 0.081285867930575809 4.3586521556260054e-97 25 2 2 16.04349140796274 -21.320573047550504 1 7 24.815950900268398 0 1 0 0 0.0063242409800435967 0.048701550076912827 0.12985707785595985 0.010673885227921166 1 1 0.0097539107503505813 1 3.7273985138759763e-36 0.081256756650032611 6.5368468244328756e-36 3.1261005783944168e-42
49 49 linear 1 0 0 cold 3 3 2 2 -1 3.3664278476261695 -0.98511702254467826 3.3664278476261695 -0.98511702254467826 25 3 3 23.514978676549688 -12.46543036726524 1 2 23.963278412140504 0 1 0 0 5.3506985400600272e-32 0.9866878368809483 5.4228889219657334e-32 1.4581286133978505e-32 1 1 4.0371093403722084e-32 1 1.7394026465416991e-34 0.9866878368809483 4.7400778611495941e-35 3.2354698433702034e-28
49 49 linear 1 0 0 cold 4 4 1 2 1 3.4220815927069164 -4.1663994514824184e-70 3.4220815927069164 5.7598919865102832e-97 25 4 4 26.366519387875801 -1.3982095705817943 1 3 23.645538003247797 0 1 0 0 3.848262898676993e-34 0.9866878368809483 3.9001827678770875e-34 1.0401346348825834e-34 1 1 1.4637067577342992e-32 1 1.8038732337548403e-34 0.9866878368809483 4.8756311010121091e-35 2.3578209497629334e-28
49 49 linear 1 0 0 cold 5 5 1 2 1 1.5444495367277906 -5.0827498084691542e-65 1.5444495367277906 1.8548922554454312e-95 25 5 5 24.155173613456522 9.6679439022186493 1 5 24.590932934120396 0 1 0 0 3.9583489283190628e-32 0.84833233232066019 4.6660356767150202e-32 1.5925651855888949e-32 1 1 4.1214900809886847e-32 1 3.2787528773727174e-34 0.84833233232066019 1.3191428495088738e-34 6.9737319527101068e-32
49 49 linear 1 0 0 cold 6 6 2 2 -1 3.3664278476261695 0.98511702254467826 3.3664278476261695 0.98511702254467826 25 6 6 17.436853760628253 18.574910813593512 1 4 23.12324493900816 0 1 0 0 7.0092004026606232e-32 0.9866878368809483 7.1037669064793979e-32 1.9100899794000601e-32 1 1 1.4251881588465545e-32 1 1.7394026465416991e-34 0.9866878368809483 4.7400778611495941e-35 3.2354698433702034e-28
49 49 linear 1 0 0 cold 7 7 1 2 1 0.69611720440713043 -8.2346260126509151e-65 0.69611720440713043 1.6753599584691509e-95 25 7 7 7.6333061870927308 23.638917237967856 1 6 25.00559081841002 0 1 0 0 3.0022515733593036e-32 0.60839785196131058 4.9346847029141445e-32 1.7991853316136085e-32 1 1 1.0785207688568521e-32 1 2.2722118841342386e-34 0.61483133647655464 1.3616881171880339e-34 1.4574090032692816e-35
49 49 linear 1 0 0 cold 8 10 1 0 1 -0.036916634981708836 0.029975277026301799 1.0702721571189184e-08 -1.1668153645989641e-61 25 10 10 -20.00266750312479 11.538407472826266 1 13 22.353421685497725 0 1 0 0 0.0074644187409522783 0.043588338328953286 0.17124806833928063 -1 1 0 0.047553716588646475 0 3.1986448758411645e-42 8.5348193268475616e-09 1.5459267658591106e-38 6.3756831046007454e-68
49 49 linear 1 0 0 cold 9 8 2 0 -1 0.057849462405936324 0.031139199687488781 2.9115783435461546e-05 2.7051447651474715e-05 25 8 8 -3.2667828090389297 23.967025712898124 1 9 23.590218245117828 0 1 0 0 0.011035454583822248 0.048701550076912827 0.22659349787418062 0.022940906158632968 1 0 0.065659410990685549 0 1.805126881553123e-39 3.9735205339881524e-05 1.6726824405610051e-37 5.5928973637121023e-61
