case_id	configuration_id	profile	d_bin_index	epoch_index	rep	lane	pair	v2_accepted	probe_accepted	probe_viable	probe_finite	probe_reason	probe_full_step_ratio	probe_accepted_ratio	probe_backtracks	probe_step_over_separation	probe_det_fraction	driver_pair_stable	post_driver_pair	post_driver_max_step	post_pair_external_max_step	v2_pair_iterations	probe_pair_iterations	v2_pair_backtracks	probe_pair_backtracks	v2_verify_sweeps	probe_verify_sweeps	probe_verify_converged	probe_scalar_certificate
0	0	linear	0	0	0	cold	12,5	0	0	0	1	no-residual-decrease-within-3-backtracks	+2.999987284509523209484441709437708561e+00	-1.000000000000000000000000000000000000e+00	-1	-1.000000000000000000000000000000000000e+00	+9.999999999999999748942181615811685479e-01	0	-1,-1	-1.000000000000000000000000000000000000e+00	-1.000000000000000000000000000000000000e+00	1	0	6	0	0	0	0	0
0	0	linear	0	0	0	warm	12,5	0	0	0	1	no-residual-decrease-within-3-backtracks	+2.999987284509523209484441709437708561e+00	-1.000000000000000000000000000000000000e+00	-1	-1.000000000000000000000000000000000000e+00	+9.999999999999999748942181615811685479e-01	0	-1,-1	-1.000000000000000000000000000000000000e+00	-1.000000000000000000000000000000000000e+00	1	0	6	0	0	0	0	0
0	0	linear	0	15	0	cold	6,5	0	0	0	1	pair-external-correction-above-1e-20	+2.500000894069298596107330507596717310e-01	+2.500000894069298596107330507596717310e-01	0	+2.191250723711829918483100222819208882e-06	+9.999999999997898242234485751128456674e-01	1	6,5	+2.924710732238861545480562767334776665e-12	+4.935022198469110903855351257331156794e-13	2	1	5	0	0	0	0	0
0	0	linear	0	15	0	warm	11,7	0	0	0	1	residual-not-halved	+6.666666843273018047860047562632059194e-01	+6.666666843273018047860047562632059194e-01	0	+3.286893006225983683603254337070038231e-06	+9.999999999990969690436508170230569201e-01	1	7,11	+1.169883519748366973935045157860978248e-11	+2.467454655308880447335291951381875185e-13	3	1	5	0	0	0	0	0
0	0	linear	0	23	0	cold	10,6	0	0	0	1	no-residual-decrease-within-3-backtracks	+4.266666666666666666666671493541019688e+01	-1.000000000000000000000000000000000000e+00	-1	-1.000000000000000000000000000000000000e+00	+4.380087545220603105135330699354679553e-01	0	-1,-1	-1.000000000000000000000000000000000000e+00	-1.000000000000000000000000000000000000e+00	0	0	0	0	0	0	0	0
0	0	linear	0	23	0	warm	11,8	0	0	0	1	residual-not-halved	+1.666666652538158589856185955629425007e+00	+6.666666578363490976069987837790691128e-01	2	+1.309626656964374796202624512804566623e-06	+9.999999998662747466387803282146112803e-01	1	8,11	+1.065239940873102423402508858486686541e-11	+3.049400211898719707255962232314502873e-13	3	1	15	2	0	0	0	0
0	0	linear	0	7	0	cold	8,6	0	0	0	1	residual-not-halved	+3.999998569489633836388155332289550105e+00	+9.999996423724084590970388330723875263e-01	3	+6.000487459247572662598099084552096406e-08	+9.999999999986172400758180909804762013e-01	1	6,8	+3.844810290338973621920770650215818193e-12	+1.048120988732161687112355153188943133e-21	3	1	9	3	0	0	0	0
0	0	linear	0	7	0	warm	5,4	0	0	0	1	residual-not-halved	+5.000035762624862681877658147517462411e-01	+5.000035762624862681877658147517462411e-01	0	+2.097573711319287932359793635098848850e-08	+3.724755563357060009727428974115389202e-01	1	4,5	+1.057336610569946471864322233042033423e-12	+6.155873131794783568242149064779770068e-15	5	1	12	0	0	0	0	0
149	149	uniform	1	0	0	cold	5,6	0	0	0	1	no-residual-decrease-within-3-backtracks	+5.999999284744390592979525834916972305e+00	-1.000000000000000000000000000000000000e+00	-1	-1.000000000000000000000000000000000000e+00	+9.999999999999999999940405973848402897e-01	0	-1,-1	-1.000000000000000000000000000000000000e+00	-1.000000000000000000000000000000000000e+00	0	0	0	0	0	0	0	0
149	149	uniform	1	0	0	warm	5,6	0	0	0	1	no-residual-decrease-within-3-backtracks	+5.999999284744390592979525834916972305e+00	-1.000000000000000000000000000000000000e+00	-1	-1.000000000000000000000000000000000000e+00	+9.999999999999999999940405973848402897e-01	0	-1,-1	-1.000000000000000000000000000000000000e+00	-1.000000000000000000000000000000000000e+00	0	0	0	0	0	0	0	0
