case_id	configuration_id	profile	d_bin_index	epoch_index	rep	lane	topology_certificate_equal	v2_qf_warm_sweeps	probe_qf_warm_sweeps	v2_qf_cold_calls	probe_qf_cold_calls	v2_qf_cold_sweeps	probe_qf_cold_sweeps	v2_whole_classify_ms	probe_whole_classify_ms	v2_qf_polish_ms	probe_qf_polish_ms	v2_completeness_fails	probe_completeness_fails	v2_root_count_bad	probe_root_count_bad	v2_conjugacy_bad	probe_conjugacy_bad	v2_vieta_bad	probe_vieta_bad
149	149	uniform	1	0	0	cold	True	24	24	1	1	400	400	101.867486	104.85122699999999	100.06572799999999	103.01791799999999	0	0	0	0	0	0	0	0
149	149	uniform	1	0	0	warm	True	24	24	1	1	400	400	101.579196	101.924612	99.922184000000001	100.27222499999999	0	0	0	0	0	0	0	0
149	149	uniform	1	15	0	cold	True	24	24	1	1	400	400	103.637705	104.102294	101.93091800000001	102.37432100000001	0	0	0	0	0	0	0	0
149	149	uniform	1	15	0	warm	True	25	25	0	0	0	0	12.453239	12.623347000000001	11.385700999999999	11.547259	0	0	0	0	0	0	0	0
149	149	uniform	1	23	0	cold	True	0	0	0	0	0	0	1.05463	1.068441	0	0	0	0	0	0	0	0	0	0
149	149	uniform	1	23	0	warm	True	25	24	1	1	400	400	102.70599	102.359325	101.168426	100.820978	0	0	0	0	0	0	0	0
149	149	uniform	1	7	0	cold	True	24	24	1	1	400	400	106.304467	106.793188	104.53975	105.004597	0	0	0	0	0	0	0	0
149	149	uniform	1	7	0	warm	True	24	24	1	1	400	400	105.872102	105.993488	104.27937300000001	104.382471	0	0	0	0	0	0	0	0
0	0	linear	0	0	0	cold	True	24	24	1	1	400	400	108.19503899999999	107.513637	106.14868	105.464479	0	0	0	0	0	0	0	0
0	0	linear	0	0	0	warm	True	24	24	1	1	400	400	108.059664	107.388385	106.14967399999999	105.474604	0	0	0	0	0	0	0	0
0	0	linear	0	15	0	cold	True	24	24	1	1	400	400	107.870676	107.591465	106.093666	105.809707	0	0	0	0	0	0	0	0
0	0	linear	0	15	0	warm	True	24	24	1	1	400	400	107.62881400000001	106.95703899999999	106.02086899999999	105.36093000000001	0	0	0	0	0	0	0	0
0	0	linear	0	23	0	cold	True	24	24	1	1	400	400	108.386044	107.656831	106.596872	105.884861	0	0	0	0	0	0	0	0
0	0	linear	0	23	0	warm	True	24	24	1	1	400	400	108.56728	107.742953	106.90871300000001	106.08565299999999	0	0	0	0	0	0	0	0
0	0	linear	0	7	0	cold	True	24	24	1	1	400	400	106.84701699999999	106.476696	105.067246	104.700221	0	0	0	0	0	0	0	0
0	0	linear	0	7	0	warm	True	24	24	1	1	400	400	107.08993	106.400237	105.465452	104.78349	0	0	0	0	0	0	0	0
64	64	linear	0	0	0	cold	True	24	24	1	1	400	400	103.326048	102.677226	101.077286	100.430812	0	0	0	0	0	0	0	0
64	64	linear	0	0	0	warm	True	24	24	1	1	400	400	103.217889	102.464437	101.11738	100.37191899999999	0	0	0	0	0	0	0	0
64	64	linear	0	15	0	cold	True	24	24	1	1	220	220	65.719367000000005	65.523279000000002	63.764741000000001	63.498714	0	0	0	0	0	0	0	0
64	64	linear	0	15	0	warm	True	24	24	1	1	220	220	65.588444999999993	65.225915000000001	63.755754999999994	63.391603000000003	0	0	0	0	0	0	0	0
64	64	linear	0	23	0	cold	True	25	24	1	1	119	119	44.488697000000002	43.855266999999998	42.458702000000002	41.816651	0	0	0	0	0	0	0	0
64	64	linear	0	23	0	warm	True	24	24	1	1	119	119	43.995762999999997	43.466459	42.176651	41.645718000000002	0	0	0	0	0	0	0	0
64	64	linear	0	7	0	cold	True	24	24	1	1	140	140	48.601038000000003	48.574105000000003	46.485714000000002	46.440646000000001	0	0	0	0	0	0	0	0
64	64	linear	0	7	0	warm	True	24	24	1	1	140	140	48.630513999999998	48.456673000000002	46.647902000000002	46.488900999999998	0	0	0	0	0	0	0	0
9	9	uniform	2	0	0	cold	True	0	0	0	0	0	0	1.5344100000000001	1.512235	0	0	0	0	0	0	0	0	0	0
9	9	uniform	2	0	0	warm	True	0	0	0	0	0	0	1.3193189999999999	1.3124800000000001	0	0	0	0	0	0	0	0	0	0
9	9	uniform	2	15	0	cold	True	0	0	0	0	0	0	1.0844240000000001	1.102797	0	0	0	0	0	0	0	0	0	0
9	9	uniform	2	15	0	warm	True	0	0	0	0	0	0	1.1175850000000001	1.1223289999999999	0	0	0	0	0	0	0	0	0	0
9	9	uniform	2	23	0	cold	True	0	0	0	0	0	0	1.1422620000000001	1.147278	0	0	0	0	0	0	0	0	0	0
9	9	uniform	2	23	0	warm	True	0	0	0	0	0	0	0.85550400000000004	0.85633999999999999	0	0	0	0	0	0	0	0	0	0
9	9	uniform	2	7	0	cold	True	13	13	0	0	0	0	7.4014009999999999	12.494989	5.564622	10.634299	0	0	0	0	0	0	0	0
9	9	uniform	2	7	0	warm	True	25	25	0	0	0	0	12.307971999999999	17.495456999999998	10.846788999999999	10.993266999999999	0	0	0	0	0	0	0	0
